"","level","Overall","NO","YES","p","test"
"n","","7,582","7,049","  533","",""
"Sex (%)","Male"," 3896 (51.4) "," 3533 (50.1) ","  363 (68.1) "," 2e-15",""
"","Female"," 3686 (48.6) "," 3516 (49.9) ","  170 (31.9) ","",""
"Age (median [IQR])","","91.00 [91.00, 92.00]","91.00 [91.00, 92.00]","91.00 [91.00, 92.00]"," 6.5e-01","nonnorm"
"Depression_score_complete_cases (median [IQR])",""," 1.00 [0.00, 3.00]"," 1.00 [0.00, 3.00]"," 4.00 [2.00, 7.00]"," 0.0e+00","nonnorm"
"Number of anxiety disorders (median [IQR])",""," 0.00 [0.00, 0.00]"," 0.00 [0.00, 0.00]"," 0.00 [0.00, 1.00]"," 0.0e+00","nonnorm"
"Drawing (%)","Right"," 6009 (79.4) "," 5612 (79.8) ","  397 (74.8) "," 4e-03",""
"","Either","  761 (10.1) ","  686 ( 9.7) ","   75 (14.1) ","",""
"","Left","  797 (10.5) ","  738 (10.5) ","   59 (11.1) ","",""
"Throw_Ball (%)","Right"," 5306 (71.2) "," 4970 (71.7) ","  336 (64.5) "," 7e-05",""
"","Either"," 1533 (20.6) "," 1387 (20.0) ","  146 (28.0) ","",""
"","Left","  618 ( 8.3) ","  579 ( 8.3) ","   39 ( 7.5) ","",""
"Colour (%)","Right"," 6107 (81.2) "," 5702 (81.4) ","  405 (78.3) "," 2e-01",""
"","Either","  629 ( 8.4) ","  576 ( 8.2) ","   53 (10.3) ","",""
"","Left","  789 (10.5) ","  730 (10.4) ","   59 (11.4) ","",""
"Toothbrush (%)","Right"," 6110 (81.4) "," 5710 (81.8) ","  400 (76.5) "," 1e-04",""
"","Either","  624 ( 8.3) ","  555 ( 8.0) ","   69 (13.2) ","",""
"","Left","  770 (10.3) ","  716 (10.3) ","   54 (10.3) ","",""
"Knife (%)","Right"," 5218 (77.1) "," 4903 (77.7) ","  315 (69.2) "," 1e-04",""
"","Either","  768 (11.4) ","  694 (11.0) ","   74 (16.3) ","",""
"","Left","  780 (11.5) ","  714 (11.3) ","   66 (14.5) ","",""
"Hit_things (%)","Right"," 5370 (71.9) "," 5044 (72.6) ","  326 (62.9) "," 1e-07",""
"","Either"," 1460 (19.6) "," 1310 (18.9) ","  150 (29.0) ","",""
"","Left","  637 ( 8.5) ","  595 ( 8.6) ","   42 ( 8.1) ","",""
"Handedness (median [IQR])",""," 3.00 [2.67, 3.00]"," 3.00 [2.67, 3.00]"," 2.83 [2.50, 3.00]"," 7.2e-06","nonnorm"
