Table 3: Prevalence of hand use groups in BD patients and controls seggregated by sex.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,
,Total = 528,,,,BD =267,,,,Controls =261,,,,Proportion test P-value,
Threshold,Left-handed,Mixed-handed,Right-handed,Lateralized,BD left handed,BD mixed handed,BD right,BD lateralized (righters + lefters),Controls left handed,Controls mixed handed,Controls right,Controls lateralized,Left handedness,Mixed handedness
0, 29 (5.49%),2 (0.38%) , 497 (94.13%),526 (99.62%),17 (6.37%) ,1 (0.37%) , 249 (93.26%),266 (99.63%),12 (4.60%),1 (0.38%),248 (95.02%),260 (99.62%),NS,NS
"[-40,40)",25 (4.73%),12 (2.27%),491 (92.99%), 516 (97.73%),13 (4.87%) ,8 (3.00%), 246 (92.13%),259 (97.00%),12 (4.60%)  ,4 (1.53%)  , 245 (93.87%),  257 (98.47%),NS,NS
"[-60,60)",21 (3.98%),26 (4.92%),481 (91.10%),502 (95.08%),10 (3.75%) ,18 (6.74%),239 (89.51%),249 (93.26%),11 (4.21%) , 8 (3.07%),242 (92.72%), 253 (96.93%),NS,0.0509
"[-80,80)",16 (3.03%,96 (18.18%) ,416 (78.79%),432 (81.82%), 7 (2.62%) ,53 (19.85%) ,207 (77.53%), 214 (80.15%),9 (3.45%)   ,43 (16.48%),209 (80.08%),218 (83.52%),NS,NS
"[-90,90)",10 (1.89%)  ,176 (33.33%),342 (64.77%), 352 (66.67%),5 (1.87%),80 (29.96%),182 (68.16%),187 (70.04%),5 (1.92%) ,96 (36.78%) ,160 (61.30%),165 (63.22%),NS,NS
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,
,Total = 336,,,,BD = 165,,,,Controls =171,,,,Proportion test P-value,
Threshold,Left-handed,Mixed-handed,Right-handed,Lateralized,BD left handed,BD mixed handed,BD right,BD lateralized (righters + lefters),Controls left handed,Controls mixed handed,Controls right,Controls lateralized,Left handedness,Mixed handedness
0,29 (8.63%) , 1 (0.30%) ,306 (91.07%),335 (99.70%), 13 (7.88%), 1 (0.61%)  ,151 (91.52%), 164 (99.39%),16 (9.36%) ,0 (0%), 155 (90.64%),171 (100.00%),NS,NS
"[-40,40)", 22 (6.55%)  , 12 (3.57%)  ,302 (89.88%),324 (96.43%),9 (5.45%) ,8 (4.85%),148 (89.70%,157 (95.15%),13 (7.60%),4 (2.34%) ,154 (90.06%), 167 (97.66%),NS,NS
"[-60,60)",19 (5.65%)  ,30 (8.93%) , 287 (85.42%),306 (91.07%),7 (4.24%) ,18 (10.91%) ,140 (84.85%), 147 (89.09%),12 (7.02%) ,12 (7.02%) ,147 (85.96%),159 (92.98%),NS,NS
"[-80,80)",  14 (4.17%),88 (26.19%) ,234 (69.64%),248 (73.81%),6 (3.64%)   ,38 (23.03%) ,121 (73.33%),127 (76.97%),8 (4.68%)  ,50 (29.24%) , 113 (66.08%),  121 (70.76%),NS,NS
"[-90,90)",8 (2.38%) ,142 (42.26%),186 (55.36%),194 (57.74%),4 (2.42%)   ,60 (36.36%) , 101 (61.21%),105 (63.64%),4 (2.34%)   ,82 (47.95%),85 (49.71%) , 89 (52.05%) ,NS,0.03
,,,,,,,,,,,,,,
,Proportion test P-value,,,,Proportion test P-value,,,,Proportion test P-value,,,,,
,Left handedness,Mixed handedness,,,Left handedness,Mixed handedness,,,Left handedness,Mixed handedness,,,,
0,0.07,NS,,0,NS,NS,,0,0.04944,NS,,,,
"[-40,40)",NS,NS,,"[-40,40)",NS,NS,,"[-40,40)",NS,NS,,,,
"[-60,60)",NS,0.01977,,"[-60,60)",NS,NS,,"[-60,60)",NS,0.055,,,,
"[-80,80)",NS,5.06E-03,,"[-80,80)",NS,NS,,"[-80,80)",NS,0.0016,,,,
"[-90,90)",NS,7.98E-03,,"[-90,90)",NS,NS,,"[-90,90)",NS,0.0210,,,,
