	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000184988	TMEM106A	0.111458598948531	0.00196762951775556	4.05582518024848	5.76307220129177e-05	0.254727791297096	1.61707777397434	transmembrane protein 106A
ENSG00000277399	GPR179	-0.107686652824843	-0.000412498648145337	-3.55195350811239	0.000417198088571465	0.409491164573493	-0.133531045072532	G protein-coupled receptor 179
ENSG00000269981	NA	0.306077182518775	0.0246459153606503	3.43125191112419	0.000648686853908265	0.409491164573493	-0.520257239233477	NA
ENSG00000157613	CREB3L1	-0.0819015062126346	0.000347280714469709	-3.42945157296748	0.000652908733305545	0.409491164573493	-0.525929156724283	cAMP responsive element binding protein 3 like 1
ENSG00000148600	CDHR1	-0.135546521801171	-0.00296106156085257	-3.36634407539229	0.000818149823795992	0.409491164573493	-0.722953658260857	cadherin related family member 1
ENSG00000250138	LOC728488	0.191509488839	0.00444026423282684	3.33331191549671	0.000919422698026559	0.409491164573493	-0.824688837626495	POM121 membrane glycoprotein (rat) pseudogene
ENSG00000235934	NA	-0.130364613730149	0.00509528558760168	-3.29731344686854	0.00104298166585069	0.409491164573493	-0.934468105239806	NA
ENSG00000142549	IGLON5	-0.12200386383819	0.000612324292709639	-3.21538400772394	0.00138379582731409	0.409491164573493	-1.18006275893681	IgLON family member 5
ENSG00000146966	DENND2A	-0.0704948545720188	-0.00533490948233411	-3.20051515957503	0.00145573922392126	0.409491164573493	-1.22399939609915	DENN domain containing 2A
ENSG00000277022	NA	0.1280238119282	0.0178886064737566	3.14873799284252	0.00173411103230853	0.409491164573493	-1.3754732701562	NA
ENSG00000143845	ETNK2	-0.121633539176429	-0.0136004974242012	-3.13453367456086	0.0018186377196382	0.409491164573493	-1.41661336159296	ethanolamine kinase 2
ENSG00000006283	CACNA1G	-0.104618228309422	-0.00060364735127697	-3.12769152981219	0.00186069449108462	0.409491164573493	-1.4363665661166	calcium voltage-gated channel subunit alpha1 G
ENSG00000171951	SCG2	-0.317371024511929	-0.0168319541769978	-3.07823505817338	0.00219236585994883	0.409491164573493	-1.57791300583197	secretogranin II
ENSG00000084112	SSH1	0.0457062776378764	0.00214940849589161	3.06785230015584	0.00226855985729067	0.409491164573493	-1.60735331629051	slingshot protein phosphatase 1
ENSG00000157005	SST	-0.494991651718992	-0.0383427047697069	-3.06753033201722	0.0022709610568156	0.409491164573493	-1.60826472711423	somatostatin
ENSG00000099822	HCN2	-0.145645791064859	-0.0158766325398986	-3.0656973431921	0.00228467581247751	0.409491164573493	-1.61345170390164	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
ENSG00000214018	NA	0.166767854218595	0.00145243804392548	3.06128882870054	0.00231797326968173	0.409491164573493	-1.6259146657979	NA
ENSG00000187486	KCNJ11	-0.0914414187977512	-0.00284190465981835	-3.0577538822912	0.00234499404140963	0.409491164573493	-1.6358955643453	potassium inwardly rectifying channel subfamily J member 11
ENSG00000187116	LILRA5	0.0939436041486662	0.0112110495894493	3.04343101499557	0.00245746309045485	0.409491164573493	-1.67622248480308	leukocyte immunoglobulin like receptor A5
ENSG00000123992	DNPEP	-0.0417564922464536	-0.00135263840609868	-3.0265655151508	0.0025962340439872	0.409491164573493	-1.7234746154601	aspartyl aminopeptidase
ENSG00000086015	MAST2	-0.035482172267066	-0.000995694786375042	-3.0233895238529	0.00262315690767481	0.409491164573493	-1.73234450614957	microtubule associated serine/threonine kinase 2
ENSG00000010327	STAB1	0.146923055444855	0.000463396745185652	3.02304960293861	0.00262605352832455	0.409491164573493	-1.73329330396102	stabilin 1
ENSG00000149136	SSRP1	0.0583709154785498	0.00151321380770866	2.98502177571742	0.00296925022966636	0.409491164573493	-1.83878866577984	structure specific recognition protein 1
ENSG00000109103	UNC119	-0.079819179322575	-0.0107588220452494	-2.98486226631575	0.00297077245988506	0.409491164573493	-1.83922845962124	unc-119 lipid binding chaperone
ENSG00000224420	ADM5	0.155682741645707	0.000701519824763994	2.97699625977658	0.00304673117570307	0.409491164573493	-1.86088822915117	adrenomedullin 5 (putative)
ENSG00000272829	NA	0.190978622234005	0.0206899672471053	2.97082082387344	0.00310760501917596	0.409491164573493	-1.87785423505128	NA
ENSG00000199785	SNORA52	0.113109857804685	0.0153173132786018	2.96721050471857	0.00314370656580413	0.409491164573493	-1.88775726020043	small nucleolar RNA, H/ACA box 52
ENSG00000164935	DCSTAMP	0.254301151051189	0.0154205654999309	2.94099963206415	0.00341751635083018	0.409491164573493	-1.95930472368448	dendrocyte expressed seven transmembrane protein
ENSG00000175267	VWA3A	0.176390184868958	0.00227141929373433	2.9110714933375	0.0037566686283704	0.409491164573493	-2.04024978192367	von Willebrand factor A domain containing 3A
ENSG00000185519	FAM131C	-0.11000410300861	0.00483503021217126	-2.90744817275948	0.00379974691063723	0.409491164573493	-2.04999532547477	family with sequence similarity 131 member C
ENSG00000225518	LINC01703	-0.0705521023461698	-0.00379400430502677	-2.90442842825448	0.00383599259571571	0.409491164573493	-2.05810848978946	long intergenic non-protein coding RNA 1703
ENSG00000225968	ELFN1	-0.0624994539233426	0.00195897961352853	-2.90142266877541	0.00387238300926148	0.409491164573493	-2.06617599225902	extracellular leucine rich repeat and fibronectin type III domain containing 1
ENSG00000007047	MARK4	-0.0664896760444812	-0.00384749706992771	-2.89721837877971	0.00392381162429909	0.409491164573493	-2.07744682915653	microtubule affinity regulating kinase 4
ENSG00000129991	TNNI3	0.148972068049109	0.0103286675754692	2.8869551163415	0.00405197936847016	0.409491164573493	-2.10489419259783	troponin I3, cardiac type
ENSG00000137098	SPAG8	0.353861475789975	-0.0183217097336665	2.88485711314887	0.00407864384351636	0.409491164573493	-2.11049336030834	sperm associated antigen 8
ENSG00000177989	CIMAP1B	0.378052800813662	-0.019211537571045	2.87074357536045	0.00426220985635856	0.409491164573493	-2.14805741795033	ciliary microtubule associated protein 1B
ENSG00000054118	THRAP3	0.0505659706712405	0.00481794425052108	2.86822116947416	0.00429579789314431	0.409491164573493	-2.15475219828112	thyroid hormone receptor associated protein 3
ENSG00000163071	SPATA18	0.181065411685249	0.007127465263618	2.86123966586918	0.00439002155611311	0.409491164573493	-2.17325230991291	spermatogenesis associated 18
ENSG00000025708	TYMP	0.389197761845642	-0.011674767124143	2.84798024318275	0.00457416215355677	0.409491164573493	-2.20826807478125	thymidine phosphorylase
ENSG00000170324	FRMPD2	0.0619983178076093	0.00807551556760202	2.83839046611177	0.0047116825793956	0.409491164573493	-2.23349491604071	FERM and PDZ domain containing 2
ENSG00000171236	LRG1	0.136134097359295	0.0170259787281987	2.8375219612426	0.00472432074266359	0.409491164573493	-2.23577553719167	leucine rich alpha-2-glycoprotein 1
ENSG00000105479	ODAD1	0.279050755658492	-0.01175093589278	2.83428986828534	0.00477162378588157	0.409491164573493	-2.24425681007536	outer dynein arm docking complex subunit 1
ENSG00000134686	PHC2	0.0608641578032697	0.00709358736345179	2.83246192528456	0.00479856642101955	0.409491164573493	-2.24904933931221	polyhomeotic homolog 2
ENSG00000206432	TMEM200C	-0.0813642329411557	0.00574708365653268	-2.82420787200752	0.00492195295807541	0.409491164573493	-2.27065268349546	transmembrane protein 200C
ENSG00000248518	NA	-0.0988476087741409	-0.0180577137237518	-2.815481142776	0.00505552897854061	0.409491164573493	-2.2934267983903	NA
ENSG00000160606	TLCD1	-0.147243469033641	-0.00923390718894723	-2.81053503795502	0.00513268787431223	0.409491164573493	-2.30630433674625	TLC domain containing 1
ENSG00000238103	RPL9P7	-0.145683796701129	-0.0183279604455212	-2.80918343188094	0.00515395772391698	0.409491164573493	-2.30981952633358	ribosomal protein L9 pseudogene 7
ENSG00000237863	NA	-0.126812906577849	-0.0159910407550787	-2.80353056442408	0.00524378372987879	0.409491164573493	-2.32450347920064	NA
ENSG00000143375	CGN	-0.0562852407702876	-0.000699274830912276	-2.80352911204069	0.00524380698988187	0.409491164573493	-2.32450724824813	cingulin
ENSG00000125354	SEPTIN6	-0.0751166517544206	0.00133553493774932	-2.79892421302342	0.00531802645486025	0.409491164573493	-2.33644781127338	septin 6
ENSG00000205220	PSMB10	-0.0776304804225073	-0.0099754927708655	-2.79829254861164	0.00532828118140628	0.409491164573493	-2.33808424273251	proteasome 20S subunit beta 10
ENSG00000213088	ACKR1	0.275797875285719	-0.00253383030351699	2.79161442431816	0.00543779763212432	0.409491164573493	-2.3553631489439	atypical chemokine receptor 1 (Duffy blood group)
ENSG00000132196	HSD17B7	-0.092431639177431	0.00402730948021818	-2.78943757841775	0.00547393432744203	0.409491164573493	-2.36098685456418	hydroxysteroid 17-beta dehydrogenase 7
ENSG00000280355	NA	-0.147688719770293	-0.0225406790962345	-2.78899398557612	0.00548132479292165	0.409491164573493	-2.3621323196663	NA
ENSG00000156802	ATAD2	-0.0320373403283401	-0.00327945832625542	-2.78588931438771	0.00553330341715386	0.409491164573493	-2.37014439961242	ATPase family AAA domain containing 2
ENSG00000226210	WASH8P	-0.213302445593041	-0.0113992079521316	-2.76019219886343	0.00598095145685821	0.409491164573493	-2.4361277657327	WAS protein family homolog 8, pseudogene
ENSG00000164953	TMEM67	0.10446153121159	-0.00406090152270015	2.75853177510074	0.00601097202576226	0.409491164573493	-2.44037091053949	transmembrane protein 67
ENSG00000261757	NA	-0.0677550718412961	-0.00349571651002809	-2.75811484290888	0.00601853154156054	0.409491164573493	-2.44143597490146	NA
ENSG00000128683	GAD1	-0.246298249265138	0.00114755902411827	-2.74909580638577	0.0061841750438159	0.409491164573493	-2.46443714059685	glutamate decarboxylase 1
ENSG00000055118	KCNH2	-0.0691370272691569	0.00120725939069442	-2.74203952403029	0.00631662901261985	0.409491164573493	-2.48238178358905	potassium voltage-gated channel subfamily H member 2
ENSG00000250056	LINC01018	-0.0691501191180335	0.000164137828692046	-2.73588489854274	0.0064342429106109	0.409491164573493	-2.49799693215618	long intergenic non-protein coding RNA 1018
ENSG00000273137	NA	0.11544808658249	0.00807585367359706	2.73127474466854	0.00652363269245492	0.409491164573493	-2.50967124778222	NA
ENSG00000160401	CFAP157	0.427851928767069	-0.0179169836678547	2.72865739854799	0.00657487948438843	0.409491164573493	-2.51629066800693	cilia and flagella associated protein 157
ENSG00000273301	NA	-0.122682075099463	-0.00961508797496707	-2.72761675523322	0.00659535561881793	0.409491164573493	-2.51892080503973	NA
ENSG00000007174	DNAH9	0.0551969104231357	0.00177870508368729	2.72376066436317	0.0066717319910249	0.409491164573493	-2.52865826079154	dynein axonemal heavy chain 9
ENSG00000165617	DACT1	0.148222890913623	0.0113070725084548	2.71934554075831	0.0067601594916847	0.409491164573493	-2.53979098351449	dishevelled binding antagonist of beta catenin 1
