	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000210077	NA	-0.296457189715639	-0.00853590338135484	-3.42656696839166	0.000659713880997274	0.882212707800777	-0.561019830693112	NA
ENSG00000110921	MVK	-0.0701102343773562	-0.000303597860208942	-3.38658677974688	0.000761308698343223	0.882212707800777	-0.687350014540491	mevalonate kinase
ENSG00000108953	YWHAE	0.0357327666201597	-0.00165367312545059	3.3099487555663	0.000997939687022336	0.882212707800777	-0.925553012653159	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
ENSG00000122952	ZWINT	0.167429098132946	-0.00455064687945176	3.24413612507869	0.00125389850431051	0.882212707800777	-1.12594552795113	ZW10 interacting kinetochore protein
ENSG00000108262	GIT1	-0.0729867921361098	0.00671986829455303	-3.21095620497066	0.00140484683049984	0.882212707800777	-1.22551280203004	GIT ArfGAP 1
ENSG00000287165	NA	-0.107903692225099	-0.0144854923331057	-3.20702878673285	0.00142378574839954	0.882212707800777	-1.23723335345234	NA
ENSG00000007171	NOS2	-0.0556329777478123	-0.00468376824374752	-3.19399338975646	0.00148835044332923	0.882212707800777	-1.27603612216574	nitric oxide synthase 2
ENSG00000107821	KAZALD1	-0.0782502078348891	-0.0048337065903471	-3.14761308000181	0.00174064577839003	0.882212707800777	-1.41286733544759	Kazal type serine peptidase inhibitor domain 1
ENSG00000234345	NA	0.0943845090220403	-0.00278189085115797	3.11056596118124	0.00196989239255334	0.882212707800777	-1.5207823765889	NA
ENSG00000231193	NA	-0.098925875451261	-0.00885900285268583	-3.06250421002839	0.00230871939884626	0.882212707800777	-1.65895083173181	NA
ENSG00000004838	ZMYND10	-0.0837041488394931	0.00444405190379227	-3.05495212022166	0.002366585224727	0.882212707800777	-1.68047341661537	zinc finger MYND-type containing 10
ENSG00000205763	NA	-0.0719545713215637	0.00594842739771867	-3.03419172602225	0.00253258646541089	0.882212707800777	-1.73937445073373	NA
ENSG00000117411	B4GALT2	-0.0675395534777809	0.00568682952350685	-2.9976490894015	0.00285095142034166	0.882212707800777	-1.84211241163599	beta-1,4-galactosyltransferase 2
ENSG00000182308	DCAF4L1	-0.100939598150661	0.000788440531181157	-2.9960553605845	0.00286563621208818	0.882212707800777	-1.84656579910271	DDB1 and CUL4 associated factor 4 like 1
