	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000251259	NA	0.085897999778984	0.00123645897773702	3.55059316024891	0.00041930012076485	0.283537992026274	-0.143834033364436	NA
ENSG00000270558	NA	0.204336683768283	0.000505704056017868	3.51340915233412	0.000481004239943694	0.283537992026274	-0.264659299674746	NA
ENSG00000110844	PRPF40B	-0.0338160201434805	0.00061206771606991	-3.48568854747512	0.000532423691113917	0.283537992026274	-0.353947309068374	pre-mRNA processing factor 40B
ENSG00000244560	NA	-0.0888555257623293	-0.00377602380255191	-3.39811206220468	0.000730620424980201	0.283537992026274	-0.631604744787398	NA
ENSG00000137171	KLC4	-0.0761735136794357	0.00160452037706107	-3.37086763323494	0.00080510561468232	0.283537992026274	-0.71660800061542	kinesin light chain 4
ENSG00000288809	NA	-0.102751654170097	-0.00152015139854318	-3.33927561360977	0.00090030313880486	0.283537992026274	-0.814357760053284	NA
ENSG00000044446	PHKA2	-0.0352059629542501	-0.000894512454640831	-3.25586623365829	0.00120423262099893	0.283537992026274	-1.06820718385738	phosphorylase kinase regulatory subunit alpha 2
ENSG00000107829	FBXW4	-0.129112818965182	0.00709868623071128	-3.25431213486234	0.00121070665322774	0.283537992026274	-1.07287863474872	F-box and WD repeat domain containing 4
ENSG00000164743	C8orf48	0.11748399882185	-0.002591625276121	3.18734772557613	0.00152230056839853	0.283537992026274	-1.27213575473452	chromosome 8 open reading frame 48
ENSG00000270933	NA	0.14763488252131	-0.00947854876491262	3.18113485342584	0.00155468287990611	0.283537992026274	-1.29042117567129	NA
ENSG00000106078	COBL	-0.127221654210487	0.00424548286588283	-3.17170138056665	0.00160506940026856	0.283537992026274	-1.31811985616999	cordon-bleu WH2 repeat protein
ENSG00000198917	SPOUT1	-0.0529813313132251	-0.00160981792123701	-3.16161111264439	0.00166062951416626	0.283537992026274	-1.34765963563878	SPOUT domain containing methyltransferase 1
ENSG00000048544	MRPS10	0.0733798215361571	-0.00749661232981878	3.14928529256406	0.00173090588239798	0.283537992026274	-1.38362149135183	mitochondrial ribosomal protein S10
ENSG00000027869	SH2D2A	-0.0458754500220639	0.00236719739485443	-3.1403134145849	0.00178377333636159	0.283537992026274	-1.4097130400168	SH2 domain containing 2A
ENSG00000174652	ZNF266	-0.103153336016384	-0.00352172397956095	-3.132169037741	0.00183304958693952	0.283537992026274	-1.4333361797326	zinc finger protein 266
ENSG00000286861	NA	-0.0653768295773255	-0.00192792619446951	-3.13181620550849	0.00183521242631374	0.283537992026274	-1.43435825399665	NA
ENSG00000235602	POU5F1P3	-0.131646550246384	4.50864212480226e-05	-3.12957809990193	0.00184898673360888	0.283537992026274	-1.44083895756859	POU class 5 homeobox 1 pseudogene 3
ENSG00000124831	LRRFIP1	0.0825882600852914	-0.00152255752104733	3.11572593328374	0.00193638017633772	0.283537992026274	-1.48085052182354	LRR binding FLII interacting protein 1
ENSG00000227372	NA	-0.0825070188894479	0.00359065846100231	-3.10268467134631	0.00202211832784105	0.283537992026274	-1.51836389671724	NA
ENSG00000007545	CRAMP1	-0.0386307989362199	-0.00180671149823429	-3.09738774493669	0.00205792943715907	0.283537992026274	-1.53355738089129	cramped chromatin regulator 1
ENSG00000111305	GSG1	0.0583247486565979	0.00181509092762623	3.09265814104826	0.00209039718679587	0.283537992026274	-1.54710248453393	germ cell associated 1
ENSG00000111644	ACRBP	-0.0461515454035524	-0.00168048815716939	-3.08439038804664	0.00214828759480086	0.283537992026274	-1.5707326711256	acrosin binding protein
ENSG00000139197	PEX5	-0.128876564353554	0.0026996229591067	-3.08311729036241	0.00215733161550376	0.283537992026274	-1.57436592463868	peroxisomal biogenesis factor 5
ENSG00000106012	IQCE	-0.0907442008250284	0.00355444569901215	-3.08231340402836	0.00216306040053014	0.283537992026274	-1.57665936743829	IQ motif containing E
ENSG00000101412	E2F1	-0.1913087555852	0.0119612111995757	-3.07887695988647	0.00218770778026222	0.283537992026274	-1.58645686423833	E2F transcription factor 1
ENSG00000165915	SLC39A13	-0.0801492634974367	-0.00182499389423475	-3.07132157131697	0.00224280803686842	0.283537992026274	-1.60796073198602	solute carrier family 39 member 13
ENSG00000137177	KIF13A	-0.0675548838687655	-0.000510345774603107	-3.06303102537654	0.00230473511397155	0.283537992026274	-1.63149847676661	kinesin family member 13A
ENSG00000175634	RPS6KB2	-0.109371102401024	0.00413226268196016	-3.06063590924712	0.00232291589872476	0.283537992026274	-1.63828706755972	ribosomal protein S6 kinase B2
