	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000225921	NOL7	0.0676041392844046	-0.00150847897246457	3.35409763125996	0.000854394829902027	0.593378768391168	-0.775656739748699	nucleolar protein 7
ENSG00000142798	HSPG2	0.0811357555007617	0.00762151838205722	3.298500992806	0.00103864237741137	0.593378768391168	-0.946691155951592	heparan sulfate proteoglycan 2
ENSG00000211721	TRBV6-5	-0.125877550712813	0.0103335383497236	-3.22703729116727	0.00132969136694145	0.593378768391168	-1.16251903372815	T cell receptor beta variable 6-5
ENSG00000163993	S100P	0.138196674830686	0.0171315513568416	3.12438606811664	0.00188128902530253	0.593378768391168	-1.46460148658823	S100 calcium binding protein P
ENSG00000110455	ACCS	-0.06902449276879	-0.00247129759774202	-3.0942756459742	0.00207921999304039	0.593378768391168	-1.5514311274912	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ENSG00000165443	PHYHIPL	0.114576828267251	0.00169222230735077	3.09120402572342	0.0021004528380102	0.593378768391168	-1.56024333307068	phytanoyl-CoA 2-hydroxylase interacting protein like
ENSG00000268366	NA	-0.0898260924645087	0.00781032521167156	-3.079187199147	0.0021854506893321	0.593378768391168	-1.59463764548101	NA
ENSG00000258384	NA	-0.0633782734028502	0.00524394121910142	-3.0774666572743	0.00219787600821069	0.593378768391168	-1.59955159734129	NA
ENSG00000128606	LRRC17	-0.0625510394587911	-0.00199964115776724	-3.07441573108989	0.00222006881031191	0.593378768391168	-1.60825869432445	leucine rich repeat containing 17
ENSG00000279031	NA	-0.107487355754871	0.00589786776540382	-3.07048239693529	0.00224898426716396	0.593378768391168	-1.6194718493156	NA
ENSG00000137310	TCF19	-0.149485029246677	-0.0132618548915972	-3.06875864146114	0.00226176498951207	0.593378768391168	-1.62438158058433	transcription factor 19
ENSG00000132376	INPP5K	-0.04607605219062	-0.00619770854602943	-3.03745789696393	0.00250576128343895	0.593378768391168	-1.71307304258161	inositol polyphosphate-5-phosphatase K
ENSG00000063761	ADCK1	-0.04354080796845	0.00066038198692522	-3.03610343140714	0.00251684556102387	0.593378768391168	-1.7168911916624	aarF domain containing kinase 1
ENSG00000163050	COQ8A	-0.0798126569675852	0.00375597494775932	-3.0236330297229	0.00262103095361263	0.593378768391168	-1.75196735314092	coenzyme Q8A
ENSG00000182551	ADI1	0.0861593921708	0.000489503461104087	3.00403498238407	0.00279277851314207	0.593378768391168	-1.8068107224883	acireductone dioxygenase 1
ENSG00000171552	BCL2L1	-0.0432437882195449	0.00106769841089766	-2.98525712730552	0.00296694852167934	0.593378768391168	-1.8590363469807	BCL2 like 1
