setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_VASCULATURE_DEVELOPMENT	257	0.504109918993718	2.66274033733683	3.06166505966355e-22	1.92027632542098e-18	1.47217747289927e-18	1468	tags=50%, list=25%, signal=40%	ENSG00000164736/ENSG00000169418/ENSG00000198959/ENSG00000213853/ENSG00000100345/ENSG00000164867/ENSG00000142627/ENSG00000163453/ENSG00000131634/ENSG00000138772/ENSG00000160712/ENSG00000261371/ENSG00000196411/ENSG00000168610/ENSG00000179776/ENSG00000163513/ENSG00000100219/ENSG00000117525/ENSG00000086598/ENSG00000136244/ENSG00000205336/ENSG00000073756/ENSG00000169242/ENSG00000102755/ENSG00000168036/ENSG00000128342/ENSG00000116717/ENSG00000240583/ENSG00000054598/ENSG00000169504/ENSG00000171236/ENSG00000133048/ENSG00000164683/ENSG00000163638/ENSG00000249751/ENSG00000112715/ENSG00000173269/ENSG00000139567/ENSG00000074219/ENSG00000166135/ENSG00000161638/ENSG00000159399/ENSG00000124479/ENSG00000162337/ENSG00000100644/ENSG00000167772/ENSG00000086062/ENSG00000140105/ENSG00000136868/ENSG00000134954/ENSG00000182718/ENSG00000198561/ENSG00000116285/ENSG00000184557/ENSG00000185043/ENSG00000138061/ENSG00000125810/ENSG00000166068/ENSG00000137801/ENSG00000105287/ENSG00000198844/ENSG00000239697/ENSG00000142798/ENSG00000166825/ENSG00000172071/ENSG00000066056/ENSG00000172270/ENSG00000143537/ENSG00000108691/ENSG00000177464/ENSG00000087088/ENSG00000070614/ENSG00000078401/ENSG00000135048/ENSG00000114378/ENSG00000114315/ENSG00000102144/ENSG00000141736/ENSG00000107338/ENSG00000116761/ENSG00000135821/ENSG00000061273/ENSG00000160691/ENSG00000119541/ENSG00000100266/ENSG00000067066/ENSG00000171223/ENSG00000163874/ENSG00000115415/ENSG00000106799/ENSG00000107882/ENSG00000204217/ENSG00000147649/ENSG00000164252/ENSG00000177283/ENSG00000107779/ENSG00000148926/ENSG00000130066/ENSG00000135111/ENSG00000128917/ENSG00000183943/ENSG00000196712/ENSG00000125686/ENSG00000198909/ENSG00000117461/ENSG00000105538/ENSG00000136720/ENSG00000006327/ENSG00000126458/ENSG00000137834/ENSG00000091129/ENSG00000064989/ENSG00000198719/ENSG00000103966/ENSG00000131477/ENSG00000153989/ENSG00000162434/ENSG00000179348/ENSG00000166484/ENSG00000092148/ENSG00000154124/ENSG00000124440/ENSG00000164047/ENSG00000077463/ENSG00000175197/ENSG00000166292/ENSG00000130508/ENSG00000172889/ENSG00000108784
GOBP_BLOOD_VESSEL_MORPHOGENESIS	221	0.521992810776398	2.68581810523431	3.89442022852595e-21	8.14193455777159e-18	6.24200407154616e-18	1468	tags=52%, list=25%, signal=40%	ENSG00000164736/ENSG00000169418/ENSG00000198959/ENSG00000213853/ENSG00000100345/ENSG00000164867/ENSG00000142627/ENSG00000163453/ENSG00000138772/ENSG00000261371/ENSG00000196411/ENSG00000168610/ENSG00000179776/ENSG00000163513/ENSG00000100219/ENSG00000117525/ENSG00000136244/ENSG00000205336/ENSG00000073756/ENSG00000169242/ENSG00000102755/ENSG00000168036/ENSG00000116717/ENSG00000240583/ENSG00000054598/ENSG00000169504/ENSG00000171236/ENSG00000133048/ENSG00000164683/ENSG00000163638/ENSG00000249751/ENSG00000112715/ENSG00000173269/ENSG00000139567/ENSG00000074219/ENSG00000166135/ENSG00000161638/ENSG00000159399/ENSG00000124479/ENSG00000162337/ENSG00000100644/ENSG00000167772/ENSG00000086062/ENSG00000140105/ENSG00000136868/ENSG00000134954/ENSG00000182718/ENSG00000198561/ENSG00000185043/ENSG00000138061/ENSG00000125810/ENSG00000166068/ENSG00000137801/ENSG00000105287/ENSG00000239697/ENSG00000142798/ENSG00000166825/ENSG00000172071/ENSG00000066056/ENSG00000172270/ENSG00000143537/ENSG00000108691/ENSG00000177464/ENSG00000087088/ENSG00000078401/ENSG00000135048/ENSG00000114378/ENSG00000114315/ENSG00000102144/ENSG00000141736/ENSG00000107338/ENSG00000135821/ENSG00000061273/ENSG00000160691/ENSG00000119541/ENSG00000100266/ENSG00000067066/ENSG00000171223/ENSG00000163874/ENSG00000115415/ENSG00000106799/ENSG00000204217/ENSG00000147649/ENSG00000164252/ENSG00000177283/ENSG00000107779/ENSG00000148926/ENSG00000130066/ENSG00000128917/ENSG00000183943/ENSG00000196712/ENSG00000125686/ENSG00000117461/ENSG00000105538/ENSG00000136720/ENSG00000006327/ENSG00000126458/ENSG00000091129/ENSG00000064989/ENSG00000198719/ENSG00000103966/ENSG00000131477/ENSG00000153989/ENSG00000162434/ENSG00000179348/ENSG00000166484/ENSG00000154124/ENSG00000124440/ENSG00000164047/ENSG00000077463/ENSG00000166292/ENSG00000130508/ENSG00000172889/ENSG00000108784
GOBP_TUBE_MORPHOGENESIS	279	0.481879009458062	2.57021209828279	3.76237453238555e-21	8.14193455777159e-18	6.24200407154616e-18	1468	tags=48%, list=25%, signal=38%	ENSG00000164736/ENSG00000169418/ENSG00000198959/ENSG00000213853/ENSG00000100345/ENSG00000164867/ENSG00000142627/ENSG00000163453/ENSG00000108518/ENSG00000128567/ENSG00000168874/ENSG00000138772/ENSG00000261371/ENSG00000196411/ENSG00000168610/ENSG00000136997/ENSG00000164741/ENSG00000179776/ENSG00000163513/ENSG00000100219/ENSG00000130702/ENSG00000117525/ENSG00000086598/ENSG00000136244/ENSG00000205336/ENSG00000073756/ENSG00000169242/ENSG00000102755/ENSG00000168036/ENSG00000116717/ENSG00000240583/ENSG00000054598/ENSG00000169504/ENSG00000171236/ENSG00000133048/ENSG00000164683/ENSG00000163638/ENSG00000249751/ENSG00000164930/ENSG00000112715/ENSG00000173269/ENSG00000139567/ENSG00000074219/ENSG00000166135/ENSG00000161638/ENSG00000159399/ENSG00000124479/ENSG00000162337/ENSG00000100644/ENSG00000167772/ENSG00000086062/ENSG00000140105/ENSG00000136868/ENSG00000134954/ENSG00000182718/ENSG00000198561/ENSG00000101160/ENSG00000185043/ENSG00000138061/ENSG00000125810/ENSG00000166068/ENSG00000137801/ENSG00000105287/ENSG00000239697/ENSG00000142798/ENSG00000244405/ENSG00000166825/ENSG00000172071/ENSG00000066056/ENSG00000172270/ENSG00000121039/ENSG00000143537/ENSG00000108691/ENSG00000177464/ENSG00000087088/ENSG00000078401/ENSG00000099954/ENSG00000135048/ENSG00000114378/ENSG00000114315/ENSG00000102144/ENSG00000141736/ENSG00000107338/ENSG00000135821/ENSG00000061273/ENSG00000160691/ENSG00000112378/ENSG00000119541/ENSG00000124145/ENSG00000100266/ENSG00000067066/ENSG00000142867/ENSG00000171223/ENSG00000163874/ENSG00000115415/ENSG00000106799/ENSG00000107882/ENSG00000204217/ENSG00000147649/ENSG00000164252/ENSG00000177283/ENSG00000107779/ENSG00000148926/ENSG00000173991/ENSG00000130066/ENSG00000135111/ENSG00000128917/ENSG00000183943/ENSG00000196712/ENSG00000125686/ENSG00000148346/ENSG00000117461/ENSG00000105538/ENSG00000136720/ENSG00000006327/ENSG00000126458/ENSG00000091129/ENSG00000064989/ENSG00000198719/ENSG00000103966/ENSG00000131477/ENSG00000153989/ENSG00000162434/ENSG00000179348/ENSG00000166484/ENSG00000154124/ENSG00000124440/ENSG00000164047/ENSG00000077463/ENSG00000166292/ENSG00000130508/ENSG00000172889/ENSG00000108784
GOBP_CELL_ADHESION	469	0.406562149631629	2.2728427876327	3.87909913340078e-19	6.08242744117243e-16	4.66308548457231e-16	1367	tags=38%, list=23%, signal=31%	ENSG00000110799/ENSG00000107738/ENSG00000198959/ENSG00000213853/ENSG00000105879/ENSG00000100345/ENSG00000213949/ENSG00000142627/ENSG00000127418/ENSG00000163453/ENSG00000128567/ENSG00000147065/ENSG00000127472/ENSG00000101608/ENSG00000197561/ENSG00000160712/ENSG00000198805/ENSG00000261371/ENSG00000196411/ENSG00000164741/ENSG00000137507/ENSG00000165527/ENSG00000179776/ENSG00000163513/ENSG00000169756/ENSG00000100219/ENSG00000167004/ENSG00000130702/ENSG00000090776/ENSG00000108622/ENSG00000100448/ENSG00000136244/ENSG00000100106/ENSG00000205336/ENSG00000132842/ENSG00000169242/ENSG00000168036/ENSG00000149564/ENSG00000128342/ENSG00000087077/ENSG00000107438/ENSG00000091409/ENSG00000172037/ENSG00000111859/ENSG00000103335/ENSG00000171236/ENSG00000104951/ENSG00000163638/ENSG00000072786/ENSG00000168309/ENSG00000182511/ENSG00000112715/ENSG00000173269/ENSG00000008517/ENSG00000139567/ENSG00000213639/ENSG00000176834/ENSG00000161638/ENSG00000172216/ENSG00000143536/ENSG00000158769/ENSG00000044115/ENSG00000091986/ENSG00000109906/ENSG00000162337/ENSG00000089159/ENSG00000187678/ENSG00000163191/ENSG00000086062/ENSG00000179218/ENSG00000134954/ENSG00000182718/ENSG00000185624/ENSG00000138069/ENSG00000198561/ENSG00000143546/ENSG00000123146/ENSG00000127083/ENSG00000134982/ENSG00000185043/ENSG00000136286/ENSG00000173918/ENSG00000132470/ENSG00000149573/ENSG00000140511/ENSG00000133055/ENSG00000120328/ENSG00000138061/ENSG00000090339/ENSG00000118689/ENSG00000125347/ENSG00000125810/ENSG00000166710/ENSG00000196396/ENSG00000244734/ENSG00000137801/ENSG00000105287/ENSG00000162458/ENSG00000172461/ENSG00000107968/ENSG00000172270/ENSG00000143537/ENSG00000108691/ENSG00000081818/ENSG00000177464/ENSG00000150471/ENSG00000074660/ENSG00000126561/ENSG00000129450/ENSG00000114378/ENSG00000073008/ENSG00000071051/ENSG00000204264/ENSG00000114315/ENSG00000113211/ENSG00000166401/ENSG00000213719/ENSG00000172977/ENSG00000112033/ENSG00000141736/ENSG00000107338/ENSG00000140937/ENSG00000068323/ENSG00000115526/ENSG00000101182/ENSG00000204936/ENSG00000160691/ENSG00000130287/ENSG00000101336/ENSG00000112378/ENSG00000183655/ENSG00000124145/ENSG00000132692/ENSG00000168952/ENSG00000213937/ENSG00000142867/ENSG00000163874/ENSG00000240065/ENSG00000120896/ENSG00000164252/ENSG00000163220/ENSG00000128340/ENSG00000131042/ENSG00000130396/ENSG00000125735/ENSG00000168995/ENSG00000183943/ENSG00000104522/ENSG00000196712/ENSG00000113916/ENSG00000163823/ENSG00000138594/ENSG00000157224/ENSG00000181284/ENSG00000062716/ENSG00000185565/ENSG00000196338/ENSG00000006327/ENSG00000145901/ENSG00000102908/ENSG00000126458/ENSG00000132670/ENSG00000137834/ENSG00000091129/ENSG00000090539/ENSG00000108946/ENSG00000056586/ENSG00000198719/ENSG00000090659/ENSG00000144802/ENSG00000107937/ENSG00000162434/ENSG00000204592/ENSG00000166484/ENSG00000089327/ENSG00000070404
GOBP_CELL_MIGRATION	488	0.404222868237778	2.26593444009938	5.98743902707977e-19	7.51064351556886e-16	5.75802557383166e-16	1370	tags=38%, list=23%, signal=32%	ENSG00000107738/ENSG00000164736/ENSG00000213853/ENSG00000105879/ENSG00000100345/ENSG00000164867/ENSG00000213949/ENSG00000142627/ENSG00000108518/ENSG00000128567/ENSG00000000938/ENSG00000147065/ENSG00000115594/ENSG00000168874/ENSG00000138772/ENSG00000197561/ENSG00000160712/ENSG00000261371/ENSG00000196411/ENSG00000168610/ENSG00000104368/ENSG00000164741/ENSG00000165527/ENSG00000179776/ENSG00000163513/ENSG00000034152/ENSG00000064666/ENSG00000100219/ENSG00000021355/ENSG00000130702/ENSG00000090776/ENSG00000155366/ENSG00000177119/ENSG00000109062/ENSG00000108622/ENSG00000160447/ENSG00000100448/ENSG00000117525/ENSG00000099998/ENSG00000136244/ENSG00000205336/ENSG00000073756/ENSG00000169242/ENSG00000102755/ENSG00000168036/ENSG00000087077/ENSG00000163485/ENSG00000104998/ENSG00000107438/ENSG00000091409/ENSG00000116717/ENSG00000240583/ENSG00000054598/ENSG00000044574/ENSG00000111859/ENSG00000169504/ENSG00000171236/ENSG00000131236/ENSG00000163638/ENSG00000072786/ENSG00000168309/ENSG00000112715/ENSG00000164821/ENSG00000173269/ENSG00000007384/ENSG00000139567/ENSG00000161638/ENSG00000163993/ENSG00000158769/ENSG00000044115/ENSG00000162337/ENSG00000100644/ENSG00000089159/ENSG00000163191/ENSG00000172939/ENSG00000086062/ENSG00000174348/ENSG00000179218/ENSG00000138496/ENSG00000100985/ENSG00000109079/ENSG00000134954/ENSG00000130303/ENSG00000185624/ENSG00000138069/ENSG00000163221/ENSG00000198561/ENSG00000143546/ENSG00000116285/ENSG00000134982/ENSG00000185043/ENSG00000136286/ENSG00000184489/ENSG00000132470/ENSG00000138061/ENSG00000090339/ENSG00000118689/ENSG00000159346/ENSG00000196396/ENSG00000089060/ENSG00000168374/ENSG00000149480/ENSG00000166068/ENSG00000137801/ENSG00000112029/ENSG00000105287/ENSG00000001617/ENSG00000239697/ENSG00000172461/ENSG00000184588/ENSG00000271447/ENSG00000066056/ENSG00000172270/ENSG00000143537/ENSG00000108691/ENSG00000185885/ENSG00000174574/ENSG00000087088/ENSG00000150471/ENSG00000078401/ENSG00000126561/ENSG00000071051/ENSG00000114315/ENSG00000134440/ENSG00000131016/ENSG00000112033/ENSG00000140937/ENSG00000135821/ENSG00000061273/ENSG00000109919/ENSG00000172936/ENSG00000204936/ENSG00000276644/ENSG00000101336/ENSG00000112378/ENSG00000108798/ENSG00000124145/ENSG00000100266/ENSG00000067066/ENSG00000163874/ENSG00000115415/ENSG00000106799/ENSG00000163702/ENSG00000019995/ENSG00000204217/ENSG00000163220/ENSG00000128340/ENSG00000130396/ENSG00000125735/ENSG00000121797/ENSG00000107779/ENSG00000150347/ENSG00000128917/ENSG00000183943/ENSG00000100883/ENSG00000104522/ENSG00000196712/ENSG00000152192/ENSG00000160791/ENSG00000157193/ENSG00000109971/ENSG00000148346/ENSG00000117461/ENSG00000163823/ENSG00000100242/ENSG00000100300/ENSG00000181284/ENSG00000170379/ENSG00000173334/ENSG00000006327/ENSG00000126458/ENSG00000162521/ENSG00000068001/ENSG00000091129/ENSG00000090539/ENSG00000133961/ENSG00000130529/ENSG00000103966/ENSG00000090659/ENSG00000153989/ENSG00000158828/ENSG00000107937/ENSG00000179348/ENSG00000129465
GOBP_TUBE_DEVELOPMENT	341	0.440891086636011	2.40040770088068	1.5721123264201e-18	1.64338141855115e-15	1.25989633457667e-15	1468	tags=43%, list=25%, signal=35%	ENSG00000164736/ENSG00000169418/ENSG00000198959/ENSG00000213853/ENSG00000100345/ENSG00000164867/ENSG00000142627/ENSG00000163453/ENSG00000108518/ENSG00000128567/ENSG00000168874/ENSG00000138772/ENSG00000261371/ENSG00000196411/ENSG00000168610/ENSG00000136997/ENSG00000164741/ENSG00000179776/ENSG00000163513/ENSG00000100219/ENSG00000130702/ENSG00000117525/ENSG00000086598/ENSG00000136244/ENSG00000205336/ENSG00000132842/ENSG00000073756/ENSG00000169242/ENSG00000102755/ENSG00000168036/ENSG00000128342/ENSG00000116717/ENSG00000240583/ENSG00000054598/ENSG00000169504/ENSG00000171236/ENSG00000133048/ENSG00000164683/ENSG00000163638/ENSG00000249751/ENSG00000164930/ENSG00000112715/ENSG00000173269/ENSG00000139567/ENSG00000074219/ENSG00000166135/ENSG00000161638/ENSG00000159399/ENSG00000124479/ENSG00000103196/ENSG00000162337/ENSG00000100644/ENSG00000167772/ENSG00000086062/ENSG00000140105/ENSG00000136868/ENSG00000134954/ENSG00000182718/ENSG00000198561/ENSG00000116285/ENSG00000101160/ENSG00000185043/ENSG00000138061/ENSG00000076604/ENSG00000125810/ENSG00000166068/ENSG00000137801/ENSG00000105287/ENSG00000239697/ENSG00000142798/ENSG00000244405/ENSG00000166825/ENSG00000172071/ENSG00000075426/ENSG00000066056/ENSG00000172270/ENSG00000121039/ENSG00000143537/ENSG00000108691/ENSG00000177464/ENSG00000087088/ENSG00000078401/ENSG00000099954/ENSG00000135048/ENSG00000196182/ENSG00000114378/ENSG00000114315/ENSG00000162430/ENSG00000172977/ENSG00000102144/ENSG00000141736/ENSG00000107338/ENSG00000135821/ENSG00000061273/ENSG00000160691/ENSG00000112378/ENSG00000119541/ENSG00000124145/ENSG00000100266/ENSG00000067066/ENSG00000142867/ENSG00000171223/ENSG00000163874/ENSG00000115415/ENSG00000106799/ENSG00000107882/ENSG00000204217/ENSG00000147649/ENSG00000164252/ENSG00000177283/ENSG00000107779/ENSG00000148926/ENSG00000173991/ENSG00000130066/ENSG00000135111/ENSG00000128917/ENSG00000183943/ENSG00000196712/ENSG00000125686/ENSG00000117298/ENSG00000148346/ENSG00000117461/ENSG00000105538/ENSG00000136720/ENSG00000006327/ENSG00000126458/ENSG00000137834/ENSG00000091129/ENSG00000151748/ENSG00000090539/ENSG00000064989/ENSG00000056586/ENSG00000198719/ENSG00000103966/ENSG00000131477/ENSG00000153989/ENSG00000162434/ENSG00000179348/ENSG00000166484/ENSG00000154124/ENSG00000124440/ENSG00000164047/ENSG00000197901/ENSG00000077463/ENSG00000166292/ENSG00000130508/ENSG00000172889/ENSG00000108784
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	368	0.429008673152645	2.34236696530231	2.87753513282742e-18	2.57827147901336e-15	1.97662864462491e-15	1468	tags=44%, list=25%, signal=35%	ENSG00000164736/ENSG00000169418/ENSG00000198959/ENSG00000213853/ENSG00000067182/ENSG00000187922/ENSG00000100345/ENSG00000164867/ENSG00000142627/ENSG00000127418/ENSG00000163453/ENSG00000131634/ENSG00000138772/ENSG00000160712/ENSG00000261371/ENSG00000196411/ENSG00000168610/ENSG00000164741/ENSG00000179776/ENSG00000163513/ENSG00000034152/ENSG00000100219/ENSG00000117525/ENSG00000104812/ENSG00000086598/ENSG00000136244/ENSG00000205336/ENSG00000073756/ENSG00000169242/ENSG00000102755/ENSG00000168036/ENSG00000128342/ENSG00000107438/ENSG00000116717/ENSG00000240583/ENSG00000054598/ENSG00000169504/ENSG00000171236/ENSG00000133048/ENSG00000164683/ENSG00000253729/ENSG00000163638/ENSG00000249751/ENSG00000182511/ENSG00000112715/ENSG00000173269/ENSG00000139567/ENSG00000074219/ENSG00000166135/ENSG00000157240/ENSG00000161638/ENSG00000162496/ENSG00000159399/ENSG00000124479/ENSG00000162337/ENSG00000100644/ENSG00000167772/ENSG00000086062/ENSG00000140105/ENSG00000179218/ENSG00000136868/ENSG00000134954/ENSG00000182718/ENSG00000198561/ENSG00000116285/ENSG00000134982/ENSG00000184557/ENSG00000185043/ENSG00000173641/ENSG00000055208/ENSG00000138061/ENSG00000137193/ENSG00000144560/ENSG00000125810/ENSG00000166068/ENSG00000137801/ENSG00000105287/ENSG00000198844/ENSG00000239697/ENSG00000142798/ENSG00000166825/ENSG00000172071/ENSG00000131435/ENSG00000066056/ENSG00000172270/ENSG00000143537/ENSG00000108691/ENSG00000177464/ENSG00000087088/ENSG00000070614/ENSG00000078401/ENSG00000124762/ENSG00000135048/ENSG00000174705/ENSG00000114378/ENSG00000114315/ENSG00000028137/ENSG00000112033/ENSG00000102144/ENSG00000141736/ENSG00000107338/ENSG00000140937/ENSG00000116761/ENSG00000135821/ENSG00000061273/ENSG00000160691/ENSG00000119541/ENSG00000100266/ENSG00000067066/ENSG00000171223/ENSG00000163874/ENSG00000115415/ENSG00000106799/ENSG00000107882/ENSG00000134046/ENSG00000204217/ENSG00000147649/ENSG00000164252/ENSG00000177283/ENSG00000107779/ENSG00000148926/ENSG00000173991/ENSG00000130066/ENSG00000135111/ENSG00000128917/ENSG00000183943/ENSG00000196712/ENSG00000125686/ENSG00000152192/ENSG00000117298/ENSG00000198909/ENSG00000117461/ENSG00000105538/ENSG00000099968/ENSG00000136720/ENSG00000006327/ENSG00000126458/ENSG00000137834/ENSG00000076555/ENSG00000091129/ENSG00000151748/ENSG00000064989/ENSG00000108946/ENSG00000198719/ENSG00000103966/ENSG00000131477/ENSG00000153989/ENSG00000162434/ENSG00000179348/ENSG00000166484/ENSG00000160602/ENSG00000092148/ENSG00000154124/ENSG00000124440/ENSG00000164047/ENSG00000077463/ENSG00000175197/ENSG00000166292/ENSG00000130508/ENSG00000172889/ENSG00000108784
GOBP_RESPONSE_TO_PEPTIDE	388	0.409919434948802	2.2499239449384	1.97929461008305e-16	1.55176697430511e-13	1.18966023406044e-13	1755	tags=45%, list=29%, signal=34%	ENSG00000164736/ENSG00000142089/ENSG00000077238/ENSG00000141510/ENSG00000067182/ENSG00000187922/ENSG00000145623/ENSG00000115594/ENSG00000188313/ENSG00000064932/ENSG00000160712/ENSG00000185201/ENSG00000168610/ENSG00000136997/ENSG00000169756/ENSG00000196954/ENSG00000100219/ENSG00000167004/ENSG00000187193/ENSG00000164849/ENSG00000100448/ENSG00000117525/ENSG00000134470/ENSG00000136244/ENSG00000131724/ENSG00000115602/ENSG00000139832/ENSG00000136603/ENSG00000165030/ENSG00000104998/ENSG00000054598/ENSG00000090376/ENSG00000044574/ENSG00000101347/ENSG00000133048/ENSG00000115091/ENSG00000115604/ENSG00000145365/ENSG00000109320/ENSG00000172216/ENSG00000060138/ENSG00000143536/ENSG00000159399/ENSG00000114737/ENSG00000204577/ENSG00000187116/ENSG00000163565/ENSG00000088888/ENSG00000100644/ENSG00000187678/ENSG00000172939/ENSG00000179218/ENSG00000138496/ENSG00000023909/ENSG00000130303/ENSG00000185624/ENSG00000182199/ENSG00000119737/ENSG00000184557/ENSG00000106052/ENSG00000125148/ENSG00000185043/ENSG00000244038/ENSG00000184489/ENSG00000108342/ENSG00000137193/ENSG00000090339/ENSG00000118689/ENSG00000125347/ENSG00000159346/ENSG00000196396/ENSG00000137801/ENSG00000196136/ENSG00000137496/ENSG00000137275/ENSG00000058262/ENSG00000104856/ENSG00000075426/ENSG00000108691/ENSG00000185885/ENSG00000078401/ENSG00000126561/ENSG00000114378/ENSG00000204264/ENSG00000114315/ENSG00000168884/ENSG00000028137/ENSG00000131016/ENSG00000116761/ENSG00000100764/ENSG00000121060/ENSG00000101182/ENSG00000120833/ENSG00000077150/ENSG00000172936/ENSG00000101336/ENSG00000213341/ENSG00000119917/ENSG00000067066/ENSG00000163874/ENSG00000115415/ENSG00000240065/ENSG00000163702/ENSG00000131042/ENSG00000121797/ENSG00000158186/ENSG00000137752/ENSG00000150347/ENSG00000128016/ENSG00000136628/ENSG00000239961/ENSG00000197375/ENSG00000125686/ENSG00000152192/ENSG00000112081/ENSG00000160791/ENSG00000157193/ENSG00000148346/ENSG00000163823/ENSG00000005022/ENSG00000162551/ENSG00000115548/ENSG00000103035/ENSG00000181284/ENSG00000100368/ENSG00000163563/ENSG00000143384/ENSG00000102908/ENSG00000184979/ENSG00000068001/ENSG00000001084/ENSG00000185507/ENSG00000008083/ENSG00000174840/ENSG00000140853/ENSG00000144802/ENSG00000162434/ENSG00000115267/ENSG00000166484/ENSG00000159128/ENSG00000244482/ENSG00000154124/ENSG00000067057/ENSG00000138071/ENSG00000102265/ENSG00000164047/ENSG00000165949/ENSG00000117533/ENSG00000130508/ENSG00000173193/ENSG00000115317/ENSG00000096968/ENSG00000117228/ENSG00000100906/ENSG00000158869/ENSG00000111679/ENSG00000166311/ENSG00000204310/ENSG00000184216/ENSG00000027697/ENSG00000242252/ENSG00000169429/ENSG00000132155/ENSG00000105246/ENSG00000018280/ENSG00000006016/ENSG00000204397/ENSG00000186792/ENSG00000100519/ENSG00000070831/ENSG00000164251/ENSG00000119318/ENSG00000105229/ENSG00000073111/ENSG00000130706
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	411	0.398008817169078	2.19252712352084	2.78411952101578e-16	1.94022195953455e-13	1.48746876865498e-13	1162	tags=33%, list=19%, signal=28%	ENSG00000110799/ENSG00000198959/ENSG00000106100/ENSG00000141510/ENSG00000067182/ENSG00000213949/ENSG00000111321/ENSG00000128284/ENSG00000000938/ENSG00000127472/ENSG00000115594/ENSG00000168874/ENSG00000105835/ENSG00000197561/ENSG00000181826/ENSG00000160712/ENSG00000261371/ENSG00000168610/ENSG00000136997/ENSG00000179776/ENSG00000163513/ENSG00000169756/ENSG00000034152/ENSG00000186654/ENSG00000100219/ENSG00000155366/ENSG00000119408/ENSG00000109062/ENSG00000117525/ENSG00000113369/ENSG00000134470/ENSG00000136244/ENSG00000205336/ENSG00000169252/ENSG00000169242/ENSG00000102755/ENSG00000168036/ENSG00000136603/ENSG00000128342/ENSG00000087077/ENSG00000163485/ENSG00000104998/ENSG00000116717/ENSG00000090376/ENSG00000171631/ENSG00000122679/ENSG00000165732/ENSG00000108187/ENSG00000133048/ENSG00000099860/ENSG00000132274/ENSG00000183888/ENSG00000115604/ENSG00000127314/ENSG00000145365/ENSG00000112715/ENSG00000068079/ENSG00000197442/ENSG00000139567/ENSG00000213639/ENSG00000239282/ENSG00000158769/ENSG00000124479/ENSG00000187116/ENSG00000088888/ENSG00000179218/ENSG00000130303/ENSG00000109606/ENSG00000111412/ENSG00000163221/ENSG00000143546/ENSG00000071282/ENSG00000185043/ENSG00000055208/ENSG00000173918/ENSG00000108342/ENSG00000137193/ENSG00000090339/ENSG00000076604/ENSG00000136297/ENSG00000196396/ENSG00000163812/ENSG00000118217/ENSG00000166068/ENSG00000137801/ENSG00000184988/ENSG00000105287/ENSG00000137275/ENSG00000158122/ENSG00000127666/ENSG00000177464/ENSG00000087088/ENSG00000164054/ENSG00000070614/ENSG00000078401/ENSG00000112343/ENSG00000147324/ENSG00000071051/ENSG00000168884/ENSG00000131016/ENSG00000126581/ENSG00000112033/ENSG00000141736/ENSG00000213281/ENSG00000126215/ENSG00000141068/ENSG00000116761/ENSG00000185825/ENSG00000072803/ENSG00000121060/ENSG00000109919/ENSG00000172936/ENSG00000160691/ENSG00000184500/ENSG00000213341/ENSG00000142867/ENSG00000163874/ENSG00000106799/ENSG00000120896/ENSG00000204217/ENSG00000147649/ENSG00000163220/ENSG00000125735/ENSG00000085449/ENSG00000158186/ENSG00000107779/ENSG00000137752/ENSG00000213024/ENSG00000215301/ENSG00000125686/ENSG00000101558/ENSG00000198909/ENSG00000163823/ENSG00000135655/ENSG00000147133
GOBP_ENDOTHELIAL_CELL_MIGRATION	91	0.598143065194573	2.72248278070638	2.63470770621039e-14	1.65248867333516e-11	1.26687840020727e-11	1358	tags=58%, list=23%, signal=46%	ENSG00000213853/ENSG00000100345/ENSG00000164867/ENSG00000142627/ENSG00000168874/ENSG00000138772/ENSG00000261371/ENSG00000196411/ENSG00000179776/ENSG00000034152/ENSG00000073756/ENSG00000169242/ENSG00000116717/ENSG00000163638/ENSG00000112715/ENSG00000173269/ENSG00000139567/ENSG00000163993/ENSG00000100644/ENSG00000089159/ENSG00000179218/ENSG00000134954/ENSG00000163221/ENSG00000198561/ENSG00000143546/ENSG00000185043/ENSG00000184489/ENSG00000138061/ENSG00000166068/ENSG00000137801/ENSG00000105287/ENSG00000239697/ENSG00000172270/ENSG00000078401/ENSG00000126561/ENSG00000135821/ENSG00000061273/ENSG00000100266/ENSG00000067066/ENSG00000163874/ENSG00000115415/ENSG00000106799/ENSG00000163220/ENSG00000128917/ENSG00000183943/ENSG00000104522/ENSG00000196712/ENSG00000148346/ENSG00000117461/ENSG00000126458/ENSG00000103966/ENSG00000153989/ENSG00000179348
