setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_IMMUNE_EFFECTOR_PROCESS	395	0.470275957885911	2.54011776869676	7.65024063713377e-27	6.43997256833921e-23	5.41798094806695e-23	1951	tags=38%, list=19%, signal=32%	ENSG00000203747/ENSG00000125730/ENSG00000143226/ENSG00000173372/ENSG00000173369/ENSG00000158869/ENSG00000155659/ENSG00000159189/ENSG00000204287/ENSG00000242574/ENSG00000139178/ENSG00000010671/ENSG00000123338/ENSG00000167851/ENSG00000081237/ENSG00000136167/ENSG00000196126/ENSG00000129465/ENSG00000018280/ENSG00000128604/ENSG00000172243/ENSG00000104894/ENSG00000134352/ENSG00000095970/ENSG00000109861/ENSG00000019582/ENSG00000282608/ENSG00000162511/ENSG00000100368/ENSG00000127951/ENSG00000066336/ENSG00000135077/ENSG00000175857/ENSG00000182326/ENSG00000122122/ENSG00000164342/ENSG00000015285/ENSG00000086730/ENSG00000205403/ENSG00000186818/ENSG00000141480/ENSG00000103490/ENSG00000066294/ENSG00000104972/ENSG00000111679/ENSG00000108561/ENSG00000224389/ENSG00000133789/ENSG00000169896/ENSG00000204936/ENSG00000165732/ENSG00000188820/ENSG00000101336/ENSG00000197471/ENSG00000150782/ENSG00000110395/ENSG00000165025/ENSG00000140030/ENSG00000271605/ENSG00000211896/ENSG00000163251/ENSG00000172216/ENSG00000170542/ENSG00000000971/ENSG00000182985/ENSG00000171777/ENSG00000158517/ENSG00000077420/ENSG00000167193/ENSG00000092969/ENSG00000128340/ENSG00000128590/ENSG00000126264/ENSG00000131724/ENSG00000137628/ENSG00000088888/ENSG00000133246/ENSG00000211893/ENSG00000167085/ENSG00000134061/ENSG00000172936/ENSG00000118640/ENSG00000112936/ENSG00000161217/ENSG00000150337/ENSG00000168329/ENSG00000159403/ENSG00000114013/ENSG00000198001/ENSG00000127507/ENSG00000163220/ENSG00000110719/ENSG00000211959/ENSG00000211592/ENSG00000005844/ENSG00000211892/ENSG00000140968/ENSG00000092929/ENSG00000169508/ENSG00000168918/ENSG00000123609/ENSG00000147168/ENSG00000104320/ENSG00000149131/ENSG00000158714/ENSG00000204267/ENSG00000090376/ENSG00000166507/ENSG00000166710/ENSG00000168610/ENSG00000028137/ENSG00000160862/ENSG00000105639/ENSG00000157500/ENSG00000132356/ENSG00000197766/ENSG00000158473/ENSG00000187796/ENSG00000185896/ENSG00000110848/ENSG00000115594/ENSG00000243649/ENSG00000111801/ENSG00000211965/ENSG00000136286/ENSG00000153879/ENSG00000168961/ENSG00000104312/ENSG00000211897/ENSG00000064932/ENSG00000068079/ENSG00000174405/ENSG00000126804/ENSG00000100448/ENSG00000188229/ENSG00000115604/ENSG00000079950/ENSG00000176105/ENSG00000126262/ENSG00000124333/ENSG00000010704/ENSG00000211677/ENSG00000116062/ENSG00000141968/ENSG00000104998/ENSG00000162747/ENSG00000145868/ENSG00000071127/ENSG00000073008/ENSG00000253251/ENSG00000008438/ENSG00000100219
GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	456	0.439052638757623	2.41425239222633	3.83041481171258e-24	1.61222159424983e-20	1.35637004490538e-20	1920	tags=36%, list=19%, signal=31%	ENSG00000125730/ENSG00000173372/ENSG00000173369/ENSG00000171860/ENSG00000158869/ENSG00000155659/ENSG00000159189/ENSG00000137462/ENSG00000204287/ENSG00000231389/ENSG00000204252/ENSG00000196735/ENSG00000242574/ENSG00000139178/ENSG00000010671/ENSG00000179344/ENSG00000174125/ENSG00000123338/ENSG00000167851/ENSG00000081237/ENSG00000196126/ENSG00000018280/ENSG00000223865/ENSG00000128604/ENSG00000204257/ENSG00000174130/ENSG00000172243/ENSG00000134352/ENSG00000163131/ENSG00000095970/ENSG00000019582/ENSG00000197111/ENSG00000113712/ENSG00000162511/ENSG00000135829/ENSG00000066336/ENSG00000135077/ENSG00000182326/ENSG00000122122/ENSG00000051523/ENSG00000164342/ENSG00000170458/ENSG00000168495/ENSG00000086730/ENSG00000205403/ENSG00000186818/ENSG00000141480/ENSG00000103490/ENSG00000104972/ENSG00000111679/ENSG00000108561/ENSG00000224389/ENSG00000169896/ENSG00000204936/ENSG00000082074/ENSG00000101336/ENSG00000196664/ENSG00000150782/ENSG00000110395/ENSG00000165025/ENSG00000140030/ENSG00000211896/ENSG00000163251/ENSG00000000971/ENSG00000182985/ENSG00000243414/ENSG00000171777/ENSG00000125686/ENSG00000092969/ENSG00000174123/ENSG00000110330/ENSG00000137628/ENSG00000137752/ENSG00000088888/ENSG00000099942/ENSG00000133246/ENSG00000211893/ENSG00000167085/ENSG00000177425/ENSG00000166598/ENSG00000130775/ENSG00000163563/ENSG00000184216/ENSG00000055332/ENSG00000172936/ENSG00000112936/ENSG00000136051/ENSG00000150337/ENSG00000159403/ENSG00000187554/ENSG00000114013/ENSG00000198001/ENSG00000120690/ENSG00000205213/ENSG00000163220/ENSG00000180370/ENSG00000211592/ENSG00000211892/ENSG00000168918/ENSG00000123609/ENSG00000155629/ENSG00000105483/ENSG00000149131/ENSG00000247315/ENSG00000172578/ENSG00000143546/ENSG00000102760/ENSG00000121879/ENSG00000065150/ENSG00000179295/ENSG00000117280/ENSG00000154124/ENSG00000204267/ENSG00000117228/ENSG00000198502/ENSG00000090376/ENSG00000166710/ENSG00000105939/ENSG00000134830/ENSG00000160862/ENSG00000110446/ENSG00000140853/ENSG00000171791/ENSG00000157500/ENSG00000132356/ENSG00000197766/ENSG00000158473/ENSG00000163565/ENSG00000187796/ENSG00000185896/ENSG00000163406/ENSG00000112763/ENSG00000115594/ENSG00000243649/ENSG00000111801/ENSG00000136286/ENSG00000168961/ENSG00000104312/ENSG00000211897/ENSG00000068079/ENSG00000126804/ENSG00000100448/ENSG00000109971/ENSG00000115604/ENSG00000079950/ENSG00000176105/ENSG00000085449/ENSG00000126262/ENSG00000055917/ENSG00000161011/ENSG00000188313/ENSG00000121933/ENSG00000141569/ENSG00000164047/ENSG00000141968/ENSG00000104998/ENSG00000138496/ENSG00000116560/ENSG00000145868/ENSG00000101966/ENSG00000171051/ENSG00000154451/ENSG00000073008/ENSG00000126581/ENSG00000253251
GOBP_ADAPTIVE_IMMUNE_RESPONSE	306	0.485343819674437	2.56079464471438	1.71040231135408e-22	4.79938888565956e-19	4.03774973711939e-19	1922	tags=39%, list=19%, signal=33%	ENSG00000203747/ENSG00000125730/ENSG00000131042/ENSG00000244482/ENSG00000143226/ENSG00000173372/ENSG00000173369/ENSG00000158869/ENSG00000159189/ENSG00000142512/ENSG00000204287/ENSG00000231389/ENSG00000204252/ENSG00000196735/ENSG00000242574/ENSG00000139178/ENSG00000010671/ENSG00000104974/ENSG00000179344/ENSG00000123338/ENSG00000081237/ENSG00000196126/ENSG00000129465/ENSG00000018280/ENSG00000223865/ENSG00000204257/ENSG00000172243/ENSG00000134352/ENSG00000163131/ENSG00000095970/ENSG00000109861/ENSG00000019582/ENSG00000167613/ENSG00000100368/ENSG00000135077/ENSG00000182326/ENSG00000122122/ENSG00000015285/ENSG00000204577/ENSG00000086730/ENSG00000205403/ENSG00000186818/ENSG00000103490/ENSG00000066294/ENSG00000104972/ENSG00000111679/ENSG00000108561/ENSG00000224389/ENSG00000133789/ENSG00000197471/ENSG00000150782/ENSG00000165025/ENSG00000211896/ENSG00000163251/ENSG00000182985/ENSG00000105246/ENSG00000109906/ENSG00000211653/ENSG00000211893/ENSG00000167085/ENSG00000197629/ENSG00000172936/ENSG00000112936/ENSG00000161217/ENSG00000150337/ENSG00000168329/ENSG00000159403/ENSG00000114013/ENSG00000240864/ENSG00000167004/ENSG00000110719/ENSG00000211959/ENSG00000211592/ENSG00000211892/ENSG00000092929/ENSG00000169508/ENSG00000168918/ENSG00000147168/ENSG00000211598/ENSG00000104320/ENSG00000137078/ENSG00000172578/ENSG00000204267/ENSG00000198502/ENSG00000166710/ENSG00000168610/ENSG00000028137/ENSG00000136279/ENSG00000160862/ENSG00000105639/ENSG00000137496/ENSG00000132356/ENSG00000158473/ENSG00000187796/ENSG00000110848/ENSG00000115594/ENSG00000111801/ENSG00000211965/ENSG00000136286/ENSG00000168961/ENSG00000115602/ENSG00000104312/ENSG00000211897/ENSG00000174405/ENSG00000126804/ENSG00000115604/ENSG00000079950/ENSG00000244437/ENSG00000211662/ENSG00000010704/ENSG00000211677/ENSG00000211666/ENSG00000116062/ENSG00000104998/ENSG00000213445/ENSG00000162747/ENSG00000145868/ENSG00000073008/ENSG00000253251/ENSG00000096968
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	252	0.508839600411328	2.62323783716332	3.47809724927842e-21	6.53557737834053e-18	5.49841375016882e-18	1920	tags=43%, list=19%, signal=36%	ENSG00000203747/ENSG00000125730/ENSG00000143226/ENSG00000173372/ENSG00000173369/ENSG00000158869/ENSG00000159189/ENSG00000204287/ENSG00000139178/ENSG00000010671/ENSG00000123338/ENSG00000167851/ENSG00000081237/ENSG00000196126/ENSG00000129465/ENSG00000172243/ENSG00000095970/ENSG00000109861/ENSG00000019582/ENSG00000282608/ENSG00000100368/ENSG00000066336/ENSG00000135077/ENSG00000182326/ENSG00000122122/ENSG00000164342/ENSG00000015285/ENSG00000086730/ENSG00000205403/ENSG00000186818/ENSG00000141480/ENSG00000066294/ENSG00000104972/ENSG00000111679/ENSG00000108561/ENSG00000224389/ENSG00000133789/ENSG00000169896/ENSG00000204936/ENSG00000165732/ENSG00000188820/ENSG00000197471/ENSG00000150782/ENSG00000110395/ENSG00000165025/ENSG00000271605/ENSG00000211896/ENSG00000163251/ENSG00000170542/ENSG00000182985/ENSG00000171777/ENSG00000158517/ENSG00000167193/ENSG00000128340/ENSG00000126264/ENSG00000088888/ENSG00000133246/ENSG00000211893/ENSG00000172936/ENSG00000118640/ENSG00000112936/ENSG00000161217/ENSG00000150337/ENSG00000168329/ENSG00000159403/ENSG00000198001/ENSG00000127507/ENSG00000110719/ENSG00000211959/ENSG00000211592/ENSG00000211892/ENSG00000092929/ENSG00000168918/ENSG00000147168/ENSG00000104320/ENSG00000204267/ENSG00000166507/ENSG00000166710/ENSG00000028137/ENSG00000160862/ENSG00000105639/ENSG00000132356/ENSG00000158473/ENSG00000187796/ENSG00000185896/ENSG00000115594/ENSG00000111801/ENSG00000211965/ENSG00000136286/ENSG00000153879/ENSG00000168961/ENSG00000211897/ENSG00000174405/ENSG00000126804/ENSG00000100448/ENSG00000188229/ENSG00000115604/ENSG00000079950/ENSG00000124333/ENSG00000010704/ENSG00000211677/ENSG00000116062/ENSG00000141968/ENSG00000104998/ENSG00000162747/ENSG00000145868/ENSG00000071127/ENSG00000073008/ENSG00000253251
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	240	0.511647219155115	2.62265645573004	3.88190625940872e-21	6.53557737834053e-18	5.49841375016882e-18	2080	tags=41%, list=20%, signal=34%	ENSG00000131042/ENSG00000204472/ENSG00000155659/ENSG00000204287/ENSG00000231389/ENSG00000204252/ENSG00000196735/ENSG00000242574/ENSG00000188404/ENSG00000179344/ENSG00000123338/ENSG00000167851/ENSG00000081237/ENSG00000196126/ENSG00000223865/ENSG00000140678/ENSG00000204257/ENSG00000134352/ENSG00000012779/ENSG00000019582/ENSG00000162511/ENSG00000127951/ENSG00000135077/ENSG00000122122/ENSG00000163154/ENSG00000105122/ENSG00000186818/ENSG00000103490/ENSG00000104972/ENSG00000111679/ENSG00000169896/ENSG00000204936/ENSG00000026508/ENSG00000197471/ENSG00000150782/ENSG00000136518/ENSG00000110395/ENSG00000165025/ENSG00000140030/ENSG00000067955/ENSG00000172216/ENSG00000105246/ENSG00000128340/ENSG00000125735/ENSG00000109906/ENSG00000108946/ENSG00000115457/ENSG00000177425/ENSG00000173391/ENSG00000196371/ENSG00000184216/ENSG00000168329/ENSG00000114013/ENSG00000149781/ENSG00000163220/ENSG00000005844/ENSG00000110876/ENSG00000164889/ENSG00000147168/ENSG00000107738/ENSG00000067560/ENSG00000143546/ENSG00000179295/ENSG00000168283/ENSG00000198502/ENSG00000166710/ENSG00000073584/ENSG00000105639/ENSG00000171236/ENSG00000147065/ENSG00000132356/ENSG00000107968/ENSG00000158473/ENSG00000110848/ENSG00000167664/ENSG00000186951/ENSG00000143772/ENSG00000168961/ENSG00000104312/ENSG00000126804/ENSG00000100448/ENSG00000090776/ENSG00000176105/ENSG00000117713/ENSG00000108175/ENSG00000010704/ENSG00000170677/ENSG00000105397/ENSG00000141968/ENSG00000151208/ENSG00000145868/ENSG00000096968/ENSG00000100219/ENSG00000180900/ENSG00000132842/ENSG00000119927/ENSG00000112679/ENSG00000108861/ENSG00000100097
GOBP_RESPONSE_TO_BACTERIUM	358	0.443298942857444	2.38030982502849	6.17280495573107e-20	8.6604453528907e-17	7.28607574423836e-17	1974	tags=38%, list=19%, signal=32%	ENSG00000125730/ENSG00000131042/ENSG00000129226/ENSG00000277224/ENSG00000158869/ENSG00000137462/ENSG00000273703/ENSG00000010671/ENSG00000174125/ENSG00000169385/ENSG00000196126/ENSG00000018280/ENSG00000128604/ENSG00000124635/ENSG00000174130/ENSG00000095970/ENSG00000010327/ENSG00000100368/ENSG00000066336/ENSG00000135077/ENSG00000169397/ENSG00000051523/ENSG00000100380/ENSG00000274641/ENSG00000142166/ENSG00000164342/ENSG00000170458/ENSG00000169413/ENSG00000160791/ENSG00000103490/ENSG00000104972/ENSG00000111679/ENSG00000224389/ENSG00000055208/ENSG00000169896/ENSG00000096060/ENSG00000101336/ENSG00000197471/ENSG00000150782/ENSG00000165025/ENSG00000211896/ENSG00000109606/ENSG00000086065/ENSG00000163251/ENSG00000131871/ENSG00000172216/ENSG00000134371/ENSG00000105697/ENSG00000243414/ENSG00000171777/ENSG00000158517/ENSG00000174123/ENSG00000180596/ENSG00000273802/ENSG00000114698/ENSG00000137752/ENSG00000165806/ENSG00000187922/ENSG00000088888/ENSG00000112799/ENSG00000211893/ENSG00000184678/ENSG00000134061/ENSG00000197629/ENSG00000184216/ENSG00000172936/ENSG00000258818/ENSG00000150337/ENSG00000168329/ENSG00000114013/ENSG00000198001/ENSG00000165029/ENSG00000158373/ENSG00000163221/ENSG00000204397/ENSG00000163220/ENSG00000177733/ENSG00000211892/ENSG00000140968/ENSG00000156482/ENSG00000105483/ENSG00000067560/ENSG00000169403/ENSG00000172578/ENSG00000158714/ENSG00000143546/ENSG00000198730/ENSG00000179295/ENSG00000117280/ENSG00000204267/ENSG00000117228/ENSG00000090376/ENSG00000166710/ENSG00000100300/ENSG00000028137/ENSG00000176171/ENSG00000140853/ENSG00000171236/ENSG00000137496/ENSG00000240583/ENSG00000100985/ENSG00000162909/ENSG00000197766/ENSG00000160013/ENSG00000101639/ENSG00000158473/ENSG00000121897/ENSG00000187796/ENSG00000163406/ENSG00000243649/ENSG00000168961/ENSG00000104312/ENSG00000211897/ENSG00000064932/ENSG00000100448/ENSG00000115604/ENSG00000112335/ENSG00000137834/ENSG00000148346/ENSG00000090104/ENSG00000067182/ENSG00000164867/ENSG00000161643/ENSG00000164047/ENSG00000196954/ENSG00000104998/ENSG00000163735/ENSG00000134326/ENSG00000100504/ENSG00000163638/ENSG00000101966/ENSG00000154451/ENSG00000096968/ENSG00000189067/ENSG00000008438/ENSG00000100219/ENSG00000197903
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY	186	0.538980352225374	2.69266975010646	2.23557194349636e-19	2.68843494576462e-16	2.26179368960053e-16	1920	tags=45%, list=19%, signal=37%	ENSG00000203747/ENSG00000125730/ENSG00000143226/ENSG00000173372/ENSG00000173369/ENSG00000158869/ENSG00000159189/ENSG00000204287/ENSG00000139178/ENSG00000010671/ENSG00000123338/ENSG00000081237/ENSG00000196126/ENSG00000129465/ENSG00000095970/ENSG00000109861/ENSG00000019582/ENSG00000100368/ENSG00000135077/ENSG00000182326/ENSG00000122122/ENSG00000015285/ENSG00000205403/ENSG00000186818/ENSG00000141480/ENSG00000104972/ENSG00000111679/ENSG00000108561/ENSG00000224389/ENSG00000133789/ENSG00000188820/ENSG00000197471/ENSG00000150782/ENSG00000211896/ENSG00000163251/ENSG00000170542/ENSG00000182985/ENSG00000171777/ENSG00000167193/ENSG00000126264/ENSG00000211893/ENSG00000172936/ENSG00000112936/ENSG00000161217/ENSG00000150337/ENSG00000159403/ENSG00000110719/ENSG00000211959/ENSG00000211592/ENSG00000211892/ENSG00000092929/ENSG00000168918/ENSG00000147168/ENSG00000104320/ENSG00000204267/ENSG00000166710/ENSG00000028137/ENSG00000160862/ENSG00000132356/ENSG00000158473/ENSG00000187796/ENSG00000185896/ENSG00000115594/ENSG00000111801/ENSG00000211965/ENSG00000136286/ENSG00000153879/ENSG00000168961/ENSG00000211897/ENSG00000174405/ENSG00000126804/ENSG00000188229/ENSG00000115604/ENSG00000079950/ENSG00000124333/ENSG00000010704/ENSG00000211677/ENSG00000116062/ENSG00000141968/ENSG00000104998/ENSG00000162747/ENSG00000145868/ENSG00000073008/ENSG00000253251
GOBP_CYTOKINE_PRODUCTION	466	0.399661531835524	2.20233891783403	8.958446594773e-18	9.42652542934989e-15	7.9305827223201e-15	1955	tags=33%, list=19%, signal=28%	ENSG00000203747/ENSG00000165168/ENSG00000125730/ENSG00000131042/ENSG00000204472/ENSG00000143226/ENSG00000171860/ENSG00000158869/ENSG00000187116/ENSG00000155659/ENSG00000105383/ENSG00000137462/ENSG00000231389/ENSG00000184988/ENSG00000010671/ENSG00000174125/ENSG00000123338/ENSG00000081237/ENSG00000196126/ENSG00000129465/ENSG00000018280/ENSG00000223865/ENSG00000128604/ENSG00000174130/ENSG00000172243/ENSG00000134352/ENSG00000170348/ENSG00000012779/ENSG00000095970/ENSG00000019582/ENSG00000162511/ENSG00000135829/ENSG00000135077/ENSG00000122122/ENSG00000051523/ENSG00000164342/ENSG00000170458/ENSG00000168495/ENSG00000116815/ENSG00000186818/ENSG00000141480/ENSG00000103490/ENSG00000066294/ENSG00000104972/ENSG00000111679/ENSG00000108561/ENSG00000182578/ENSG00000145907/ENSG00000165732/ENSG00000188820/ENSG00000196664/ENSG00000197471/ENSG00000150782/ENSG00000165025/ENSG00000140030/ENSG00000163251/ENSG00000131871/ENSG00000172216/ENSG00000135245/ENSG00000182985/ENSG00000243414/ENSG00000108021/ENSG00000213654/ENSG00000112531/ENSG00000092969/ENSG00000105246/ENSG00000125735/ENSG00000137752/ENSG00000102871/ENSG00000088888/ENSG00000167085/ENSG00000184216/ENSG00000055332/ENSG00000172936/ENSG00000166428/ENSG00000150337/ENSG00000168329/ENSG00000187554/ENSG00000114013/ENSG00000120690/ENSG00000177485/ENSG00000205213/ENSG00000204397/ENSG00000177125/ENSG00000163884/ENSG00000213694/ENSG00000140968/ENSG00000132530/ENSG00000168918/ENSG00000123609/ENSG00000137642/ENSG00000105483/ENSG00000143222/ENSG00000107738/ENSG00000089775/ENSG00000122862/ENSG00000247315/ENSG00000102760/ENSG00000162924/ENSG00000179295/ENSG00000117228/ENSG00000177628/ENSG00000197496/ENSG00000090376/ENSG00000166710/ENSG00000168610/ENSG00000105939/ENSG00000100300/ENSG00000028137/ENSG00000134830/ENSG00000105639/ENSG00000108187/ENSG00000162909/ENSG00000157500/ENSG00000137486/ENSG00000163565/ENSG00000213088/ENSG00000187796/ENSG00000112763/ENSG00000167664/ENSG00000115594/ENSG00000117525/ENSG00000186951/ENSG00000197992/ENSG00000111801/ENSG00000077238/ENSG00000153879/ENSG00000168961/ENSG00000115602/ENSG00000104312/ENSG00000112343/ENSG00000126804/ENSG00000115415/ENSG00000115604/ENSG00000027697/ENSG00000126262/ENSG00000010704/ENSG00000161643/ENSG00000141569/ENSG00000164047/ENSG00000019549/ENSG00000124198/ENSG00000022556/ENSG00000104998/ENSG00000134248/ENSG00000104341/ENSG00000101966/ENSG00000154451/ENSG00000021355/ENSG00000096968/ENSG00000189067/ENSG00000008438/ENSG00000100219/ENSG00000180900/ENSG00000025800
GOBP_T_CELL_ACTIVATION	328	0.438481849597541	2.3347257483715	1.0225043454131e-17	9.56382397743052e-15	8.04609267361326e-15	2102	tags=36%, list=20%, signal=30%	ENSG00000131042/ENSG00000204472/ENSG00000158869/ENSG00000155659/ENSG00000204287/ENSG00000231389/ENSG00000204252/ENSG00000196735/ENSG00000242574/ENSG00000169230/ENSG00000179344/ENSG00000123338/ENSG00000167851/ENSG00000081237/ENSG00000136167/ENSG00000196126/ENSG00000129465/ENSG00000018280/ENSG00000223865/ENSG00000204257/ENSG00000172243/ENSG00000134352/ENSG00000095970/ENSG00000019582/ENSG00000162511/ENSG00000127951/ENSG00000066336/ENSG00000135077/ENSG00000198876/ENSG00000122122/ENSG00000015285/ENSG00000163154/ENSG00000105122/ENSG00000186818/ENSG00000103490/ENSG00000066294/ENSG00000104972/ENSG00000111679/ENSG00000026508/ENSG00000197471/ENSG00000150782/ENSG00000136518/ENSG00000110395/ENSG00000165025/ENSG00000140030/ENSG00000067955/ENSG00000163251/ENSG00000172216/ENSG00000182985/ENSG00000077420/ENSG00000105246/ENSG00000128340/ENSG00000125735/ENSG00000109906/ENSG00000108946/ENSG00000115457/ENSG00000244038/ENSG00000177425/ENSG00000114013/ENSG00000110719/ENSG00000005844/ENSG00000164889/ENSG00000169508/ENSG00000147168/ENSG00000107738/ENSG00000067560/ENSG00000137078/ENSG00000116044/ENSG00000124126/ENSG00000179295/ENSG00000117280/ENSG00000168283/ENSG00000139842/ENSG00000177628/ENSG00000198502/ENSG00000166710/ENSG00000168610/ENSG00000168036/ENSG00000073584/ENSG00000028137/ENSG00000105639/ENSG00000171791/ENSG00000147065/ENSG00000132356/ENSG00000107968/ENSG00000158473/ENSG00000110848/ENSG00000167664/ENSG00000143772/ENSG00000168961/ENSG00000104312/ENSG00000174405/ENSG00000126804/ENSG00000100448/ENSG00000115604/ENSG00000090776/ENSG00000176105/ENSG00000117713/ENSG00000108175/ENSG00000010704/ENSG00000170677/ENSG00000105397/ENSG00000141968/ENSG00000185650/ENSG00000148180/ENSG00000151208/ENSG00000204103/ENSG00000145868/ENSG00000096968/ENSG00000100219/ENSG00000180900/ENSG00000100485/ENSG00000132842/ENSG00000119927/ENSG00000112679/ENSG00000108861/ENSG00000100097/ENSG00000162736
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	335	0.431807583802372	2.30826835128466	2.03090116408667e-17	1.61013676691374e-14	1.35461606929958e-14	1916	tags=36%, list=19%, signal=30%	ENSG00000203747/ENSG00000125730/ENSG00000131042/ENSG00000244482/ENSG00000143226/ENSG00000171860/ENSG00000158869/ENSG00000187116/ENSG00000105383/ENSG00000137462/ENSG00000010671/ENSG00000104974/ENSG00000179344/ENSG00000174125/ENSG00000123338/ENSG00000167851/ENSG00000081237/ENSG00000196126/ENSG00000223865/ENSG00000128604/ENSG00000174130/ENSG00000172243/ENSG00000163131/ENSG00000095970/ENSG00000197111/ENSG00000113712/ENSG00000167613/ENSG00000162511/ENSG00000135077/ENSG00000051523/ENSG00000164342/ENSG00000170458/ENSG00000204577/ENSG00000086730/ENSG00000186818/ENSG00000141480/ENSG00000103490/ENSG00000104972/ENSG00000111679/ENSG00000108561/ENSG00000169896/ENSG00000082074/ENSG00000101336/ENSG00000196664/ENSG00000110395/ENSG00000165025/ENSG00000211896/ENSG00000243414/ENSG00000174123/ENSG00000110330/ENSG00000137628/ENSG00000137752/ENSG00000088888/ENSG00000099942/ENSG00000133246/ENSG00000211893/ENSG00000167085/ENSG00000177425/ENSG00000166598/ENSG00000130775/ENSG00000163563/ENSG00000184216/ENSG00000055332/ENSG00000172936/ENSG00000136051/ENSG00000150337/ENSG00000187554/ENSG00000114013/ENSG00000198001/ENSG00000120690/ENSG00000205213/ENSG00000163220/ENSG00000180370/ENSG00000211592/ENSG00000211892/ENSG00000168918/ENSG00000123609/ENSG00000155629/ENSG00000105483/ENSG00000247315/ENSG00000172578/ENSG00000143546/ENSG00000102760/ENSG00000121879/ENSG00000065150/ENSG00000179295/ENSG00000117280/ENSG00000154124/ENSG00000117228/ENSG00000090376/ENSG00000105939/ENSG00000134830/ENSG00000110446/ENSG00000171791/ENSG00000157500/ENSG00000163565/ENSG00000163406/ENSG00000112763/ENSG00000111801/ENSG00000136286/ENSG00000168961/ENSG00000104312/ENSG00000211897/ENSG00000068079/ENSG00000109971/ENSG00000176105/ENSG00000085449/ENSG00000126262/ENSG00000055917/ENSG00000161011/ENSG00000188313/ENSG00000121933/ENSG00000141569/ENSG00000141968/ENSG00000095015/ENSG00000162747/ENSG00000101966/ENSG00000171051/ENSG00000154451/ENSG00000126581
