	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000154957	ZNF18	-0.0894115162700573	-0.0360457906034099	-4.03567025669779	6.70678259277062e-05	0.531083749717853	1.41628617945806	zinc finger protein 18
ENSG00000254442	NA	-0.130398337052578	0.00944711898130825	-3.5391421629831	0.000456298657610801	0.531083749717853	-0.20475088922233	NA
ENSG00000174652	ZNF266	-0.166533284672813	-0.0623134717004842	-3.46586847841571	0.000595080689089285	0.531083749717853	-0.427432338083646	zinc finger protein 266
ENSG00000253729	PRKDC	0.0922998684242309	-0.0155229878754739	3.45409135642607	0.000620767891575667	0.531083749717853	-0.462821337518431	protein kinase, DNA-activated, catalytic subunit
ENSG00000221953	LINC02897	-0.18734642247601	0.0135147145523827	-3.41758848813984	0.00070711972488681	0.531083749717853	-0.571799180080236	long intergenic non-protein coding RNA 2897
ENSG00000243759	ST13P15	0.191334870034137	0.0316587218190015	3.40291766000802	0.000744884760512832	0.531083749717853	-0.615295729297759	ST13, Hsp70 interacting protein pseudogene 15
ENSG00000140632	GLYR1	0.0626258074459306	-0.0125296920088218	3.36055050236961	0.000864770548634156	0.531083749717853	-0.739931220395287	glyoxylate reductase 1 homolog
ENSG00000198900	TOP1	0.0504386745931319	0.000221874798650301	3.35008610288988	0.000897031438791509	0.531083749717853	-0.770491717371184	DNA topoisomerase I
ENSG00000147166	ITGB1BP2	-0.155200269638359	-0.0396413993860675	-3.31309068334612	0.00102028573447148	0.531083749717853	-0.87782251629545	integrin subunit beta 1 binding protein 2
ENSG00000100288	CHKB	-0.0946370562290705	-0.00474082979265136	-3.31240129092127	0.0010227252572919	0.531083749717853	-0.879812036422348	choline kinase beta
ENSG00000187116	LILRA5	0.173504451203411	-0.0105209590572253	3.30343407458102	0.00105495503864036	0.531083749717853	-0.90565539548952	leukocyte immunoglobulin like receptor A5
ENSG00000174365	SNHG11	-0.066495575883068	-0.0160509958141283	-3.22897321445022	0.00136139564312156	0.531083749717853	-1.1177232250932	small nucleolar RNA host gene 11
ENSG00000257086	NA	-0.0679864301025059	-0.00266869225896023	-3.22778629034507	0.00136688895493859	0.531083749717853	-1.12106704795561	NA
ENSG00000225663	MCRIP1	-0.0722475412278344	0.0013953852216375	-3.22271199899261	0.00139060607274391	0.531083749717853	-1.13534945953188	MAPK regulated corepressor interacting protein 1
ENSG00000101347	SAMHD1	0.113747041815473	0.0143459703316002	3.1974304211846	0.00151455470696845	0.531083749717853	-1.20619507314342	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
ENSG00000141086	CTRL	-0.147044050213718	-0.00704971591528972	-3.19697291912516	0.00151688906829454	0.531083749717853	-1.20747230108888	chymotrypsin like
ENSG00000285533	RELA-DT	-0.101243806335753	0.00300327061872013	-3.19402568577153	0.00153200701713888	0.531083749717853	-1.2156961140857	RELA divergent transcript
ENSG00000228727	SAPCD1	-0.130339548426763	-0.041182346728221	-3.18805678728775	0.00156305258527592	0.531083749717853	-1.23232966254473	suppressor APC domain containing 1
ENSG00000259262	NDUFA3P4	-0.171445588859779	0.00722340875439563	-3.12081269205141	0.00195534244830286	0.531083749717853	-1.41770219357742	NADH:ubiquinone oxidoreductase subunit A3 pseudogene 4
ENSG00000100084	HIRA	-0.0551720547300512	-0.00142975289570183	-3.11349819613239	0.00200309047415218	0.531083749717853	-1.43764237249815	histone cell cycle regulator
ENSG00000163291	PAQR3	0.0699339137038638	0.00186669183912486	3.0984428553043	0.00210476984751092	0.531083749717853	-1.4785465711726	progestin and adipoQ receptor family member 3
ENSG00000204186	ZDBF2	0.125887440186434	0.0283838431226008	3.092348158435	0.00214726714215088	0.531083749717853	-1.49505237616365	zinc finger DBF-type containing 2
ENSG00000249934	NA	0.0753330174804959	-0.0139134114565596	3.08971540978303	0.00216586807932344	0.531083749717853	-1.5021729949423	NA
ENSG00000143344	RGL1	0.0769003635155505	-0.00408266450502059	3.07382006678249	0.00228135986130081	0.531083749717853	-1.54504282045472	ral guanine nucleotide dissociation stimulator like 1
ENSG00000267199	NA	-0.0945697726882655	-0.00656738061798799	-3.05041772937118	0.00246173396052376	0.531083749717853	-1.60778013767398	NA
ENSG00000103227	LMF1	-0.0581161847327346	0.00106077665968042	-3.04281005921333	0.00252313566258233	0.531083749717853	-1.6280775985021	lipase maturation factor 1
ENSG00000122644	ARL4A	0.16605497007937	0.0109552887683069	3.03526335386147	0.00258543252355067	0.531083749717853	-1.64816520490386	ARF like GTPase 4A
ENSG00000224204	NA	-0.0647358052691421	-0.0201897871528509	-3.02044399160485	0.00271189261686889	0.531083749717853	-1.68747409411028	NA
ENSG00000223705	NSUN5P1	-0.125370476757694	-0.0271369262941542	-3.00845605411332	0.00281831704538438	0.531083749717853	-1.71913973583543	NSUN5 pseudogene 1
ENSG00000184163	C1QTNF12	-0.0808405839163956	-0.000244803152115038	-3.00170196905968	0.0028799510641855	0.531083749717853	-1.73692803217202	C1q and TNF related 12
ENSG00000125968	ID1	-0.279447148837649	-0.0151818909912839	-2.9956791494532	0.00293595171538544	0.531083749717853	-1.75275855438881	inhibitor of DNA binding 1
ENSG00000148187	MRRF	-0.0319555818836312	-0.0137012708733319	-2.99447722976143	0.00294724602479154	0.531083749717853	-1.75591411554617	mitochondrial ribosome recycling factor
ENSG00000176101	SSNA1	-0.0586882110794003	-0.00865458395466755	-2.99358602346641	0.00295564628799024	0.531083749717853	-1.7582531471033	SS nuclear autoantigen 1
ENSG00000111684	LPCAT3	0.0506026138027164	0.00692043440779836	2.98425236437286	0.00304495043333779	0.531083749717853	-1.78271046593976	lysophosphatidylcholine acyltransferase 3
ENSG00000203737	GPR52	0.281123309451328	0.0549573790856656	2.98280018988517	0.00305906490874013	0.531083749717853	-1.78650916545038	G protein-coupled receptor 52
ENSG00000273059	NA	-0.46076048681573	-0.0435382511943107	-2.97834053169577	0.00310278619499613	0.531083749717853	-1.79816413200612	NA
ENSG00000239704	CDRT4	-0.0713950061813907	-0.019138170419653	-2.97548079455752	0.00313112262566853	0.531083749717853	-1.80562916022982	CMT1A duplicated region transcript 4
ENSG00000288996	NA	-0.107015255762381	-0.0455528972017607	-2.96892789686214	0.00319694937119145	0.531083749717853	-1.8227092207047	NA
ENSG00000244462	RBM12	0.10933679712248	0.0125335557865672	2.9663096179839	0.0032236034771166	0.531083749717853	-1.82952378625747	RNA binding motif protein 12
ENSG00000279331	RBM12B-AS1	0.152129322091729	0.0148267048585763	2.96473124454161	0.00323976943077125	0.531083749717853	-1.83362905575313	RBM12B antisense RNA 1
ENSG00000109063	MYH3	-0.111089807635193	-0.0500792443761005	-2.95272294871991	0.00336521045750588	0.531083749717853	-1.86479437712931	myosin heavy chain 3
ENSG00000188779	SKOR1	-0.113433681910211	-0.00465036973637114	-2.95103973276814	0.00338314431377237	0.531083749717853	-1.86915329597932	SKI family transcriptional corepressor 1
ENSG00000186479	RGS7BP	0.179233043622435	0.0409616696408099	2.95015643804522	0.00339259031928345	0.531083749717853	-1.87143976846239	regulator of G protein signaling 7 binding protein
ENSG00000273123	NA	-0.148867235883036	-0.0221083580943468	-2.94121575533805	0.00348956904425809	0.531083749717853	-1.8945469274717	NA
ENSG00000245468	NA	0.0722677967232089	-2.56955565614657e-05	2.93870740554722	0.00351722840731439	0.531083749717853	-1.90101782800448	NA
ENSG00000276790	NA	-0.234938401750441	-0.0119017125874471	-2.93025814897832	0.00361187819714406	0.531083749717853	-1.92277630626087	NA
ENSG00000198547	C20orf203	-0.0605055263384626	-0.0139958941267193	-2.92263005648909	0.00369932158232859	0.531083749717853	-1.94236918889946	chromosome 20 open reading frame 203
ENSG00000136021	SCYL2	0.055464546778386	0.00970200353311965	2.91379842634157	0.00380297344508566	0.531083749717853	-1.96499297202682	SCY1 like pseudokinase 2
ENSG00000147437	GNRH1	-0.111663214193992	-0.0225213525911413	-2.9110038791986	0.00383631936320897	0.531083749717853	-1.97213819313778	gonadotropin releasing hormone 1
ENSG00000072364	AFF4	0.095425846639065	0.0043453299979044	2.90302496967925	0.00393300135810388	0.531083749717853	-1.99250327401202	ALF transcription elongation factor 4
ENSG00000163464	CXCR1	0.199971230234886	0.044968692633236	2.89949028464346	0.00397653795992308	0.531083749717853	-2.00150814856901	C-X-C motif chemokine receptor 1
ENSG00000278668	NA	-0.158683390716173	-0.021480875759783	-2.88398760014256	0.00417272213137191	0.531083749717853	-2.0408795753229	NA
ENSG00000096060	FKBP5	0.127949387191625	-0.0235863687918513	2.87376197392234	0.00430691076283046	0.531083749717853	-2.06673956345943	FKBP prolyl isomerase 5
ENSG00000166343	MSS51	-0.0829093388848334	0.00674658131308676	-2.87165522652608	0.00433504069148124	0.531083749717853	-2.07205657606354	MSS51 mitochondrial translational activator
ENSG00000182324	KCNJ14	-0.08605466943962	0.0201830239618023	-2.86373460615167	0.00444230236111165	0.531083749717853	-2.09201355133781	potassium inwardly rectifying channel subfamily J member 14
ENSG00000103245	CIAO3	-0.0800774648225532	-0.00455696280789033	-2.84858776847036	0.00465417377115875	0.531083749717853	-2.13003218854941	cytosolic iron-sulfur assembly component 3
ENSG00000165138	ANKS6	-0.0705372356337162	0.00548500021831466	-2.84421582714504	0.0047170143257512	0.531083749717853	-2.14097018523143	ankyrin repeat and sterile alpha motif domain containing 6
ENSG00000111790	FGFR1OP2	0.148872360368053	0.0390958711028042	2.84330119889823	0.00473025800352646	0.531083749717853	-2.14325644169855	FGFR1 oncogene partner 2
ENSG00000226849	NA	-0.160534066920844	-0.0302336390632623	-2.84044907051502	0.00477177373477416	0.531083749717853	-2.15038129913653	NA
ENSG00000273853	NA	0.152214939712008	-0.00326957645076342	2.83988809823775	0.00477997814919541	0.531083749717853	-2.15178185605764	NA
ENSG00000237609	NA	0.0765573654517684	0.0205102409949894	2.83882355929259	0.00479558266152209	0.531083749717853	-2.15443892528821	NA
ENSG00000243477	NAA80	-0.148515641760622	-0.0350618554606059	-2.83184612215686	0.00489901266239704	0.531083749717853	-2.17183105060143	N-alpha-acetyltransferase 80, NatH catalytic subunit
ENSG00000185761	ADAMTSL5	-0.0812786059745923	0.0109529591574187	-2.81683985629981	0.00512835588120162	0.531083749717853	-2.20909823762357	ADAMTS like 5
ENSG00000131042	LILRB2	0.11178455245999	-0.0231533907076899	2.80897723707509	0.0052523733376624	0.531083749717853	-2.22854945278359	leukocyte immunoglobulin like receptor B2
ENSG00000260257	LOC119746555	-0.157351979560883	0.000933547843829681	-2.80813895741947	0.0052657548148164	0.531083749717853	-2.2306202108451	uncharacterized LOC119746555
ENSG00000269973	NA	-0.101915303965238	-0.00155589829356846	-2.80049144257361	0.00538926795810911	0.531083749717853	-2.24948432487553	NA
ENSG00000271754	NA	-0.175341685167147	-0.00349195556136915	-2.79754555349265	0.0054375430596252	0.531083749717853	-2.25673789199888	NA
ENSG00000263465	SRSF8	0.0716093538148359	0.0110938723483314	2.7938991705008	0.00549784020663194	0.531083749717853	-2.26570620538396	serine and arginine rich splicing factor 8
ENSG00000058866	DGKG	0.0750145227875031	-0.00537366818887474	2.79140357469912	0.00553945644156192	0.531083749717853	-2.2718377327792	diacylglycerol kinase gamma
ENSG00000241233	KRTAP5-8	-0.193331240965385	0.000672362072329782	-2.79065224795409	0.00555204127024694	0.531083749717853	-2.2736826760384	keratin associated protein 5-8
ENSG00000101966	XIAP	0.0722495480297517	0.0210553448940819	2.78629019511756	0.00562561957236345	0.531083749717853	-2.2843847116906	X-linked inhibitor of apoptosis
ENSG00000122378	PRXL2A	0.111543404697259	0.00981537252991564	2.78539122619971	0.00564089257756269	0.531083749717853	-2.28658829834347	peroxiredoxin like 2A
