	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000244560	NA	-0.106415217578378	0.00191939097268118	-3.37612999540772	0.000818858222045138	0.330824696266278	-0.690500696868786	NA
ENSG00000100099	HPS4	-0.0513709369384194	-0.00189860142472778	-3.28780453687737	0.00111354608735959	0.330824696266278	-0.952416709523978	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
ENSG00000235602	POU5F1P3	-0.167887127881196	-0.000899259877707597	-3.27585696083629	0.00116023637848901	0.330824696266278	-0.987347790915218	POU class 5 homeobox 1 pseudogene 3
ENSG00000135930	EIF4E2	0.0544076162837012	-0.0107773580270466	3.25920318099872	0.00122835477206348	0.330824696266278	-1.03584003224899	eukaryotic translation initiation factor 4E family member 2
ENSG00000164050	PLXNB1	-0.18640336375021	0.0272001036077773	-3.24860575539805	0.00127361300240855	0.330824696266278	-1.06657711119092	plexin B1
ENSG00000118680	MYL12B	0.109556413158387	-0.00298027833701702	3.22739750607857	0.00136886505353775	0.330824696266278	-1.12780873378016	myosin light chain 12B
ENSG00000174652	ZNF266	-0.126847020849659	-0.0108406645720588	-3.18429941207717	0.00158308265040676	0.330824696266278	-1.2510819393465	zinc finger protein 266
ENSG00000270558	NA	0.227158645421811	0.00582265929055755	3.17825020340061	0.00161551699340254	0.330824696266278	-1.26826006534329	NA
ENSG00000027869	SH2D2A	-0.0558041050236196	0.00956564603679818	-3.16174400702449	0.0017071699537206	0.330824696266278	-1.31497725359077	SH2 domain containing 2A
ENSG00000267909	CCDC177	0.19936504444384	0.0172036446254485	3.15397317219343	0.0017519609051281	0.330824696266278	-1.33689182583749	coiled-coil domain containing 177
ENSG00000272515	NA	0.328261524878668	0.0323646063679777	3.13167562285484	0.0018865776975729	0.330824696266278	-1.39949195987949	NA
ENSG00000146386	ABRACL	0.161799974168375	-0.0237657273182761	3.11393316424385	0.00200044255974431	0.330824696266278	-1.44900537783392	ABRA C-terminal like
ENSG00000099954	CECR2	-0.0755503068841013	0.0073589508521459	-3.11147766612396	0.00201669083360577	0.330824696266278	-1.45583702664812	CECR2 histone acetyl-lysine reader
ENSG00000273265	NA	-0.108301606155846	-0.0137403591692935	-3.10534308938665	0.00205781691369643	0.330824696266278	-1.47288239050756	NA
ENSG00000124535	WRNIP1	0.0749297389406178	0.00285168566841595	3.09566992268107	0.00212423811927001	0.330824696266278	-1.49969565527536	WRN helicase interacting protein 1
ENSG00000227372	NA	-0.0977623673251009	0.0283039861684979	-3.07608151057397	0.00226482985440417	0.330824696266278	-1.55375191436136	NA
ENSG00000181467	RAP2B	0.18732078504744	-0.00755476181129418	3.06449853414497	0.00235194244558016	0.330824696266278	-1.58556422823446	RAP2B, member of RAS oncogene family
ENSG00000111305	GSG1	0.0701000038956236	0.00238153374086984	3.04427410328275	0.00251146721782863	0.330824696266278	-1.64083876579665	germ cell associated 1
ENSG00000186566	GPATCH8	-0.0654094509715607	-8.87672138239967e-05	-3.02801860980697	0.00264682738031975	0.330824696266278	-1.68501566170353	G-patch domain containing 8
ENSG00000125508	SRMS	-0.0806882670801389	-0.0058576615987385	-3.02409745707318	0.00268046633342498	0.330824696266278	-1.69563859898359	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
ENSG00000143373	ZNF687	-0.0929496227616908	-0.00079878456160553	-3.02199369011496	0.00269867553232009	0.330824696266278	-1.70133263392182	zinc finger protein 687
ENSG00000049759	NEDD4L	0.0984822808524102	-0.00244124784347844	3.01918269157328	0.00272318338728043	0.330824696266278	-1.70893501546596	NEDD4 like E3 ubiquitin protein ligase
ENSG00000271443	NA	0.139385311675249	0.0177642311258864	3.01311793507768	0.00277675644290831	0.330824696266278	-1.72531446999384	NA
ENSG00000169385	RNASE2	0.235457048222736	-0.0154776891574077	3.00564220741007	0.00284412320122867	0.330824696266278	-1.74546181225538	ribonuclease A family member 2
ENSG00000163637	PRICKLE2	0.0950922699684153	-0.00475084092383268	2.98248886524007	0.00306238881063657	0.330824696266278	-1.80756075439824	prickle planar cell polarity protein 2
ENSG00000177885	GRB2	0.0654032177471514	-0.009053069395153	2.9541771249667	0.00335009374603415	0.330824696266278	-1.88287760537616	growth factor receptor bound protein 2
ENSG00000136856	SLC2A8	-0.0997998550979437	0.00308033500858056	-2.95412650033619	0.00335062963084675	0.330824696266278	-1.88301167164524	solute carrier family 2 member 8
ENSG00000103528	SYT17	0.117722933460012	0.00705825660821567	2.95392494761789	0.00335276393584638	0.330824696266278	-1.88354541043924	synaptotagmin 17
ENSG00000173575	CHD2	-0.0865799923621746	-0.00484015269828774	-2.95253981216331	0.00336746523706237	0.330824696266278	-1.88721250351597	chromodomain helicase DNA binding protein 2
ENSG00000268043	NBPF12	-0.0605660830806635	0.000605426827261517	-2.9462050706141	0.00343545401122869	0.330824696266278	-1.90396273668491	NBPF member 12
ENSG00000170037	CNTROB	-0.09339009394558	0.0142391738759045	-2.94423523773779	0.00345684999897376	0.330824696266278	-1.90916439751681	centrobin, centriole duplication and spindle assembly protein
ENSG00000085552	IGSF9	-0.0495648635761162	-0.00710974647750607	-2.94317381183629	0.00346842946174798	0.330824696266278	-1.91196589765781	immunoglobulin superfamily member 9
ENSG00000272734	NA	-0.146306478586605	0.0150302873748956	-2.94207902074432	0.00348041005168763	0.330824696266278	-1.9148544588534	NA
ENSG00000004975	DVL2	-0.0857462854911978	0.0142005593382313	-2.93797248588243	0.00352568675784655	0.330824696266278	-1.92568031297437	dishevelled segment polarity protein 2
ENSG00000183960	KCNH8	-0.0953988674770281	0.0268974050868871	-2.93288378760176	0.00358253886476334	0.330824696266278	-1.93907552484166	potassium voltage-gated channel subfamily H member 8
ENSG00000260615	RPL23AP97	-0.217728284747385	-0.083010197161183	-2.92928951233589	0.00362319829198199	0.330824696266278	-1.94852364249443	ribosomal protein L23a pseudogene 97
ENSG00000186866	POFUT2	-0.0892511670512304	0.011180607784639	-2.92658307421311	0.0036540919630886	0.330824696266278	-1.95563069577198	protein O-fucosyltransferase 2
ENSG00000138658	ZGRF1	-0.037394335475317	0.000278539702329197	-2.92634095114368	0.0036568674600123	0.330824696266278	-1.95626620284271	zinc finger GRF-type containing 1
ENSG00000240204	SMKR1	0.10084561191473	0.00517473426421254	2.92084543814534	0.0037203834819076	0.330824696266278	-1.97067702683827	small lysine rich protein 1
ENSG00000121940	CLCC1	-0.0338525359644416	-0.00844474390373441	-2.90926488101329	0.00385753885230819	0.330824696266278	-2.00096053084085	chloride channel CLIC like 1
ENSG00000171307	ZDHHC16	0.0698996221486372	0.0130264951083603	2.9084905881022	0.00386687178979523	0.330824696266278	-2.002981261998	zDHHC palmitoyltransferase 16
ENSG00000254999	BRK1	0.0786251841499082	-0.00358720746476843	2.90761226447284	0.00387748359797092	0.330824696266278	-2.00527287263447	BRICK1 subunit of SCAR/WAVE actin nucleating complex
ENSG00000264176	NA	-0.160697656333455	-0.00247785818714751	-2.90383200792373	0.00392346016325708	0.330824696266278	-2.0151283472787	NA
ENSG00000105058	FAM32A	0.0790014785023822	-0.00454568016718874	2.90334274138276	0.00392944697057769	0.330824696266278	-2.01640302121478	family with sequence similarity 32 member A
ENSG00000140829	DHX38	-0.1335366136893	0.00890624898441262	-2.89813081494097	0.00399374075634668	0.330824696266278	-2.02996887991628	DEAH-box helicase 38
ENSG00000101203	COL20A1	-0.136747720666386	0.0542637902902329	-2.89748194790133	0.00400181190793627	0.330824696266278	-2.03165616466688	collagen type XX alpha 1 chain
ENSG00000114857	NKTR	-0.11271898293396	0.00436779827894494	-2.89350477084788	0.00405160919409079	0.330824696266278	-2.04199040656252	natural killer cell triggering receptor
ENSG00000112167	SAYSD1	0.0975207328281949	-0.00882712664894249	2.89221569428599	0.00406787023199275	0.330824696266278	-2.0453370355598	SAYSVFN motif domain containing 1
ENSG00000198719	DLL1	-0.148683216641058	0.0231186669828241	-2.88873895877226	0.00411202451004084	0.330824696266278	-2.05435608896766	delta like canonical Notch ligand 1
ENSG00000262877	NA	-0.251844348987065	0.00143991809823063	-2.88567618599296	0.00415128291238394	0.330824696266278	-2.0622927468613	NA
ENSG00000196724	ZNF418	-0.0846632977362491	0.00494358007531002	-2.88082886088291	0.00421411405740704	0.330824696266278	-2.07483744067947	zinc finger protein 418
ENSG00000278986	NA	-0.0631356238907913	0.00912177943642587	-2.87994581369421	0.00422565299209852	0.330824696266278	-2.07712057794547	NA
ENSG00000225447	NA	-0.16980911687708	0.0216794237026721	-2.87777021269364	0.00425420487094376	0.330824696266278	-2.08274280566726	NA
ENSG00000165915	SLC39A13	-0.0901205514821972	-0.00410680424802384	-2.87420612026445	0.00430135879911513	0.330824696266278	-2.09194448224786	solute carrier family 39 member 13
ENSG00000044446	PHKA2	-0.038298258445337	0.00294336164582187	-2.869757236724	0.00436088647007709	0.330824696266278	-2.10341529680371	phosphorylase kinase regulatory subunit alpha 2
ENSG00000170364	SETMAR	0.0877076904078707	-0.00505304645498095	2.86949094962286	0.00436447316687047	0.330824696266278	-2.10410134514334	SET and mariner transposase domain methyltransferase
ENSG00000245281	NA	0.0474739165447624	-0.00526346122488332	2.85246982585195	0.00459938547565942	0.330824696266278	-2.14782822835214	NA
ENSG00000076604	TRAF4	-0.146780898393179	0.00336568070592593	-2.84942495830588	0.0046426013280106	0.330824696266278	-2.15562436417616	TNF receptor associated factor 4
ENSG00000106344	RBM28	-0.0745543968027801	0.00395091646261281	-2.83579107865464	0.00484067145849884	0.330824696266278	-2.19043575514383	RNA binding motif protein 28
ENSG00000168275	COA6	0.149790924821233	0.00674749376979381	2.83565811993215	0.00484264030253065	0.330824696266278	-2.19077445727657	cytochrome c oxidase assembly factor 6
ENSG00000124181	PLCG1	-0.127910526276631	0.00185549762282155	-2.83337137089728	0.00487661640976071	0.330824696266278	-2.19659741189238	phospholipase C gamma 1
ENSG00000108590	MED31	0.10215557534737	-0.00161452963675157	2.82871504517556	0.00494646963535196	0.330824696266278	-2.20844042515989	mediator complex subunit 31
ENSG00000144028	SNRNP200	-0.0747955977966512	0.00350025085519397	-2.82603926987394	0.00498702106662417	0.330824696266278	-2.21523767730471	small nuclear ribonucleoprotein U5 subunit 200
ENSG00000119946	CNNM1	0.154574576908111	0.0158480729966097	2.81803130511297	0.00511019231176282	0.330824696266278	-2.23554369501464	cyclin and CBS domain divalent metal cation transport mediator 1
ENSG00000273079	GRIN2B	0.0933859153805754	0.00830492805244485	2.81634413850158	0.00513649238515648	0.330824696266278	-2.23981489941348	glutamate ionotropic receptor NMDA type subunit 2B
ENSG00000283426	SMBD1P	-0.077459314793197	-0.0110978179768641	-2.81182962352163	0.00520747133946071	0.330824696266278	-2.25123180602157	somatomedin B domain containing 1, pseudogene
ENSG00000164024	METAP1	0.0391994720859531	0.00667200715297623	2.80956679669741	0.00524338221165885	0.330824696266278	-2.25694778704031	methionyl aminopeptidase 1
ENSG00000273419	NA	-0.0948371638387412	-0.00867806872584044	-2.80938583433936	0.00524626374971211	0.330824696266278	-2.25740471529478	NA
ENSG00000105767	CADM4	-0.126851678946316	-0.00180140367199541	-2.80491375814421	0.00531793250881666	0.330824696266278	-2.26868776690938	cell adhesion molecule 4
ENSG00000185950	IRS2	0.125928789656037	-0.018355919987042	2.80433276734169	0.00532730826831675	0.330824696266278	-2.27015235155018	insulin receptor substrate 2
ENSG00000136861	CDK5RAP2	-0.0759997762609858	0.00689503065063343	-2.79803880488889	0.00542984257623884	0.330824696266278	-2.28599991161956	CDK5 regulatory subunit associated protein 2
ENSG00000145990	GFOD1	0.128190209902122	0.0155161623710135	2.79640470850992	0.00545675445491342	0.330824696266278	-2.29010885813514	Gfo/Idh/MocA-like oxidoreductase domain containing 1
ENSG00000116106	EPHA4	0.121024124688745	-0.0197707650114734	2.79219564903043	0.00552663110237814	0.330824696266278	-2.30068204249982	EPH receptor A4
ENSG00000158863	FHIP2B	-0.0944970708349948	0.0091043132364149	-2.78881522788722	0.00558333728894559	0.330824696266278	-2.30916270159769	FHF complex subunit HOOK interacting protein 2B
ENSG00000028839	TBPL1	0.128516524623618	-0.00970259145125607	2.78700915469034	0.00561384959241349	0.330824696266278	-2.31368969269439	TATA-box binding protein like 1
ENSG00000110274	CEP164	-0.067474959234217	0.0166418807391721	-2.78364319338434	0.00567111856417259	0.330824696266278	-2.32211914938656	centrosomal protein 164
ENSG00000048544	MRPS10	0.0759950376066855	-0.0227002230605817	2.78228570259223	0.00569436450276897	0.330824696266278	-2.32551600027062	mitochondrial ribosomal protein S10
ENSG00000180440	SERTM1	0.243561072465915	-0.010638685124121	2.78097266502306	0.00571693130242577	0.330824696266278	-2.32880011423888	serine rich and transmembrane domain containing 1
ENSG00000114859	CLCN2	-0.17075763824949	-0.0203024461101884	-2.78093216028046	0.00571762873201718	0.330824696266278	-2.32890139950763	chloride voltage-gated channel 2
ENSG00000251259	NA	0.0815463118753523	-0.0133683237975298	2.77720670153381	0.00578210590107216	0.330824696266278	-2.33821119099528	NA
ENSG00000276805	NA	-0.0829486291827119	-0.0159337182992589	-2.77631937409199	0.00579755980281965	0.330824696266278	-2.3404268382153	NA
ENSG00000275393	NA	0.223070956904421	0.0680887893823153	2.77605331823205	0.00580220077690065	0.330824696266278	-2.34109104543283	NA
