	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000250899	NA	0.214581241994926	0.0532227658725784	3.97360260583789	8.62148688953895e-05	0.355629451494738	1.2656209089769	NA
ENSG00000260685	NA	-0.270104573420296	0.0381284677030955	-3.72693544830353	0.000226391306785455	0.355629451494738	0.409233778020548	NA
ENSG00000174021	GNG5	0.131309750064611	0.0256922926638324	3.69112513957647	0.000259361977171946	0.355629451494738	0.289083742534199	G protein subunit gamma 5
ENSG00000254272	NA	0.192697468907208	0.00910642532008814	3.53531456415985	0.000462811147312891	0.355629451494738	-0.221235388807787	NA
ENSG00000157343	ARMC12	-0.0656815593926662	-0.00922023832869778	-3.52732571870538	0.000476497774569379	0.355629451494738	-0.246852653201064	armadillo repeat containing 12
ENSG00000128274	A4GALT	0.145336469776551	0.0520550011958835	3.52443197832384	0.000481548255772692	0.355629451494738	-0.256118563891054	alpha 1,4-galactosyltransferase (P1PK blood group)
ENSG00000184730	APOBR	0.148415859417182	-0.00262679969787791	3.46782169358191	0.000591021622239139	0.355629451494738	-0.435969253589877	apolipoprotein B receptor
ENSG00000007171	NOS2	-0.062752662850674	-0.00961292941726331	-3.4413916043611	0.000649737376046518	0.355629451494738	-0.519011673807505	nitric oxide synthase 2
ENSG00000287766	NA	-0.0881931697418502	-0.00640635532316264	-3.36395407990397	0.000854647105688476	0.355629451494738	-0.758913038888065	NA
ENSG00000274266	SNORA73A	0.262042837632498	0.0667291118029991	3.33777651329342	0.000936557158913187	0.355629451494738	-0.838859868777867	small nucleolar RNA, H/ACA box 73A
ENSG00000144504	ANKMY1	-0.0520938951178288	-0.00493414601152916	-3.32984088310362	0.000962795258451796	0.355629451494738	-0.862980283819788	ankyrin repeat and MYND domain containing 1
ENSG00000000971	CFH	0.181159536066423	0.0105062734570713	3.31949634922287	0.000998025111406922	0.355629451494738	-0.894342063291474	complement factor H
ENSG00000157557	ETS2	0.156164754101443	0.034284119865178	3.31607467800249	0.00100993946201807	0.355629451494738	-0.904695563146414	ETS proto-oncogene 2, transcription factor
ENSG00000142089	IFITM3	0.280801828155947	0.0827033552612537	3.30451964667777	0.00105115868314533	0.355629451494738	-0.939585718458438	interferon induced transmembrane protein 3
ENSG00000276790	NA	-0.174262464982217	-0.0336518495341148	-3.24500661254666	0.0012893447463019	0.355629451494738	-1.11747863586326	NA
ENSG00000169418	NPR1	0.106478261502694	0.0217094533733092	3.21994817350563	0.00140387238432584	0.355629451494738	-1.19147554303029	natriuretic peptide receptor 1
ENSG00000101347	SAMHD1	0.0885812430661188	0.01695662045395	3.21604108058146	0.00142255596871455	0.355629451494738	-1.20296460021074	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
ENSG00000233588	NA	0.178985579435674	0.0587078940225954	3.21522560752606	0.00142648446030225	0.355629451494738	-1.20536090012996	NA
ENSG00000152467	ZSCAN1	-0.0733703271363648	-0.0114293074753429	-3.21398230380181	0.00143249333562028	0.355629451494738	-1.20901330004516	zinc finger and SCAN domain containing 1
ENSG00000225901	MTND2P9	0.124905284440911	0.0219807546764589	3.21097269056537	0.00144713592042851	0.355629451494738	-1.21784902346226	MT-ND2 pseudogene 9
ENSG00000163513	TGFBR2	0.108267711057075	0.00829467696606764	3.20167480799226	0.00149325242572931	0.355629451494738	-1.24509698054628	transforming growth factor beta receptor 2
ENSG00000280374	NA	0.185178590467477	0.00233420701854016	3.20125095522245	0.00149538675240295	0.355629451494738	-1.24633733676286	NA
ENSG00000103269	RHBDL1	-0.117590103295457	-0.0161486294548788	-3.19843826234649	0.0015096218471714	0.355629451494738	-1.25456445167065	rhomboid like 1
ENSG00000196954	CASP4	0.110664859530572	0.0266625242103094	3.18659864181545	0.00157092777589285	0.355629451494738	-1.2891208323963	caspase 4
ENSG00000149927	DOC2A	-0.203555998557292	-0.0206426821081382	-3.18405381153092	0.00158440207311834	0.355629451494738	-1.2965327285705	double C2 domain alpha
ENSG00000197912	SPG7	-0.0516317945975829	-0.0169661658609155	-3.15852628014832	0.0017256022096658	0.355629451494738	-1.37057451792957	SPG7 matrix AAA peptidase subunit, paraplegin
ENSG00000169249	ZRSR2	-0.0820368172226357	-0.00705828675259628	-3.15676903742902	0.00173573735483547	0.355629451494738	-1.3756507301912	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2
ENSG00000107738	VSIR	0.186236322665955	0.0316105604249018	3.15541932159598	0.0017435593303392	0.355629451494738	-1.37954790043463	V-set immunoregulatory receptor
ENSG00000164736	SOX17	0.19906249139704	0.0443803937246472	3.14772928216038	0.00178874975602385	0.355629451494738	-1.40172221369985	SRY-box transcription factor 17
ENSG00000100336	APOL4	0.245198979189722	0.0898675205845774	3.14552556633064	0.00180189778880501	0.355629451494738	-1.40806726924883	apolipoprotein L4
ENSG00000139914	FITM1	-0.0871900124261716	-0.0249785724570233	-3.14136910462537	0.00182693959970567	0.355629451494738	-1.42002339418162	fat storage inducing transmembrane protein 1
ENSG00000198736	MSRB1	0.11870893264649	0.0387135953832996	3.12725828610744	0.00191436999391114	0.355629451494738	-1.46050236954098	methionine sulfoxide reductase B1
ENSG00000288829	NA	0.203567395282804	-0.0183133637547758	3.12604459509739	0.00192206745153902	0.355629451494738	-1.4639760094027	NA
ENSG00000251008	LTO1P1	-0.286169867471328	-0.0685447412774376	-3.12073368017337	0.00195608717480966	0.355629451494738	-1.47916115955116	LTO1 pseudogene 1
ENSG00000047457	CP	0.238159423354194	0.0320124573692379	3.11272921976039	0.00200841085055921	0.355629451494738	-1.50200183947038	ceruloplasmin
ENSG00000224420	ADM5	0.22266470946361	0.0430863633790648	3.1044780215864	0.00206369518991379	0.355629451494738	-1.52548873719262	adrenomedullin 5 (putative)
ENSG00000080823	MOK	-0.0745761436701643	-0.0091371017288359	-3.09354880120758	0.00213908188039089	0.355629451494738	-1.55650812583207	MOK protein kinase
