	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000157343	ARMC12	-0.0493714318488959	-0.00832535033358136	-3.48809200388312	0.000549397247685963	0.585182536089721	-0.353081956135268	armadillo repeat containing 12
ENSG00000244482	LILRA6	0.162276714918969	0.060922190257972	3.35047319717943	0.000895963831230302	0.585182536089721	-0.775461731851322	leukocyte immunoglobulin like receptor A6
ENSG00000187116	LILRA5	0.158895930812122	0.0617624948152906	3.22938848202557	0.00135967176178191	0.585182536089721	-1.13397378849612	leukocyte immunoglobulin like receptor A5
ENSG00000229808	LOC100422526	0.102138347796662	0.0195093707760969	3.21792451673966	0.00141352985164157	0.585182536089721	-1.16727667732204	proteasome activator subunit 3 pseudogene
ENSG00000123405	NFE2	0.129905036720555	0.0543964469641742	3.21085569776903	0.00144771702044357	0.585182536089721	-1.18775630379777	nuclear factor, erythroid 2
ENSG00000204936	CD177	0.160557086386526	0.0549022019804502	3.19924407334569	0.00150554021135677	0.585182536089721	-1.22130556960923	CD177 molecule
ENSG00000183019	MCEMP1	0.212496350643214	0.0996275247601042	3.19646846500245	0.00151967497465986	0.585182536089721	-1.22930820194686	mast cell expressed membrane protein 1
ENSG00000105339	DENND3	0.0786970209121771	0.00973690818539028	3.19194952401401	0.00154295054305582	0.585182536089721	-1.24232326679713	DENN domain containing 3
ENSG00000130052	STARD8	0.0919089130053299	0.00780086234423322	3.1874091765849	0.00156666808084011	0.585182536089721	-1.25538258218665	StAR related lipid transfer domain containing 8
ENSG00000224420	ADM5	0.268666667894035	0.0123051815094656	3.16579518892294	0.00168426581749938	0.585182536089721	-1.31731117158163	adrenomedullin 5 (putative)
ENSG00000274723	NA	-0.0724195519429226	-0.00788567120054176	-3.11228577839965	0.00201135823195222	0.585182536089721	-1.46892240085977	NA
ENSG00000204577	LILRB3	0.18358361889428	0.0768201853512506	3.09304525084175	0.00214262737738134	0.585182536089721	-1.52284308566164	leukocyte immunoglobulin like receptor B3
ENSG00000130528	HRC	0.159430388256806	0.0414271745593024	3.07452102143067	0.00227642076063183	0.585182536089721	-1.57445869364217	histidine rich calcium binding protein
ENSG00000085265	FCN1	0.129290252071326	0.0419259421270638	3.05296882704999	0.00244173687249818	0.585182536089721	-1.63414341224056	ficolin 1
ENSG00000255026	NA	0.101596263295331	0.0360319897100924	3.04842921586527	0.00247793546267501	0.585182536089721	-1.64666450279158	NA
ENSG00000189091	SF3B3	0.0368101087379804	-0.00775223963948413	3.03548671904219	0.00258386239912719	0.585182536089721	-1.68226576885191	splicing factor 3b subunit 3
ENSG00000156313	RPGR	0.0746944666687385	0.0120219443764005	3.02491190519555	0.00267348095501275	0.585182536089721	-1.71124801752743	retinitis pigmentosa GTPase regulator
ENSG00000160883	HK3	0.167649735113013	0.0686030570277357	3.02269678210221	0.00269261122843787	0.585182536089721	-1.71730687444598	hexokinase 3
ENSG00000241112	NA	0.126444324940338	0.00606982315090618	3.00287807178767	0.00286944443067125	0.585182536089721	-1.7713288486829	NA
ENSG00000128340	RAC2	0.0942172943086547	-0.00388701452215578	2.99842565345608	0.00291060857930078	0.585182536089721	-1.78341907276938	Rac family small GTPase 2
ENSG00000110665	C11orf21	0.0776445838268651	0.010058327060376	2.99641113127766	0.00292941081439755	0.585182536089721	-1.78888379060377	chromosome 11 open reading frame 21
ENSG00000204498	NFKBIL1	-0.0652787015561949	0.00250490582623019	-2.98715186597282	0.00301727083858213	0.585182536089721	-1.81395637814243	NFKB inhibitor like 1
ENSG00000064666	CNN2	0.153813486398218	0.075277194908905	2.98515266579073	0.00303655511591236	0.585182536089721	-1.81936025363428	calponin 2
ENSG00000100368	CSF2RB	0.0667326546457436	0.0276643014852878	2.97638798100688	0.00312243889935097	0.585182536089721	-1.84301096422423	colony stimulating factor 2 receptor subunit beta
ENSG00000126262	FFAR2	0.0995146334987507	0.0400049828818807	2.97602212369841	0.00312607177226392	0.585182536089721	-1.84399676648759	free fatty acid receptor 2
ENSG00000131042	LILRB2	0.195305527906013	0.0702208342898881	2.94278173789455	0.00347275543349105	0.585182536089721	-1.93308416672261	leukocyte immunoglobulin like receptor B2
ENSG00000168495	POLR3D	0.0741471997076131	0.00251378374369745	2.93404625986917	0.0035695185590682	0.585182536089721	-1.95633879468008	RNA polymerase III subunit D
ENSG00000012779	ALOX5	0.0644984574097698	0.0259322307899417	2.91841632447286	0.00374882001643471	0.585182536089721	-1.99778356133884	arachidonate 5-lipoxygenase
ENSG00000284631	SCYGR4	0.213324298817253	-0.0117244554700071	2.91517751639568	0.00378698775601187	0.585182536089721	-2.00634541944919	small cysteine and glycine repeat containing 4
ENSG00000137815	RTF1	-0.0642031760487864	-0.0285369722660054	-2.90995442487275	0.00384928706513201	0.585182536089721	-2.02013377718871	RTF1 homolog, Paf1/RNA polymerase II complex component
ENSG00000018280	SLC11A1	0.244162637788167	0.0658533259411029	2.87128100365368	0.00434045948257032	0.585182536089721	-2.1214968811883	solute carrier family 11 member 1
ENSG00000125810	CD93	0.262050052963148	0.106893397888654	2.86684702448791	0.00440027681257872	0.585182536089721	-2.1330360568692	CD93 molecule
ENSG00000226421	SLC25A5P5	-0.103489480826314	-0.0278244176375438	-2.85419783155939	0.00457506987598479	0.585182536089721	-2.16586172756355	solute carrier family 25 member 5 pseudogene 5
ENSG00000183615	FAM167B	0.171028090433975	0.0539642378906251	2.85149884674651	0.00461317387787527	0.585182536089721	-2.1728479510309	family with sequence similarity 167 member B
ENSG00000143740	SNAP47	-0.0702155852069941	-0.0125478444386967	-2.84301921740841	0.0047347739440849	0.585182536089721	-2.1947562786223	synaptosome associated protein 47
ENSG00000130702	LAMA5	0.125668023271185	0.0318222280294983	2.80658997198958	0.00529101751890883	0.585182536089721	-2.2881702213424	laminin subunit alpha 5
ENSG00000164082	GRM2	0.0587217396845924	-0.0121922191240924	2.79666003274682	0.00545259362157964	0.585182536089721	-2.31343423441869	glutamate metabotropic receptor 2
ENSG00000273141	NA	-0.256236823717727	-0.0375834977715681	-2.78673050060976	0.00561862364366383	0.585182536089721	-2.33861192563021	NA
ENSG00000273117	INSIG1-DT	-0.166870732752802	-0.0169729179016479	-2.78352310331761	0.00567322479593713	0.585182536089721	-2.34672649093099	INSIG1 divergent transcript
ENSG00000081237	PTPRC	0.0396715151023655	0.00829296208575644	2.77392628777251	0.00583947913849652	0.585182536089721	-2.37095279888277	protein tyrosine phosphatase receptor type C
ENSG00000227462	PSME2P6	0.167425884846052	0.049162075508396	2.77154202874095	0.00588146213683122	0.585182536089721	-2.376959281228	proteasome activator subunit 2 pseudogene 6
ENSG00000112303	VNN2	0.104164738022443	0.0530695039283832	2.77154125657448	0.00588147577759826	0.585182536089721	-2.37696122569068	vanin 2
ENSG00000122566	HNRNPA2B1	0.0494239139118879	0.000707399028427461	2.76973085749425	0.00591353638743878	0.585182536089721	-2.38151873650277	heterogeneous nuclear ribonucleoprotein A2/B1
ENSG00000000938	FGR	0.171369440905782	0.0346500819211082	2.76719917430611	0.00595863562033332	0.585182536089721	-2.38788725175816	FGR proto-oncogene, Src family tyrosine kinase
ENSG00000115523	GNLY	0.189260970096056	-0.00689683993593211	2.76375465477281	0.00602049593146433	0.585182536089721	-2.3965431140031	granulysin
ENSG00000100416	TRMU	-0.0683397102630629	-0.0201338135566376	-2.75585950815411	0.0061644832678637	0.585182536089721	-2.41634433438178	tRNA mitochondrial 2-thiouridylase
ENSG00000096696	DSP	0.0778800372131555	0.0171152275326262	2.7514124141129	0.00624695128175679	0.585182536089721	-2.42747396767294	desmoplakin
ENSG00000213949	ITGA1	0.0887730072946298	0.0099768827104563	2.74839049431452	0.00630355837044195	0.585182536089721	-2.43502706797947	integrin subunit alpha 1
ENSG00000144504	ANKMY1	-0.0207793376408548	-0.00140617618105753	-2.74733345882917	0.00632346813224052	0.585182536089721	-2.43766719300251	ankyrin repeat and MYND domain containing 1
ENSG00000132196	HSD17B7	-0.0709643520540444	-0.0124071305818473	-2.74476755117643	0.00637203489008002	0.585182536089721	-2.44407195075558	hydroxysteroid 17-beta dehydrogenase 7
