setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOCC_AXONEME	36	0.667479766517562	2.41023102797417	5.5683756181205e-08	0.000265555833228167	0.000251573348978665	701	tags=72%, list=19%, signal=59%	ENSG00000163060/ENSG00000007174/ENSG00000264364/ENSG00000137691/ENSG00000137098/ENSG00000243710/ENSG00000162148/ENSG00000163075/ENSG00000126775/ENSG00000105479/ENSG00000167461/ENSG00000162598/ENSG00000141519/ENSG00000157330/ENSG00000272514/ENSG00000136449/ENSG00000156313/ENSG00000156042/ENSG00000196169/ENSG00000165698/ENSG00000205795/ENSG00000068885/ENSG00000167552/ENSG00000104833/ENSG00000188659/ENSG00000114841
GOBP_CILIUM_MOVEMENT	48	0.605936238458073	2.36715304540536	2.05327580710387e-07	0.000326402410802611	0.000309216132073326	356	tags=46%, list=10%, signal=42%	ENSG00000163060/ENSG00000007174/ENSG00000164818/ENSG00000264364/ENSG00000219435/ENSG00000141294/ENSG00000137098/ENSG00000160401/ENSG00000066185/ENSG00000167645/ENSG00000243710/ENSG00000162148/ENSG00000163075/ENSG00000105479/ENSG00000141519/ENSG00000157330/ENSG00000272514/ENSG00000136449/ENSG00000156042/ENSG00000152582/ENSG00000277791/ENSG00000165698
GOCC_MOTILE_CILIUM	55	0.581206270389058	2.35785144322807	1.54439752143292e-07	0.000326402410802611	0.000309216132073326	356	tags=47%, list=10%, signal=43%	ENSG00000100211/ENSG00000163060/ENSG00000007174/ENSG00000177989/ENSG00000164818/ENSG00000104951/ENSG00000264364/ENSG00000219435/ENSG00000137691/ENSG00000118096/ENSG00000141294/ENSG00000137098/ENSG00000066185/ENSG00000185681/ENSG00000243710/ENSG00000147400/ENSG00000162148/ENSG00000163075/ENSG00000141519/ENSG00000157330/ENSG00000272514/ENSG00000136449/ENSG00000156313/ENSG00000156042/ENSG00000152582/ENSG00000165698
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	41	0.626208451634705	2.36112821402854	3.36312632599361e-07	0.000400968736216588	0.000379856268188542	356	tags=46%, list=10%, signal=42%	ENSG00000163060/ENSG00000007174/ENSG00000264364/ENSG00000219435/ENSG00000141294/ENSG00000137098/ENSG00000160401/ENSG00000066185/ENSG00000167645/ENSG00000243710/ENSG00000162148/ENSG00000105479/ENSG00000141519/ENSG00000157330/ENSG00000272514/ENSG00000136449/ENSG00000152582/ENSG00000277791/ENSG00000165698
GOCC_9PLUS2_MOTILE_CILIUM	43	0.59236545890393	2.2629956367965	2.835413704251e-06	0.00243591899831374	0.00230765896872622	356	tags=49%, list=10%, signal=45%	ENSG00000100211/ENSG00000163060/ENSG00000007174/ENSG00000104951/ENSG00000264364/ENSG00000219435/ENSG00000141294/ENSG00000137098/ENSG00000066185/ENSG00000185681/ENSG00000243710/ENSG00000147400/ENSG00000162148/ENSG00000163075/ENSG00000157330/ENSG00000272514/ENSG00000136449/ENSG00000156313/ENSG00000156042/ENSG00000152582/ENSG00000165698
GOCC_CILIUM	144	0.396287030239044	1.91271630471608	3.06469154746959e-06	0.00243591899831374	0.00230765896872622	780	tags=44%, list=21%, signal=36%	ENSG00000010361/ENSG00000100211/ENSG00000163060/ENSG00000007174/ENSG00000189306/ENSG00000177989/ENSG00000164818/ENSG00000104951/ENSG00000264364/ENSG00000219435/ENSG00000137691/ENSG00000118096/ENSG00000141294/ENSG00000137098/ENSG00000185149/ENSG00000160401/ENSG00000066185/ENSG00000185681/ENSG00000243710/ENSG00000147400/ENSG00000162148/ENSG00000164953/ENSG00000163075/ENSG00000126775/ENSG00000105479/ENSG00000167461/ENSG00000120262/ENSG00000162598/ENSG00000141519/ENSG00000157330/ENSG00000272514/ENSG00000205084/ENSG00000136449/ENSG00000156313/ENSG00000156042/ENSG00000152582/ENSG00000196169/ENSG00000189350/ENSG00000079974/ENSG00000165698/ENSG00000161048/ENSG00000205795/ENSG00000179029/ENSG00000104218/ENSG00000068885/ENSG00000167552/ENSG00000175970/ENSG00000177548/ENSG00000119397/ENSG00000169398/ENSG00000104833/ENSG00000214530/ENSG00000119650/ENSG00000270765/ENSG00000099940/ENSG00000188659/ENSG00000107882/ENSG00000114841/ENSG00000132259/ENSG00000133256/ENSG00000188026/ENSG00000166352/ENSG00000187535/ENSG00000135912
GOBP_MICROTUBULE_BASED_MOVEMENT	93	0.445604288187392	1.99161828843709	5.27538825932317e-06	0.00359404665838746	0.00340480697879925	552	tags=34%, list=15%, signal=30%	ENSG00000010361/ENSG00000163060/ENSG00000007174/ENSG00000164818/ENSG00000264364/ENSG00000219435/ENSG00000118096/ENSG00000141294/ENSG00000137098/ENSG00000160401/ENSG00000066185/ENSG00000167645/ENSG00000243710/ENSG00000162148/ENSG00000163075/ENSG00000105479/ENSG00000141519/ENSG00000157330/ENSG00000272514/ENSG00000136449/ENSG00000156313/ENSG00000156042/ENSG00000152582/ENSG00000196169/ENSG00000277791/ENSG00000079974/ENSG00000165698/ENSG00000068885/ENSG00000143862/ENSG00000167552/ENSG00000112290/ENSG00000041357
GOBP_CELL_CELL_SIGNALING	221	-0.361859943171938	-1.76667613641641	9.2769036204585e-06	0.00553019417074582	0.00523900925513262	647	tags=31%, list=18%, signal=27%	ENSG00000187513/ENSG00000146469/ENSG00000153208/ENSG00000079215/ENSG00000010704/ENSG00000175426/ENSG00000159248/ENSG00000198576/ENSG00000196924/ENSG00000174059/ENSG00000111371/ENSG00000197093/ENSG00000213578/ENSG00000113569/ENSG00000130396/ENSG00000241563/ENSG00000157219/ENSG00000118507/ENSG00000127561/ENSG00000110090/ENSG00000100604/ENSG00000100600/ENSG00000242252/ENSG00000136235/ENSG00000197948/ENSG00000250366/ENSG00000187664/ENSG00000144119/ENSG00000148730/ENSG00000130513/ENSG00000006128/ENSG00000213023/ENSG00000087460/ENSG00000174576/ENSG00000125657/ENSG00000132326/ENSG00000187486/ENSG00000145708/ENSG00000150551/ENSG00000172137/ENSG00000117139/ENSG00000121671/ENSG00000169860/ENSG00000134207/ENSG00000102362/ENSG00000118432/ENSG00000169047/ENSG00000225968/ENSG00000054148/ENSG00000124205/ENSG00000188906/ENSG00000160469/ENSG00000166073/ENSG00000122585/ENSG00000128683/ENSG00000186297/ENSG00000173175/ENSG00000159899/ENSG00000077782/ENSG00000169676/ENSG00000101204/ENSG00000102924/ENSG00000143630/ENSG00000130529/ENSG00000099822/ENSG00000006283/ENSG00000136999/ENSG00000157005/ENSG00000109103
GOBP_LIPID_MODIFICATION	44	-0.567948494188246	-2.12656043169805	1.1226177320604e-05	0.00594862662688447	0.00563540971462364	785	tags=48%, list=21%, signal=38%	ENSG00000117598/ENSG00000095321/ENSG00000084754/ENSG00000130766/ENSG00000069431/ENSG00000106617/ENSG00000203805/ENSG00000004799/ENSG00000159346/ENSG00000110090/ENSG00000068383/ENSG00000185133/ENSG00000108389/ENSG00000130513/ENSG00000147535/ENSG00000077044/ENSG00000214456/ENSG00000169047/ENSG00000198825/ENSG00000115361/ENSG00000136044
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	319	-0.324676030704427	-1.65950502470598	1.47167509495158e-05	0.00701841852782407	0.00664887316582334	753	tags=32%, list=20%, signal=28%	ENSG00000113721/ENSG00000121068/ENSG00000168646/ENSG00000163909/ENSG00000132793/ENSG00000179094/ENSG00000159388/ENSG00000094631/ENSG00000185043/ENSG00000102119/ENSG00000160310/ENSG00000196843/ENSG00000084754/ENSG00000162430/ENSG00000108819/ENSG00000204388/ENSG00000166831/ENSG00000130766/ENSG00000162772/ENSG00000140526/ENSG00000100234/ENSG00000174233/ENSG00000181856/ENSG00000106211/ENSG00000116478/ENSG00000069431/ENSG00000010704/ENSG00000164104/ENSG00000160691/ENSG00000068971/ENSG00000004799/ENSG00000198727/ENSG00000160888/ENSG00000168477/ENSG00000124253/ENSG00000120129/ENSG00000159346/ENSG00000166986/ENSG00000125931/ENSG00000157150/ENSG00000170345/ENSG00000100600/ENSG00000242252/ENSG00000134250/ENSG00000178607/ENSG00000163328/ENSG00000143171/ENSG00000033867/ENSG00000148730/ENSG00000103319/ENSG00000108389/ENSG00000130513/ENSG00000006128/ENSG00000166033/ENSG00000087460/ENSG00000137154/ENSG00000174576/ENSG00000242265/ENSG00000075426/ENSG00000175445/ENSG00000142871/ENSG00000125740/ENSG00000204389/ENSG00000105409/ENSG00000114166/ENSG00000145708/ENSG00000134313/ENSG00000096384/ENSG00000225697/ENSG00000187678/ENSG00000137275/ENSG00000101311/ENSG00000108840/ENSG00000221926/ENSG00000117139/ENSG00000121671/ENSG00000140443/ENSG00000160999/ENSG00000110492/ENSG00000124181/ENSG00000169860/ENSG00000137218/ENSG00000132906/ENSG00000169047/ENSG00000102804/ENSG00000136869/ENSG00000136044/ENSG00000123358/ENSG00000116285/ENSG00000046651/ENSG00000173175/ENSG00000157613/ENSG00000159899/ENSG00000136826/ENSG00000198742/ENSG00000106070/ENSG00000077782/ENSG00000119508/ENSG00000213626/ENSG00000099822/ENSG00000153234/ENSG00000170145/ENSG00000157005
