	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000143878	RHOB	0.0791946118827835	0.011147819043122	2.96195200658171	0.00317468965530443	0.817408984484295	-2.10379634460103	ras homolog family member B
ENSG00000146966	DENND2A	-0.0303347099788184	-0.00329530878545109	-2.86214167555825	0.00435075136491748	0.817408984484295	-2.38190572246577	DENN domain containing 2A
ENSG00000011028	MRC2	-0.0413757543083566	-0.0036659922497648	-2.82908296425393	0.00482005251709945	0.817408984484295	-2.47197555103528	mannose receptor C-type 2
ENSG00000210077	NA	-0.185682995067288	-0.019037122650654	-2.80171462459987	0.00524281090802422	0.817408984484295	-2.54577087456671	NA
ENSG00000179029	TMEM107	0.0382022401000688	0.00504943748383415	2.72846539729447	0.00654444252661556	0.817408984484295	-2.73983867823951	transmembrane protein 107
ENSG00000286262	NA	-0.126497242451294	-0.0099240066982174	-2.70151881042024	0.00709225540367291	0.817408984484295	-2.80996991031968	NA
ENSG00000163347	CLDN1	-0.0602771113713181	-0.00520673122010463	-2.68157274140831	0.00752396895805969	0.817408984484295	-2.86144407830662	claudin 1
ENSG00000224389	C4B	0.0941922505762573	0.00956452152183462	2.66759846793589	0.00784035041768282	0.817408984484295	-2.89728518487223	complement C4B (Chido/Rodgers blood group)
ENSG00000235802	HCFC1-AS1	0.0862285576349286	0.000653626024450541	2.66707714551272	0.00785238113363079	0.817408984484295	-2.89861873070916	HCFC1 antisense RNA 1
ENSG00000279541	NA	0.0741602481147994	0.00555456790125216	2.65216719966545	0.00820355550461558	0.817408984484295	-2.93665071867149	NA
ENSG00000130684	ZNF337	0.0248949133913169	-0.00012828505708902	2.65188337765392	0.00821037490284199	0.817408984484295	-2.93737266645408	zinc finger protein 337
ENSG00000186340	THBS2	-0.0385264353346261	-0.00193067795907989	-2.64643903355034	0.00834217441252132	0.817408984484295	-2.95120663904808	thrombospondin 2
ENSG00000186056	MATN1-AS1	-0.0480532409362968	0.000175429196448181	-2.61557437757927	0.00912586199269319	0.817408984484295	-3.02910800682136	MATN1 antisense RNA 1
ENSG00000184385	UMODL1-AS1	0.05422878810168	0.00305726678686804	2.58118642317099	0.0100760515545817	0.817408984484295	-3.11484995877227	UMODL1 antisense RNA 1
ENSG00000183309	ZNF623	0.0354163649375271	0.000253907633801475	2.53801689191533	0.0113933501663976	0.817408984484295	-3.22091633009964	zinc finger protein 623
ENSG00000276337	NA	-0.0348771072659574	0.000534490547499326	-2.53689395881048	0.0114295721388227	0.817408984484295	-3.22365198820374	NA
ENSG00000258230	NA	0.0624555339804172	0.00196808349776529	2.50693106020454	0.0124346865650832	0.817408984484295	-3.29620906208985	NA
ENSG00000210112	NA	-0.144678166403236	-0.0131975932747413	-2.50619498607674	0.0124603364063999	0.817408984484295	-3.29798089101917	NA
ENSG00000177710	SLC35G5	-0.0559916228442393	-0.0093107940228547	-2.50581642610647	0.0124735462980533	0.817408984484295	-3.29889193713514	solute carrier family 35 member G5
ENSG00000122912	SLC25A16	0.0375795741240526	0.00284551982661405	2.49998284811375	0.0126786873253691	0.817408984484295	-3.3129140432073	solute carrier family 25 member 16
ENSG00000171621	SPSB1	-0.0393909893157955	0.000369490983733435	-2.47865676039969	0.0134543361785765	0.817408984484295	-3.36390291394477	splA/ryanodine receptor domain and SOCS box containing 1
ENSG00000263823	NA	0.0518688832960516	0.00630181582619567	2.47252956809399	0.0136848266374197	0.817408984484295	-3.3784733788771	NA
ENSG00000168303	MPLKIP	0.0435450759435598	0.00372644224007299	2.4393254710318	0.0149957160373487	0.817408984484295	-3.4568180481894	M-phase specific PLK1 interacting protein
ENSG00000261959	NA	-0.0841827974798817	-0.0136493939831761	-2.43607477379383	0.0151298277653208	0.817408984484295	-3.46443223330383	NA
