	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000273027	NA	0.197785535218843	0.0142499100101599	3.50031217089431	0.000498255229806369	0.913287858071304	-0.518289950842833	NA
ENSG00000136830	NIBAN2	0.0419940857889487	0.00260178664451149	3.47877588423102	0.000539216430387068	0.913287858071304	-0.590231074998661	niban apoptosis regulator 2
ENSG00000265972	TXNIP	0.150303193809318	0.0237513963006261	3.39705154315372	0.000725011362759832	0.913287858071304	-0.859345209342351	thioredoxin interacting protein
ENSG00000160271	RALGDS	0.0429750820579642	0.00693094789533096	3.36579415469894	0.000810672896179937	0.913287858071304	-0.960646837323504	ral guanine nucleotide dissociation stimulator
ENSG00000257643	NA	0.125118508317895	0.0122611626864381	3.26974127457304	0.00113641637887599	0.913287858071304	-1.26629497886676	NA
ENSG00000272236	NA	-0.158228618052242	-0.0148351915636073	-3.24720615178627	0.0012286819983856	0.913287858071304	-1.33676718948815	NA
ENSG00000061337	LZTS1	0.0521796707327379	0.00716954081372914	3.13758892088962	0.00178469404238959	0.913287858071304	-1.6728454009284	leucine zipper tumor suppressor 1
ENSG00000273576	NA	0.0549962482034002	0.00924067422717644	3.135902955187	0.00179482143478545	0.913287858071304	-1.67792728922842	NA
ENSG00000144339	TMEFF2	-0.0240467111424704	6.25896154720062e-05	-3.10664474595634	0.0019792202609283	0.913287858071304	-1.76569713892428	transmembrane protein with EGF like and two follistatin like domains 2
ENSG00000236753	MKLN1-AS	0.0429050697327796	0.000897911949772929	3.07829931353527	0.00217434306496943	0.913287858071304	-1.84996886858315	MKLN1 antisense RNA
ENSG00000162623	TYW3	-0.0394213794541792	-0.00208030426010535	-3.07547603330882	0.00219471594652332	0.913287858071304	-1.85832157480792	tRNA-yW synthesizing protein 3 homolog
ENSG00000100767	PAPLN	0.0683919731515308	0.00430329842367528	3.05451927556728	0.00235151031169955	0.913287858071304	-1.92009016687223	papilin, proteoglycan like sulfated glycoprotein
ENSG00000260011	NA	0.0841519071913897	0.00840972181925131	3.04287209074821	0.00244303443123539	0.913287858071304	-1.95424242942517	NA
ENSG00000024862	CCDC28A	0.042312387245488	0.00838272710313183	3.03942489801642	0.00247074276607692	0.913287858071304	-1.964326139749	coiled-coil domain containing 28A
ENSG00000246022	ALDH1L1-AS2	0.0926782660067989	0.00933265524981594	3.02485688324365	0.00259105154466894	0.913287858071304	-2.00681800748087	ALDH1L1 antisense RNA 2
ENSG00000287868	NA	0.0789843006172659	0.0121050380544473	3.01702914026366	0.00265789181527493	0.913287858071304	-2.02956811399974	NA
ENSG00000285672	NA	-0.0791124830630078	-0.0140935156597674	-3.00986018130288	0.00272048895003936	0.913287858071304	-2.05035339362628	NA
ENSG00000120057	SFRP5	0.118341703349386	0.00736837959808282	3.00296516483464	0.00278196512149925	0.913287858071304	-2.07029915391792	secreted frizzled related protein 5
ENSG00000161653	NAGS	0.119313010702265	0.0233602986502802	2.99306115171345	0.00287249691912895	0.913287858071304	-2.0988715942661	N-acetylglutamate synthase
ENSG00000204576	PRR3	0.0402356896050177	0.00556480332868961	2.98815598425324	0.00291832584447505	0.913287858071304	-2.11298876253192	proline rich 3
ENSG00000131015	ULBP2	-0.0831805849165074	-0.0127730609981031	-2.98156618206683	0.00298094743000457	0.913287858071304	-2.13191895950563	UL16 binding protein 2
ENSG00000122756	CNTFR	0.0486785279938109	0.008191078687796	2.95654311082351	0.00323009206476204	0.913287858071304	-2.20343185330086	ciliary neurotrophic factor receptor
