setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOCC_CYTOSOLIC_RIBOSOME	80	-0.589994866895419	-2.94399067650013	3.2390329832701e-14	1.0613563228779e-10	9.11768017628863e-11	777	tags=45%, list=13%, signal=40%	ENSG00000143947/ENSG00000122406/ENSG00000171863/ENSG00000083845/ENSG00000198755/ENSG00000174444/ENSG00000136942/ENSG00000089009/ENSG00000122026/ENSG00000188846/ENSG00000105640/ENSG00000109475/ENSG00000174748/ENSG00000089157/ENSG00000149806/ENSG00000100316/ENSG00000144713/ENSG00000182774/ENSG00000063177/ENSG00000148303/ENSG00000162244/ENSG00000167526/ENSG00000163682/ENSG00000182899/ENSG00000142937/ENSG00000131469/ENSG00000118181/ENSG00000105372/ENSG00000233927/ENSG00000147604/ENSG00000265681/ENSG00000137818/ENSG00000114391/ENSG00000008988/ENSG00000168028/ENSG00000177954
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	91	-0.564435633624338	-2.85816997959093	3.31933173691289e-14	1.0613563228779e-10	9.11768017628863e-11	777	tags=41%, list=13%, signal=36%	ENSG00000143947/ENSG00000122406/ENSG00000171863/ENSG00000083845/ENSG00000198755/ENSG00000174444/ENSG00000136942/ENSG00000089009/ENSG00000122026/ENSG00000188846/ENSG00000105640/ENSG00000109475/ENSG00000174748/ENSG00000089157/ENSG00000149806/ENSG00000100316/ENSG00000144713/ENSG00000182774/ENSG00000063177/ENSG00000112996/ENSG00000148303/ENSG00000162244/ENSG00000167526/ENSG00000163682/ENSG00000182899/ENSG00000142937/ENSG00000131469/ENSG00000118181/ENSG00000105372/ENSG00000233927/ENSG00000147604/ENSG00000265681/ENSG00000137818/ENSG00000114391/ENSG00000008988/ENSG00000168028/ENSG00000177954
GOCC_RIBOSOMAL_SUBUNIT	93	-0.55464657173236	-2.80417425539589	1.38110447970154e-13	2.94405438256378e-10	2.5291172910745e-10	777	tags=40%, list=13%, signal=35%	ENSG00000143947/ENSG00000122406/ENSG00000171863/ENSG00000083845/ENSG00000198755/ENSG00000174444/ENSG00000136942/ENSG00000089009/ENSG00000122026/ENSG00000188846/ENSG00000105640/ENSG00000109475/ENSG00000174748/ENSG00000089157/ENSG00000149806/ENSG00000100316/ENSG00000144713/ENSG00000182774/ENSG00000063177/ENSG00000112996/ENSG00000148303/ENSG00000162244/ENSG00000167526/ENSG00000163682/ENSG00000182899/ENSG00000142937/ENSG00000131469/ENSG00000118181/ENSG00000105372/ENSG00000233927/ENSG00000147604/ENSG00000265681/ENSG00000137818/ENSG00000114391/ENSG00000008988/ENSG00000168028/ENSG00000177954
GOBP_CYTOPLASMIC_TRANSLATION	105	-0.514907200525368	-2.71634571190341	1.16949300506321e-12	1.8697269418448e-09	1.60620631405918e-09	777	tags=40%, list=13%, signal=35%	ENSG00000143947/ENSG00000163950/ENSG00000138617/ENSG00000122406/ENSG00000152804/ENSG00000171863/ENSG00000083845/ENSG00000198755/ENSG00000174444/ENSG00000136942/ENSG00000089009/ENSG00000122026/ENSG00000188846/ENSG00000105640/ENSG00000109475/ENSG00000174748/ENSG00000089157/ENSG00000149806/ENSG00000214575/ENSG00000100316/ENSG00000144713/ENSG00000182774/ENSG00000063177/ENSG00000173933/ENSG00000156976/ENSG00000148303/ENSG00000162244/ENSG00000167526/ENSG00000163682/ENSG00000182899/ENSG00000142937/ENSG00000131469/ENSG00000118181/ENSG00000105372/ENSG00000233927/ENSG00000147604/ENSG00000265681/ENSG00000137818/ENSG00000114391/ENSG00000008988/ENSG00000168028/ENSG00000177954
GOCC_RIBOSOME	116	-0.463872098015661	-2.42792107354019	4.26667382650919e-11	5.45707582410525e-08	4.68795172643189e-08	777	tags=33%, list=13%, signal=29%	ENSG00000143947/ENSG00000122406/ENSG00000171863/ENSG00000083845/ENSG00000198755/ENSG00000174444/ENSG00000136942/ENSG00000089009/ENSG00000122026/ENSG00000188846/ENSG00000105640/ENSG00000109475/ENSG00000174748/ENSG00000089157/ENSG00000149806/ENSG00000100316/ENSG00000144713/ENSG00000182774/ENSG00000063177/ENSG00000112996/ENSG00000148303/ENSG00000162244/ENSG00000167526/ENSG00000163682/ENSG00000182899/ENSG00000142937/ENSG00000131469/ENSG00000118181/ENSG00000105372/ENSG00000233927/ENSG00000147604/ENSG00000265681/ENSG00000137818/ENSG00000114391/ENSG00000187522/ENSG00000008988/ENSG00000168028/ENSG00000177954
GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	44	-0.661701832148997	-2.94198446494082	1.34876173600238e-10	1.43755521695587e-07	1.23494517547305e-07	579	tags=55%, list=10%, signal=50%	ENSG00000122406/ENSG00000198755/ENSG00000174444/ENSG00000136942/ENSG00000089009/ENSG00000122026/ENSG00000188846/ENSG00000105640/ENSG00000109475/ENSG00000174748/ENSG00000089157/ENSG00000144713/ENSG00000063177/ENSG00000148303/ENSG00000162244/ENSG00000167526/ENSG00000163682/ENSG00000182899/ENSG00000131469/ENSG00000169245/ENSG00000147604/ENSG00000265681/ENSG00000137818/ENSG00000114391
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	50	-0.629741447512301	-2.88369299819393	1.603979412283e-10	1.46534976307854e-07	1.25882233875263e-07	746	tags=54%, list=13%, signal=48%	ENSG00000130513/ENSG00000122406/ENSG00000198755/ENSG00000174444/ENSG00000136942/ENSG00000089009/ENSG00000122026/ENSG00000188846/ENSG00000105640/ENSG00000109475/ENSG00000174748/ENSG00000089157/ENSG00000144713/ENSG00000063177/ENSG00000148303/ENSG00000162244/ENSG00000167526/ENSG00000163682/ENSG00000182899/ENSG00000131469/ENSG00000169245/ENSG00000147604/ENSG00000265681/ENSG00000137818/ENSG00000138755/ENSG00000114391/ENSG00000108700
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	46	-0.642817593532575	-2.89744671105452	3.19028313598961e-10	2.55023258183169e-07	2.19080101141181e-07	579	tags=52%, list=10%, signal=47%	ENSG00000122406/ENSG00000198755/ENSG00000174444/ENSG00000136942/ENSG00000089009/ENSG00000122026/ENSG00000188846/ENSG00000105640/ENSG00000109475/ENSG00000174748/ENSG00000089157/ENSG00000100316/ENSG00000144713/ENSG00000063177/ENSG00000148303/ENSG00000162244/ENSG00000167526/ENSG00000163682/ENSG00000182899/ENSG00000131469/ENSG00000147604/ENSG00000265681/ENSG00000137818/ENSG00000114391
GOCC_LARGE_RIBOSOMAL_SUBUNIT	58	-0.569799347121476	-2.64234544705003	1.99820424179644e-09	1.41983512514314e-06	1.21972256584042e-06	579	tags=41%, list=10%, signal=38%	ENSG00000198755/ENSG00000174444/ENSG00000136942/ENSG00000089009/ENSG00000122026/ENSG00000188846/ENSG00000105640/ENSG00000109475/ENSG00000174748/ENSG00000089157/ENSG00000100316/ENSG00000144713/ENSG00000063177/ENSG00000112996/ENSG00000148303/ENSG00000162244/ENSG00000167526/ENSG00000163682/ENSG00000182899/ENSG00000131469/ENSG00000147604/ENSG00000265681/ENSG00000137818/ENSG00000114391
GOMF_CELL_ADHESION_MOLECULE_BINDING	237	0.429125901511293	1.86712917946915	3.9622278146978e-09	2.30349517045386e-06	1.97883894401032e-06	945	tags=33%, list=16%, signal=29%	ENSG00000253485/ENSG00000130702/ENSG00000100266/ENSG00000107438/ENSG00000149115/ENSG00000111057/ENSG00000082438/ENSG00000149564/ENSG00000135046/ENSG00000177697/ENSG00000213949/ENSG00000182718/ENSG00000204936/ENSG00000142634/ENSG00000108622/ENSG00000104881/ENSG00000147065/ENSG00000089327/ENSG00000184640/ENSG00000102572/ENSG00000082781/ENSG00000131042/ENSG00000002834/ENSG00000172037/ENSG00000161638/ENSG00000106823/ENSG00000187244/ENSG00000110799/ENSG00000197702/ENSG00000064666/ENSG00000067057/ENSG00000163191/ENSG00000115170/ENSG00000158710/ENSG00000156453/ENSG00000213719/ENSG00000124164/ENSG00000136167/ENSG00000125753/ENSG00000089154/ENSG00000130202/ENSG00000134333/ENSG00000169862/ENSG00000120328/ENSG00000149782/ENSG00000138594/ENSG00000142627/ENSG00000276547/ENSG00000124831/ENSG00000261934/ENSG00000073008/ENSG00000262209/ENSG00000177106/ENSG00000103966/ENSG00000117592/ENSG00000163993/ENSG00000132470/ENSG00000138623/ENSG00000142186/ENSG00000110395/ENSG00000214063/ENSG00000140545/ENSG00000213853/ENSG00000171603/ENSG00000077942/ENSG00000105355/ENSG00000262576/ENSG00000144283/ENSG00000108518/ENSG00000115306/ENSG00000133961/ENSG00000198561/ENSG00000096696/ENSG00000141551/ENSG00000091409/ENSG00000108953/ENSG00000005844/ENSG00000110321/ENSG00000185624
