	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000163083	INHBB	0.117629237926409	0.00477299979794501	3.234325929726	0.0012843792043795	0.930652904312639	-1.32564645053218	inhibin subunit beta B
ENSG00000175164	ABO	0.0414035424817584	0.00506305302101987	3.18497537423693	0.00152059036674802	0.930652904312639	-1.47714304793347	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ENSG00000173535	TNFRSF10C	0.0462553798719141	0.00451299880735853	3.17016068302442	0.00159896632217373	0.930652904312639	-1.52218185315118	TNF receptor superfamily member 10c
ENSG00000255142	NA	0.121728874853507	0.00358816554620323	3.14810653451943	0.00172256750076077	0.930652904312639	-1.58885345031802	NA
ENSG00000258498	DIO3OS	0.113200241147571	0.0103222546720919	3.05254092853781	0.00236667348477341	0.930652904312639	-1.87254870185502	DIO3 opposite strand upstream RNA
ENSG00000238113	PTGER4P2-CDK2AP2P2	0.0924703897961017	0.00621369010982622	3.04369661709899	0.00243628891731998	0.930652904312639	-1.89837545246422	PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene
ENSG00000198301	SDAD1	0.0341051826574269	-8.25754492829037e-05	3.03632613114569	0.00249573330213035	0.930652904312639	-1.91984289932634	SDA1 domain containing 1
ENSG00000224631	RPS27AP16	-0.121068623606449	-0.0203923134595903	-3.02784527455516	0.00256577718119009	0.930652904312639	-1.94448198468216	RPS27A pseudogene 16
ENSG00000256448	NA	0.134128128733716	0.0126582142915568	3.01763309801511	0.00265250968982976	0.930652904312639	-1.97406229627553	NA
ENSG00000162885	B3GALNT2	0.0207021653937511	0.00236994533625869	2.96331447529918	0.00316067069147949	0.930652904312639	-2.12977012096229	beta-1,3-N-acetylgalactosaminyltransferase 2
ENSG00000244313	NA	-0.0894723614802283	-0.0136991129602449	-2.93761016382505	0.00343088397064647	0.930652904312639	-2.20249580174256	NA
ENSG00000185641	NA	-0.110550141274537	-0.0179344094679546	-2.93546809281936	0.00345432765719849	0.930652904312639	-2.20852861710612	NA
ENSG00000096060	FKBP5	0.105954702609883	0.015301047330318	2.91765791904574	0.00365498225849444	0.930652904312639	-2.25852264424082	FKBP prolyl isomerase 5
ENSG00000228878	SEPTIN7-DT	-0.0316307486498924	-0.00304075337571517	-2.91712760042264	0.00366111666149324	0.930652904312639	-2.26000674090013	SEPTIN7 divergent transcript
ENSG00000256124	LINC01152	-0.0401234583783914	-0.00511524715367944	-2.90940007918661	0.00375157498663321	0.930652904312639	-2.2816024572573	long intergenic non-protein coding RNA 1152
ENSG00000070476	ZXDC	0.0308848759325937	0.00433445531632843	2.89567564072702	0.00391726795147967	0.930652904312639	-2.3198201612632	ZXD family zinc finger C
ENSG00000169026	SLC49A3	0.0628458387360718	-0.000266037883369752	2.8930630494376	0.00394955422067628	0.930652904312639	-2.3270753947	solute carrier family 49 member 3
ENSG00000235552	RPL6P27	-0.0914346711239432	-0.0155577121033994	-2.88313358001882	0.00407448399321334	0.930652904312639	-2.35459168393487	ribosomal protein L6 pseudogene 27
ENSG00000139946	PELI2	-0.0211845689479447	-0.00350040206217821	-2.88284493769848	0.00407816879968455	0.930652904312639	-2.35539018584514	pellino E3 ubiquitin protein ligase family member 2
ENSG00000187815	ZFP69	-0.038554599082489	-0.00201634470979153	-2.86246743586035	0.00434609991224478	0.930652904312639	-2.41156607187429	ZFP69 zinc finger protein
ENSG00000101337	TM9SF4	0.0293009307812851	0.00378549300050891	2.85477712170689	0.00445130451659714	0.930652904312639	-2.43266564744148	transmembrane 9 superfamily member 4
