setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOCC_CHROMATIN	476	-0.322331702685414	-1.82159037855717	1.09530647334647e-09	7.52256485894356e-06	6.94654894938157e-06	1910	tags=41%, list=28%, signal=32%	ENSG00000083635/ENSG00000073614/ENSG00000149115/ENSG00000131759/ENSG00000160208/ENSG00000173757/ENSG00000119048/ENSG00000139146/ENSG00000119042/ENSG00000175592/ENSG00000101544/ENSG00000131408/ENSG00000138668/ENSG00000164104/ENSG00000071243/ENSG00000102054/ENSG00000132382/ENSG00000092067/ENSG00000125952/ENSG00000068305/ENSG00000197451/ENSG00000171056/ENSG00000128915/ENSG00000073050/ENSG00000120798/ENSG00000146592/ENSG00000182979/ENSG00000174579/ENSG00000180530/ENSG00000163132/ENSG00000184221/ENSG00000155827/ENSG00000076108/ENSG00000116288/ENSG00000104517/ENSG00000005513/ENSG00000123268/ENSG00000124177/ENSG00000112592/ENSG00000139651/ENSG00000177485/ENSG00000050344/ENSG00000081189/ENSG00000198157/ENSG00000025293/ENSG00000112033/ENSG00000111269/ENSG00000159055/ENSG00000187098/ENSG00000106400/ENSG00000011332/ENSG00000105722/ENSG00000149480/ENSG00000140632/ENSG00000077150/ENSG00000173039/ENSG00000169926/ENSG00000147133/ENSG00000165097/ENSG00000118418/ENSG00000125820/ENSG00000197879/ENSG00000245848/ENSG00000152467/ENSG00000172819/ENSG00000278828/ENSG00000169155/ENSG00000121892/ENSG00000174243/ENSG00000114166/ENSG00000143171/ENSG00000104856/ENSG00000177551/ENSG00000165732/ENSG00000133422/ENSG00000170365/ENSG00000258315/ENSG00000168137/ENSG00000115738/ENSG00000132475/ENSG00000113575/ENSG00000173575/ENSG00000178573/ENSG00000274290/ENSG00000177463/ENSG00000143995/ENSG00000099954/ENSG00000111145/ENSG00000198517/ENSG00000171988/ENSG00000174306/ENSG00000144485/ENSG00000198604/ENSG00000184486/ENSG00000145241/ENSG00000130584/ENSG00000169016/ENSG00000101945/ENSG00000187837/ENSG00000109787/ENSG00000062650/ENSG00000169375/ENSG00000171316/ENSG00000163374/ENSG00000143190/ENSG00000152795/ENSG00000102038/ENSG00000100644/ENSG00000116670/ENSG00000090447/ENSG00000072364/ENSG00000151612/ENSG00000109320/ENSG00000126756/ENSG00000168556/ENSG00000156384/ENSG00000184271/ENSG00000118707/ENSG00000164576/ENSG00000189060/ENSG00000273542/ENSG00000168453/ENSG00000183770/ENSG00000183337/ENSG00000118971/ENSG00000147488/ENSG00000079432/ENSG00000153487/ENSG00000141380/ENSG00000273703/ENSG00000083168/ENSG00000277258/ENSG00000159259/ENSG00000153879/ENSG00000120733/ENSG00000117505/ENSG00000185130/ENSG00000101189/ENSG00000111642/ENSG00000154920/ENSG00000134323/ENSG00000158373/ENSG00000117707/ENSG00000184481/ENSG00000106723/ENSG00000156650/ENSG00000165156/ENSG00000198914/ENSG00000169925/ENSG00000103549/ENSG00000127663/ENSG00000180596/ENSG00000073111/ENSG00000197409/ENSG00000148229/ENSG00000139613/ENSG00000100281/ENSG00000095794/ENSG00000164032/ENSG00000125817/ENSG00000105516/ENSG00000180573/ENSG00000102221/ENSG00000117036/ENSG00000198911/ENSG00000159256/ENSG00000118260/ENSG00000171634/ENSG00000177683/ENSG00000164379/ENSG00000184270/ENSG00000129292/ENSG00000198830/ENSG00000162599/ENSG00000113658/ENSG00000147862/ENSG00000148516/ENSG00000188177/ENSG00000100811/ENSG00000181218/ENSG00000124795/ENSG00000125285/ENSG00000168283/ENSG00000094916/ENSG00000005889/ENSG00000134595/ENSG00000054267/ENSG00000139352/ENSG00000275052/ENSG00000168214/ENSG00000143401/ENSG00000077097/ENSG00000008441/ENSG00000113580/ENSG00000048649
GOCC_MITOCHONDRIAL_MATRIX	231	0.396332522730672	1.99779362409237	4.72623370267295e-09	1.62298865349789e-05	1.49871358203182e-05	1690	tags=41%, list=25%, signal=32%	ENSG00000182810/ENSG00000215251/ENSG00000111271/ENSG00000166902/ENSG00000106077/ENSG00000131368/ENSG00000151498/ENSG00000104835/ENSG00000139531/ENSG00000128928/ENSG00000174173/ENSG00000003509/ENSG00000137714/ENSG00000072778/ENSG00000067829/ENSG00000105364/ENSG00000262814/ENSG00000178694/ENSG00000004799/ENSG00000100412/ENSG00000148824/ENSG00000177192/ENSG00000120662/ENSG00000158042/ENSG00000108561/ENSG00000157184/ENSG00000124523/ENSG00000132591/ENSG00000133943/ENSG00000121897/ENSG00000100889/ENSG00000157036/ENSG00000135828/ENSG00000112304/ENSG00000161653/ENSG00000163382/ENSG00000105607/ENSG00000156928/ENSG00000158941/ENSG00000004142/ENSG00000101391/ENSG00000116898/ENSG00000127952/ENSG00000158578/ENSG00000165688/ENSG00000143374/ENSG00000213619/ENSG00000256525/ENSG00000131844/ENSG00000127884/ENSG00000205981/ENSG00000181192/ENSG00000086504/ENSG00000144029/ENSG00000197580/ENSG00000170502/ENSG00000168291/ENSG00000161267/ENSG00000008311/ENSG00000172590/ENSG00000151093/ENSG00000105953/ENSG00000144182/ENSG00000213995/ENSG00000267673/ENSG00000089163/ENSG00000139637/ENSG00000117481/ENSG00000108826/ENSG00000185608/ENSG00000166548/ENSG00000128311/ENSG00000162836/ENSG00000084754/ENSG00000138399/ENSG00000062582/ENSG00000132300/ENSG00000175536/ENSG00000142168/ENSG00000110871/ENSG00000144381/ENSG00000119689/ENSG00000135441/ENSG00000149792/ENSG00000112110/ENSG00000141219/ENSG00000043514/ENSG00000115541/ENSG00000243927/ENSG00000156502/ENSG00000137288/ENSG00000156990/ENSG00000172053/ENSG00000138095
GOBP_CYTOPLASMIC_TRANSLATION	65	-0.572378594228558	-2.4481003340369	1.43499667231996e-08	3.2851857151645e-05	3.03363331604483e-05	1684	tags=57%, list=25%, signal=43%	ENSG00000140988/ENSG00000147403/ENSG00000138617/ENSG00000265681/ENSG00000143947/ENSG00000120705/ENSG00000214575/ENSG00000171858/ENSG00000174953/ENSG00000204628/ENSG00000132478/ENSG00000177954/ENSG00000229117/ENSG00000167658/ENSG00000142534/ENSG00000198755/ENSG00000124614/ENSG00000131469/ENSG00000114503/ENSG00000009307/ENSG00000100226/ENSG00000070756/ENSG00000105372/ENSG00000104529/ENSG00000065978/ENSG00000171863/ENSG00000105193/ENSG00000198242/ENSG00000134419/ENSG00000105640/ENSG00000089157/ENSG00000182899/ENSG00000083845/ENSG00000169714/ENSG00000110700/ENSG00000175390/ENSG00000213553
GOBP_CHROMATIN_ORGANIZATION	339	-0.330090831676198	-1.80865520973396	8.6195958725473e-08	0.000147998461131637	0.000136665960873941	1693	tags=38%, list=25%, signal=30%	ENSG00000141858/ENSG00000182979/ENSG00000174579/ENSG00000100387/ENSG00000117419/ENSG00000109111/ENSG00000167548/ENSG00000155827/ENSG00000076108/ENSG00000163781/ENSG00000104517/ENSG00000124177/ENSG00000012048/ENSG00000121931/ENSG00000198157/ENSG00000025293/ENSG00000159055/ENSG00000065526/ENSG00000132716/ENSG00000106400/ENSG00000176619/ENSG00000011332/ENSG00000149480/ENSG00000140632/ENSG00000173039/ENSG00000147133/ENSG00000165097/ENSG00000126457/ENSG00000118418/ENSG00000160294/ENSG00000068878/ENSG00000197879/ENSG00000123374/ENSG00000156256/ENSG00000278828/ENSG00000174243/ENSG00000114166/ENSG00000162961/ENSG00000020922/ENSG00000165732/ENSG00000133422/ENSG00000136144/ENSG00000258315/ENSG00000168137/ENSG00000163257/ENSG00000132475/ENSG00000173575/ENSG00000156030/ENSG00000274290/ENSG00000119720/ENSG00000170234/ENSG00000099954/ENSG00000244509/ENSG00000171988/ENSG00000147050/ENSG00000198604/ENSG00000158636/ENSG00000169016/ENSG00000101945/ENSG00000187837/ENSG00000062650/ENSG00000111727/ENSG00000169375/ENSG00000171316/ENSG00000178163/ENSG00000102038/ENSG00000118900/ENSG00000151612/ENSG00000162601/ENSG00000118058/ENSG00000168556/ENSG00000189060/ENSG00000273542/ENSG00000168453/ENSG00000183337/ENSG00000132326/ENSG00000153487/ENSG00000141380/ENSG00000273703/ENSG00000083168/ENSG00000277258/ENSG00000126804/ENSG00000159259/ENSG00000120733/ENSG00000185130/ENSG00000101189/ENSG00000111642/ENSG00000134323/ENSG00000158373/ENSG00000113368/ENSG00000106723/ENSG00000156650/ENSG00000166439/ENSG00000198586/ENSG00000169925/ENSG00000103549/ENSG00000127663/ENSG00000180596/ENSG00000148335/ENSG00000073111/ENSG00000197409/ENSG00000148229/ENSG00000160633/ENSG00000139613/ENSG00000108840/ENSG00000187514/ENSG00000164032/ENSG00000132383/ENSG00000180573/ENSG00000102221/ENSG00000159256/ENSG00000171634/ENSG00000184270/ENSG00000185219/ENSG00000198830/ENSG00000084093/ENSG00000281128/ENSG00000146918/ENSG00000100811/ENSG00000181218/ENSG00000124795/ENSG00000168283/ENSG00000094916/ENSG00000054267/ENSG00000102241/ENSG00000100784/ENSG00000143401/ENSG00000113580/ENSG00000048649
GOCC_CYTOSOLIC_RIBOSOME	38	-0.617468790801735	-2.34909496333	1.1214264882826e-06	0.00147335286227017	0.00136053566428252	1684	tags=68%, list=25%, signal=52%	ENSG00000140988/ENSG00000147403/ENSG00000265681/ENSG00000143947/ENSG00000120705/ENSG00000171858/ENSG00000204628/ENSG00000177954/ENSG00000164163/ENSG00000229117/ENSG00000142534/ENSG00000198755/ENSG00000124614/ENSG00000131469/ENSG00000105372/ENSG00000156508/ENSG00000171863/ENSG00000105193/ENSG00000198242/ENSG00000134419/ENSG00000105640/ENSG00000089157/ENSG00000182899/ENSG00000083845/ENSG00000110700/ENSG00000213553
HP_ABNORMAL_ENZYME_CONCENTRATION_OR_ACTIVITY	306	0.335184868350324	1.7494457971888	1.28714577367807e-06	0.00147335286227017	0.00136053566428252	1998	tags=45%, list=29%, signal=34%	ENSG00000162885/ENSG00000126522/ENSG00000181027/ENSG00000163932/ENSG00000166986/ENSG00000125124/ENSG00000110090/ENSG00000083444/ENSG00000011143/ENSG00000122126/ENSG00000244734/ENSG00000074582/ENSG00000139531/ENSG00000128928/ENSG00000138002/ENSG00000128604/ENSG00000196305/ENSG00000174611/ENSG00000174173/ENSG00000151617/ENSG00000178537/ENSG00000151552/ENSG00000072778/ENSG00000060642/ENSG00000115204/ENSG00000108561/ENSG00000168811/ENSG00000047457/ENSG00000169692/ENSG00000157184/ENSG00000122863/ENSG00000160584/ENSG00000044446/ENSG00000102893/ENSG00000172269/ENSG00000103005/ENSG00000121897/ENSG00000175283/ENSG00000100889/ENSG00000184979/ENSG00000158517/ENSG00000161653/ENSG00000125779/ENSG00000116096/ENSG00000156709/ENSG00000105607/ENSG00000198899/ENSG00000135899/ENSG00000151445/ENSG00000158578/ENSG00000161217/ENSG00000142655/ENSG00000149476/ENSG00000137496/ENSG00000140650/ENSG00000256525/ENSG00000131844/ENSG00000101347/ENSG00000205981/ENSG00000004766/ENSG00000178802/ENSG00000178623/ENSG00000177628/ENSG00000048342/ENSG00000128039/ENSG00000155465/ENSG00000277161/ENSG00000008311/ENSG00000000971/ENSG00000174917/ENSG00000068308/ENSG00000105851/ENSG00000114491/ENSG00000205403/ENSG00000105953/ENSG00000144182/ENSG00000096996/ENSG00000123191/ENSG00000148985/ENSG00000051523/ENSG00000115486/ENSG00000157353/ENSG00000110719/ENSG00000146070/ENSG00000010704/ENSG00000084754/ENSG00000071553/ENSG00000168000/ENSG00000100360/ENSG00000175536/ENSG00000160801/ENSG00000092929/ENSG00000172037/ENSG00000137106/ENSG00000090581/ENSG00000182492/ENSG00000133835/ENSG00000046651/ENSG00000108784/ENSG00000160746/ENSG00000256269/ENSG00000106327/ENSG00000069943/ENSG00000116120/ENSG00000100983/ENSG00000179218/ENSG00000093072/ENSG00000125877/ENSG00000184056/ENSG00000177000/ENSG00000100504/ENSG00000171791/ENSG00000108479/ENSG00000161011/ENSG00000196839/ENSG00000138095/ENSG00000125863/ENSG00000184381/ENSG00000103051/ENSG00000141655/ENSG00000167113/ENSG00000136997/ENSG00000167588/ENSG00000160789/ENSG00000143891/ENSG00000117305/ENSG00000181523/ENSG00000156515/ENSG00000197858/ENSG00000105329/ENSG00000087111/ENSG00000096968/ENSG00000182512/ENSG00000018510/ENSG00000234745/ENSG00000115267/ENSG00000140326/ENSG00000103150/ENSG00000115275
GOBP_DETOXIFICATION	71	0.506419411292557	2.1462856259752	1.97166857899213e-06	0.00183824445365577	0.00169748687019527	1481	tags=42%, list=22%, signal=33%	ENSG00000125144/ENSG00000085871/ENSG00000117791/ENSG00000188536/ENSG00000169715/ENSG00000271303/ENSG00000205364/ENSG00000257017/ENSG00000206172/ENSG00000109610/ENSG00000244734/ENSG00000080546/ENSG00000187193/ENSG00000047457/ENSG00000087250/ENSG00000132965/ENSG00000065621/ENSG00000125148/ENSG00000163406/ENSG00000160179/ENSG00000114770/ENSG00000177225/ENSG00000123191/ENSG00000186205/ENSG00000127838/ENSG00000173992/ENSG00000167468/ENSG00000117592/ENSG00000142168/ENSG00000008394
HP_ABNORMAL_HEPATOBILIARY_SYSTEM_PHYSIOLOGY	100	0.451978535625669	2.02019755444939	2.14122825120067e-06	0.00183824445365577	0.00169748687019527	1380	tags=40%, list=20%, signal=32%	ENSG00000126522/ENSG00000166986/ENSG00000110090/ENSG00000244734/ENSG00000074582/ENSG00000142186/ENSG00000138002/ENSG00000128604/ENSG00000196305/ENSG00000174173/ENSG00000178537/ENSG00000115204/ENSG00000168811/ENSG00000157184/ENSG00000103005/ENSG00000100889/ENSG00000161653/ENSG00000198899/ENSG00000135899/ENSG00000142655/ENSG00000137496/ENSG00000256525/ENSG00000033011/ENSG00000004766/ENSG00000124587/ENSG00000178802/ENSG00000166140/ENSG00000178623/ENSG00000177628/ENSG00000048342/ENSG00000155465/ENSG00000174917/ENSG00000103313/ENSG00000144182/ENSG00000096996/ENSG00000123191/ENSG00000010704/ENSG00000084754/ENSG00000177156/ENSG00000092929
GOBP_MITOCHONDRIAL_TRANSLATION	56	0.535721205669603	2.14403444053734	2.55500572803531e-06	0.00194975326001628	0.00180045725279681	1690	tags=52%, list=25%, signal=39%	ENSG00000166902/ENSG00000131368/ENSG00000104835/ENSG00000174173/ENSG00000105364/ENSG00000262814/ENSG00000178694/ENSG00000148824/ENSG00000120662/ENSG00000158042/ENSG00000108561/ENSG00000156928/ENSG00000101391/ENSG00000116898/ENSG00000143374/ENSG00000183978/ENSG00000086504/ENSG00000144029/ENSG00000172590/ENSG00000108826/ENSG00000185608/ENSG00000062582/ENSG00000132300/ENSG00000149792/ENSG00000112110/ENSG00000243927/ENSG00000137288/ENSG00000156990/ENSG00000138095
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE	103	0.447630067018227	2.01633591294646	5.14275320830456e-06	0.00297379722215928	0.00274608838296749	1481	tags=39%, list=22%, signal=31%	ENSG00000163083/ENSG00000125144/ENSG00000085871/ENSG00000117791/ENSG00000188536/ENSG00000169715/ENSG00000271303/ENSG00000205364/ENSG00000257017/ENSG00000206172/ENSG00000109610/ENSG00000244734/ENSG00000080546/ENSG00000151617/ENSG00000143819/ENSG00000187193/ENSG00000047457/ENSG00000137274/ENSG00000087250/ENSG00000132965/ENSG00000156709/ENSG00000065621/ENSG00000125148/ENSG00000160323/ENSG00000232810/ENSG00000163406/ENSG00000198848/ENSG00000160179/ENSG00000114770/ENSG00000177225/ENSG00000198835/ENSG00000123191/ENSG00000186205/ENSG00000127838/ENSG00000173992/ENSG00000167468/ENSG00000148346/ENSG00000117592/ENSG00000142168/ENSG00000008394
