	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000173535	TNFRSF10C	0.0501254176270772	0.00451299880735853	3.49398062121137	0.000509986294751664	0.91539160938854	-0.494510501739188	TNF receptor superfamily member 10c
ENSG00000163083	INHBB	0.121202149502272	0.00477299979794501	3.33347869298448	0.000909063644352848	0.91539160938854	-1.01750592173972	inhibin subunit beta B
ENSG00000175164	ABO	0.0430758538016017	0.00506305302101987	3.32081677827955	0.000950554876540272	0.91539160938854	-1.05775722112548	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ENSG00000255142	NA	0.126022693660202	0.00358816554620323	3.26239516153837	0.00116576533219955	0.91539160938854	-1.24156202428821	NA
ENSG00000256448	NA	0.141130224980395	0.0126582142915568	3.18907179191329	0.00149967238862841	0.91539160938854	-1.46779295066134	NA
ENSG00000258498	DIO3OS	0.116089777183605	0.0103222546720919	3.12830392742109	0.00184113075849504	0.91539160938854	-1.65151756042203	DIO3 opposite strand upstream RNA
ENSG00000163626	COX18	-0.031260428811213	0.000563672750618216	-3.06665617755263	0.00225949812316289	0.91539160938854	-1.83440574371879	cytochrome c oxidase assembly factor COX18
ENSG00000256124	LINC01152	-0.0418871620980022	-0.00511524715367944	-3.0437131329642	0.00243632044148076	0.91539160938854	-1.9015694703938	long intergenic non-protein coding RNA 1152
ENSG00000198081	ZBTB14	-0.0450898445404007	-0.00378854002333026	-3.02915657981145	0.00255499882305377	0.91539160938854	-1.94392893084415	zinc finger and BTB domain containing 14
ENSG00000162885	B3GALNT2	0.0211555361631287	0.00236994533625869	3.02503755916655	0.0025895300964915	0.91539160938854	-1.95587950289939	beta-1,3-N-acetylgalactosaminyltransferase 2
ENSG00000169026	SLC49A3	0.0654648977762409	-0.000266037883369752	3.01845415827384	0.00264561034365604	0.91539160938854	-1.97494726539618	solute carrier family 49 member 3
ENSG00000224631	RPS27AP16	-0.118969231288372	-0.0203923134595903	-2.97064642044728	0.00308742993216553	0.91539160938854	-2.11220530914523	RPS27A pseudogene 16
ENSG00000173681	BCLAF3	-0.0207044614472893	-0.000911872494538021	-2.958692074021	0.00320797522230938	0.91539160938854	-2.14619425659409	BCLAF1 and THRAP3 family member 3
ENSG00000238113	PTGER4P2-CDK2AP2P2	0.0898205609449434	0.00621369010982622	2.95566755702726	0.00323914782818049	0.91539160938854	-2.1547725543515	PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene
ENSG00000228878	SEPTIN7-DT	-0.0317671493546509	-0.00304075337571517	-2.92321177822006	0.00359150716115304	0.91539160938854	-2.24628887160839	SEPTIN7 divergent transcript
ENSG00000119777	TMEM214	0.0305799636117785	0.00218012115096608	2.90808909537357	0.00376733603714147	0.91539160938854	-2.28859526289828	transmembrane protein 214
ENSG00000048649	RSF1	-0.0252340152222016	-0.00300169241308709	-2.90229110985845	0.00383680264899597	0.91539160938854	-2.30475881994493	remodeling and spacing factor 1
ENSG00000096060	FKBP5	0.105322067438552	0.015301047330318	2.89376131282218	0.00394112159360308	0.91539160938854	-2.32848107601438	FKBP prolyl isomerase 5
ENSG00000139946	PELI2	-0.0212785910682434	-0.00350040206217821	-2.8894285758686	0.00399509372980271	0.91539160938854	-2.34050486657047	pellino E3 ubiquitin protein ligase family member 2
ENSG00000187815	ZFP69	-0.0388142825950296	-0.00201634470979153	-2.8754620898186	0.00417368263684761	0.91539160938854	-2.37914402063487	ZFP69 zinc finger protein
ENSG00000215016	RPL24P7	-0.0823775080944067	-0.0086501483034819	-2.87017629974336	0.00424314435590505	0.91539160938854	-2.39371998311097	RPL24 pseudogene 7
ENSG00000101337	TM9SF4	0.0294962756463645	0.00378549300050891	2.86761474768891	0.00427718292987637	0.91539160938854	-2.400774269301	transmembrane 9 superfamily member 4
ENSG00000198301	SDAD1	0.0318920108600711	-8.25754492829037e-05	2.86277632438876	0.00434215518449587	0.91539160938854	-2.4140821364736	SDA1 domain containing 1
ENSG00000125144	MT1G	0.236173679662928	0.0173013560168017	2.86223265676834	0.00434951154491719	0.91539160938854	-2.41557610348008	metallothionein 1G
ENSG00000117791	MTARC2	0.0303716390079371	-0.00170545035682333	2.862074009779	0.0043516603292334	0.91539160938854	-2.41601200414446	mitochondrial amidoxime reducing component 2
ENSG00000164118	CEP44	-0.0294144916769731	-0.00235718493008543	-2.86169276838969	0.00435682797475998	0.91539160938854	-2.41705941213459	centrosomal protein 44
ENSG00000275580	NA	-0.106309595225504	-0.00596028069282293	-2.85562054960795	0.00443989083952888	0.91539160938854	-2.43372369053058	NA
ENSG00000244313	NA	-0.0868655656067608	-0.0136991129602449	-2.85102563147579	0.0045036988042318	0.91539160938854	-2.44631084704065	NA
ENSG00000175518	UBQLNL	0.0483468604051982	0.00178327795152948	2.84678765350175	0.00456328717713855	0.91539160938854	-2.45790272593781	ubiquilin like
ENSG00000234785	EEF1GP5	-0.131972572776603	-0.0150801790649589	-2.84562403416987	0.00457977311516566	0.91539160938854	-2.46108256517815	eukaryotic translation elongation factor 1 gamma pseudogene 5
ENSG00000049246	PER3	-0.0496523989743236	0.00226216931670155	-2.83619104385178	0.00471542691186006	0.91539160938854	-2.4868135236213	period circadian regulator 3
ENSG00000136783	NIPSNAP3A	-0.0583274177509432	-0.00295942608596765	-2.81628868675504	0.00501367105055451	0.91539160938854	-2.54082952556385	nipsnap homolog 3A
ENSG00000122545	SEPTIN7	-0.0592028856838996	-0.00736135707345542	-2.80993881968259	0.00511236324435995	0.91539160938854	-2.55798543996946	septin 7
ENSG00000070476	ZXDC	0.0299326565567598	0.00433445531632843	2.80605772590224	0.00517354813615343	0.91539160938854	-2.568452711764	ZXD family zinc finger C
ENSG00000185641	NA	-0.104448196348424	-0.0179344094679546	-2.78667638865563	0.00548913352501254	0.91539160938854	-2.62051305647598	NA
ENSG00000162747	FCGR3B	0.0823761282744302	0.00142000373891571	2.7793616967694	0.00561269588110906	0.91539160938854	-2.64006971751626	Fc gamma receptor IIIb
ENSG00000167771	RCOR2	-0.0750644419114452	-0.0086590490579517	-2.77583791429525	0.00567311401810067	0.91539160938854	-2.64947307265921	REST corepressor 2
ENSG00000289590	NA	-0.119441948430666	-0.00596247505338838	-2.76535289900495	0.00585638218674256	0.91539160938854	-2.67738398666998	NA
ENSG00000138311	ZNF365	-0.0453806689400216	0.00623621597647093	-2.76050393329806	0.0059429330001658	0.91539160938854	-2.69025702370306	zinc finger protein 365
ENSG00000235552	RPL6P27	-0.0871351582130034	-0.0155577121033994	-2.75479553842656	0.00604630381546801	0.91539160938854	-2.70538344696087	ribosomal protein L6 pseudogene 27
