	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000170275	CRTAP	0.0971221132299111	0.00812894761416406	3.93580198280494	9.23655907562652e-05	0.530142643684671	1.09737838573745	cartilage associated protein
ENSG00000139168	ZCRB1	0.0783527947406639	0.00518839507383602	3.49964521955419	0.000499484460727372	0.530142643684671	-0.439144274881175	zinc finger CCHC-type and RNA binding motif containing 1
ENSG00000167447	SMG8	-0.0681057612802591	-0.00638590880311061	-3.47234314966788	0.000552054352345609	0.530142643684671	-0.529584966083046	SMG8 nonsense mediated mRNA decay factor
ENSG00000166869	CHP2	0.124612878782483	0.00928335432557083	3.23178281672362	0.00129578688990562	0.530142643684671	-1.29698505018998	calcineurin like EF-hand protein 2
ENSG00000158417	EIF5B	0.0715987517898209	0.0088021638620042	3.1948659565618	0.00147038357569856	0.530142643684671	-1.41004953059667	eukaryotic translation initiation factor 5B
ENSG00000113578	FGF1	0.104465865725197	0.00926935305061722	3.16280531646459	0.00163938572564255	0.530142643684671	-1.50722238726667	fibroblast growth factor 1
ENSG00000179409	GEMIN4	-0.0449329165723483	-0.00649040040320496	-3.1517636207397	0.00170162064266163	0.530142643684671	-1.54046936050936	gem nuclear organelle associated protein 4
ENSG00000000457	SCYL3	-0.0232490162034785	-0.000722059228874203	-3.10834197030545	0.00196807883284006	0.530142643684671	-1.67012246202426	SCY1 like pseudokinase 3
ENSG00000238082	NA	-0.114963895109638	-0.00342231677755208	-3.09741125097755	0.00204095196498604	0.530142643684671	-1.7024862842035	NA
ENSG00000160352	ZNF714	-0.0390821208933042	-0.00194134574477198	-3.09645241200142	0.00204746134357151	0.530142643684671	-1.70531996095733	zinc finger protein 714
ENSG00000108830	RND2	0.120338276513081	0.00229496668449531	3.09423478127052	0.00206258963866916	0.530142643684671	-1.711870516342	Rho family GTPase 2
ENSG00000124688	MAD2L1BP	-0.0609220841002075	-0.00555024067801791	-3.03143269777469	0.00253611277195087	0.530142643684671	-1.89549063358758	MAD2L1 binding protein
ENSG00000116903	EXOC8	-0.0769479871650743	0.00121553060766888	-3.02600688931958	0.00258137963160797	0.530142643684671	-1.91118327222022	exocyst complex component 8
ENSG00000265972	TXNIP	0.120085701510298	0.00666616361463626	3.01632002199023	0.00266404164892723	0.530142643684671	-1.93913204586242	thioredoxin interacting protein
ENSG00000124374	PAIP2B	0.111769547165368	0.0154866926389791	3.00971136881847	0.00272182012733721	0.530142643684671	-1.95814960580699	poly(A) binding protein interacting protein 2B
ENSG00000105373	NOP53	0.0414698003755708	0.00329630266337468	3.00589086690642	0.00275574350320394	0.530142643684671	-1.96912531251236	NOP53 ribosome biogenesis factor
ENSG00000138030	KHK	-0.0492148973263755	-0.00459843402295501	-3.00529903154761	0.00276103308434678	0.530142643684671	-1.97082435340191	ketohexokinase
ENSG00000164096	ARLN	0.0803409536046728	0.010763025657179	2.97958810139366	0.00300000186550312	0.530142643684671	-2.04432187186919	allregulin
ENSG00000139719	VPS33A	-0.0397733193664858	-0.00155741011532302	-2.97375671706984	0.00305676815320497	0.530142643684671	-2.06090625223694	VPS33A core subunit of CORVET and HOPS complexes
ENSG00000137409	MTCH1	-0.0465567996165763	-0.0026838632849132	-2.97288080945314	0.00306537910364684	0.530142643684671	-2.06339459747348	mitochondrial carrier 1
ENSG00000242553	NA	-0.172898931120776	-0.0248245288213731	-2.95444662495001	0.00325182597687014	0.530142643684671	-2.11559871629161	NA
ENSG00000125484	GTF3C4	-0.0480622071121511	-0.00425615224631445	-2.93847520103937	0.0034216765769967	0.530142643684671	-2.16057351071542	general transcription factor IIIC subunit 4
ENSG00000160200	CBS	0.0502845585423185	0.00246262541544142	2.9284427294629	0.00353246853106899	0.530142643684671	-2.18870337900553	cystathionine beta-synthase
ENSG00000289058	NA	0.160151687352205	0.0200429399428791	2.92807269025968	0.00353661687283645	0.530142643684671	-2.18973913789546	NA
ENSG00000177150	FAM210A	-0.0424079268218565	-0.00581834698259993	-2.90659796441775	0.00378510904501547	0.530142643684671	-2.24963010836878	family with sequence similarity 210 member A
ENSG00000150459	SAP18	0.0530917122384581	0.00700349716698132	2.90412464069088	0.00381472761832727	0.530142643684671	-2.25650045419162	Sin3A associated protein 18
ENSG00000106246	PTCD1	-0.0375586493313275	-0.00497582532139775	-2.89859681016271	0.00388168916716429	0.530142643684671	-2.27183498888842	pentatricopeptide repeat domain 1
ENSG00000197063	MAFG	-0.0427757756047586	-0.00374899257839535	-2.89478356597247	0.00392850297080057	0.530142643684671	-2.28239660210884	MAF bZIP transcription factor G
ENSG00000105643	ARRDC2	0.14599218435133	0.015817702171065	2.89325474255962	0.00394741569103819	0.530142643684671	-2.28662721631582	arrestin domain containing 2
ENSG00000179195	ZNF664	0.0892459669869352	0.0126080291769698	2.89255113548773	0.00395614767092493	0.530142643684671	-2.28857353249351	zinc finger protein 664
ENSG00000132153	DHX30	-0.0261184139710602	-0.00153678792440075	-2.88552550355202	0.00404430720451275	0.530142643684671	-2.30798257272642	DExH-box helicase 30
ENSG00000155256	ZFYVE27	-0.048258583978596	-0.000459208279518468	-2.8768710323801	0.00415536166775366	0.530142643684671	-2.33182835166794	zinc finger FYVE-type containing 27
ENSG00000165424	ZCCHC24	0.0966979664930622	0.0116279240244297	2.87422599579402	0.00418985209256937	0.530142643684671	-2.33910235633532	zinc finger CCHC-type containing 24
ENSG00000135245	HILPDA	0.166608408059544	0.0201699804354753	2.8714425016067	0.00422642891326558	0.530142643684671	-2.34675009927716	hypoxia inducible lipid droplet associated
ENSG00000101407	TTI1	-0.0282310422683873	-0.00284859457226108	-2.8652756811267	0.00430850095596663	0.530142643684671	-2.36366796833561	TELO2 interacting protein 1
ENSG00000245293	CYP2U1-AS1	0.0751785630028575	0.00813079852808973	2.86125407167242	0.00436280073799165	0.530142643684671	-2.374681667728	CYP2U1 and SGMS2 antisense RNA 1
ENSG00000082213	C5orf22	-0.0345352621571318	-0.000825262198692019	-2.86054512547213	0.00437243715587298	0.530142643684671	-2.37662164847163	chromosome 5 open reading frame 22
ENSG00000119682	AREL1	-0.0383359598486584	-0.00048358803612348	-2.85651456509408	0.00442759141840166	0.530142643684671	-2.38764210063716	apoptosis resistant E3 ubiquitin protein ligase 1
ENSG00000198585	NUDT16	0.0768035753569081	0.010533678681304	2.85121601330283	0.00450105837674841	0.530142643684671	-2.40210652098588	nudix hydrolase 16
ENSG00000183576	SETD3	0.0407820884620604	0.00168028024959953	2.84804075880454	0.00454561359660083	0.530142643684671	-2.41076206768737	SET domain containing 3, actin N3(tau)-histidine methyltransferase
