setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_SYNAPTIC_SIGNALING	241	0.40795012979568	2.42168050517699	7.41136354041816e-14	4.61135039484818e-10	4.25646310279174e-10	1376	tags=49%, list=24%, signal=39%	ENSG00000273079/ENSG00000116106/ENSG00000157404/ENSG00000138814/ENSG00000166250/ENSG00000165300/ENSG00000101040/ENSG00000166206/ENSG00000136928/ENSG00000063015/ENSG00000136827/ENSG00000117600/ENSG00000060709/ENSG00000143786/ENSG00000186297/ENSG00000114062/ENSG00000107758/ENSG00000138101/ENSG00000075073/ENSG00000006740/ENSG00000198668/ENSG00000069329/ENSG00000082701/ENSG00000070087/ENSG00000100030/ENSG00000221823/ENSG00000152413/ENSG00000156052/ENSG00000220205/ENSG00000101489/ENSG00000082458/ENSG00000171385/ENSG00000106688/ENSG00000067715/ENSG00000005249/ENSG00000128245/ENSG00000141480/ENSG00000158109/ENSG00000183691/ENSG00000171132/ENSG00000008086/ENSG00000119865/ENSG00000176407/ENSG00000103942/ENSG00000162105/ENSG00000113327/ENSG00000163618/ENSG00000182621/ENSG00000156642/ENSG00000006125/ENSG00000109756/ENSG00000118873/ENSG00000170027/ENSG00000136854/ENSG00000118432/ENSG00000184156/ENSG00000260230/ENSG00000112852/ENSG00000103769/ENSG00000183166/ENSG00000100678/ENSG00000148408/ENSG00000083454/ENSG00000160716/ENSG00000118507/ENSG00000084112/ENSG00000132639/ENSG00000022840/ENSG00000159082/ENSG00000102003/ENSG00000133424/ENSG00000128594/ENSG00000122733/ENSG00000150995/ENSG00000100302/ENSG00000143740/ENSG00000155093/ENSG00000213585/ENSG00000121289/ENSG00000166342/ENSG00000164588/ENSG00000011677/ENSG00000150672/ENSG00000213023/ENSG00000160014/ENSG00000164061/ENSG00000155980/ENSG00000132294/ENSG00000132872/ENSG00000127838/ENSG00000145335/ENSG00000115419/ENSG00000244405/ENSG00000125814/ENSG00000130477/ENSG00000113161/ENSG00000087258/ENSG00000197381/ENSG00000170579/ENSG00000143727/ENSG00000133703/ENSG00000125538/ENSG00000078401/ENSG00000078369/ENSG00000166963/ENSG00000167535/ENSG00000148798/ENSG00000157152/ENSG00000124140/ENSG00000157764/ENSG00000121853/ENSG00000136099/ENSG00000179915/ENSG00000159842/ENSG00000050748/ENSG00000147044/ENSG00000101152/ENSG00000170296
GOBP_CELL_CELL_SIGNALING	371	0.340377072819988	2.15182210744265	4.74517195851121e-13	1.47622299629284e-09	1.36261358977038e-09	1383	tags=41%, list=24%, signal=33%	ENSG00000273079/ENSG00000185950/ENSG00000116106/ENSG00000157404/ENSG00000138814/ENSG00000135622/ENSG00000166250/ENSG00000088986/ENSG00000165300/ENSG00000160714/ENSG00000101040/ENSG00000166206/ENSG00000136928/ENSG00000162989/ENSG00000063015/ENSG00000136827/ENSG00000117600/ENSG00000060709/ENSG00000143786/ENSG00000145242/ENSG00000186297/ENSG00000114062/ENSG00000107758/ENSG00000138101/ENSG00000075073/ENSG00000148344/ENSG00000006740/ENSG00000198668/ENSG00000069329/ENSG00000082701/ENSG00000070087/ENSG00000157240/ENSG00000100030/ENSG00000221823/ENSG00000152413/ENSG00000156052/ENSG00000100078/ENSG00000220205/ENSG00000101489/ENSG00000082458/ENSG00000171385/ENSG00000106688/ENSG00000067715/ENSG00000005249/ENSG00000128245/ENSG00000141480/ENSG00000158109/ENSG00000227507/ENSG00000183691/ENSG00000171132/ENSG00000089163/ENSG00000008086/ENSG00000119865/ENSG00000176407/ENSG00000103942/ENSG00000162105/ENSG00000113327/ENSG00000163618/ENSG00000182621/ENSG00000083720/ENSG00000156642/ENSG00000006125/ENSG00000143546/ENSG00000109756/ENSG00000118873/ENSG00000170027/ENSG00000136854/ENSG00000118432/ENSG00000184156/ENSG00000119782/ENSG00000260230/ENSG00000112852/ENSG00000173933/ENSG00000106327/ENSG00000163220/ENSG00000103769/ENSG00000183166/ENSG00000163823/ENSG00000100678/ENSG00000148408/ENSG00000083454/ENSG00000136999/ENSG00000057294/ENSG00000160716/ENSG00000118507/ENSG00000084112/ENSG00000132639/ENSG00000022840/ENSG00000159082/ENSG00000102003/ENSG00000133424/ENSG00000128594/ENSG00000108961/ENSG00000122733/ENSG00000170837/ENSG00000150995/ENSG00000100302/ENSG00000032389/ENSG00000143740/ENSG00000155093/ENSG00000213585/ENSG00000121289/ENSG00000087460/ENSG00000166342/ENSG00000164588/ENSG00000011677/ENSG00000150672/ENSG00000176887/ENSG00000213023/ENSG00000160014/ENSG00000164061/ENSG00000155980/ENSG00000132294/ENSG00000053438/ENSG00000132872/ENSG00000127838/ENSG00000145335/ENSG00000115419/ENSG00000244405/ENSG00000147100/ENSG00000125814/ENSG00000130477/ENSG00000133794/ENSG00000113161/ENSG00000087258/ENSG00000197381/ENSG00000170579/ENSG00000143727/ENSG00000133703/ENSG00000143158/ENSG00000125538/ENSG00000078401/ENSG00000078369/ENSG00000100604/ENSG00000166963/ENSG00000167535/ENSG00000138069/ENSG00000099985/ENSG00000148798/ENSG00000157152/ENSG00000124140/ENSG00000157764/ENSG00000121853/ENSG00000136099/ENSG00000179915/ENSG00000159842/ENSG00000050748/ENSG00000147044/ENSG00000101152/ENSG00000170296/ENSG00000129682/ENSG00000078579
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	157	0.436109112869295	2.41564450227561	2.35304786029835e-11	4.88022126225878e-08	4.50464179852203e-08	1365	tags=49%, list=24%, signal=38%	ENSG00000273079/ENSG00000116106/ENSG00000157404/ENSG00000138814/ENSG00000166250/ENSG00000165300/ENSG00000101040/ENSG00000166206/ENSG00000117600/ENSG00000114062/ENSG00000107758/ENSG00000075073/ENSG00000006740/ENSG00000198668/ENSG00000069329/ENSG00000082701/ENSG00000070087/ENSG00000100030/ENSG00000221823/ENSG00000152413/ENSG00000220205/ENSG00000101489/ENSG00000106688/ENSG00000067715/ENSG00000005249/ENSG00000128245/ENSG00000141480/ENSG00000158109/ENSG00000183691/ENSG00000171132/ENSG00000008086/ENSG00000119865/ENSG00000103942/ENSG00000162105/ENSG00000113327/ENSG00000182621/ENSG00000156642/ENSG00000109756/ENSG00000170027/ENSG00000136854/ENSG00000184156/ENSG00000260230/ENSG00000103769/ENSG00000183166/ENSG00000100678/ENSG00000148408/ENSG00000160716/ENSG00000118507/ENSG00000084112/ENSG00000132639/ENSG00000102003/ENSG00000133424/ENSG00000128594/ENSG00000122733/ENSG00000166342/ENSG00000164588/ENSG00000160014/ENSG00000164061/ENSG00000132872/ENSG00000127838/ENSG00000145335/ENSG00000130477/ENSG00000113161/ENSG00000087258/ENSG00000170579/ENSG00000133703/ENSG00000125538/ENSG00000078401/ENSG00000166963/ENSG00000148798/ENSG00000157764/ENSG00000121853/ENSG00000136099/ENSG00000179915/ENSG00000159842/ENSG00000050748/ENSG00000147044
GOCC_GLUTAMATERGIC_SYNAPSE	195	0.358147514936952	2.0567821656271	1.48803765318636e-08	2.31464256953138e-05	2.13650879889073e-05	1557	tags=48%, list=27%, signal=36%	ENSG00000103528/ENSG00000116106/ENSG00000241685/ENSG00000138814/ENSG00000135622/ENSG00000106299/ENSG00000133026/ENSG00000164924/ENSG00000117600/ENSG00000143786/ENSG00000101350/ENSG00000114062/ENSG00000107758/ENSG00000149970/ENSG00000077264/ENSG00000163466/ENSG00000006740/ENSG00000069329/ENSG00000082701/ENSG00000070087/ENSG00000116030/ENSG00000221823/ENSG00000152413/ENSG00000178235/ENSG00000082458/ENSG00000067715/ENSG00000005249/ENSG00000128245/ENSG00000112062/ENSG00000169032/ENSG00000141480/ENSG00000197177/ENSG00000008086/ENSG00000119865/ENSG00000125868/ENSG00000103942/ENSG00000075945/ENSG00000163618/ENSG00000182621/ENSG00000102879/ENSG00000006125/ENSG00000078142/ENSG00000136854/ENSG00000118432/ENSG00000151502/ENSG00000136379/ENSG00000072110/ENSG00000110675/ENSG00000103769/ENSG00000185070/ENSG00000148842/ENSG00000107295/ENSG00000100592/ENSG00000055917/ENSG00000132639/ENSG00000022840/ENSG00000128594/ENSG00000122733/ENSG00000108561/ENSG00000196730/ENSG00000166342/ENSG00000164588/ENSG00000164061/ENSG00000132294/ENSG00000132872/ENSG00000136950/ENSG00000115540/ENSG00000125814/ENSG00000087258/ENSG00000170579/ENSG00000061918/ENSG00000064547/ENSG00000125266/ENSG00000157152/ENSG00000124140/ENSG00000114948/ENSG00000157764/ENSG00000121853/ENSG00000136099/ENSG00000179915/ENSG00000118162/ENSG00000159842/ENSG00000124198/ENSG00000136040/ENSG00000109189/ENSG00000040341/ENSG00000114030/ENSG00000105402/ENSG00000070718/ENSG00000119899/ENSG00000198961/ENSG00000138138/ENSG00000140937/ENSG00000075624
GOCC_POSTSYNAPSE	257	0.326928994378881	1.95989708814266	3.56856058397969e-08	4.44071679070432e-05	4.09896137814593e-05	1450	tags=44%, list=25%, signal=34%	ENSG00000163637/ENSG00000103528/ENSG00000273079/ENSG00000116106/ENSG00000138814/ENSG00000135622/ENSG00000166250/ENSG00000165300/ENSG00000183023/ENSG00000133026/ENSG00000101040/ENSG00000166206/ENSG00000136928/ENSG00000063015/ENSG00000117600/ENSG00000143786/ENSG00000061676/ENSG00000101350/ENSG00000186297/ENSG00000114062/ENSG00000138101/ENSG00000149970/ENSG00000160145/ENSG00000077264/ENSG00000163466/ENSG00000006740/ENSG00000069329/ENSG00000082701/ENSG00000070087/ENSG00000116030/ENSG00000221823/ENSG00000152413/ENSG00000178235/ENSG00000156052/ENSG00000082458/ENSG00000171385/ENSG00000131089/ENSG00000106688/ENSG00000067715/ENSG00000005249/ENSG00000169032/ENSG00000141480/ENSG00000133318/ENSG00000197177/ENSG00000075340/ENSG00000100077/ENSG00000125868/ENSG00000103942/ENSG00000075945/ENSG00000162105/ENSG00000113327/ENSG00000204217/ENSG00000182621/ENSG00000156642/ENSG00000006125/ENSG00000078142/ENSG00000140992/ENSG00000136854/ENSG00000151502/ENSG00000136379/ENSG00000260230/ENSG00000136754/ENSG00000103769/ENSG00000185070/ENSG00000073969/ENSG00000100678/ENSG00000083454/ENSG00000198934/ENSG00000107295/ENSG00000106615/ENSG00000055917/ENSG00000160716/ENSG00000156113/ENSG00000022840/ENSG00000128594/ENSG00000150995/ENSG00000196730/ENSG00000166342/ENSG00000160753/ENSG00000164588/ENSG00000002834/ENSG00000011677/ENSG00000150672/ENSG00000156011/ENSG00000160014/ENSG00000125744/ENSG00000164061/ENSG00000155980/ENSG00000145335/ENSG00000176994/ENSG00000115540/ENSG00000077549/ENSG00000087258/ENSG00000170579/ENSG00000117245/ENSG00000125266/ENSG00000040933/ENSG00000148798/ENSG00000157152/ENSG00000124140/ENSG00000157764/ENSG00000121853/ENSG00000136099/ENSG00000183715/ENSG00000118162/ENSG00000159842/ENSG00000124198/ENSG00000162188/ENSG00000188846/ENSG00000072694/ENSG00000040341/ENSG00000114030/ENSG00000145362
HP_DYSKINESIA	73	0.490589118795354	2.37570167466563	9.05732184751107e-08	9.39244275586898e-05	8.66960491228428e-05	1234	tags=53%, list=22%, signal=42%	ENSG00000273079/ENSG00000138814/ENSG00000166206/ENSG00000136928/ENSG00000048740/ENSG00000186297/ENSG00000149970/ENSG00000107745/ENSG00000069329/ENSG00000067715/ENSG00000047597/ENSG00000008086/ENSG00000089818/ENSG00000113327/ENSG00000173085/ENSG00000170027/ENSG00000125779/ENSG00000136854/ENSG00000116353/ENSG00000148408/ENSG00000143324/ENSG00000159082/ENSG00000130638/ENSG00000157954/ENSG00000150995/ENSG00000182606/ENSG00000087460/ENSG00000164588/ENSG00000127838/ENSG00000145335/ENSG00000147100/ENSG00000114573/ENSG00000087258/ENSG00000198840/ENSG00000141367/ENSG00000133703/ENSG00000055163/ENSG00000064933/ENSG00000134326
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	86	0.455013415001951	2.25937445280074	2.35190772783304e-07	0.000209050998322531	0.000192962534782813	1696	tags=63%, list=30%, signal=45%	ENSG00000103528/ENSG00000111229/ENSG00000138814/ENSG00000136827/ENSG00000107758/ENSG00000213760/ENSG00000100554/ENSG00000198668/ENSG00000070087/ENSG00000221823/ENSG00000220205/ENSG00000067715/ENSG00000158109/ENSG00000089818/ENSG00000127527/ENSG00000155097/ENSG00000163618/ENSG00000006125/ENSG00000078142/ENSG00000136854/ENSG00000148408/ENSG00000107295/ENSG00000132639/ENSG00000159082/ENSG00000102003/ENSG00000143740/ENSG00000160014/ENSG00000164061/ENSG00000132294/ENSG00000132872/ENSG00000145335/ENSG00000114573/ENSG00000125814/ENSG00000130477/ENSG00000125266/ENSG00000157152/ENSG00000157764/ENSG00000179915/ENSG00000147044/ENSG00000101152/ENSG00000109189/ENSG00000170558/ENSG00000105402/ENSG00000131100/ENSG00000070718/ENSG00000119899/ENSG00000078053/ENSG00000138138/ENSG00000075624/ENSG00000019505/ENSG00000161203/ENSG00000104164/ENSG00000137055/ENSG00000085832
GOCC_POSTSYNAPTIC_SPECIALIZATION	117	0.396266717577551	2.07990740214885	9.24057881016974e-07	0.000718686016960952	0.000663376289319554	1037	tags=40%, list=18%, signal=34%	ENSG00000163637/ENSG00000273079/ENSG00000116106/ENSG00000135622/ENSG00000165300/ENSG00000183023/ENSG00000166206/ENSG00000117600/ENSG00000186297/ENSG00000138101/ENSG00000149970/ENSG00000160145/ENSG00000077264/ENSG00000006740/ENSG00000069329/ENSG00000152413/ENSG00000178235/ENSG00000082458/ENSG00000171385/ENSG00000131089/ENSG00000067715/ENSG00000169032/ENSG00000133318/ENSG00000197177/ENSG00000075340/ENSG00000103942/ENSG00000162105/ENSG00000113327/ENSG00000204217/ENSG00000156642/ENSG00000140992/ENSG00000136379/ENSG00000136754/ENSG00000073969/ENSG00000100678/ENSG00000106615/ENSG00000022840/ENSG00000128594/ENSG00000150995/ENSG00000196730/ENSG00000166342/ENSG00000160753/ENSG00000011677/ENSG00000150672/ENSG00000156011/ENSG00000125744/ENSG00000164061
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	47	0.531963243595247	2.32629939606952	1.18087788895667e-06	0.000816380247232044	0.00075355201896463	1321	tags=55%, list=23%, signal=43%	ENSG00000273079/ENSG00000116106/ENSG00000138814/ENSG00000075073/ENSG00000198668/ENSG00000082701/ENSG00000100030/ENSG00000220205/ENSG00000106688/ENSG00000067715/ENSG00000141480/ENSG00000183691/ENSG00000171132/ENSG00000162105/ENSG00000156642/ENSG00000136854/ENSG00000183166/ENSG00000100678/ENSG00000148408/ENSG00000132639/ENSG00000133424/ENSG00000160014/ENSG00000145335/ENSG00000113161/ENSG00000157764/ENSG00000179915
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	52	0.517524215184372	2.31395938196752	1.47994812930228e-06	0.00092082372605188	0.000849957578260343	1409	tags=62%, list=25%, signal=47%	ENSG00000048544/ENSG00000174173/ENSG00000239789/ENSG00000109519/ENSG00000107745/ENSG00000214736/ENSG00000062582/ENSG00000184831/ENSG00000278845/ENSG00000158042/ENSG00000134375/ENSG00000243927/ENSG00000169288/ENSG00000159685/ENSG00000116898/ENSG00000132676/ENSG00000181610/ENSG00000099800/ENSG00000265354/ENSG00000154174/ENSG00000061794/ENSG00000181991/ENSG00000213585/ENSG00000214113/ENSG00000149792/ENSG00000151729/ENSG00000143158/ENSG00000108826/ENSG00000136003/ENSG00000113048/ENSG00000130159/ENSG00000136897
