	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000225921	NOL7	0.0840763534272989	0.0032782197996512	3.41579931083843	0.000711711897724643	0.529760961121985	-0.571720465253894	nucleolar protein 7
ENSG00000275995	NA	-0.139907058612175	-0.0583825192953782	-3.36291586120485	0.000857725468106664	0.529760961121985	-0.731510294769159	NA
ENSG00000167565	SERTAD3	-0.0992790556261875	0.0282509866375308	-3.19490391487169	0.00152762938578116	0.529760961121985	-1.22371268654519	SERTA domain containing 3
ENSG00000258384	NA	-0.0762262419823511	0.0217405479827903	-3.18135410090739	0.00159875380888922	0.529760961121985	-1.26237847281054	NA
ENSG00000167264	DUS2	-0.0301962630873101	-3.14946954174066e-05	-3.12633237995422	0.00192017271968161	0.529760961121985	-1.41780252166483	dihydrouridine synthase 2
ENSG00000230695	NA	-0.119202905883788	-0.030003420339391	-3.01539680705829	0.00275644978461238	0.529760961121985	-1.72340397905253	NA
ENSG00000150776	NKAPD1	0.0585617704890604	0.00164296637133065	2.98370862575372	0.00305044976283841	0.529760961121985	-1.80878364013739	NKAP domain containing 1
ENSG00000268366	NA	-0.105957943207042	0.0084035091090635	-2.96030044221663	0.00328577955623701	0.529760961121985	-1.87130607638773	NA
ENSG00000110455	ACCS	-0.0781327702789208	-0.0273396850045261	-2.95645958105905	0.00332594240369967	0.529760961121985	-1.88152037459775	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ENSG00000166169	POLL	-0.059680238326707	-0.0265008494815312	-2.9312812591954	0.00360053995862428	0.529760961121985	-1.94816801245162	DNA polymerase lambda
ENSG00000160888	IER2	-0.182631064950615	0.00386837963695547	-2.92990053017946	0.0036161811147148	0.529760961121985	-1.95180721789893	immediate early response 2
ENSG00000132376	INPP5K	-0.0516645710318186	-0.0218549495135351	-2.91956753436155	0.0037352197589868	0.529760961121985	-1.97899044425673	inositol polyphosphate-5-phosphatase K
