	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000250673	REELD1	0.12249810309914	-0.00216475188163071	3.96428482871777	8.39305353563999e-05	0.501486348971101	1.24645491020306	reeler domain containing 1
ENSG00000110090	CPT1A	0.0995425025426055	0.00329578448658553	3.85461196476645	0.000130439797241262	0.501486348971101	0.847269905952746	carnitine palmitoyltransferase 1A
ENSG00000164904	ALDH7A1	0.112236166510433	0.00721530095228149	3.6426500702391	0.000296930015337504	0.501486348971101	0.105740789142613	aldehyde dehydrogenase 7 family member A1
ENSG00000089289	IGBP1	-0.0653216268208356	-0.00118338531604938	-3.47501812147237	0.000553545357828732	0.501486348971101	-0.45253039344614	immunoglobulin binding protein 1
ENSG00000114790	ARHGEF26	0.0868000124742671	0.00503714569152815	3.41788636113769	0.000680627619818433	0.501486348971101	-0.63707719339852	Rho guanine nucleotide exchange factor 26
ENSG00000134508	CABLES1	0.133100775606425	-0.00150812835326646	3.39630592633274	0.000735344606609947	0.501486348971101	-0.706026812572605	Cdk5 and Abl enzyme substrate 1
ENSG00000269124	NA	0.313974951241785	-0.00651975812161638	3.37152397378542	0.000803222675895822	0.501486348971101	-0.784690907070444	NA
ENSG00000126016	AMOT	0.0936384456687462	0.00307354828485668	3.35339996151395	0.000856508127960575	0.501486348971101	-0.841872586159847	angiomotin
ENSG00000143514	TP53BP2	0.0576317502450086	0.00281327993712192	3.34101205315739	0.000894801069794799	0.501486348971101	-0.880787226868459	tumor protein p53 binding protein 2
ENSG00000273027	NA	0.248055377227315	0.0224290718283689	3.33086021192969	0.000927362105697449	0.501486348971101	-0.912574953040919	NA
ENSG00000119711	ALDH6A1	0.106976153358033	0.00152701006581692	3.31924450608443	0.000965967450264771	0.501486348971101	-0.9488328754427	aldehyde dehydrogenase 6 family member A1
ENSG00000105926	PALS2	0.0815741090384045	0.00918368209154667	3.31109024165505	0.000993954582911344	0.501486348971101	-0.974213665990971	protein associated with LIN7 2, MAGUK p55 family member
ENSG00000189221	MAOA	0.0764261934115316	-0.00303189858909967	3.30641263586136	0.00101034705422192	0.501486348971101	-0.988746120289086	monoamine oxidase A
ENSG00000100767	PAPLN	0.0962771948580411	0.00645545421732808	3.30285178333703	0.00102299377470373	0.501486348971101	-0.99979584847534	papilin, proteoglycan like sulfated glycoprotein
ENSG00000144339	TMEFF2	-0.0338559552555407	-0.00424328295133024	-3.29017774982274	0.00106920876777372	0.501486348971101	-1.03903233373289	transmembrane protein with EGF like and two follistatin like domains 2
ENSG00000234073	CBX3P10	-0.190705894162923	-0.0104170578790596	-3.26530783719052	0.00116557455127015	0.501486348971101	-1.11560516383988	CBX3 pseudogene 10
ENSG00000031081	ARHGAP31	0.108083222232821	0.0134175076024892	3.25873873064143	0.0011923398349233	0.501486348971101	-1.13573809006041	Rho GTPase activating protein 31
ENSG00000260788	CEDORA	-0.104604116262702	-0.0136100630439949	-3.22766335621181	0.0013268462324931	0.501486348971101	-1.23045079640208	CDH13 antisense oligodendrocyte and neuron associated lncRNA
ENSG00000205002	AARD	-0.0910688433292614	-0.00244052537864784	-3.21127349235474	0.00140331725136543	0.501486348971101	-1.28005389386666	alanine and arginine rich domain containing protein
ENSG00000243449	NICOL1	-0.211317603215	-0.022193640873568	-3.1729829253764	0.00159812365076367	0.501486348971101	-1.3949938611023	NELL2 interacting cell ontogeny regulator 1
ENSG00000172247	C1QTNF4	-0.113521579418316	-0.0191859064026447	-3.17039279309763	0.00161216335549617	0.501486348971101	-1.4027210745704	C1q and TNF related 4
ENSG00000289041	NA	-0.196074525735701	-0.0123065296068826	-3.16998121026731	0.00161440477813871	0.501486348971101	-1.40394840301957	NA
ENSG00000235169	SMIM1	-0.126548080304993	-0.00783193005459616	-3.16449635589303	0.00164455040114675	0.501486348971101	-1.42028947558292	small integral membrane protein 1 (Vel blood group)
ENSG00000177868	SVBP	-0.0599935436385406	-0.00509693663873889	-3.16248734683663	0.00165572160782476	0.501486348971101	-1.42626813159269	small vasohibin binding protein
ENSG00000198712	MT-CO2	-0.0422825610609759	-0.00229489085618723	-3.16236940850967	0.00165637958150264	0.501486348971101	-1.42661899362134	cytochrome c oxidase subunit II
ENSG00000144908	ALDH1L1	0.15042512195383	0.00983032284611734	3.15496437405656	0.0016981784614639	0.501486348971101	-1.44862351638734	aldehyde dehydrogenase 1 family member L1
ENSG00000166341	DCHS1	0.13608020781247	0.0119411914405043	3.14175316519055	0.00177517615707088	0.501486348971101	-1.48775834413435	dachsous cadherin-related 1
ENSG00000244184	PELP1-DT	0.123922010859763	-0.0070949074732023	3.13448379854703	0.00181890390021548	0.501486348971101	-1.50922466822906	PELP1 divergent transcript
ENSG00000100711	ZFYVE21	0.0512321328086616	0.00348890094236655	3.13327948648253	0.00182624338507125	0.501486348971101	-1.51277636723707	zinc finger FYVE-type containing 21
ENSG00000184867	ARMCX2	0.0541564713587366	-0.00185532491125534	3.13191710522624	0.00183457909284663	0.501486348971101	-1.51679265458537	armadillo repeat containing X-linked 2
ENSG00000110436	SLC1A2	0.143501243244636	0.0113094775110062	3.12867437047307	0.00185456095166265	0.501486348971101	-1.5263454515503	solute carrier family 1 member 2
ENSG00000143149	ALDH9A1	0.103469739699386	0.00772626675382361	3.12306312515181	0.00188961201540614	0.501486348971101	-1.54285318504981	aldehyde dehydrogenase 9 family member A1
ENSG00000176244	ACBD7	0.143503403147774	0.0151497239807975	3.12162343773356	0.00189870297509307	0.501486348971101	-1.54708401115295	acyl-CoA binding domain containing 7
ENSG00000240184	PCDHGC3	0.111361410707617	0.0133925480166916	3.11724810227559	0.00192657902276127	0.501486348971101	-1.55993034643521	protocadherin gamma subfamily C, 3
ENSG00000162430	SELENON	0.0545443234441087	0.00588262103340456	3.11008577776878	0.00197302608710629	0.501486348971101	-1.58092210267236	selenoprotein N
ENSG00000204392	LSM2	-0.0441348761732238	-4.12179451848321e-05	-3.1054791436514	0.0020034421345986	0.501486348971101	-1.59439894992591	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated
ENSG00000090487	SPG21	-0.0643900784763451	-0.00692330257867001	-3.10139870310866	0.0020307437298951	0.501486348971101	-1.60632035189436	SPG21 abhydrolase domain containing, maspardin
ENSG00000107262	BAG1	-0.0664303952595112	-0.00190475169846659	-3.09239458696659	0.00209220433199558	0.501486348971101	-1.63257339155607	BAG cochaperone 1
ENSG00000164976	MYORG	0.163876394290115	0.0173721521135332	3.08957052174181	0.00211183058003078	0.501486348971101	-1.64079230533144	myogenesis regulating glycosidase
ENSG00000156232	WHAMM	-0.0402957898156742	-0.00345061359333535	-3.07930048535158	0.00218463988614832	0.501486348971101	-1.67062039408477	WASP homolog associated with actin, golgi membranes and microtubules
ENSG00000154229	PRKCA	0.0781672991474484	0.00489304127728861	3.07650796946672	0.0022048326296726	0.501486348971101	-1.67871439026686	protein kinase C alpha
ENSG00000147475	ERLIN2	0.0596497894478021	0.00213617832530168	3.07291034298768	0.0022311000172994	0.501486348971101	-1.68913154676525	ER lipid raft associated 2
ENSG00000249274	PDLIM1P4	0.161438909169418	0.000720562434801033	3.06039612937507	0.00232472624963574	0.501486348971101	-1.72527583338145	PDZ and LIM domain 1 pseudogene 4
ENSG00000168461	RAB31	0.10409485291286	0.00495639667804373	3.04055933805612	0.0024805545810849	0.501486348971101	-1.78227853254868	RAB31, member RAS oncogene family
ENSG00000076555	ACACB	0.0510451248318359	-0.00325433428955778	3.03261151016461	0.00254563507383786	0.501486348971101	-1.80501707464845	acetyl-CoA carboxylase beta
ENSG00000165801	ARHGEF40	0.0749445957214207	0.00971777450907456	3.02961417241892	0.0025705826811264	0.501486348971101	-1.81357749146205	Rho guanine nucleotide exchange factor 40
ENSG00000162733	DDR2	0.0940154422438391	0.00954542506653692	3.0125456367307	0.00271697280631714	0.501486348971101	-1.86216980502945	discoidin domain receptor tyrosine kinase 2
ENSG00000119471	HSDL2	0.0542229917034412	-0.00301663907993819	3.01244599592186	0.00271784937386033	0.501486348971101	-1.86245269480224	hydroxysteroid dehydrogenase like 2
