	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000245468	NA	0.0780729946077689	0.00110118676588388	3.8054369283917	0.000158403746261466	0.408551768593242	0.722623780162523	NA
ENSG00000243759	ST13P15	0.179575839770036	0.0114026434599802	3.78472942727543	0.000171802741973646	0.408551768593242	0.651733742732968	ST13, Hsp70 interacting protein pseudogene 15
ENSG00000158555	GDPD5	-0.0959956324717175	0.00130489313799099	-3.77114082716817	0.000181168815801994	0.408551768593242	0.605412632299748	glycerophosphodiester phosphodiesterase domain containing 5
ENSG00000154957	ZNF18	-0.0674246532574159	-0.0103593080217817	-3.65465748903729	0.000283687218598062	0.408551768593242	0.214796801107048	zinc finger protein 18
ENSG00000214688	C10orf105	0.126299768331943	0.00784401120462077	3.59788595068906	0.000351480085771184	0.408551768593242	0.0286213143524554	chromosome 10 open reading frame 105
ENSG00000254442	NA	-0.112351766600762	-0.00612756636229521	-3.57791920611124	0.00037873949459024	0.408551768593242	-0.0362006886614532	NA
ENSG00000131042	LILRB2	0.121599167412682	-0.0059587320624982	3.56905281669709	0.000391468990567868	0.408551768593242	-0.0648757238176874	leukocyte immunoglobulin like receptor B2
ENSG00000131061	ZNF341	-0.0421896134719054	-0.00307209641832949	-3.35296797720763	0.000857773876644673	0.408551768593242	-0.742792149161946	zinc finger protein 341
ENSG00000230359	NA	0.142280485061371	0.00637587567231037	3.29917514426212	0.00103615621607014	0.408551768593242	-0.905279131221329	NA
ENSG00000124493	GRM4	-0.0361250789317326	0.000226696519431976	-3.27514542100685	0.00112647943698598	0.408551768593242	-0.977051773239681	glutamate metabotropic receptor 4
ENSG00000254973	NA	-0.134992348113125	0.00254354638065936	-3.23380218806489	0.00129915265096793	0.408551768593242	-1.09936186961117	NA
ENSG00000146576	INTS15	-0.0624144513732617	0.000795729282677583	-3.2262715822084	0.00133312811554941	0.408551768593242	-1.12148029754062	integrator complex subunit 15
ENSG00000187116	LILRA5	0.138266469117899	-0.00573948977968048	3.21839915956144	0.00136952330004774	0.408551768593242	-1.14454987937702	leukocyte immunoglobulin like receptor A5
ENSG00000273059	NA	-0.406247683118519	-0.0151945576572488	-3.21828411385599	0.00137006192016401	0.408551768593242	-1.14488661245948	NA
ENSG00000251161	NA	-0.0892514130545808	-0.00149159578802079	-3.21603168579184	0.00138064687335814	0.408551768593242	-1.15147703469751	NA
ENSG00000096060	FKBP5	0.118510808735028	-0.00874658694465641	3.20090313627784	0.00145372448866105	0.408551768593242	-1.19562736461637	FKBP prolyl isomerase 5
ENSG00000163464	CXCR1	0.180578520912861	0.00990297310814199	3.19545564120892	0.00148090226634844	0.408551768593242	-1.21147617797696	C-X-C motif chemokine receptor 1
ENSG00000242017	NA	0.063545519633525	0.00351025558325114	3.18852530264042	0.0015161566442329	0.408551768593242	-1.23160173601732	NA
