	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000257272	NA	-0.0966758776292813	-0.00729128453257721	-3.52078628457534	0.000468126489023439	0.463802686604879	-0.254161598193225	NA
ENSG00000011332	DPF1	-0.10333500972358	-0.00699793026367706	-3.50809950095613	0.000490480557060514	0.463802686604879	-0.295408644351065	double PHD fingers 1
ENSG00000068354	TBC1D25	-0.0598174928728314	0.00183807438587081	-3.42879341311487	0.000654449596866016	0.463802686604879	-0.550034137850587	TBC1 domain family member 25
ENSG00000108830	RND2	0.172946604031489	0.0152402070888084	3.40053765154152	0.000724312618880704	0.463802686604879	-0.63941322874224	Rho family GTPase 2
ENSG00000255618	LINC02440	-0.10748722302183	0.0090863371604251	-3.33835634055198	0.000903226833951844	0.463802686604879	-0.833619529000061	long intergenic non-protein coding RNA 2440
ENSG00000108405	P2RX1	0.126458391261654	0.00811567064012129	3.33143523635962	0.000925500988829649	0.463802686604879	-0.855023938351455	purinergic receptor P2X 1
ENSG00000145349	CAMK2D	-0.0466865282580724	0.00244520037554436	-3.33094819228751	0.000927087507651728	0.463802686604879	-0.856528586013468	calcium/calmodulin dependent protein kinase II delta
ENSG00000122966	CIT	-0.070211435613189	-0.000341917437581553	-3.29703883365654	0.00104396847873886	0.463802686604879	-0.960769116460409	citron rho-interacting serine/threonine kinase
ENSG00000117600	PLPPR4	-0.101860787359571	0.00803806175419458	-3.28124480605784	0.00110295160513476	0.463802686604879	-1.00897308780087	phospholipid phosphatase related 4
ENSG00000112619	PRPH2	-0.0591224987239219	-0.00138137497260757	-3.27993060477593	0.00110799626843476	0.463802686604879	-1.01297409630686	peripherin 2
ENSG00000161914	ZNF653	-0.0541355111790521	-0.0024071043895093	-3.271518565868	0.00114079669958418	0.463802686604879	-1.03854771138386	zinc finger protein 653
ENSG00000157800	SLC37A3	-0.0327337462280991	-0.000875455492764543	-3.26653609148852	0.00116064663723283	0.463802686604879	-1.05366538562738	solute carrier family 37 member 3
ENSG00000188674	C2orf80	-0.116646434226122	0.0136593643365549	-3.22034815478054	0.00136050372510623	0.463802686604879	-1.19275658137383	chromosome 2 open reading frame 80
ENSG00000287895	NA	-0.109722094591148	-0.0115377539299778	-3.21123414533837	0.00140352188499268	0.463802686604879	-1.21997839664355	NA
ENSG00000173715	TOP6BL	-0.0377154902532485	0.00126562510304056	-3.18972253311084	0.00151009244229102	0.463802686604879	-1.28393604860221	TOP6B like initiator of meiotic double strand breaks
