ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT 109/893 174/11149 0.626436781609195 7.82098956121044 26.7580800071978 2.5384162609499e-76 1.68652376377511e-72 1.65558180556269e-72 ENSG00000008988/ENSG00000048544/ENSG00000055950/ENSG00000061794/ENSG00000062582/ENSG00000063177/ENSG00000067248/ENSG00000071082/ENSG00000083845/ENSG00000089009/ENSG00000089157/ENSG00000096080/ENSG00000100316/ENSG00000102317/ENSG00000105372/ENSG00000105640/ENSG00000106591/ENSG00000108298/ENSG00000109475/ENSG00000110700/ENSG00000112306/ENSG00000114391/ENSG00000114686/ENSG00000115268/ENSG00000116251/ENSG00000116898/ENSG00000118181/ENSG00000120333/ENSG00000122026/ENSG00000122140/ENSG00000122406/ENSG00000124614/ENSG00000125445/ENSG00000125691/ENSG00000130255/ENSG00000131469/ENSG00000132300/ENSG00000132676/ENSG00000134419/ENSG00000136897/ENSG00000136942/ENSG00000137154/ENSG00000137818/ENSG00000138326/ENSG00000140988/ENSG00000142534/ENSG00000142541/ENSG00000142676/ENSG00000142937/ENSG00000143436/ENSG00000143947/ENSG00000144713/ENSG00000145425/ENSG00000146223/ENSG00000147403/ENSG00000147586/ENSG00000147604/ENSG00000148303/ENSG00000149273/ENSG00000149792/ENSG00000154719/ENSG00000156482/ENSG00000158042/ENSG00000161016/ENSG00000161970/ENSG00000162244/ENSG00000164587/ENSG00000166441/ENSG00000166902/ENSG00000167526/ENSG00000168028/ENSG00000169288/ENSG00000171421/ENSG00000171858/ENSG00000171863/ENSG00000172172/ENSG00000173141/ENSG00000174444/ENSG00000174547/ENSG00000174748/ENSG00000175110/ENSG00000177600/ENSG00000177954/ENSG00000179271/ENSG00000181163/ENSG00000181610/ENSG00000182180/ENSG00000182774/ENSG00000182899/ENSG00000185088/ENSG00000185608/ENSG00000186468/ENSG00000188846/ENSG00000197345/ENSG00000197756/ENSG00000197958/ENSG00000198034/ENSG00000198242/ENSG00000198755/ENSG00000204628/ENSG00000213553/ENSG00000214026/ENSG00000229117/ENSG00000231500/ENSG00000239789/ENSG00000242485/ENSG00000265681/ENSG00000266472/ENSG00000288920 109
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME 101/893 158/11149 0.639240506329114 7.98084255886147 26.0767213504605 5.85643120316446e-72 1.94550644569123e-68 1.90981303867405e-68 ENSG00000008988/ENSG00000055950/ENSG00000061794/ENSG00000062582/ENSG00000063177/ENSG00000071082/ENSG00000083845/ENSG00000089009/ENSG00000089157/ENSG00000096080/ENSG00000100316/ENSG00000105372/ENSG00000105640/ENSG00000106591/ENSG00000108298/ENSG00000109475/ENSG00000110700/ENSG00000112306/ENSG00000114391/ENSG00000114686/ENSG00000115268/ENSG00000116251/ENSG00000116898/ENSG00000118181/ENSG00000120333/ENSG00000122026/ENSG00000122140/ENSG00000122406/ENSG00000124614/ENSG00000125445/ENSG00000125691/ENSG00000130255/ENSG00000131469/ENSG00000132676/ENSG00000134419/ENSG00000136942/ENSG00000137154/ENSG00000137818/ENSG00000137876/ENSG00000138326/ENSG00000140988/ENSG00000142534/ENSG00000142541/ENSG00000142676/ENSG00000142937/ENSG00000143436/ENSG00000143947/ENSG00000144713/ENSG00000145425/ENSG00000146223/ENSG00000147403/ENSG00000147604/ENSG00000148303/ENSG00000149273/ENSG00000149792/ENSG00000156482/ENSG00000158042/ENSG00000161016/ENSG00000161970/ENSG00000162244/ENSG00000163584/ENSG00000164587/ENSG00000166441/ENSG00000166902/ENSG00000167526/ENSG00000168028/ENSG00000169288/ENSG00000171421/ENSG00000171858/ENSG00000171863/ENSG00000172172/ENSG00000173141/ENSG00000174444/ENSG00000174547/ENSG00000174748/ENSG00000175110/ENSG00000177600/ENSG00000177954/ENSG00000179271/ENSG00000181610/ENSG00000182180/ENSG00000182774/ENSG00000182899/ENSG00000185088/ENSG00000186468/ENSG00000188846/ENSG00000197345/ENSG00000197756/ENSG00000197958/ENSG00000198034/ENSG00000198242/ENSG00000198755/ENSG00000213553/ENSG00000214026/ENSG00000229117/ENSG00000231500/ENSG00000239789/ENSG00000242485/ENSG00000265681/ENSG00000266472/ENSG00000288920 101
GOCC_RIBOSOME GOCC_RIBOSOME 116/893 217/11149 0.534562211981567 6.67394636213045 24.9057993375366 2.13919269123207e-70 4.73759874684863e-67 4.6506799701312e-67 ENSG00000008988/ENSG00000048544/ENSG00000055950/ENSG00000061794/ENSG00000062582/ENSG00000063177/ENSG00000067248/ENSG00000071082/ENSG00000083845/ENSG00000089009/ENSG00000089157/ENSG00000096080/ENSG00000100316/ENSG00000100823/ENSG00000102317/ENSG00000105372/ENSG00000105640/ENSG00000106591/ENSG00000108298/ENSG00000109475/ENSG00000110700/ENSG00000112306/ENSG00000114391/ENSG00000114416/ENSG00000114686/ENSG00000115268/ENSG00000116251/ENSG00000116898/ENSG00000118181/ENSG00000120333/ENSG00000122026/ENSG00000122140/ENSG00000122406/ENSG00000124614/ENSG00000125445/ENSG00000125691/ENSG00000130255/ENSG00000131469/ENSG00000132300/ENSG00000132676/ENSG00000134419/ENSG00000136897/ENSG00000136942/ENSG00000137154/ENSG00000137818/ENSG00000138326/ENSG00000140988/ENSG00000142534/ENSG00000142541/ENSG00000142676/ENSG00000142937/ENSG00000143436/ENSG00000143947/ENSG00000144713/ENSG00000145425/ENSG00000146223/ENSG00000147403/ENSG00000147586/ENSG00000147604/ENSG00000148303/ENSG00000149273/ENSG00000149792/ENSG00000154719/ENSG00000156482/ENSG00000156508/ENSG00000158042/ENSG00000161016/ENSG00000161970/ENSG00000162244/ENSG00000163584/ENSG00000164163/ENSG00000164587/ENSG00000166441/ENSG00000166902/ENSG00000167526/ENSG00000167658/ENSG00000168028/ENSG00000168724/ENSG00000169288/ENSG00000171421/ENSG00000171858/ENSG00000171863/ENSG00000172172/ENSG00000173141/ENSG00000174444/ENSG00000174547/ENSG00000174748/ENSG00000175110/ENSG00000177600/ENSG00000177954/ENSG00000179271/ENSG00000181163/ENSG00000181610/ENSG00000182180/ENSG00000182774/ENSG00000182899/ENSG00000185088/ENSG00000185608/ENSG00000186468/ENSG00000188846/ENSG00000197345/ENSG00000197756/ENSG00000197958/ENSG00000198034/ENSG00000198242/ENSG00000198755/ENSG00000204628/ENSG00000213553/ENSG00000214026/ENSG00000229117/ENSG00000231500/ENSG00000239789/ENSG00000242485/ENSG00000265681/ENSG00000266472/ENSG00000288920 116
GOBP_CYTOPLASMIC_TRANSLATION GOBP_CYTOPLASMIC_TRANSLATION 92/893 164/11149 0.560975609756098 7.0037145276268 22.8547844895182 3.09016052771247e-58 5.13275663653042e-55 5.03858806044908e-55 ENSG00000008988/ENSG00000063177/ENSG00000065978/ENSG00000067248/ENSG00000071082/ENSG00000083845/ENSG00000089009/ENSG00000089157/ENSG00000100129/ENSG00000100316/ENSG00000100353/ENSG00000104408/ENSG00000105372/ENSG00000105640/ENSG00000107581/ENSG00000108298/ENSG00000109475/ENSG00000110700/ENSG00000111361/ENSG00000111832/ENSG00000112306/ENSG00000114391/ENSG00000114503/ENSG00000115268/ENSG00000116251/ENSG00000118181/ENSG00000119718/ENSG00000122026/ENSG00000122406/ENSG00000124614/ENSG00000125457/ENSG00000125691/ENSG00000130255/ENSG00000130741/ENSG00000130811/ENSG00000131469/ENSG00000134419/ENSG00000136942/ENSG00000137154/ENSG00000137818/ENSG00000138326/ENSG00000140988/ENSG00000142534/ENSG00000142541/ENSG00000142676/ENSG00000142937/ENSG00000143947/ENSG00000144713/ENSG00000145191/ENSG00000145425/ENSG00000147403/ENSG00000147604/ENSG00000147677/ENSG00000148303/ENSG00000149100/ENSG00000149273/ENSG00000154059/ENSG00000156482/ENSG00000161016/ENSG00000161970/ENSG00000162244/ENSG00000163584/ENSG00000164587/ENSG00000166441/ENSG00000167526/ENSG00000167658/ENSG00000168028/ENSG00000171858/ENSG00000171863/ENSG00000172239/ENSG00000174444/ENSG00000174748/ENSG00000175390/ENSG00000177600/ENSG00000177954/ENSG00000178982/ENSG00000182774/ENSG00000182899/ENSG00000185721/ENSG00000186468/ENSG00000188846/ENSG00000197756/ENSG00000197958/ENSG00000198034/ENSG00000198242/ENSG00000198755/ENSG00000204628/ENSG00000213553/ENSG00000229117/ENSG00000231500/ENSG00000265681/ENSG00000288920 92
GOCC_CYTOSOLIC_RIBOSOME GOCC_CYTOSOLIC_RIBOSOME 74/893 111/11149 0.666666666666667 8.32325494587533 22.8799805790069 9.78662697222746e-55 1.30044699206958e-51 1.27658822568255e-51 ENSG00000008988/ENSG00000063177/ENSG00000067248/ENSG00000071082/ENSG00000083845/ENSG00000089009/ENSG00000089157/ENSG00000100316/ENSG00000105372/ENSG00000105640/ENSG00000108298/ENSG00000109475/ENSG00000110700/ENSG00000112306/ENSG00000114391/ENSG00000115268/ENSG00000116251/ENSG00000118181/ENSG00000122026/ENSG00000122406/ENSG00000124614/ENSG00000125691/ENSG00000130255/ENSG00000131469/ENSG00000134419/ENSG00000136942/ENSG00000137154/ENSG00000137818/ENSG00000138326/ENSG00000140988/ENSG00000142534/ENSG00000142541/ENSG00000142676/ENSG00000142937/ENSG00000143947/ENSG00000144713/ENSG00000145425/ENSG00000146223/ENSG00000147403/ENSG00000147604/ENSG00000148303/ENSG00000149273/ENSG00000156482/ENSG00000156508/ENSG00000161016/ENSG00000161970/ENSG00000162244/ENSG00000164163/ENSG00000164587/ENSG00000166441/ENSG00000167526/ENSG00000168028/ENSG00000171858/ENSG00000171863/ENSG00000174444/ENSG00000174748/ENSG00000177600/ENSG00000177954/ENSG00000182774/ENSG00000182899/ENSG00000185088/ENSG00000186468/ENSG00000188846/ENSG00000197756/ENSG00000197958/ENSG00000198034/ENSG00000198242/ENSG00000198755/ENSG00000204628/ENSG00000213553/ENSG00000229117/ENSG00000231500/ENSG00000265681/ENSG00000288920 74
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS 139/893 478/11149 0.290794979079498 3.63054112178871 17.3456942549828 1.90118133171172e-44 2.10524146131545e-41 2.06661746162909e-41 ENSG00000004779/ENSG00000011260/ENSG00000039123/ENSG00000053372/ENSG00000058729/ENSG00000067248/ENSG00000071462/ENSG00000071994/ENSG00000075914/ENSG00000083845/ENSG00000084092/ENSG00000085721/ENSG00000086189/ENSG00000088205/ENSG00000089157/ENSG00000100028/ENSG00000100129/ENSG00000100138/ENSG00000100353/ENSG00000102241/ENSG00000104408/ENSG00000104872/ENSG00000105202/ENSG00000105248/ENSG00000105372/ENSG00000105373/ENSG00000105618/ENSG00000106355/ENSG00000107581/ENSG00000107833/ENSG00000108561/ENSG00000108848/ENSG00000109534/ENSG00000110700/ENSG00000112306/ENSG00000113460/ENSG00000114391/ENSG00000115268/ENSG00000115368/ENSG00000117133/ENSG00000118181/ENSG00000120699/ENSG00000122034/ENSG00000122140/ENSG00000122406/ENSG00000124193/ENSG00000124383/ENSG00000124784/ENSG00000125743/ENSG00000126749/ENSG00000128534/ENSG00000129460/ENSG00000130332/ENSG00000130520/ENSG00000130741/ENSG00000130811/ENSG00000131469/ENSG00000132341/ENSG00000132467/ENSG00000132603/ENSG00000134419/ENSG00000134697/ENSG00000136045/ENSG00000136718/ENSG00000136942/ENSG00000137154/ENSG00000137876/ENSG00000138326/ENSG00000138382/ENSG00000139343/ENSG00000142534/ENSG00000142541/ENSG00000142676/ENSG00000142684/ENSG00000142937/ENSG00000143633/ENSG00000143947/ENSG00000144895/ENSG00000145220/ENSG00000145425/ENSG00000145912/ENSG00000146109/ENSG00000146223/ENSG00000147604/ENSG00000147677/ENSG00000147679/ENSG00000148303/ENSG00000148688/ENSG00000149100/ENSG00000152464/ENSG00000158526/ENSG00000160256/ENSG00000161970/ENSG00000162851/ENSG00000164167/ENSG00000164346/ENSG00000164587/ENSG00000164934/ENSG00000164985/ENSG00000166133/ENSG00000167088/ENSG00000167721/ENSG00000168028/ENSG00000169251/ENSG00000171311/ENSG00000171806/ENSG00000171824/ENSG00000171858/ENSG00000171863/ENSG00000172062/ENSG00000172301/ENSG00000175390/ENSG00000176731/ENSG00000177954/ENSG00000177971/ENSG00000178952/ENSG00000178982/ENSG00000179041/ENSG00000181163/ENSG00000182004/ENSG00000182768/ENSG00000182774/ENSG00000182810/ENSG00000182899/ENSG00000183431/ENSG00000185088/ENSG00000185246/ENSG00000186468/ENSG00000188846/ENSG00000189306/ENSG00000198034/ENSG00000198042/ENSG00000205571/ENSG00000213553/ENSG00000225921/ENSG00000255561/ENSG00000273611/ENSG00000273841/ENSG00000288920 139
GOCC_LARGE_RIBOSOMAL_SUBUNIT GOCC_LARGE_RIBOSOMAL_SUBUNIT 64/893 106/11149 0.60377358490566 7.53804221513237 19.9568650387398 2.07255610666794e-43 1.96715182467169e-40 1.93106129878415e-40 ENSG00000055950/ENSG00000063177/ENSG00000071082/ENSG00000089009/ENSG00000089157/ENSG00000096080/ENSG00000100316/ENSG00000102317/ENSG00000105640/ENSG00000106591/ENSG00000108298/ENSG00000109475/ENSG00000114391/ENSG00000114686/ENSG00000116251/ENSG00000122026/ENSG00000122406/ENSG00000125691/ENSG00000130255/ENSG00000131469/ENSG00000136897/ENSG00000136942/ENSG00000137818/ENSG00000142541/ENSG00000142676/ENSG00000143436/ENSG00000144713/ENSG00000146223/ENSG00000147403/ENSG00000147604/ENSG00000148303/ENSG00000149792/ENSG00000154719/ENSG00000156482/ENSG00000158042/ENSG00000161016/ENSG00000161970/ENSG00000162244/ENSG00000166441/ENSG00000166902/ENSG00000167526/ENSG00000169288/ENSG00000171421/ENSG00000172172/ENSG00000173141/ENSG00000174444/ENSG00000174547/ENSG00000174748/ENSG00000177600/ENSG00000179271/ENSG00000181163/ENSG00000182899/ENSG00000185608/ENSG00000188846/ENSG00000197345/ENSG00000197756/ENSG00000197958/ENSG00000198242/ENSG00000198755/ENSG00000213553/ENSG00000214026/ENSG00000229117/ENSG00000242485/ENSG00000265681 64
GOBP_RIBOSOME_BIOGENESIS GOBP_RIBOSOME_BIOGENESIS 108/893 317/11149 0.340694006309148 4.25352460956405 17.340619345941 1.53284088980477e-41 1.27302435898286e-38 1.24966870437242e-38 ENSG00000004779/ENSG00000011260/ENSG00000039123/ENSG00000053372/ENSG00000058729/ENSG00000067248/ENSG00000071462/ENSG00000071994/ENSG00000075914/ENSG00000083845/ENSG00000084092/ENSG00000085721/ENSG00000086189/ENSG00000088205/ENSG00000089157/ENSG00000100138/ENSG00000104872/ENSG00000105202/ENSG00000105372/ENSG00000105373/ENSG00000107833/ENSG00000108561/ENSG00000109534/ENSG00000110700/ENSG00000112306/ENSG00000113460/ENSG00000114391/ENSG00000115268/ENSG00000115368/ENSG00000117133/ENSG00000118181/ENSG00000120699/ENSG00000122034/ENSG00000122140/ENSG00000122406/ENSG00000124383/ENSG00000124784/ENSG00000126749/ENSG00000129460/ENSG00000131469/ENSG00000132341/ENSG00000132467/ENSG00000132603/ENSG00000134419/ENSG00000134697/ENSG00000136045/ENSG00000136718/ENSG00000136942/ENSG00000137154/ENSG00000137876/ENSG00000138326/ENSG00000138382/ENSG00000142534/ENSG00000142676/ENSG00000142684/ENSG00000142937/ENSG00000143633/ENSG00000143947/ENSG00000144895/ENSG00000145220/ENSG00000145425/ENSG00000145912/ENSG00000146109/ENSG00000146223/ENSG00000147604/ENSG00000147679/ENSG00000148303/ENSG00000148688/ENSG00000152464/ENSG00000158526/ENSG00000160256/ENSG00000161970/ENSG00000162851/ENSG00000164167/ENSG00000164346/ENSG00000164587/ENSG00000164934/ENSG00000166133/ENSG00000167721/ENSG00000168028/ENSG00000169251/ENSG00000171311/ENSG00000171806/ENSG00000171824/ENSG00000171858/ENSG00000171863/ENSG00000172301/ENSG00000176731/ENSG00000177954/ENSG00000177971/ENSG00000178952/ENSG00000179041/ENSG00000181163/ENSG00000182768/ENSG00000182774/ENSG00000182810/ENSG00000182899/ENSG00000185088/ENSG00000186468/ENSG00000188846/ENSG00000189306/ENSG00000198034/ENSG00000198042/ENSG00000213553/ENSG00000225921/ENSG00000255561/ENSG00000273611/ENSG00000288920 108
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT 42/893 52/11149 0.807692307692308 10.0839434921182 19.3735186942964 2.63865849897919e-37 1.94791634080197e-34 1.91217872042983e-34 ENSG00000063177/ENSG00000071082/ENSG00000089009/ENSG00000089157/ENSG00000100316/ENSG00000105640/ENSG00000108298/ENSG00000109475/ENSG00000114391/ENSG00000116251/ENSG00000122026/ENSG00000122406/ENSG00000125691/ENSG00000130255/ENSG00000131469/ENSG00000136942/ENSG00000137818/ENSG00000142541/ENSG00000142676/ENSG00000144713/ENSG00000146223/ENSG00000147403/ENSG00000147604/ENSG00000148303/ENSG00000156482/ENSG00000161016/ENSG00000161970/ENSG00000162244/ENSG00000166441/ENSG00000167526/ENSG00000174444/ENSG00000174748/ENSG00000177600/ENSG00000182899/ENSG00000188846/ENSG00000197756/ENSG00000197958/ENSG00000198242/ENSG00000198755/ENSG00000213553/ENSG00000229117/ENSG00000265681 42
GOCC_SMALL_RIBOSOMAL_SUBUNIT GOCC_SMALL_RIBOSOMAL_SUBUNIT 47/893 71/11149 0.661971830985915 8.2646404744255 18.1195673397765 7.80778732875104e-35 5.18749390122219e-32 5.09232108304647e-32 ENSG00000008988/ENSG00000048544/ENSG00000061794/ENSG00000062582/ENSG00000067248/ENSG00000083845/ENSG00000096080/ENSG00000105372/ENSG00000110700/ENSG00000112306/ENSG00000115268/ENSG00000116898/ENSG00000118181/ENSG00000120333/ENSG00000122140/ENSG00000124614/ENSG00000125445/ENSG00000132300/ENSG00000132676/ENSG00000134419/ENSG00000137154/ENSG00000138326/ENSG00000140988/ENSG00000142534/ENSG00000142937/ENSG00000143947/ENSG00000145425/ENSG00000147586/ENSG00000149273/ENSG00000164587/ENSG00000168028/ENSG00000171858/ENSG00000171863/ENSG00000175110/ENSG00000177954/ENSG00000181163/ENSG00000181610/ENSG00000182180/ENSG00000182774/ENSG00000185088/ENSG00000186468/ENSG00000198034/ENSG00000204628/ENSG00000231500/ENSG00000239789/ENSG00000266472/ENSG00000288920 47
