ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX 9/401 22/11149 0.409090909090909 11.3739514849241 9.40748092647286 3.02429148243104e-08 0.000191861051645425 0.000190052843685403 ENSG00000211598/ENSG00000211677/ENSG00000211679/ENSG00000211799/ENSG00000211890/ENSG00000211893/ENSG00000211895/ENSG00000211896/ENSG00000243466 9
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING 13/401 68/11149 0.191176470588235 5.3152779815168 6.89414786208525 7.2043836886562e-07 0.00228523050604175 0.00226369319059355 ENSG00000179344/ENSG00000196126/ENSG00000196735/ENSG00000211598/ENSG00000211677/ENSG00000211679/ENSG00000211753/ENSG00000211799/ENSG00000211890/ENSG00000211893/ENSG00000211895/ENSG00000211896/ENSG00000243466 13
GOCC_BLOOD_MICROPARTICLE GOCC_BLOOD_MICROPARTICLE 9/401 58/11149 0.155172413793103 4.31425745979878 4.88789338023533 0.000205311553189155 0.393677704689739 0.389967461504902 ENSG00000211598/ENSG00000211677/ENSG00000211679/ENSG00000211890/ENSG00000211893/ENSG00000211895/ENSG00000211896/ENSG00000225217/ENSG00000243466 9
GOBP_AXONAL_FASCICULATION GOBP_AXONAL_FASCICULATION 4/401 10/11149 0.4 11.1211970074813 6.18465693098401 0.000291377338722454 0.393677704689739 0.389967461504902 ENSG00000099250/ENSG00000112902/ENSG00000146072/ENSG00000176749 4
GOBP_SPINAL_CORD_DEVELOPMENT GOBP_SPINAL_CORD_DEVELOPMENT 8/401 49/11149 0.163265306122449 4.53926408468624 4.79574803043341 0.000322722362501049 0.393677704689739 0.389967461504902 ENSG00000082641/ENSG00000092621/ENSG00000118762/ENSG00000147852/ENSG00000167081/ENSG00000179348/ENSG00000204120/ENSG00000277586 8
HP_ABSENT_THUMB HP_ABSENT_THUMB 8/401 50/11149 0.16 4.44847880299252 4.72038557727801 0.000372330742140359 0.393677704689739 0.389967461504902 ENSG00000066468/ENSG00000144554/ENSG00000159147/ENSG00000160957/ENSG00000163682/ENSG00000168411/ENSG00000181544/ENSG00000233927 8
HP_ABSENT_FOREARM_BONE HP_ABSENT_FOREARM_BONE 5/401 21/11149 0.238095238095238 6.61976012350077 4.97881173676541 0.000741370676202648 0.648339118385866 0.642228800816954 ENSG00000066468/ENSG00000144554/ENSG00000159147/ENSG00000160957/ENSG00000181544 5
HP_PATELLAR_APLASIA HP_PATELLAR_APLASIA 4/401 13/11149 0.307692307692308 8.55476692883177 5.26423142017572 0.000910308366083183 0.648339118385866 0.642228800816954 ENSG00000085840/ENSG00000091651/ENSG00000159147/ENSG00000160957 4
HP_HYPOPLASIA_OF_THE_RADIUS HP_HYPOPLASIA_OF_THE_RADIUS 6/401 33/11149 0.181818181818182 5.05508954885514 4.50598755114144 0.0010120160435832 0.648339118385866 0.642228800816954 ENSG00000066468/ENSG00000159147/ENSG00000160957/ENSG00000168411/ENSG00000181544/ENSG00000182858 6
HP_DEVIATION_OF_THE_HAND_OR_OF_FINGERS_OF_THE_HAND HP_DEVIATION_OF_THE_HAND_OR_OF_FINGERS_OF_THE_HAND 28/401 422/11149 0.0663507109004739 1.84474831877652 3.4170494104524 0.00132412664476834 0.648339118385866 0.642228800816954 ENSG00000013573/ENSG00000066468/ENSG00000085840/ENSG00000091651/ENSG00000092621/ENSG00000103995/ENSG00000118873/ENSG00000130595/ENSG00000140400/ENSG00000144554/ENSG00000156831/ENSG00000159147/ENSG00000160957/ENSG00000164597/ENSG00000165533/ENSG00000165617/ENSG00000168411/ENSG00000169249/ENSG00000174775/ENSG00000175344/ENSG00000177239/ENSG00000177374/ENSG00000181004/ENSG00000181544/ENSG00000182858/ENSG00000196275/ENSG00000198838/ENSG00000198954 28
