ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOCC_PHAGOCYTIC_VESICLE_MEMBRANE GOCC_PHAGOCYTIC_VESICLE_MEMBRANE 17/480 73/11149 0.232876712328767 5.40904680365297 8.01626206770247 8.57243694871520e-09 5.61751793249307e-05 5.38980693628167e-05 ENSG00000049245/ENSG00000051523/ENSG00000092531/ENSG00000103496/ENSG00000113732/ENSG00000117410/ENSG00000118508/ENSG00000144566/ENSG00000159720/ENSG00000166128/ENSG00000167705/ENSG00000168461/ENSG00000204525/ENSG00000204592/ENSG00000206503/ENSG00000234745/ENSG00000265808 17
GOCC_PHAGOCYTIC_VESICLE GOCC_PHAGOCYTIC_VESICLE 21/480 134/11149 0.156716417910448 3.64006529850746 6.52126814732318 2.5247545438506e-07 0.000827235826292648 0.000793703099495769 ENSG00000026025/ENSG00000049245/ENSG00000051523/ENSG00000085117/ENSG00000092531/ENSG00000103496/ENSG00000113732/ENSG00000116266/ENSG00000117410/ENSG00000118508/ENSG00000144566/ENSG00000159720/ENSG00000163131/ENSG00000166128/ENSG00000167705/ENSG00000168461/ENSG00000204525/ENSG00000204592/ENSG00000206503/ENSG00000234745/ENSG00000265808 21
GOCC_COATED_VESICLE GOCC_COATED_VESICLE 29/480 248/11149 0.116935483870968 2.71607022849462 5.79675531229497 9.18380409729715e-07 0.00132393799888521 0.00127027101566038 ENSG00000006715/ENSG00000049245/ENSG00000070540/ENSG00000085063/ENSG00000085832/ENSG00000090487/ENSG00000101160/ENSG00000101310/ENSG00000105669/ENSG00000111737/ENSG00000117153/ENSG00000117410/ENSG00000119844/ENSG00000131100/ENSG00000136021/ENSG00000143771/ENSG00000144566/ENSG00000159720/ENSG00000162517/ENSG00000166128/ENSG00000169223/ENSG00000178996/ENSG00000181789/ENSG00000185010/ENSG00000204525/ENSG00000204592/ENSG00000206503/ENSG00000234745/ENSG00000265808 29
GOCC_SPECIFIC_GRANULE GOCC_SPECIFIC_GRANULE 21/480 145/11149 0.144827586206897 3.3639224137931 6.07713899966688 9.72002972918239e-07 0.00132393799888521 0.00127027101566038 ENSG00000013563/ENSG00000051523/ENSG00000085063/ENSG00000091317/ENSG00000092531/ENSG00000101160/ENSG00000103496/ENSG00000104518/ENSG00000109270/ENSG00000112697/ENSG00000116266/ENSG00000118520/ENSG00000126759/ENSG00000135926/ENSG00000137563/ENSG00000143753/ENSG00000149357/ENSG00000160255/ENSG00000169692/ENSG00000172322/ENSG00000172794 21
GOCC_VESICLE_LUMEN GOCC_VESICLE_LUMEN 30/480 263/11149 0.114068441064639 2.64947718631179 5.74178945890928 1.01017701730903e-06 0.00132393799888521 0.00127027101566038 ENSG00000013563/ENSG00000021355/ENSG00000051620/ENSG00000079246/ENSG00000087086/ENSG00000101160/ENSG00000102265/ENSG00000102393/ENSG00000103490/ENSG00000104518/ENSG00000118520/ENSG00000121691/ENSG00000122862/ENSG00000126759/ENSG00000130755/ENSG00000131966/ENSG00000134996/ENSG00000135677/ENSG00000137563/ENSG00000147813/ENSG00000153310/ENSG00000160213/ENSG00000162704/ENSG00000163220/ENSG00000163221/ENSG00000163993/ENSG00000165280/ENSG00000171314/ENSG00000185010/ENSG00000188229 30
GOCC_FICOLIN_1_RICH_GRANULE GOCC_FICOLIN_1_RICH_GRANULE 23/480 173/11149 0.132947976878613 3.08799373795761 5.87066684660415 1.38378837717667e-06 0.00151132753927312 0.00145006455734671 ENSG00000067560/ENSG00000079739/ENSG00000101160/ENSG00000104518/ENSG00000104763/ENSG00000106244/ENSG00000119801/ENSG00000121691/ENSG00000127951/ENSG00000130755/ENSG00000131966/ENSG00000134996/ENSG00000135677/ENSG00000149357/ENSG00000155093/ENSG00000158869/ENSG00000160213/ENSG00000160255/ENSG00000162704/ENSG00000163131/ENSG00000165280/ENSG00000171314/ENSG00000175463 23
GOCC_ENDOSOME_MEMBRANE GOCC_ENDOSOME_MEMBRANE 44/480 488/11149 0.0901639344262295 2.09424521857924 5.24303598025943 2.48085647112605e-06 0.00232243606504128 0.00222829409053171 ENSG00000006715/ENSG00000049245/ENSG00000070540/ENSG00000074319/ENSG00000082996/ENSG00000084073/ENSG00000085832/ENSG00000090487/ENSG00000091317/ENSG00000104497/ENSG00000105355/ENSG00000109270/ENSG00000109332/ENSG00000111737/ENSG00000112697/ENSG00000113732/ENSG00000115561/ENSG00000117410/ENSG00000129515/ENSG00000130724/ENSG00000135926/ENSG00000136021/ENSG00000136156/ENSG00000138613/ENSG00000144566/ENSG00000149357/ENSG00000150991/ENSG00000155256/ENSG00000159720/ENSG00000160948/ENSG00000166128/ENSG00000167705/ENSG00000168461/ENSG00000170458/ENSG00000170619/ENSG00000178996/ENSG00000183018/ENSG00000188186/ENSG00000204525/ENSG00000204592/ENSG00000205155/ENSG00000206503/ENSG00000234745/ENSG00000255112 44
GOCC_TERTIARY_GRANULE GOCC_TERTIARY_GRANULE 20/480 143/11149 0.13986013986014 3.24854312354312 5.73999781015904 3.06540387914037e-06 0.00251094895250085 0.00240916544343492 ENSG00000051523/ENSG00000067560/ENSG00000079739/ENSG00000085063/ENSG00000092531/ENSG00000104518/ENSG00000104763/ENSG00000109270/ENSG00000116266/ENSG00000119801/ENSG00000126759/ENSG00000137563/ENSG00000149357/ENSG00000155093/ENSG00000158869/ENSG00000160213/ENSG00000160255/ENSG00000163131/ENSG00000172322/ENSG00000175463 20
GOCC_ENDOCYTIC_VESICLE_MEMBRANE GOCC_ENDOCYTIC_VESICLE_MEMBRANE 20/480 146/11149 0.136986301369863 3.18179223744292 5.62848489351761 4.24394695300382e-06 0.00309006493144823 0.00296480645032653 ENSG00000049245/ENSG00000051523/ENSG00000085832/ENSG00000092531/ENSG00000103496/ENSG00000111737/ENSG00000113732/ENSG00000117410/ENSG00000118508/ENSG00000144566/ENSG00000150991/ENSG00000159720/ENSG00000166128/ENSG00000167705/ENSG00000168461/ENSG00000204525/ENSG00000204592/ENSG00000206503/ENSG00000234745/ENSG00000265808 20
GOCC_ENDOPEPTIDASE_COMPLEX GOCC_ENDOPEPTIDASE_COMPLEX 16/480 100/11149 0.16 3.71633333333333 5.7873376012738 5.16295792734157e-06 0.00338328632978693 0.00324614186315907 ENSG00000064012/ENSG00000110801/ENSG00000115317/ENSG00000119318/ENSG00000130706/ENSG00000131187/ENSG00000137752/ENSG00000140612/ENSG00000159352/ENSG00000165280/ENSG00000169372/ENSG00000185010/ENSG00000204264/ENSG00000205220/ENSG00000240065/ENSG00000277791 16
