ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY 8/44 143/11149 0.0559440559440559 14.1754609027336 9.98124274742596 7.22325333938412e-08 0.000128573909441037 0.000119221697222677 ENSG00000134489/ENSG00000152207/ENSG00000171657/ENSG00000171659/ENSG00000174837/ENSG00000183134/ENSG00000188822/ENSG00000282608 8
GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY 11/44 387/11149 0.0284237726098191 7.20219638242894 7.81663870579469 2.09144128636928e-07 0.000186138274486866 0.000172598944054054 ENSG00000091181/ENSG00000105366/ENSG00000115602/ENSG00000134489/ENSG00000152207/ENSG00000171657/ENSG00000171659/ENSG00000174837/ENSG00000183134/ENSG00000188822/ENSG00000282608 11
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY 10/44 390/11149 0.0256410256410256 6.49708624708625 6.95575757698583 2.0919460866318e-06 0.00124122134473487 0.00115093735573287 ENSG00000134489/ENSG00000152207/ENSG00000166147/ENSG00000171657/ENSG00000171659/ENSG00000174837/ENSG00000183134/ENSG00000188822/ENSG00000276231/ENSG00000282608 10
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY 5/44 108/11149 0.0462962962962963 11.7308501683502 7.05354336327108 6.24875439318097e-05 0.0278069570496553 0.0257843339171257 ENSG00000134489/ENSG00000166147/ENSG00000183134/ENSG00000188822/ENSG00000282608 5
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS 5/44 141/11149 0.0354609929078014 8.98533204384268 6.00639462451446 0.000220098210639073 0.0783549629875099 0.0726555777435929 ENSG00000005187/ENSG00000131203/ENSG00000161905/ENSG00000172817/ENSG00000213316 5
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY 3/44 38/11149 0.0789473684210526 20.0041866028708 7.38635280182078 0.000439344204199934 0.130338780579314 0.120858195120263 ENSG00000134489/ENSG00000183134/ENSG00000282608 3
HP_IMPAIRED_VIBRATORY_SENSATION HP_IMPAIRED_VIBRATORY_SENSATION 4/44 102/11149 0.0392156862745098 9.93672014260249 5.70718044214727 0.0006768642953216 0.145696889640523 0.135099185663122 ENSG00000109099/ENSG00000131018/ENSG00000140263/ENSG00000172817 4
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER 2/44 11/11149 0.181818181818182 46.0702479338843 9.4134369863322 0.00081852185191305 0.145696889640523 0.135099185663122 ENSG00000134489/ENSG00000188822 2
GOMF_ICOSANOID_RECEPTOR_ACTIVITY GOMF_ICOSANOID_RECEPTOR_ACTIVITY 2/44 11/11149 0.181818181818182 46.0702479338843 9.4134369863322 0.00081852185191305 0.145696889640523 0.135099185663122 ENSG00000152207/ENSG00000183134 2
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN 2/44 11/11149 0.181818181818182 46.0702479338843 9.4134369863322 0.00081852185191305 0.145696889640523 0.135099185663122 ENSG00000131203/ENSG00000161905 2
GOBP_INTERLEUKIN_5_PRODUCTION GOBP_INTERLEUKIN_5_PRODUCTION 2/44 13/11149 0.153846153846154 38.9825174825175 8.62494527658349 0.00115500221231311 0.158146456762872 0.146643195862911 ENSG00000091181/ENSG00000115602 2
GOBP_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS GOBP_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS 2/44 13/11149 0.153846153846154 38.9825174825175 8.62494527658349 0.00115500221231311 0.158146456762872 0.146643195862911 ENSG00000161905/ENSG00000213316 2
GOBP_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION GOBP_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION 2/44 13/11149 0.153846153846154 38.9825174825175 8.62494527658349 0.00115500221231311 0.158146456762872 0.146643195862911 ENSG00000105205/ENSG00000131203 2
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS 5/44 208/11149 0.0240384615384615 6.09101835664336 4.66523320697369 0.00129462444274144 0.161983325992529 0.150200978803244 ENSG00000005187/ENSG00000131203/ENSG00000161905/ENSG00000172817/ENSG00000213316 5
HP_IMPAIRED_PROPRIOCEPTION HP_IMPAIRED_PROPRIOCEPTION 4/44 124/11149 0.032258064516129 8.17375366568915 5.0563082247877 0.00140312799266535 0.161983325992529 0.150200978803244 ENSG00000109099/ENSG00000131018/ENSG00000140263/ENSG00000172817 4
HP_IMPAIRED_PAIN_SENSATION HP_IMPAIRED_PAIN_SENSATION 3/44 58/11149 0.0517241379310345 13.1061912225705 5.81837502596121 0.00152102529313344 0.161983325992529 0.150200978803244 ENSG00000109099/ENSG00000140263/ENSG00000166147 3
GOBP_T_CELL_TOLERANCE_INDUCTION GOBP_T_CELL_TOLERANCE_INDUCTION 2/44 15/11149 0.133333333333333 33.7848484848485 7.99758268386618 0.00154703176509719 0.161983325992529 0.150200978803244 ENSG00000105205/ENSG00000131203 2
