ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA 15/312 143/11149 0.104895104895105 3.7483189887036 5.61230989344003 1.09044663882956e-05 0.0509456669661172 0.0509456669661172 ENSG00000059691/ENSG00000090861/ENSG00000091127/ENSG00000104356/ENSG00000117593/ENSG00000122435/ENSG00000134014/ENSG00000135372/ENSG00000137513/ENSG00000165275/ENSG00000169570/ENSG00000177192/ENSG00000179115/ENSG00000198874/ENSG00000206562 15
GOBP_TRNA_MODIFICATION GOBP_TRNA_MODIFICATION 11/312 94/11149 0.117021276595745 4.18163529732679 5.25601008420908 6.02578060444175e-05 0.121991469801176 0.121991469801176 ENSG00000090861/ENSG00000091127/ENSG00000109911/ENSG00000122435/ENSG00000134014/ENSG00000135372/ENSG00000165275/ENSG00000169570/ENSG00000177192/ENSG00000198874/ENSG00000206562 11
GOBP_RNA_MODIFICATION GOBP_RNA_MODIFICATION 15/312 169/11149 0.0887573964497041 3.17165452890305 4.82674283511252 7.83335636565768e-05 0.121991469801176 0.121991469801176 ENSG00000029639/ENSG00000090861/ENSG00000091127/ENSG00000109911/ENSG00000122435/ENSG00000134014/ENSG00000135372/ENSG00000156990/ENSG00000165275/ENSG00000169570/ENSG00000177192/ENSG00000198874/ENSG00000206562/ENSG00000278619/ENSG00000291151 15
GOBP_SNRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III GOBP_SNRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III 4/312 10/11149 0.4 14.2935897435897 7.13576288119282 0.000110564861105316 0.12913975777101 0.12913975777101 ENSG00000013503/ENSG00000128915/ENSG00000144161/ENSG00000164975 4
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS 16/312 198/11149 0.0808080808080808 2.88759388759389 4.5471105015647 0.000138761002415992 0.129658280657503 0.129658280657503 ENSG00000059691/ENSG00000090861/ENSG00000091127/ENSG00000104356/ENSG00000109911/ENSG00000117593/ENSG00000122435/ENSG00000134014/ENSG00000135372/ENSG00000137513/ENSG00000165275/ENSG00000169570/ENSG00000177192/ENSG00000179115/ENSG00000198874/ENSG00000206562 16
HP_NEPHRONOPHTHISIS HP_NEPHRONOPHTHISIS 6/312 32/11149 0.1875 6.70012019230769 5.4788125252998 0.000224316345269227 0.156066677706476 0.156066677706476 ENSG00000100815/ENSG00000103494/ENSG00000106477/ENSG00000198690/ENSG00000198707/ENSG00000204104 6
HP_PANCREATIC_FIBROSIS HP_PANCREATIC_FIBROSIS 5/312 21/11149 0.238095238095238 8.50808913308913 5.84321342025796 0.000233832779097888 0.156066677706476 0.156066677706476 ENSG00000011143/ENSG00000103494/ENSG00000113621/ENSG00000137700/ENSG00000198707 5
GOBP_TRNA_PROCESSING GOBP_TRNA_PROCESSING 12/312 133/11149 0.0902255639097744 3.22411798727588 4.37817301262686 0.00034731053049635 0.176760546582285 0.176760546582285 ENSG00000090861/ENSG00000091127/ENSG00000104356/ENSG00000109911/ENSG00000122435/ENSG00000134014/ENSG00000135372/ENSG00000165275/ENSG00000169570/ENSG00000177192/ENSG00000198874/ENSG00000206562 12
GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_ONE_CARBON_GROUPS GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_ONE_CARBON_GROUPS 14/312 175/11149 0.08 2.85871794871795 4.20505111694116 0.000399032026717708 0.176760546582285 0.176760546582285 ENSG00000010165/ENSG00000029639/ENSG00000122435/ENSG00000123427/ENSG00000132600/ENSG00000150756/ENSG00000156239/ENSG00000159131/ENSG00000160310/ENSG00000165275/ENSG00000196363/ENSG00000206562/ENSG00000278619/ENSG00000291151 14
GOCC_CENTRIOLE GOCC_CENTRIOLE 12/312 136/11149 0.0882352941176471 3.15299773755656 4.28628898697892 0.000426222449094057 0.176760546582285 0.176760546582285 ENSG00000011143/ENSG00000100211/ENSG00000106477/ENSG00000131462/ENSG00000136811/ENSG00000146856/ENSG00000162063/ENSG00000163611/ENSG00000165923/ENSG00000170264/ENSG00000198707/ENSG00000215041 12
