ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_REGULATION_OF_CIRCADIAN_RHYTHM GOBP_REGULATION_OF_CIRCADIAN_RHYTHM 8/169 81/11149 0.0987654320987654 6.51559646431441 6.18074862623924 2.96556728018389e-05 0.0622503616522014 0.0621222656436088 ENSG00000106462/ENSG00000107643/ENSG00000116560/ENSG00000121671/ENSG00000138668/ENSG00000142178/ENSG00000173933/ENSG00000179094 8
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS 15/169 289/11149 0.0519031141868512 3.42406994123789 5.17988141410673 3.26687807148787e-05 0.0622503616522014 0.0621222656436088 ENSG00000061936/ENSG00000079387/ENSG00000112941/ENSG00000116350/ENSG00000134744/ENSG00000136381/ENSG00000138668/ENSG00000144028/ENSG00000149658/ENSG00000152518/ENSG00000173933/ENSG00000174231/ENSG00000174953/ENSG00000187742/ENSG00000272886 15
GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS 8/169 100/11149 0.08 5.27763313609467 5.33068120438749 0.000134475974801805 0.0933113051566027 0.0931192933284 ENSG00000061936/ENSG00000112941/ENSG00000116350/ENSG00000136381/ENSG00000138668/ENSG00000144028/ENSG00000174231/ENSG00000187742 8
GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS 4/169 19/11149 0.210526315789474 13.8885082528807 6.97545489086441 0.000165315499915977 0.0933113051566027 0.0931192933284 ENSG00000015568/ENSG00000102753/ENSG00000169629/ENSG00000183054 4
GOCC_U12_TYPE_PRECATALYTIC_SPLICEOSOME GOCC_U12_TYPE_PRECATALYTIC_SPLICEOSOME 5/169 35/11149 0.142857142857143 9.42434488588335 6.19263704486714 0.000169438008075681 0.0933113051566027 0.0931192933284 ENSG00000112739/ENSG00000117360/ENSG00000144028/ENSG00000174231/ENSG00000186166 5
GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING 5/169 36/11149 0.138888888888889 9.16255752794214 6.08558749152659 0.000194374841832898 0.0933113051566027 0.0931192933284 ENSG00000061936/ENSG00000116350/ENSG00000117569/ENSG00000144028/ENSG00000174231 5
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY 5/169 36/11149 0.138888888888889 9.16255752794214 6.08558749152659 0.000194374841832898 0.0933113051566027 0.0931192933284 ENSG00000112739/ENSG00000117360/ENSG00000144028/ENSG00000174231/ENSG00000186166 5
GOBP_ENTRAINMENT_OF_CIRCADIAN_CLOCK_BY_PHOTOPERIOD GOBP_ENTRAINMENT_OF_CIRCADIAN_CLOCK_BY_PHOTOPERIOD 4/169 20/11149 0.2 13.1940828402367 6.77137288249604 0.000204212879834326 0.0933113051566027 0.0931192933284 ENSG00000121671/ENSG00000142178/ENSG00000173933/ENSG00000179094 4
GOBP_CIRCADIAN_RHYTHM GOBP_CIRCADIAN_RHYTHM 9/169 136/11149 0.0661764705882353 4.36568917507832 4.89926919443778 0.000220362567937398 0.0933113051566027 0.0931192933284 ENSG00000106462/ENSG00000107643/ENSG00000116560/ENSG00000121671/ENSG00000138668/ENSG00000142178/ENSG00000173933/ENSG00000179094/ENSG00000183826 9
GOBP_PHOTOPERIODISM GOBP_PHOTOPERIODISM 4/169 21/11149 0.19047619047619 12.5657931811778 6.58138312256926 0.00024929603549281 0.0950067191263099 0.0948112185511076 ENSG00000121671/ENSG00000142178/ENSG00000173933/ENSG00000179094 4
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION 5/169 39/11149 0.128205128205128 8.45774541040813 5.78793292869973 0.000286168880330835 0.0991445093582555 0.0989404942234742 ENSG00000112739/ENSG00000117360/ENSG00000144028/ENSG00000174231/ENSG00000186166 5
