ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
HP_APLASIA_HYPOPLASIA_OF_THE_CEREBRAL_WHITE_MATTER HP_APLASIA_HYPOPLASIA_OF_THE_CEREBRAL_WHITE_MATTER 2/46 18/11149 0.111111111111111 26.9299516908213 7.08643968055369 0.00244318045279476 0.55050626918201 0.5501938808891 ENSG00000198938/ENSG00000202538 2
HP_VASCULAR_TORTUOSITY HP_VASCULAR_TORTUOSITY 2/46 27/11149 0.0740740740740741 17.9533011272142 5.67677836624063 0.00547427689732494 0.55050626918201 0.5501938808891 ENSG00000198938/ENSG00000202538 2
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I 2/46 29/11149 0.0689655172413793 16.7151424287856 5.45408814898231 0.00629901311782915 0.55050626918201 0.5501938808891 ENSG00000150967/ENSG00000206341 2
HP_BIPOLAR_AFFECTIVE_DISORDER HP_BIPOLAR_AFFECTIVE_DISORDER 2/46 34/11149 0.0588235294117647 14.2570332480818 4.98297027452936 0.0085907649992156 0.55050626918201 0.5501938808891 ENSG00000198938/ENSG00000202538 2
HP_PERSONALITY_CHANGES HP_PERSONALITY_CHANGES 2/46 41/11149 0.0487804878048781 11.8229056203606 4.46863713280978 0.0123295542676315 0.55050626918201 0.5501938808891 ENSG00000112592/ENSG00000198938 2
GOCC_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE GOCC_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE 3/46 120/11149 0.025 6.05923913043478 3.58645171235397 0.0131873837939168 0.55050626918201 0.5501938808891 ENSG00000133026/ENSG00000141404/ENSG00000152767 3
GOCC_EUCHROMATIN GOCC_EUCHROMATIN 2/46 49/11149 0.0408163265306122 9.89263531499556 4.01535787893989 0.0173177122341216 0.55050626918201 0.5501938808891 ENSG00000112592/ENSG00000188375 2
HP_PROXIMAL_UPPER_LIMB_MUSCLE_WEAKNESS HP_PROXIMAL_UPPER_LIMB_MUSCLE_WEAKNESS 2/46 51/11149 0.0392156862745098 9.50468883205456 3.91812585649389 0.0186781536855786 0.55050626918201 0.5501938808891 ENSG00000174611/ENSG00000198938 2
HP_ABNORMAL_SHAPE_OF_THE_PALPEBRAL_FISSURE HP_ABNORMAL_SHAPE_OF_THE_PALPEBRAL_FISSURE 2/46 52/11149 0.0384615384615385 9.32190635451505 3.87149701875107 0.0193748361528877 0.55050626918201 0.5501938808891 ENSG00000187741/ENSG00000202538 2
HP_IMPAIRMENT_OF_ACTIVITIES_OF_DAILY_LIVING HP_IMPAIRMENT_OF_ACTIVITIES_OF_DAILY_LIVING 3/46 140/11149 0.0214285714285714 5.19363354037267 3.21394014950685 0.0198530739205864 0.55050626918201 0.5501938808891 ENSG00000112592/ENSG00000174611/ENSG00000202538 3
HP_ABNORMAL_MORPHOLOGY_OF_THE_MUSCULATURE_OF_THE_NECK HP_ABNORMAL_MORPHOLOGY_OF_THE_MUSCULATURE_OF_THE_NECK 2/46 53/11149 0.0377358490566038 9.14602132895816 3.82611024524147 0.0200823625258179 0.55050626918201 0.5501938808891 ENSG00000112592/ENSG00000141404 2
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN 2/46 54/11149 0.037037037037037 8.97665056360709 3.78190852156263 0.0208006356008382 0.55050626918201 0.5501938808891 ENSG00000150967/ENSG00000206341 2
HP_OPTIC_NEUROPATHY HP_OPTIC_NEUROPATHY 2/46 54/11149 0.037037037037037 8.97665056360709 3.78190852156263 0.0208006356008382 0.55050626918201 0.5501938808891 ENSG00000126106/ENSG00000198938 2
HP_CEREBRAL_VISUAL_IMPAIRMENT HP_CEREBRAL_VISUAL_IMPAIRMENT 3/46 148/11149 0.0202702702702703 4.91289659224442 3.08439771049093 0.0229541607091491 0.55050626918201 0.5501938808891 ENSG00000048342/ENSG00000126106/ENSG00000198938 3
GOCC_CAJAL_BODY GOCC_CAJAL_BODY 2/46 59/11149 0.0338983050847458 8.21591746499632 3.57691826090147 0.0245498402907984 0.55050626918201 0.5501938808891 ENSG00000252010/ENSG00000252835 2
HP_NEPHROPATHY HP_NEPHROPATHY 2/46 59/11149 0.0338983050847458 8.21591746499632 3.57691826090147 0.0245498402907984 0.55050626918201 0.5501938808891 ENSG00000048342/ENSG00000198938 2
GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE 2/46 61/11149 0.0327868852459016 7.94654312188168 3.50158175599927 0.0261214121575343 0.55050626918201 0.5501938808891 ENSG00000141404/ENSG00000152767 2
HP_ABNORMAL_MIDBRAIN_MORPHOLOGY HP_ABNORMAL_MIDBRAIN_MORPHOLOGY 2/46 61/11149 0.0327868852459016 7.94654312188168 3.50158175599927 0.0261214121575343 0.55050626918201 0.5501938808891 ENSG00000048342/ENSG00000112592 2
HP_INCREASED_CIRCULATING_LACTATE_DEHYDROGENASE_CONCENTRATION HP_INCREASED_CIRCULATING_LACTATE_DEHYDROGENASE_CONCENTRATION 2/46 64/11149 0.03125 7.57404891304348 3.39478516187662 0.0285534658889425 0.55050626918201 0.5501938808891 ENSG00000174611/ENSG00000198938 2
HP_DOLICHOCEPHALY HP_DOLICHOCEPHALY 3/46 164/11149 0.0182926829268293 4.43358960763521 2.85119883673659 0.0299060825615933 0.55050626918201 0.5501938808891 ENSG00000126106/ENSG00000187741/ENSG00000202538 3
HP_SLOPING_FOREHEAD HP_SLOPING_FOREHEAD 3/46 165/11149 0.0181818181818182 4.40671936758893 2.83762691956854 0.0303737070195385 0.55050626918201 0.5501938808891 ENSG00000048342/ENSG00000187741/ENSG00000202538 3
HP_ASTIGMATISM HP_ASTIGMATISM 3/46 174/11149 0.0172413793103448 4.1787856071964 2.72013728641287 0.0347567333107495 0.55050626918201 0.5501938808891 ENSG00000048342/ENSG00000187741/ENSG00000202538 3
GOCC_CYTOPLASMIC_SIDE_OF_MEMBRANE GOCC_CYTOPLASMIC_SIDE_OF_MEMBRANE 3/46 175/11149 0.0171428571428571 4.15490683229814 2.70757384985621 0.0352630462869782 0.55050626918201 0.5501938808891 ENSG00000133026/ENSG00000141404/ENSG00000152767 3
GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN 2/46 76/11149 0.0263157894736842 6.37814645308924 3.02805665471376 0.0391320840716065 0.55050626918201 0.5501938808891 ENSG00000188375/ENSG00000234289 2
GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_DIFFERENTIATION GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_DIFFERENTIATION 1/46 10/11149 0.1 24.2369565217391 4.73165824727303 0.0405176789602373 0.55050626918201 0.5501938808891 ENSG00000133026 1
GOCC_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATOR_COMPLEX GOCC_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATOR_COMPLEX 1/46 10/11149 0.1 24.2369565217391 4.73165824727303 0.0405176789602373 0.55050626918201 0.5501938808891 ENSG00000112592 1
GOMF_OLIGOPEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_OLIGOPEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY 1/46 10/11149 0.1 24.2369565217391 4.73165824727303 0.0405176789602373 0.55050626918201 0.5501938808891 ENSG00000150967 1
