ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX 7/171 39/11149 0.179487179487179 11.7023541760384 8.35582845116723 1.79606703191658e-06 0.00747343491980488 0.00745840467464305 ENSG00000163519/ENSG00000211734/ENSG00000211746/ENSG00000211747/ENSG00000211793/ENSG00000232869/ENSG00000282939 7
GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION 8/171 91/11149 0.0879120879120879 5.73176531071268 5.65640531151468 7.48774333323635e-05 0.100430722150161 0.100228740278118 ENSG00000073536/ENSG00000099139/ENSG00000138795/ENSG00000149311/ENSG00000168646/ENSG00000171843/ENSG00000179598/ENSG00000183691 8
GOCC_PLASMA_MEMBRANE_SIGNALING_RECEPTOR_COMPLEX GOCC_PLASMA_MEMBRANE_SIGNALING_RECEPTOR_COMPLEX 10/171 146/11149 0.0684931506849315 4.46567331570936 5.26069854302698 8.141796573501e-05 0.100430722150161 0.100228740278118 ENSG00000091409/ENSG00000123612/ENSG00000134352/ENSG00000163519/ENSG00000211734/ENSG00000211746/ENSG00000211747/ENSG00000211793/ENSG00000232869/ENSG00000282939 10
GOBP_SEGMENTATION GOBP_SEGMENTATION 6/171 49/11149 0.122448979591837 7.98353025420695 6.11429645015894 9.65447941842453e-05 0.100430722150161 0.100228740278118 ENSG00000073536/ENSG00000138795/ENSG00000149311/ENSG00000168646/ENSG00000171843/ENSG00000179598 6
GOCC_RECEPTOR_COMPLEX GOCC_RECEPTOR_COMPLEX 13/171 256/11149 0.05078125 3.31087810672515 4.66829391052147 0.000155912708679526 0.129750556163101 0.129489607524364 ENSG00000091409/ENSG00000123612/ENSG00000134352/ENSG00000144935/ENSG00000151623/ENSG00000163519/ENSG00000168685/ENSG00000211734/ENSG00000211746/ENSG00000211747/ENSG00000211793/ENSG00000232869/ENSG00000282939 13
GOBP_SOMITE_DEVELOPMENT GOBP_SOMITE_DEVELOPMENT 5/171 40/11149 0.125 8.14985380116959 5.65359371872345 0.000341104393237764 0.236555896710389 0.236080145846137 ENSG00000073536/ENSG00000138795/ENSG00000149311/ENSG00000168646/ENSG00000183691 5
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION 3/171 11/11149 0.272727272727273 17.7814992025518 6.94957769193078 0.000534345180180041 0.317630042104164 0.316991238467708 ENSG00000100852/ENSG00000102678/ENSG00000136997 3
GOBP_PATTERN_SPECIFICATION_PROCESS GOBP_PATTERN_SPECIFICATION_PROCESS 10/171 201/11149 0.0497512437810945 3.24372290593815 4.00621984544386 0.00105670831957038 0.488369080658315 0.487386894141604 ENSG00000073536/ENSG00000099139/ENSG00000138795/ENSG00000149311/ENSG00000154764/ENSG00000158747/ENSG00000168646/ENSG00000171843/ENSG00000179598/ENSG00000183691 10
GOBP_DORSAL_VENTRAL_PATTERN_FORMATION GOBP_DORSAL_VENTRAL_PATTERN_FORMATION 4/171 30/11149 0.133333333333333 8.69317738791423 5.2658493548872 0.00107236773460065 0.488369080658315 0.487386894141604 ENSG00000154764/ENSG00000158747/ENSG00000168646/ENSG00000183691 4
GOBP_SOMITOGENESIS GOBP_SOMITOGENESIS 4/171 32/11149 0.125 8.14985380116959 5.05490816369685 0.00137399230543156 0.488369080658315 0.487386894141604 ENSG00000073536/ENSG00000138795/ENSG00000149311/ENSG00000168646 4
GOBP_PRESYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION GOBP_PRESYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION 3/171 15/11149 0.2 13.0397660818713 5.82335132731435 0.00140841840132174 0.488369080658315 0.487386894141604 ENSG00000034053/ENSG00000070087/ENSG00000183691 3
GOBP_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION GOBP_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION 3/171 15/11149 0.2 13.0397660818713 5.82335132731435 0.00140841840132174 0.488369080658315 0.487386894141604 ENSG00000100852/ENSG00000102678/ENSG00000136997 3
GOBP_MESENCHYMAL_CELL_PROLIFERATION GOBP_MESENCHYMAL_CELL_PROLIFERATION 3/171 16/11149 0.1875 12.2247807017544 5.60746631969585 0.00171400763840449 0.548614291030853 0.547510941984269 ENSG00000100852/ENSG00000102678/ENSG00000136997 3
