ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE 17/211 164/11149 0.103658536585366 5.47719916772627 8.02230290345787 1.24240101115644e-08 5.82189113827907e-05 5.36978794927193e-05 ENSG00000085265/ENSG00000100097/ENSG00000103811/ENSG00000115318/ENSG00000131981/ENSG00000132386/ENSG00000135047/ENSG00000138829/ENSG00000157227/ENSG00000163453/ENSG00000164733/ENSG00000173372/ENSG00000182718/ENSG00000196975/ENSG00000197747/ENSG00000214274/ENSG00000231991 17
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION 12/211 91/11149 0.131868131868132 6.96776209572418 7.93897900091236 1.3111570065513e-07 0.000307204086634969 0.000283347929942086 ENSG00000010704/ENSG00000103811/ENSG00000109113/ENSG00000129226/ENSG00000135047/ENSG00000145416/ENSG00000158473/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 12
GOCC_CELL_SURFACE GOCC_CELL_SURFACE 27/211 481/11149 0.0561330561330561 2.96600683804475 6.12190811457635 3.81305216566196e-07 0.000595598748276398 0.000549347094463439 ENSG00000010704/ENSG00000085265/ENSG00000102181/ENSG00000106605/ENSG00000114013/ENSG00000119457/ENSG00000131981/ENSG00000132514/ENSG00000135077/ENSG00000135218/ENSG00000138448/ENSG00000141505/ENSG00000158473/ENSG00000162909/ENSG00000164733/ENSG00000165457/ENSG00000173372/ENSG00000177575/ENSG00000182718/ENSG00000196975/ENSG00000197747/ENSG00000204257/ENSG00000204287/ENSG00000205846/ENSG00000223865/ENSG00000231389/ENSG00000271605 27
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II 7/211 29/11149 0.241379310344828 12.7542082039549 8.80259524020673 8.62592922053787e-07 0.000914010693237556 0.000843032528344993 ENSG00000135047/ENSG00000145416/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 7
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX 5/211 11/11149 0.454545454545455 24.0176647996553 10.6077858889678 9.75256821636317e-07 0.000914010693237556 0.000843032528344993 ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 5
GOCC_MHC_PROTEIN_COMPLEX GOCC_MHC_PROTEIN_COMPLEX 6/211 20/11149 0.3 15.8516587677725 9.23278318520189 1.32930487444812e-06 0.000964245557770384 0.00088936636795049 ENSG00000010704/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 6
GOBP_ADAPTIVE_IMMUNE_RESPONSE GOBP_ADAPTIVE_IMMUNE_RESPONSE 24/211 423/11149 0.0567375886524823 2.9979496487513 5.81844019401111 1.47924128793322e-06 0.000964245557770384 0.00088936636795049 ENSG00000010704/ENSG00000081189/ENSG00000100097/ENSG00000103811/ENSG00000106546/ENSG00000106804/ENSG00000114013/ENSG00000115318/ENSG00000128829/ENSG00000132514/ENSG00000135047/ENSG00000135077/ENSG00000136286/ENSG00000150782/ENSG00000158473/ENSG00000161955/ENSG00000173372/ENSG00000187796/ENSG00000204257/ENSG00000204287/ENSG00000205846/ENSG00000223865/ENSG00000231389/ENSG00000242574 24
GOCC_MHC_CLASS_II_PROTEIN_COMPLEX GOCC_MHC_CLASS_II_PROTEIN_COMPLEX 5/211 12/11149 0.416666666666667 22.0161927330174 10.1165237147487 1.64617252713681e-06 0.000964245557770384 0.00088936636795049 ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 5
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION 23/211 415/11149 0.0554216867469879 2.92841888882544 5.56051962378209 3.6886453199072e-06 0.00192055466323168 0.00177141259456596 ENSG00000010704/ENSG00000081189/ENSG00000100097/ENSG00000106546/ENSG00000108861/ENSG00000114013/ENSG00000115318/ENSG00000119457/ENSG00000124766/ENSG00000131981/ENSG00000135077/ENSG00000150782/ENSG00000155659/ENSG00000157227/ENSG00000158473/ENSG00000161955/ENSG00000170677/ENSG00000183087/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 23
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II 6/211 24/11149 0.25 13.2097156398104 8.31633372341164 4.33286198084929e-06 0.00203037912422598 0.00187270855719655 ENSG00000135047/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 6
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING 9/211 68/11149 0.132352941176471 6.99337886813493 6.88505572016363 4.91977635105311e-06 0.00209582472554862 0.00193307193276785 ENSG00000010704/ENSG00000085265/ENSG00000158473/ENSG00000204257/ENSG00000204287/ENSG00000214063/ENSG00000223865/ENSG00000231389/ENSG00000242574 9
GOCC_ENDOPLASMIC_RETICULUM_LUMEN GOCC_ENDOPLASMIC_RETICULUM_LUMEN 14/211 175/11149 0.08 4.22710900473934 5.97614229549908 5.71261431061899e-06 0.00223077588829672 0.00205754336485979 ENSG00000001036/ENSG00000070404/ENSG00000100097/ENSG00000101439/ENSG00000102595/ENSG00000122025/ENSG00000130309/ENSG00000135052/ENSG00000144455/ENSG00000163453/ENSG00000170275/ENSG00000183087/ENSG00000186283/ENSG00000198848 14
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN 8/211 54/11149 0.148148148148148 7.82797963840618 6.98547901161351 7.09816345858531e-06 0.00255861492053313 0.00235992381870051 ENSG00000010704/ENSG00000135047/ENSG00000145416/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 8
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX 5/211 16/11149 0.3125 16.512144549763 8.62375635515989 8.53397362496621e-06 0.00285644288618512 0.00263462373715122 ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 5
GOBP_ZYMOGEN_ACTIVATION GOBP_ZYMOGEN_ACTIVATION 6/211 29/11149 0.206896551724138 10.9321784605328 7.43809751576058 1.41294428969654e-05 0.00416553096706791 0.00384205363137247 ENSG00000103811/ENSG00000135047/ENSG00000157227/ENSG00000182718/ENSG00000197747/ENSG00000231991 6
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN 7/211 43/11149 0.162790697674419 8.60167530034167 6.93642119312778 1.42228970279741e-05 0.00416553096706791 0.00384205363137247 ENSG00000135047/ENSG00000158473/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 7
GOMF_PEPTIDE_BINDING GOMF_PEPTIDE_BINDING 12/211 145/11149 0.0827586206896552 4.37287138421311 5.67778887089049 1.91799212863936e-05 0.00528688889106119 0.00487633169052211 ENSG00000010704/ENSG00000019169/ENSG00000038945/ENSG00000101439/ENSG00000135218/ENSG00000173372/ENSG00000204257/ENSG00000204287/ENSG00000214274/ENSG00000223865/ENSG00000231389/ENSG00000242574 12
GOMF_PEPTIDE_ANTIGEN_BINDING GOMF_PEPTIDE_ANTIGEN_BINDING 6/211 31/11149 0.193548387096774 10.2268766243694 7.14484766696183 2.12196654995791e-05 0.00531967185392866 0.00490656886857405 ENSG00000010704/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 6
GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS 7/211 46/11149 0.152173913043478 8.04069647640635 6.64576708474271 2.25149892633239e-05 0.00531967185392866 0.00490656886857405 ENSG00000038945/ENSG00000107798/ENSG00000135218/ENSG00000138448/ENSG00000146070/ENSG00000168389/ENSG00000182718 7
GOBP_REGULATION_OF_CELL_CELL_ADHESION GOBP_REGULATION_OF_CELL_CELL_ADHESION 20/211 369/11149 0.0542005420054201 2.8638949896608 5.05703537603397 2.27045320270109e-05 0.00531967185392866 0.00490656886857405 ENSG00000010704/ENSG00000070404/ENSG00000100097/ENSG00000108861/ENSG00000114013/ENSG00000115318/ENSG00000124766/ENSG00000131981/ENSG00000135077/ENSG00000150782/ENSG00000155659/ENSG00000158473/ENSG00000169032/ENSG00000170677/ENSG00000175040/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 20
GOBP_REGULATION_OF_T_CELL_ACTIVATION GOBP_REGULATION_OF_T_CELL_ACTIVATION 18/211 311/11149 0.0578778135048231 3.05819783301077 5.11285511280974 2.49808927620564e-05 0.00555986117812842 0.00512810611617928 ENSG00000010704/ENSG00000100097/ENSG00000108861/ENSG00000114013/ENSG00000115318/ENSG00000119457/ENSG00000124766/ENSG00000131981/ENSG00000135077/ENSG00000150782/ENSG00000155659/ENSG00000158473/ENSG00000170677/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000242574 18
