ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING 6/48 50/11149 0.12 27.8725 12.5224468025553 6.34882258638646e-08 0.000158720564659662 0.000132857466334066 ENSG00000044574/ENSG00000087074/ENSG00000170345/ENSG00000171223/ENSG00000172216/ENSG00000177606 6
GOBP_RESPONSE_TO_GROWTH_FACTOR GOBP_RESPONSE_TO_GROWTH_FACTOR 11/48 429/11149 0.0256410256410256 5.95566239316239 6.88289291814515 1.50244885753354e-06 0.00187806107191693 0.00157203596251404 ENSG00000044574/ENSG00000112715/ENSG00000114315/ENSG00000141543/ENSG00000144802/ENSG00000160888/ENSG00000164442/ENSG00000168209/ENSG00000169429/ENSG00000170345/ENSG00000177606 11
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT 5/48 54/11149 0.0925925925925926 21.5065586419753 9.93262543547477 3.22473740186692e-06 0.00268728116822243 0.00224939577365314 ENSG00000114315/ENSG00000164442/ENSG00000171223/ENSG00000172216/ENSG00000184557 5
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT GOBP_EMBRYONIC_ORGAN_DEVELOPMENT 8/48 225/11149 0.0355555555555556 8.25851851851852 7.2324668190234 4.57340448726521e-06 0.00285837780454075 0.00239261266333769 ENSG00000112715/ENSG00000114315/ENSG00000141543/ENSG00000164442/ENSG00000169429/ENSG00000171223/ENSG00000172216/ENSG00000184557 8
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS 6/48 107/11149 0.0560747663551402 13.0245327102804 8.21815395598388 6.00359073101241e-06 0.00290107242651126 0.00242835030901237 ENSG00000112715/ENSG00000116741/ENSG00000164442/ENSG00000170345/ENSG00000171223/ENSG00000185022 6
GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1 GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1 5/48 63/11149 0.0793650793650794 18.4341931216931 9.12478704010051 6.96257382362702e-06 0.00290107242651126 0.00242835030901237 ENSG00000100906/ENSG00000114315/ENSG00000169429/ENSG00000172216/ENSG00000277632 5
GOMF_CYTOKINE_ACTIVITY GOMF_CYTOKINE_ACTIVITY 5/48 68/11149 0.0735294117647059 17.078737745098 8.74490262469033 1.01610684518974e-05 0.00362895301853479 0.00303762467404091 ENSG00000099985/ENSG00000112715/ENSG00000163739/ENSG00000169429/ENSG00000277632 5
GOBP_VASCULATURE_DEVELOPMENT GOBP_VASCULATURE_DEVELOPMENT 10/48 435/11149 0.0229885057471264 5.33955938697318 6.07089177618396 1.27255370134714e-05 0.00397673031670981 0.00332873257668173 ENSG00000112715/ENSG00000114315/ENSG00000130066/ENSG00000135821/ENSG00000143878/ENSG00000164442/ENSG00000169429/ENSG00000171223/ENSG00000177606/ENSG00000184557 10
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION 7/48 190/11149 0.0368421052631579 8.55734649122807 6.90873792784633 1.52410534622774e-05 0.00423362596174371 0.00354376775239852 ENSG00000112715/ENSG00000164442/ENSG00000170345/ENSG00000171223/ENSG00000172216/ENSG00000177606/ENSG00000277632 7
GOBP_BLOOD_VESSEL_MORPHOGENESIS GOBP_BLOOD_VESSEL_MORPHOGENESIS 9/48 360/11149 0.025 5.80677083333333 6.09610050495477 1.89984688065564e-05 0.00436555562984279 0.00365419982826419 ENSG00000112715/ENSG00000114315/ENSG00000130066/ENSG00000135821/ENSG00000143878/ENSG00000164442/ENSG00000169429/ENSG00000171223/ENSG00000177606 9
GOMF_CYTOKINE_RECEPTOR_BINDING GOMF_CYTOKINE_RECEPTOR_BINDING 6/48 131/11149 0.0458015267175573 10.638358778626 7.29668166683611 1.92084447713083e-05 0.00436555562984279 0.00365419982826419 ENSG00000099985/ENSG00000112715/ENSG00000163739/ENSG00000169429/ENSG00000184557/ENSG00000277632 6
GOBP_OUTFLOW_TRACT_MORPHOGENESIS GOBP_OUTFLOW_TRACT_MORPHOGENESIS 4/48 39/11149 0.102564102564103 23.8226495726496 9.38813623983042 2.22692027756746e-05 0.00449379377408904 0.00376154190437432 ENSG00000112715/ENSG00000114315/ENSG00000164442/ENSG00000177606 4
GOBP_RESPONSE_TO_INTERLEUKIN_1 GOBP_RESPONSE_TO_INTERLEUKIN_1 5/48 81/11149 0.0617283950617284 14.3377057613169 7.92185910498333 2.3952201823943e-05 0.00449379377408904 0.00376154190437432 ENSG00000100906/ENSG00000114315/ENSG00000169429/ENSG00000172216/ENSG00000277632 5
