ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR 8/178 79/11149 0.10126582278481 6.34276774285308 6.07003791912363 3.58212034786414e-05 0.117487046577439 0.116674828513095 ENSG00000029363/ENSG00000072274/ENSG00000085274/ENSG00000096717/ENSG00000100417/ENSG00000134758/ENSG00000153147/ENSG00000165195 8
GOCC_NUCLEAR_SPECK GOCC_NUCLEAR_SPECK 17/178 357/11149 0.0476190476190476 2.98261102193686 4.84960123470196 5.63216905932113e-05 0.117487046577439 0.116674828513095 ENSG00000010072/ENSG00000029363/ENSG00000080986/ENSG00000083896/ENSG00000100227/ENSG00000121390/ENSG00000122692/ENSG00000131051/ENSG00000132661/ENSG00000138398/ENSG00000143751/ENSG00000144048/ENSG00000144597/ENSG00000146457/ENSG00000161526/ENSG00000162775/ENSG00000163743 17
GOCC_NUCLEAR_RIBONUCLEOPROTEIN_GRANULE GOCC_NUCLEAR_RIBONUCLEOPROTEIN_GRANULE 18/178 410/11149 0.0439024390243902 2.74982186900521 4.59821443839486 9.65243191145602e-05 0.134233153115315 0.133305164924529 ENSG00000010072/ENSG00000029363/ENSG00000080986/ENSG00000083896/ENSG00000100227/ENSG00000121390/ENSG00000122692/ENSG00000131051/ENSG00000132661/ENSG00000132952/ENSG00000138398/ENSG00000143751/ENSG00000144048/ENSG00000144597/ENSG00000146457/ENSG00000161526/ENSG00000162775/ENSG00000163743 18
HP_VITREOUS_HEMORRHAGE HP_VITREOUS_HEMORRHAGE 3/178 11/11149 0.272727272727273 17.082226762002 6.79710988380991 0.000600826778539348 0.553131381636018 0.549307442629905 ENSG00000163930/ENSG00000168036/ENSG00000175213 3
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS 17/178 442/11149 0.0384615384615385 2.4090319792567 3.85020148261674 0.000703980892225917 0.553131381636018 0.549307442629905 ENSG00000063978/ENSG00000078304/ENSG00000096717/ENSG00000100764/ENSG00000100902/ENSG00000101193/ENSG00000163636/ENSG00000163743/ENSG00000165355/ENSG00000165525/ENSG00000166170/ENSG00000168036/ENSG00000174010/ENSG00000178381/ENSG00000178974/ENSG00000179454/ENSG00000187555 17
GOBP_REGULATION_OF_MRNA_PROCESSING GOBP_REGULATION_OF_MRNA_PROCESSING 8/178 126/11149 0.0634920634920635 3.97681469591582 4.28028358418993 0.000913911630516631 0.553131381636018 0.549307442629905 ENSG00000083896/ENSG00000122692/ENSG00000125835/ENSG00000131051/ENSG00000146457/ENSG00000161526/ENSG00000162775/ENSG00000172409 8
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION 11/178 224/11149 0.0491071428571429 3.07581761637239 3.9974943008363 0.000928072787979896 0.553131381636018 0.549307442629905 ENSG00000025770/ENSG00000063978/ENSG00000080986/ENSG00000096717/ENSG00000106635/ENSG00000121274/ENSG00000124688/ENSG00000146425/ENSG00000153147/ENSG00000168036/ENSG00000187555 11
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY 4/178 30/11149 0.133333333333333 8.35131086142322 5.13544312572805 0.00124444298012415 0.566961911198881 0.563042358197203 ENSG00000096717/ENSG00000135018/ENSG00000166170/ENSG00000168036 4
GOBP_RNA_SPLICING GOBP_RNA_SPLICING 16/178 427/11149 0.0374707259953162 2.34697260742573 3.61509882128954 0.00132875651688573 0.566961911198881 0.563042358197203 ENSG00000076924/ENSG00000083896/ENSG00000095485/ENSG00000108406/ENSG00000113240/ENSG00000122692/ENSG00000125835/ENSG00000131013/ENSG00000131051/ENSG00000135974/ENSG00000138398/ENSG00000143751/ENSG00000146457/ENSG00000161526/ENSG00000162775/ENSG00000172409 16
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME 7/178 104/11149 0.0673076923076923 4.21580596369922 4.1967105771213 0.0013589691064211 0.566961911198881 0.563042358197203 ENSG00000083896/ENSG00000122692/ENSG00000125835/ENSG00000131051/ENSG00000146457/ENSG00000161526/ENSG00000162775 7
