ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL 6/219 33/11149 0.181818181818182 9.25612287256123 6.7230958833527 3.81241176464019e-05 0.181025067285803 0.179443901758018 ENSG00000075711/ENSG00000113569/ENSG00000145349/ENSG00000151150/ENSG00000163399/ENSG00000164180 6
HP_OCULOMOTOR_APRAXIA HP_OCULOMOTOR_APRAXIA 9/219 94/11149 0.0957446808510638 4.87423491693384 5.33925866007401 9.24642664494016e-05 0.181025067285803 0.179443901758018 ENSG00000004487/ENSG00000046651/ENSG00000066933/ENSG00000069667/ENSG00000107371/ENSG00000108474/ENSG00000135541/ENSG00000149483/ENSG00000198718 9
HP_APRAXIA HP_APRAXIA 12/219 167/11149 0.0718562874251497 3.65810844065294 4.89892360340022 0.000110313874031568 0.181025067285803 0.179443901758018 ENSG00000004487/ENSG00000011295/ENSG00000046651/ENSG00000066933/ENSG00000069667/ENSG00000107371/ENSG00000108474/ENSG00000112425/ENSG00000114062/ENSG00000135541/ENSG00000149483/ENSG00000198718 12
GOBP_ACTION_POTENTIAL GOBP_ACTION_POTENTIAL 7/219 60/11149 0.116666666666667 5.93934550989345 5.43011836366546 0.000163556644663755 0.201297340419916 0.199539106489781 ENSG00000075711/ENSG00000113569/ENSG00000145349/ENSG00000151150/ENSG00000163399/ENSG00000164180/ENSG00000185477 7
HP_INTERICTAL_EEG_ABNORMALITY HP_INTERICTAL_EEG_ABNORMALITY 13/219 231/11149 0.0562770562770563 2.86499041293562 4.05435249947403 0.000637119641663509 0.581514932229231 0.576435683379778 ENSG00000066933/ENSG00000108474/ENSG00000112425/ENSG00000114062/ENSG00000115419/ENSG00000115525/ENSG00000117020/ENSG00000124198/ENSG00000138095/ENSG00000151806/ENSG00000153989/ENSG00000169918/ENSG00000177570 13
HP_PROFOUND_HEARING_IMPAIRMENT HP_PROFOUND_HEARING_IMPAIRMENT 3/219 10/11149 0.3 15.272602739726 6.39131955990569 0.000810148347573861 0.581514932229231 0.576435683379778 ENSG00000064651/ENSG00000134684/ENSG00000147274 3
GOCC_LATERAL_PLASMA_MEMBRANE GOCC_LATERAL_PLASMA_MEMBRANE 5/219 38/11149 0.131578947368421 6.69850997356405 4.98066111985244 0.000826854463864436 0.581514932229231 0.576435683379778 ENSG00000064651/ENSG00000075711/ENSG00000104290/ENSG00000151150/ENSG00000163399 5
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL 3/219 12/11149 0.25 12.7271689497717 5.7532090057994 0.00144270544563561 0.749144049689156 0.742600642389414 ENSG00000075711/ENSG00000145349/ENSG00000164180 3
HP_EPILEPTIC_ENCEPHALOPATHY HP_EPILEPTIC_ENCEPHALOPATHY 7/219 89/11149 0.0786516853932584 4.00405315273716 4.02749962792029 0.00180631781690195 0.749144049689156 0.742600642389414 ENSG00000008277/ENSG00000086848/ENSG00000115419/ENSG00000151806/ENSG00000153989/ENSG00000185760/ENSG00000186153 7
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT 6/219 66/11149 0.0909090909090909 4.62806143628061 4.18435372203261 0.00182590648704416 0.749144049689156 0.742600642389414 ENSG00000033867/ENSG00000064651/ENSG00000075711/ENSG00000145349/ENSG00000163399/ENSG00000164038 6
GOBP_RIBOSOME_LOCALIZATION GOBP_RIBOSOME_LOCALIZATION 3/219 13/11149 0.230769230769231 11.7481559536354 5.48847235221601 0.00184848481509148 0.749144049689156 0.742600642389414 ENSG00000041802/ENSG00000108559/ENSG00000196943 3
HP_AGANGLIONIC_MEGACOLON HP_AGANGLIONIC_MEGACOLON 8/219 115/11149 0.0695652173913043 3.54147309906691 3.87773747701133 0.00190663402307583 0.749144049689156 0.742600642389414 ENSG00000046651/ENSG00000108474/ENSG00000122507/ENSG00000135541/ENSG00000140386/ENSG00000149483/ENSG00000187790/ENSG00000198718 8
GOBP_NUCLEAR_TRANSPORT GOBP_NUCLEAR_TRANSPORT 14/219 295/11149 0.0474576271186441 2.416004953177 3.48892254697601 0.00206155204818834 0.749144049689156 0.742600642389414 ENSG00000041802/ENSG00000079134/ENSG00000108559/ENSG00000111605/ENSG00000112425/ENSG00000113569/ENSG00000114423/ENSG00000132953/ENSG00000136937/ENSG00000140943/ENSG00000157500/ENSG00000174891/ENSG00000178028/ENSG00000196943 14
HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY 19/219 470/11149 0.0404255319148936 2.05801029826095 3.31729418291447 0.00229171163606808 0.749144049689156 0.742600642389414 ENSG00000066933/ENSG00000087053/ENSG00000108474/ENSG00000112425/ENSG00000114062/ENSG00000115419/ENSG00000115525/ENSG00000117020/ENSG00000124198/ENSG00000138095/ENSG00000140386/ENSG00000151806/ENSG00000153989/ENSG00000154265/ENSG00000169918/ENSG00000171488/ENSG00000176225/ENSG00000177570/ENSG00000186153 19
GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE 3/219 14/11149 0.214285714285714 10.9090019569472 5.25120868675634 0.00231874049109685 0.749144049689156 0.742600642389414 ENSG00000064651/ENSG00000075711/ENSG00000163399 3
GOBP_SODIUM_ION_TRANSPORT GOBP_SODIUM_ION_TRANSPORT 7/219 96/11149 0.0729166666666667 3.71209094368341 3.77755013100641 0.00278465430561736 0.749144049689156 0.742600642389414 ENSG00000033867/ENSG00000064651/ENSG00000075711/ENSG00000145349/ENSG00000151150/ENSG00000163399/ENSG00000164038 7
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING 3/219 16/11149 0.1875 9.54537671232877 4.84167413304515 0.00346544355354663 0.749144049689156 0.742600642389414 ENSG00000145349/ENSG00000151150/ENSG00000163399 3
GOBP_REGULATION_OF_DEPHOSPHORYLATION GOBP_REGULATION_OF_DEPHOSPHORYLATION 3/219 16/11149 0.1875 9.54537671232877 4.84167413304515 0.00346544355354663 0.749144049689156 0.742600642389414 ENSG00000087053/ENSG00000104643/ENSG00000112425 3
GOCC_AXONAL_GROWTH_CONE GOCC_AXONAL_GROWTH_CONE 3/219 16/11149 0.1875 9.54537671232877 4.84167413304515 0.00346544355354663 0.749144049689156 0.742600642389414 ENSG00000066933/ENSG00000163539/ENSG00000168280 3
HP_MOTOR_SEIZURE HP_MOTOR_SEIZURE 15/219 349/11149 0.0429799426934097 2.18805196844212 3.19188128548716 0.00372665026098855 0.749144049689156 0.742600642389414 ENSG00000008277/ENSG00000073578/ENSG00000101266/ENSG00000108474/ENSG00000112425/ENSG00000114062/ENSG00000117020/ENSG00000151806/ENSG00000153989/ENSG00000168280/ENSG00000169918/ENSG00000174373/ENSG00000177570/ENSG00000185760/ENSG00000186153 15
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION 4/219 33/11149 0.121212121212121 6.17074858170749 4.21062513726192 0.003791525409488 0.749144049689156 0.742600642389414 ENSG00000075711/ENSG00000113569/ENSG00000145349/ENSG00000163399 4
HP_MOLAR_TOOTH_SIGN_ON_MRI HP_MOLAR_TOOTH_SIGN_ON_MRI 4/219 33/11149 0.121212121212121 6.17074858170749 4.21062513726192 0.003791525409488 0.749144049689156 0.742600642389414 ENSG00000046651/ENSG00000135541/ENSG00000149483/ENSG00000198718 4
HP_EEG_WITH_GENERALIZED_EPILEPTIFORM_DISCHARGES HP_EEG_WITH_GENERALIZED_EPILEPTIFORM_DISCHARGES 10/219 189/11149 0.0529100529100529 2.69358073011041 3.32385435089279 0.0041333108156403 0.749144049689156 0.742600642389414 ENSG00000066933/ENSG00000108474/ENSG00000112425/ENSG00000115419/ENSG00000117020/ENSG00000124198/ENSG00000151806/ENSG00000153989/ENSG00000169918/ENSG00000177570 10
GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE 3/219 17/11149 0.176470588235294 8.98388396454472 4.66296906999251 0.00414761935284595 0.749144049689156 0.742600642389414 ENSG00000075711/ENSG00000082196/ENSG00000157500 3
HP_SIMPLIFIED_GYRAL_PATTERN HP_SIMPLIFIED_GYRAL_PATTERN 6/219 79/11149 0.0759493670886076 3.86648170625975 3.61908985676724 0.00452644185087972 0.749144049689156 0.742600642389414 ENSG00000101266/ENSG00000105810/ENSG00000115419/ENSG00000138095/ENSG00000176225/ENSG00000186153 6
HP_SUPERNUMERARY_TOOTH HP_SUPERNUMERARY_TOOTH 4/219 35/11149 0.114285714285714 5.81813437703849 4.04099386084699 0.00470560134179857 0.749144049689156 0.742600642389414 ENSG00000046651/ENSG00000108474/ENSG00000124177/ENSG00000140262 4
HP_LOWER_EXTREMITY_JOINT_DISLOCATION HP_LOWER_EXTREMITY_JOINT_DISLOCATION 11/219 224/11149 0.0491071428571429 2.49997961513372 3.21003006350026 0.0047182090913104 0.749144049689156 0.742600642389414 ENSG00000033170/ENSG00000064651/ENSG00000066933/ENSG00000086848/ENSG00000104331/ENSG00000107371/ENSG00000108474/ENSG00000124198/ENSG00000144036/ENSG00000147274/ENSG00000187790 11
HP_HYPERGLYCEMIA HP_HYPERGLYCEMIA 5/219 56/11149 0.0892857142857143 4.54541748206132 3.76484711913951 0.00473092098873531 0.749144049689156 0.742600642389414 ENSG00000122507/ENSG00000138095/ENSG00000140386/ENSG00000157500/ENSG00000165392 5
HP_ATYPICAL_ABSENCE_SEIZURE HP_ATYPICAL_ABSENCE_SEIZURE 3/219 18/11149 0.166666666666667 8.48477929984779 4.49840565722782 0.0049057504309845 0.749144049689156 0.742600642389414 ENSG00000112425/ENSG00000114062/ENSG00000169918 3
