ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOCC_AZUROPHIL_GRANULE_LUMEN GOCC_AZUROPHIL_GRANULE_LUMEN 7/127 75/11149 0.0933333333333333 8.1934908136483 6.70946980252417 2.20068603284761e-05 0.0631376822823981 0.0631376822823981 ENSG00000057608/ENSG00000109861/ENSG00000131473/ENSG00000149636/ENSG00000170266/ENSG00000173692/ENSG00000179163 7
GOCC_VACUOLAR_LUMEN GOCC_VACUOLAR_LUMEN 8/127 129/11149 0.062015503875969 5.44417994262345 5.44961510493233 0.000109431903993535 0.156980066278726 0.156980066278726 ENSG00000057608/ENSG00000102805/ENSG00000109861/ENSG00000131473/ENSG00000149636/ENSG00000170266/ENSG00000173692/ENSG00000179163 8
HP_VACUOLATED_LYMPHOCYTES HP_VACUOLATED_LYMPHOCYTES 3/127 11/11149 0.272727272727273 23.9420186113099 8.1713629420008 0.000222800785898802 0.213071818247888 0.213071818247888 ENSG00000102805/ENSG00000170266/ENSG00000179163 3
GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS 10/127 240/11149 0.0416666666666667 3.65780839895013 4.46793613485436 0.000409284700230575 0.29355945124038 0.29355945124038 ENSG00000105619/ENSG00000113812/ENSG00000116161/ENSG00000123268/ENSG00000132646/ENSG00000150753/ENSG00000169139/ENSG00000181625/ENSG00000185515/ENSG00000259802 10
GOCC_AZUROPHIL_GRANULE GOCC_AZUROPHIL_GRANULE 7/127 139/11149 0.0503597122302158 4.42094828074548 4.35642645000157 0.0010374820803902 0.46175890481924 0.46175890481924 ENSG00000057608/ENSG00000109861/ENSG00000131473/ENSG00000149636/ENSG00000170266/ENSG00000173692/ENSG00000179163 7
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS 13/127 426/11149 0.0305164319248826 2.67895826401981 3.79277154603698 0.00111863080451344 0.46175890481924 0.46175890481924 ENSG00000105619/ENSG00000111653/ENSG00000113812/ENSG00000116161/ENSG00000117748/ENSG00000123268/ENSG00000132646/ENSG00000150753/ENSG00000169139/ENSG00000181625/ENSG00000185515/ENSG00000259802/ENSG00000275052 13
HP_WIDE_NOSE HP_WIDE_NOSE 6/127 103/11149 0.058252427184466 5.1138292179497 4.50227987403671 0.00112663378659278 0.46175890481924 0.46175890481924 ENSG00000004961/ENSG00000100934/ENSG00000121481/ENSG00000179163/ENSG00000184009/ENSG00000185515 6
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR 6/127 126/11149 0.0476190476190476 4.18035245594301 3.85372533776302 0.00314005912910394 0.815005388774118 0.815005388774118 ENSG00000105619/ENSG00000113812/ENSG00000132646/ENSG00000169139/ENSG00000185515/ENSG00000259802 6
GOBP_REGULATION_OF_DNA_REPAIR GOBP_REGULATION_OF_DNA_REPAIR 8/127 216/11149 0.037037037037037 3.25138524351123 3.58655218182069 0.00325360270441509 0.815005388774118 0.815005388774118 ENSG00000105619/ENSG00000113812/ENSG00000117748/ENSG00000132646/ENSG00000169139/ENSG00000185515/ENSG00000259802/ENSG00000275052 8
GOBP_TELOMERE_ORGANIZATION GOBP_TELOMERE_ORGANIZATION 7/127 179/11149 0.0391061452513966 3.43302687722694 3.52241275753714 0.00434371320220617 0.815005388774118 0.815005388774118 ENSG00000105619/ENSG00000113812/ENSG00000117748/ENSG00000132646/ENSG00000150753/ENSG00000181625/ENSG00000278705 7
