ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA 24/318 384/11149 0.0625 2.19123427672956 4.07036671800365 0.000263718843688341 0.870098047244612 0.870098047244612 ENSG00000064703/ENSG00000072756/ENSG00000083520/ENSG00000101452/ENSG00000109606/ENSG00000109618/ENSG00000111596/ENSG00000120158/ENSG00000123737/ENSG00000124228/ENSG00000132664/ENSG00000132773/ENSG00000134077/ENSG00000137574/ENSG00000137996/ENSG00000138767/ENSG00000141378/ENSG00000156502/ENSG00000157349/ENSG00000162971/ENSG00000163684/ENSG00000171453/ENSG00000171861/ENSG00000278053 24
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS 27/318 478/11149 0.0564853556485356 1.98036235888529 3.75384018004746 0.000551429649328297 0.870098047244612 0.870098047244612 ENSG00000055044/ENSG00000064703/ENSG00000075856/ENSG00000083520/ENSG00000101945/ENSG00000104131/ENSG00000107937/ENSG00000111615/ENSG00000115946/ENSG00000118246/ENSG00000120158/ENSG00000121058/ENSG00000123737/ENSG00000124228/ENSG00000130935/ENSG00000131876/ENSG00000133316/ENSG00000135521/ENSG00000137574/ENSG00000156256/ENSG00000163811/ENSG00000164338/ENSG00000171861/ENSG00000180228/ENSG00000188529/ENSG00000198492/ENSG00000278053 27
GOMF_RNA_EXONUCLEASE_ACTIVITY_PRODUCING_5_PHOSPHOMONOESTERS GOMF_RNA_EXONUCLEASE_ACTIVITY_PRODUCING_5_PHOSPHOMONOESTERS 6/318 38/11149 0.157894736842105 5.53574975173783 4.79890410974825 0.000656113642456213 0.870098047244612 0.870098047244612 ENSG00000083520/ENSG00000111596/ENSG00000123737/ENSG00000132773/ENSG00000138767/ENSG00000156502 6
GOBP_RRNA_PROCESSING GOBP_RRNA_PROCESSING 16/318 225/11149 0.0711111111111111 2.49313766596785 3.87684132853159 0.00072107798571994 0.870098047244612 0.870098047244612 ENSG00000055044/ENSG00000083520/ENSG00000101945/ENSG00000107937/ENSG00000111615/ENSG00000115946/ENSG00000120158/ENSG00000123737/ENSG00000124228/ENSG00000130935/ENSG00000133316/ENSG00000163811/ENSG00000164338/ENSG00000171861/ENSG00000198492/ENSG00000278053 16
GOBP_RRNA_METABOLIC_PROCESS GOBP_RRNA_METABOLIC_PROCESS 18/318 274/11149 0.0656934306569343 2.30319515218289 3.74237985286783 0.000869776076061873 0.870098047244612 0.870098047244612 ENSG00000055044/ENSG00000083520/ENSG00000101945/ENSG00000105849/ENSG00000107937/ENSG00000111615/ENSG00000115946/ENSG00000120158/ENSG00000123737/ENSG00000124228/ENSG00000130935/ENSG00000133316/ENSG00000163811/ENSG00000164338/ENSG00000171453/ENSG00000171861/ENSG00000198492/ENSG00000278053 18
GOBP_MATURATION_OF_SSU_RRNA GOBP_MATURATION_OF_SSU_RRNA 8/318 72/11149 0.111111111111111 3.89552760307477 4.22338469609582 0.000981682640742322 0.870098047244612 0.870098047244612 ENSG00000055044/ENSG00000111615/ENSG00000115946/ENSG00000120158/ENSG00000130935/ENSG00000163811/ENSG00000164338/ENSG00000278053 8
GOMF_RNA_EXONUCLEASE_ACTIVITY GOMF_RNA_EXONUCLEASE_ACTIVITY 6/318 43/11149 0.13953488372093 4.89205792014041 4.38139542037832 0.00128575279290912 0.913126630862724 0.913126630862724 ENSG00000083520/ENSG00000111596/ENSG00000123737/ENSG00000132773/ENSG00000138767/ENSG00000156502 6
GOCC_CAJAL_BODY GOCC_CAJAL_BODY 7/318 59/11149 0.11864406779661 4.15963116938493 4.16940789362062 0.00137363915887585 0.913126630862724 0.913126630862724 ENSG00000055044/ENSG00000075856/ENSG00000100749/ENSG00000109917/ENSG00000121058/ENSG00000132773/ENSG00000137574 7
GOBP_RIBOSOME_BIOGENESIS GOBP_RIBOSOME_BIOGENESIS 19/318 317/11149 0.0599369085173502 2.10137293415075 3.40868969109097 0.00185543893568745 0.934724901403212 0.934724901403212 ENSG00000055044/ENSG00000083520/ENSG00000101945/ENSG00000107937/ENSG00000111615/ENSG00000115946/ENSG00000118246/ENSG00000120158/ENSG00000123737/ENSG00000124228/ENSG00000130935/ENSG00000133316/ENSG00000135521/ENSG00000156256/ENSG00000163811/ENSG00000164338/ENSG00000171861/ENSG00000198492/ENSG00000278053 19
HP_EPIPHYSEAL_STIPPLING HP_EPIPHYSEAL_STIPPLING 5/318 32/11149 0.15625 5.4780856918239 4.34661674071178 0.00195544714213135 0.934724901403212 0.934724901403212 ENSG00000113448/ENSG00000139197/ENSG00000162735/ENSG00000169919/ENSG00000172893 5
