ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS 23/321 281/11149 0.0818505338078292 2.84283987982395 5.38694845164087 6.35862981848191e-06 0.0374841227799508 0.0356150202780444 ENSG00000066084/ENSG00000077238/ENSG00000078142/ENSG00000081237/ENSG00000100030/ENSG00000101109/ENSG00000104312/ENSG00000105325/ENSG00000109670/ENSG00000109756/ENSG00000116473/ENSG00000121879/ENSG00000135341/ENSG00000136986/ENSG00000139946/ENSG00000142867/ENSG00000151893/ENSG00000163874/ENSG00000163904/ENSG00000175104/ENSG00000186660/ENSG00000197329/ENSG00000242689 23
GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS 15/321 157/11149 0.0955414012738854 3.31835228287398 5.03695149205846 4.62877480866491e-05 0.136433137485398 0.129630056615295 ENSG00000051108/ENSG00000077463/ENSG00000095787/ENSG00000105325/ENSG00000109670/ENSG00000129292/ENSG00000130311/ENSG00000135049/ENSG00000140153/ENSG00000141582/ENSG00000146872/ENSG00000163602/ENSG00000170185/ENSG00000198742/ENSG00000204599 15
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS 7/321 38/11149 0.184210526315789 6.3980160682079 5.73886845634888 8.98992233364688e-05 0.146149457783636 0.138861883820673 ENSG00000095787/ENSG00000129292/ENSG00000141582/ENSG00000146872/ENSG00000163602/ENSG00000170185/ENSG00000204599 7
GOBP_MACROAUTOPHAGY GOBP_MACROAUTOPHAGY 24/321 360/11149 0.0666666666666667 2.31547248182762 4.36836877467116 0.000114750442618176 0.146149457783636 0.138861883820673 ENSG00000023287/ENSG00000047249/ENSG00000078142/ENSG00000095787/ENSG00000100644/ENSG00000101421/ENSG00000102445/ENSG00000104312/ENSG00000109670/ENSG00000121879/ENSG00000130734/ENSG00000135341/ENSG00000136738/ENSG00000137055/ENSG00000138069/ENSG00000139112/ENSG00000144567/ENSG00000147894/ENSG00000151532/ENSG00000163719/ENSG00000172780/ENSG00000175104/ENSG00000183735/ENSG00000198742 24
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS 8/321 53/11149 0.150943396226415 5.24257920413801 5.33042138121961 0.000123960523989513 0.146149457783636 0.138861883820673 ENSG00000095787/ENSG00000129292/ENSG00000140153/ENSG00000141582/ENSG00000146872/ENSG00000163602/ENSG00000170185/ENSG00000204599 8
HP_TYPICAL_ABSENCE_SEIZURE HP_TYPICAL_ABSENCE_SEIZURE 5/321 19/11149 0.263157894736842 9.14002295458272 6.11408849750355 0.000159900858141203 0.157102593123732 0.14926885371392 ENSG00000000419/ENSG00000095787/ENSG00000103507/ENSG00000105325/ENSG00000157540 5
GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION 15/321 180/11149 0.0833333333333333 2.89434060228453 4.41151413184755 0.000217132317470357 0.174067800798444 0.165388110896571 ENSG00000077238/ENSG00000081237/ENSG00000100030/ENSG00000101109/ENSG00000104312/ENSG00000109756/ENSG00000116473/ENSG00000121879/ENSG00000135341/ENSG00000139946/ENSG00000142867/ENSG00000151893/ENSG00000175104/ENSG00000186660/ENSG00000242689 15
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION 21/321 309/11149 0.0679611650485437 2.36043311254272 4.17559784978592 0.000236224326783299 0.174067800798444 0.165388110896571 ENSG00000066084/ENSG00000070495/ENSG00000077238/ENSG00000100030/ENSG00000100483/ENSG00000101109/ENSG00000104312/ENSG00000106799/ENSG00000119231/ENSG00000135049/ENSG00000135503/ENSG00000141446/ENSG00000141582/ENSG00000146872/ENSG00000153201/ENSG00000155307/ENSG00000157540/ENSG00000163904/ENSG00000183735/ENSG00000185624/ENSG00000242689 21
HP_PECTUS_EXCAVATUM HP_PECTUS_EXCAVATUM 18/321 251/11149 0.0717131474103586 2.490747291209 4.11286410954106 0.000344450414153462 0.192839835614911 0.183224099871781 ENSG00000005889/ENSG00000070961/ENSG00000071537/ENSG00000078747/ENSG00000101882/ENSG00000106799/ENSG00000108061/ENSG00000121879/ENSG00000135341/ENSG00000143622/ENSG00000155903/ENSG00000157540/ENSG00000171310/ENSG00000174405/ENSG00000174579/ENSG00000177189/ENSG00000198363/ENSG00000213639 18
GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY 22/321 345/11149 0.063768115942029 2.21479976522642 3.94637936649574 0.000410010808186614 0.192839835614911 0.183224099871781 ENSG00000013441/ENSG00000059758/ENSG00000070759/ENSG00000095015/ENSG00000100030/ENSG00000101109/ENSG00000103507/ENSG00000104312/ENSG00000106799/ENSG00000107968/ENSG00000121879/ENSG00000135341/ENSG00000135503/ENSG00000146872/ENSG00000157540/ENSG00000163788/ENSG00000164327/ENSG00000169967/ENSG00000172939/ENSG00000177189/ENSG00000183735/ENSG00000248333 22
GOMF_MAP_KINASE_KINASE_KINASE_ACTIVITY GOMF_MAP_KINASE_KINASE_KINASE_ACTIVITY 5/321 23/11149 0.217391304347826 7.55045374509007 5.41430413057727 0.000420914265525955 0.192839835614911 0.183224099871781 ENSG00000095015/ENSG00000104312/ENSG00000107968/ENSG00000135341/ENSG00000169967 5
GOBP_MAPK_CASCADE GOBP_MAPK_CASCADE 28/321 491/11149 0.0570264765784114 1.98064855879349 3.82642455815871 0.000435251850665636 0.192839835614911 0.183224099871781 ENSG00000008294/ENSG00000010017/ENSG00000023287/ENSG00000026103/ENSG00000078747/ENSG00000081237/ENSG00000095015/ENSG00000099860/ENSG00000100030/ENSG00000101109/ENSG00000104312/ENSG00000107968/ENSG00000108061/ENSG00000109670/ENSG00000109756/ENSG00000116473/ENSG00000128271/ENSG00000135341/ENSG00000139946/ENSG00000155926/ENSG00000163874/ENSG00000164924/ENSG00000168615/ENSG00000169967/ENSG00000175104/ENSG00000196083/ENSG00000198961/ENSG00000213639 28
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS 16/321 214/11149 0.0747663551401869 2.59679156840481 4.06090281738677 0.000461842286954505 0.192839835614911 0.183224099871781 ENSG00000077238/ENSG00000081237/ENSG00000100030/ENSG00000100644/ENSG00000101109/ENSG00000104312/ENSG00000109756/ENSG00000116473/ENSG00000121879/ENSG00000135341/ENSG00000139946/ENSG00000142867/ENSG00000151893/ENSG00000175104/ENSG00000186660/ENSG00000242689 16
GOMF_PROTEIN_SERINE_KINASE_ACTIVITY GOMF_PROTEIN_SERINE_KINASE_ACTIVITY 19/321 281/11149 0.0676156583629893 2.34843294420239 3.94170911995163 0.000495803513005805 0.192839835614911 0.183224099871781 ENSG00000013441/ENSG00000059758/ENSG00000070759/ENSG00000095015/ENSG00000100030/ENSG00000101109/ENSG00000103507/ENSG00000104312/ENSG00000107968/ENSG00000121879/ENSG00000135341/ENSG00000146872/ENSG00000157540/ENSG00000163788/ENSG00000169967/ENSG00000172939/ENSG00000177189/ENSG00000183735/ENSG00000248333 19
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS 10/321 98/11149 0.102040816326531 3.54409053340963 4.35533618026774 0.000505507478858673 0.192839835614911 0.183224099871781 ENSG00000095787/ENSG00000115590/ENSG00000122861/ENSG00000129292/ENSG00000140153/ENSG00000141582/ENSG00000146872/ENSG00000163602/ENSG00000170185/ENSG00000204599 10
