ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY 17/141 387/11149 0.0439276485788114 3.47339967379552 5.60476120299869 7.47683545596737e-06 0.0214221260792829 0.0199358013352855 ENSG00000020181/ENSG00000089041/ENSG00000104972/ENSG00000111452/ENSG00000113494/ENSG00000118257/ENSG00000138760/ENSG00000153208/ENSG00000157240/ENSG00000167850/ENSG00000171105/ENSG00000179921/ENSG00000182578/ENSG00000186407/ENSG00000186818/ENSG00000196576/ENSG00000213694 17
GOBP_BLOOD_VESSEL_MORPHOGENESIS GOBP_BLOOD_VESSEL_MORPHOGENESIS 16/141 360/11149 0.0444444444444444 3.51426319936958 5.48814046760641 1.22239845381e-05 0.0214221260792829 0.0199358013352855 ENSG00000010327/ENSG00000020181/ENSG00000071246/ENSG00000111961/ENSG00000118257/ENSG00000120708/ENSG00000123384/ENSG00000128805/ENSG00000132205/ENSG00000132669/ENSG00000138061/ENSG00000143537/ENSG00000157483/ENSG00000166025/ENSG00000166068/ENSG00000171812 16
GOBP_TUBE_MORPHOGENESIS GOBP_TUBE_MORPHOGENESIS 19/141 498/11149 0.0381526104417671 3.01676208379618 5.21108278678053 1.57825093904343e-05 0.0214221260792829 0.0199358013352855 ENSG00000010327/ENSG00000020181/ENSG00000071246/ENSG00000111961/ENSG00000118257/ENSG00000120708/ENSG00000123384/ENSG00000128805/ENSG00000132205/ENSG00000132669/ENSG00000138061/ENSG00000143537/ENSG00000149418/ENSG00000157483/ENSG00000166025/ENSG00000166068/ENSG00000171812/ENSG00000182578/ENSG00000196576 19
GOBP_VASCULATURE_DEVELOPMENT GOBP_VASCULATURE_DEVELOPMENT 17/141 435/11149 0.0390804597701149 3.09012798565256 5.03263592690112 3.38881924673736e-05 0.0266885098158952 0.0248367891989512 ENSG00000010327/ENSG00000020181/ENSG00000071246/ENSG00000111961/ENSG00000118257/ENSG00000120708/ENSG00000123384/ENSG00000128805/ENSG00000132205/ENSG00000132669/ENSG00000138061/ENSG00000143537/ENSG00000157483/ENSG00000166025/ENSG00000166068/ENSG00000171812/ENSG00000242498 17
GOCC_LAMELLIPODIUM GOCC_LAMELLIPODIUM 10/141 160/11149 0.0625 4.94193262411348 5.68386726789355 3.44507740863178e-05 0.0266885098158952 0.0248367891989512 ENSG00000018189/ENSG00000115355/ENSG00000143079/ENSG00000146192/ENSG00000154447/ENSG00000173166/ENSG00000180263/ENSG00000187164/ENSG00000205726/ENSG00000242498 10
GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY 16/141 396/11149 0.0404040404040404 3.19478472669962 5.03301848303286 3.93249162316728e-05 0.0266885098158952 0.0248367891989512 ENSG00000075391/ENSG00000095383/ENSG00000106069/ENSG00000109436/ENSG00000115355/ENSG00000122126/ENSG00000128805/ENSG00000130052/ENSG00000132669/ENSG00000137962/ENSG00000146192/ENSG00000156299/ENSG00000180263/ENSG00000182621/ENSG00000184060/ENSG00000205726 16
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS 18/141 494/11149 0.0364372469635627 2.88112671203377 4.84014780249097 4.92832024484853e-05 0.0286687429100332 0.026679628393165 ENSG00000010327/ENSG00000018189/ENSG00000020181/ENSG00000071246/ENSG00000083290/ENSG00000111961/ENSG00000132205/ENSG00000138061/ENSG00000146192/ENSG00000153823/ENSG00000156299/ENSG00000157827/ENSG00000166068/ENSG00000180263/ENSG00000182578/ENSG00000187164/ENSG00000196576/ENSG00000242498 18
HP_ABNORMAL_URINE_CYTOLOGY HP_ABNORMAL_URINE_CYTOLOGY 9/141 140/11149 0.0642857142857143 5.08313069908815 5.50221035125079 6.90167221311954e-05 0.0351295115647785 0.0326921315358294 ENSG00000058262/ENSG00000109667/ENSG00000122126/ENSG00000128604/ENSG00000138760/ENSG00000157483/ENSG00000171365/ENSG00000172037/ENSG00000196664 9
GOCC_RECEPTOR_COMPLEX GOCC_RECEPTOR_COMPLEX 12/141 256/11149 0.046875 3.70644946808511 4.95792530578018 9.58817257540524e-05 0.0368312885216416 0.0342758346287638 ENSG00000113494/ENSG00000118257/ENSG00000123384/ENSG00000153208/ENSG00000161929/ENSG00000164136/ENSG00000171105/ENSG00000178695/ENSG00000179921/ENSG00000182578/ENSG00000196576/ENSG00000196664 12
GOMF_GTPASE_ACTIVATOR_ACTIVITY GOMF_GTPASE_ACTIVATOR_ACTIVITY 11/141 218/11149 0.0504587155963303 3.98981716442189 5.04541340098584 9.86097928409463e-05 0.0368312885216416 0.0342758346287638 ENSG00000075391/ENSG00000095383/ENSG00000106069/ENSG00000109436/ENSG00000122126/ENSG00000128805/ENSG00000130052/ENSG00000132669/ENSG00000137962/ENSG00000182621/ENSG00000184060 11
