ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOCC_GOLGI_CIS_CISTERNA GOCC_GOLGI_CIS_CISTERNA 7/101 21/11149 0.333333333333333 36.7953795379538 15.6980386708787 4.2518965920362e-10 1.21689280464076e-06 1.18202725258606e-06 ENSG00000131899/ENSG00000178115/ENSG00000179938/ENSG00000186399/ENSG00000206127/ENSG00000232653/ENSG00000261247 7
GOCC_GOLGI_CISTERNA GOCC_GOLGI_CISTERNA 8/101 91/11149 0.0879120879120879 9.70427592209771 7.9713593388701 1.56802538168557e-06 0.00224384432119205 0.00217955528054295 ENSG00000118276/ENSG00000131899/ENSG00000178115/ENSG00000179938/ENSG00000186399/ENSG00000206127/ENSG00000232653/ENSG00000261247 8
GOCC_GOLGI_CISTERNA_MEMBRANE GOCC_GOLGI_CISTERNA_MEMBRANE 7/101 69/11149 0.101449275362319 11.1985937724207 8.12479277001764 2.76597079748562e-06 0.00263873614080128 0.00256313293900334 ENSG00000118276/ENSG00000178115/ENSG00000179938/ENSG00000186399/ENSG00000206127/ENSG00000232653/ENSG00000261247 7
GOCC_GOLGI_STACK GOCC_GOLGI_STACK 8/101 119/11149 0.0672268907563025 7.42091688160413 6.73286810181955 1.17506141145222e-05 0.00753330531727713 0.00731746638086318 ENSG00000118276/ENSG00000131899/ENSG00000178115/ENSG00000179938/ENSG00000186399/ENSG00000206127/ENSG00000232653/ENSG00000261247 8
GOCC_CIS_GOLGI_NETWORK GOCC_CIS_GOLGI_NETWORK 6/101 58/11149 0.103448275862069 11.4192557186753 7.60646156712038 1.31609107569482e-05 0.00753330531727713 0.00731746638086318 ENSG00000178115/ENSG00000179938/ENSG00000186399/ENSG00000206127/ENSG00000232653/ENSG00000261247 6
GOMF_CHOLESTEROL_BINDING GOMF_CHOLESTEROL_BINDING 5/101 37/11149 0.135135135135135 14.9170457586299 8.10716729514543 1.91262696479565e-05 0.00912323062207527 0.00886183827021986 ENSG00000006025/ENSG00000021762/ENSG00000070882/ENSG00000072858/ENSG00000110651 5
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY GOBP_LEUKOCYTE_MEDIATED_IMMUNITY 12/101 331/11149 0.0362537764350453 4.00191439083485 5.30097975060038 4.27709537354917e-05 0.016003622313474 0.0155450978446743 ENSG00000073861/ENSG00000096996/ENSG00000103522/ENSG00000105374/ENSG00000110651/ENSG00000116824/ENSG00000131378/ENSG00000134539/ENSG00000159674/ENSG00000168229/ENSG00000180644/ENSG00000182985 12
GOBP_T_CELL_MEDIATED_IMMUNITY GOBP_T_CELL_MEDIATED_IMMUNITY 7/101 105/11149 0.0666666666666667 7.35907590759076 6.25954540194463 4.47340945170483e-05 0.016003622313474 0.0155450978446743 ENSG00000073861/ENSG00000096996/ENSG00000110651/ENSG00000131378/ENSG00000134539/ENSG00000180644/ENSG00000182985 7
GOMF_STEROL_BINDING GOMF_STEROL_BINDING 5/101 47/11149 0.106382978723404 11.7432062355172 7.05666603599978 6.26500737711185e-05 0.0199227234592157 0.0193519116759677 ENSG00000006025/ENSG00000021762/ENSG00000070882/ENSG00000072858/ENSG00000110651 5
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY 10/101 250/11149 0.04 4.41544554455446 5.22205422984209 8.61011797774954e-05 0.0246421576523192 0.0239361279781437 ENSG00000073861/ENSG00000096996/ENSG00000103522/ENSG00000105374/ENSG00000110651/ENSG00000116824/ENSG00000131378/ENSG00000134539/ENSG00000180644/ENSG00000182985 10
GOCC_ADHERENS_JUNCTION GOCC_ADHERENS_JUNCTION 7/101 120/11149 0.0583333333333333 6.43919141914191 5.72762046034379 0.000104678950038388 0.0272355595463514 0.0264552255551561 ENSG00000008256/ENSG00000073350/ENSG00000082458/ENSG00000131899/ENSG00000173482/ENSG00000196159/ENSG00000232434 7
GOMF_ALCOHOL_BINDING GOMF_ALCOHOL_BINDING 5/101 54/11149 0.0925925925925926 10.2209387605427 6.49420058539813 0.000122851221181415 0.0293000162517674 0.0284605329070278 ENSG00000006025/ENSG00000021762/ENSG00000070882/ENSG00000072858/ENSG00000110651 5
