ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOCC_FICOLIN_1_RICH_GRANULE GOCC_FICOLIN_1_RICH_GRANULE 24/461 173/11149 0.138728323699422 3.3550587438717 6.48340970911745 1.76001906444266e-07 0.000611689458028362 0.00059173197868807 ENSG00000005893/ENSG00000012779/ENSG00000013364/ENSG00000100504/ENSG00000103196/ENSG00000110934/ENSG00000112062/ENSG00000115828/ENSG00000116815/ENSG00000125810/ENSG00000135932/ENSG00000137509/ENSG00000138071/ENSG00000144635/ENSG00000160883/ENSG00000163563/ENSG00000166527/ENSG00000167851/ENSG00000171049/ENSG00000171051/ENSG00000171236/ENSG00000173110/ENSG00000204389/ENSG00000215301 24
GOCC_SECRETORY_GRANULE_MEMBRANE GOCC_SECRETORY_GRANULE_MEMBRANE 30/461 253/11149 0.118577075098814 2.86771325439627 6.24076219797472 1.84521706795886e-07 0.000611689458028362 0.00059173197868807 ENSG00000005893/ENSG00000075651/ENSG00000100554/ENSG00000108405/ENSG00000109323/ENSG00000109743/ENSG00000112299/ENSG00000116815/ENSG00000117335/ENSG00000118308/ENSG00000120306/ENSG00000125810/ENSG00000137509/ENSG00000137845/ENSG00000140575/ENSG00000143119/ENSG00000143226/ENSG00000144635/ENSG00000162747/ENSG00000163464/ENSG00000166527/ENSG00000167851/ENSG00000169228/ENSG00000169403/ENSG00000171049/ENSG00000171051/ENSG00000182310/ENSG00000185000/ENSG00000188404/ENSG00000196549 30
GOMF_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY GOMF_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY 8/461 25/11149 0.32 7.7390021691974 7.00544665815589 4.67148805297009e-06 0.00860426925773842 0.0083235393486386 ENSG00000011198/ENSG00000062282/ENSG00000087253/ENSG00000123684/ENSG00000138678/ENSG00000143797/ENSG00000172197/ENSG00000185000 8
GOBP_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS GOBP_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS 7/461 19/11149 0.368421052631579 8.91003539216806 7.16652079080203 6.45465575219633e-06 0.00860426925773842 0.0083235393486386 ENSG00000012660/ENSG00000062282/ENSG00000064763/ENSG00000068366/ENSG00000123983/ENSG00000151726/ENSG00000185000 7
GOBP_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY GOBP_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY 9/461 34/11149 0.264705882352941 6.40174811790226 6.55118365324341 6.80611095200826e-06 0.00860426925773842 0.0083235393486386 ENSG00000000938/ENSG00000072694/ENSG00000101336/ENSG00000141968/ENSG00000143226/ENSG00000162747/ENSG00000165025/ENSG00000166523/ENSG00000166527 9
GOBP_TAXIS GOBP_TAXIS 28/461 273/11149 0.102564102564103 2.48044941320429 5.14329004810799 8.45767686116073e-06 0.00860426925773842 0.0083235393486386 ENSG00000012779/ENSG00000075651/ENSG00000102755/ENSG00000102879/ENSG00000109743/ENSG00000110934/ENSG00000112062/ENSG00000125538/ENSG00000130592/ENSG00000134830/ENSG00000136999/ENSG00000137845/ENSG00000140932/ENSG00000141968/ENSG00000143546/ENSG00000156026/ENSG00000160593/ENSG00000163421/ENSG00000163464/ENSG00000164251/ENSG00000165025/ENSG00000169403/ENSG00000171049/ENSG00000171051/ENSG00000182511/ENSG00000183625/ENSG00000213949/ENSG00000217555 28
GOBP_NEUTROPHIL_MIGRATION GOBP_NEUTROPHIL_MIGRATION 13/461 74/11149 0.175675675675676 4.24860760977898 5.82293537077336 9.08444718011598e-06 0.00860426925773842 0.0083235393486386 ENSG00000109743/ENSG00000125538/ENSG00000134830/ENSG00000141968/ENSG00000143546/ENSG00000156026/ENSG00000160593/ENSG00000163464/ENSG00000165025/ENSG00000180549/ENSG00000198001/ENSG00000213949/ENSG00000217555 13
GOMF_LYSOPHOSPHOLIPID_ACYLTRANSFERASE_ACTIVITY GOMF_LYSOPHOSPHOLIPID_ACYLTRANSFERASE_ACTIVITY 7/461 22/11149 0.318181818181818 7.69503056596332 6.52793138111504 1.96071690291716e-05 0.0162494413329259 0.0157192738019398 ENSG00000011198/ENSG00000087253/ENSG00000097033/ENSG00000123684/ENSG00000138678/ENSG00000143797/ENSG00000172197 7
GOCC_TERTIARY_GRANULE GOCC_TERTIARY_GRANULE 18/461 143/11149 0.125874125874126 3.04418791620527 5.10945762094972 2.40202149657793e-05 0.0171433428629805 0.0165840101713329 ENSG00000005893/ENSG00000075651/ENSG00000110203/ENSG00000115828/ENSG00000116815/ENSG00000120306/ENSG00000125810/ENSG00000137509/ENSG00000137845/ENSG00000143119/ENSG00000144635/ENSG00000166527/ENSG00000167851/ENSG00000169403/ENSG00000171049/ENSG00000171051/ENSG00000171236/ENSG00000229314 18
GOBP_GRANULOCYTE_MIGRATION GOBP_GRANULOCYTE_MIGRATION 14/461 93/11149 0.150537634408602 3.6406596226063 5.31074689992 2.59649667304678e-05 0.0171433428629805 0.0165840101713329 ENSG00000109743/ENSG00000125538/ENSG00000134830/ENSG00000141968/ENSG00000143546/ENSG00000156026/ENSG00000160593/ENSG00000163464/ENSG00000165025/ENSG00000167851/ENSG00000180549/ENSG00000198001/ENSG00000213949/ENSG00000217555 14
GOMF_O_ACYLTRANSFERASE_ACTIVITY GOMF_O_ACYLTRANSFERASE_ACTIVITY 9/461 40/11149 0.225 5.44148590021692 5.84415223208703 2.84429519596962e-05 0.0171433428629805 0.0165840101713329 ENSG00000011198/ENSG00000057252/ENSG00000062282/ENSG00000087253/ENSG00000123684/ENSG00000138678/ENSG00000143797/ENSG00000172197/ENSG00000185000 9
GOBP_DEVELOPMENTAL_MATURATION GOBP_DEVELOPMENTAL_MATURATION 21/461 188/11149 0.111702127659574 2.70144690081691 4.88621931340673 3.24590087124818e-05 0.0171961883635658 0.016635131491499 ENSG00000069329/ENSG00000073921/ENSG00000074660/ENSG00000083223/ENSG00000086300/ENSG00000090316/ENSG00000100554/ENSG00000100991/ENSG00000114573/ENSG00000115339/ENSG00000128918/ENSG00000145491/ENSG00000147416/ENSG00000151466/ENSG00000155097/ENSG00000158470/ENSG00000162769/ENSG00000169228/ENSG00000171862/ENSG00000182197/ENSG00000188906 21
GOCC_VESICLE_LUMEN GOCC_VESICLE_LUMEN 26/461 263/11149 0.0988593155893536 2.39085143059806 4.74051113422506 3.37180163991486e-05 0.0171961883635658 0.016635131491499 ENSG00000000938/ENSG00000012779/ENSG00000013364/ENSG00000100504/ENSG00000102580/ENSG00000103196/ENSG00000103381/ENSG00000110203/ENSG00000110934/ENSG00000112062/ENSG00000115271/ENSG00000115828/ENSG00000124107/ENSG00000135932/ENSG00000137575/ENSG00000138071/ENSG00000143546/ENSG00000148926/ENSG00000157017/ENSG00000160883/ENSG00000163563/ENSG00000171236/ENSG00000173110/ENSG00000204386/ENSG00000215301/ENSG00000229314 26
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS 15/461 109/11149 0.137614678899083 3.32812593285439 5.07266171218884 3.99926764803915e-05 0.0178322354977554 0.0172504264329322 ENSG00000012048/ENSG00000012660/ENSG00000012779/ENSG00000059377/ENSG00000068366/ENSG00000100294/ENSG00000123684/ENSG00000125538/ENSG00000143207/ENSG00000151726/ENSG00000158201/ENSG00000161533/ENSG00000165175/ENSG00000181929/ENSG00000188921 15
GOBP_NEUTROPHIL_CHEMOTAXIS GOBP_NEUTROPHIL_CHEMOTAXIS 11/461 62/11149 0.17741935483871 4.29077741235743 5.39620013927484 4.03444242030665e-05 0.0178322354977554 0.0172504264329322 ENSG00000109743/ENSG00000125538/ENSG00000134830/ENSG00000141968/ENSG00000143546/ENSG00000156026/ENSG00000160593/ENSG00000163464/ENSG00000165025/ENSG00000213949/ENSG00000217555 11
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS 19/461 164/11149 0.115853658536585 2.80184910851278 4.82770842799266 4.64044310945402e-05 0.0182568944524387 0.0176612301180772 ENSG00000012048/ENSG00000012779/ENSG00000065615/ENSG00000100365/ENSG00000109743/ENSG00000112062/ENSG00000116701/ENSG00000136869/ENSG00000137509/ENSG00000141968/ENSG00000158828/ENSG00000161533/ENSG00000164251/ENSG00000165025/ENSG00000165178/ENSG00000171049/ENSG00000182487/ENSG00000188906/ENSG00000214456 19
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS 22/461 208/11149 0.105769230769231 2.55796345736693 4.71043641270716 4.91582288868346e-05 0.0182568944524387 0.0176612301180772 ENSG00000012048/ENSG00000012660/ENSG00000012779/ENSG00000059377/ENSG00000068366/ENSG00000083444/ENSG00000095380/ENSG00000100294/ENSG00000123684/ENSG00000125538/ENSG00000128918/ENSG00000141447/ENSG00000143207/ENSG00000151726/ENSG00000158201/ENSG00000161533/ENSG00000165025/ENSG00000165175/ENSG00000179918/ENSG00000181929/ENSG00000188641/ENSG00000188921 22
GOBP_LEUKOCYTE_MIGRATION GOBP_LEUKOCYTE_MIGRATION 26/461 269/11149 0.0966542750929368 2.33752388939513 4.61173092513099 4.95662292826391e-05 0.0182568944524387 0.0176612301180772 ENSG00000012779/ENSG00000101336/ENSG00000102755/ENSG00000102879/ENSG00000109743/ENSG00000110080/ENSG00000125538/ENSG00000134830/ENSG00000136999/ENSG00000137845/ENSG00000141968/ENSG00000142405/ENSG00000143546/ENSG00000156026/ENSG00000160593/ENSG00000163464/ENSG00000164251/ENSG00000165025/ENSG00000167851/ENSG00000171049/ENSG00000180549/ENSG00000182197/ENSG00000188404/ENSG00000198001/ENSG00000213949/ENSG00000217555 26
GOBP_FC_RECEPTOR_SIGNALING_PATHWAY GOBP_FC_RECEPTOR_SIGNALING_PATHWAY 10/461 54/11149 0.185185185185185 4.47858921828553 5.32153708862818 6.16856902146106e-05 0.0215250592696247 0.020822765123414 ENSG00000000938/ENSG00000065559/ENSG00000072694/ENSG00000101336/ENSG00000141968/ENSG00000143226/ENSG00000162747/ENSG00000165025/ENSG00000166523/ENSG00000166527 10
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS 17/461 141/11149 0.120567375886525 2.91584744850079 4.75463289780923 6.99717368425497e-05 0.0231956307633052 0.0224388311885082 ENSG00000012048/ENSG00000012660/ENSG00000012779/ENSG00000059377/ENSG00000068366/ENSG00000100294/ENSG00000123684/ENSG00000125538/ENSG00000128918/ENSG00000141447/ENSG00000143207/ENSG00000151726/ENSG00000158201/ENSG00000161533/ENSG00000165175/ENSG00000181929/ENSG00000188921 17
GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE 16/461 128/11149 0.125 3.02304772234273 4.7808083176612 7.356594981275e-05 0.0232258212980254 0.0224680367022098 ENSG00000000938/ENSG00000012779/ENSG00000069329/ENSG00000072694/ENSG00000101336/ENSG00000103313/ENSG00000108946/ENSG00000112062/ENSG00000115604/ENSG00000125538/ENSG00000136250/ENSG00000136999/ENSG00000142405/ENSG00000157017/ENSG00000165025/ENSG00000171049 16
GOBP_LEUKOCYTE_CHEMOTAXIS GOBP_LEUKOCYTE_CHEMOTAXIS 18/461 156/11149 0.115384615384615 2.79050558985483 4.6771423345285 7.71836263817542e-05 0.0232603383141377 0.0225014275379918 ENSG00000012779/ENSG00000102755/ENSG00000102879/ENSG00000109743/ENSG00000125538/ENSG00000134830/ENSG00000136999/ENSG00000137845/ENSG00000141968/ENSG00000143546/ENSG00000156026/ENSG00000160593/ENSG00000163464/ENSG00000164251/ENSG00000165025/ENSG00000171049/ENSG00000213949/ENSG00000217555 18
GOBP_MYELOID_LEUKOCYTE_MIGRATION GOBP_MYELOID_LEUKOCYTE_MIGRATION 17/461 144/11149 0.118055555555556 2.85510062665703 4.65322888028104 9.12588665289816e-05 0.0263063602211803 0.0254480674490199 ENSG00000102755/ENSG00000109743/ENSG00000125538/ENSG00000134830/ENSG00000136999/ENSG00000141968/ENSG00000143546/ENSG00000156026/ENSG00000160593/ENSG00000163464/ENSG00000165025/ENSG00000167851/ENSG00000171049/ENSG00000180549/ENSG00000198001/ENSG00000213949/ENSG00000217555 17
GOCC_SPECIFIC_GRANULE GOCC_SPECIFIC_GRANULE 17/461 145/11149 0.117241379310345 2.83541027750767 4.62000653265473 9.95223447966514e-05 0.0264385177227621 0.0255759130721266 ENSG00000075651/ENSG00000100554/ENSG00000108405/ENSG00000109743/ENSG00000110203/ENSG00000115828/ENSG00000124107/ENSG00000125810/ENSG00000137845/ENSG00000138772/ENSG00000143119/ENSG00000166527/ENSG00000171049/ENSG00000171236/ENSG00000185000/ENSG00000204386/ENSG00000229314 17
GOBP_GLYCEROLIPID_METABOLIC_PROCESS GOBP_GLYCEROLIPID_METABOLIC_PROCESS 26/461 281/11149 0.0925266903914591 2.23770080515049 4.36410045353715 0.000102704329260943 0.0264385177227621 0.0255759130721266 ENSG00000011198/ENSG00000062282/ENSG00000069943/ENSG00000075651/ENSG00000087253/ENSG00000097033/ENSG00000102010/ENSG00000123684/ENSG00000123983/ENSG00000136305/ENSG00000138678/ENSG00000141401/ENSG00000143797/ENSG00000151151/ENSG00000151726/ENSG00000154889/ENSG00000155099/ENSG00000155744/ENSG00000158201/ENSG00000171100/ENSG00000171862/ENSG00000172197/ENSG00000185000/ENSG00000197208/ENSG00000198814/ENSG00000214456 26
GOBP_PHAGOCYTOSIS GOBP_PHAGOCYTOSIS 20/461 189/11149 0.105820105820106 2.5591938390203 4.48979441329469 0.000106779548872112 0.0264385177227621 0.0255759130721266 ENSG00000000938/ENSG00000072694/ENSG00000076662/ENSG00000100365/ENSG00000101336/ENSG00000102879/ENSG00000110934/ENSG00000116701/ENSG00000125810/ENSG00000136869/ENSG00000138772/ENSG00000141968/ENSG00000143226/ENSG00000155099/ENSG00000164251/ENSG00000165025/ENSG00000165029/ENSG00000167851/ENSG00000171049/ENSG00000241399 20
GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS 8/461 37/11149 0.216216216216216 5.22905551972797 5.35117128517926 0.000107668171721656 0.0264385177227621 0.0255759130721266 ENSG00000064225/ENSG00000109323/ENSG00000110080/ENSG00000113532/ENSG00000117151/ENSG00000180549/ENSG00000184005/ENSG00000204386 8
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS 20/461 190/11149 0.105263157894737 2.5457243977623 4.46297155714379 0.000114868130248153 0.0271991322694734 0.026311711188045 ENSG00000011198/ENSG00000062282/ENSG00000069943/ENSG00000075651/ENSG00000087253/ENSG00000097033/ENSG00000102010/ENSG00000123684/ENSG00000123983/ENSG00000138678/ENSG00000141401/ENSG00000151726/ENSG00000154889/ENSG00000155744/ENSG00000158201/ENSG00000171100/ENSG00000171862/ENSG00000185000/ENSG00000198814/ENSG00000214456 20
GOCC_FICOLIN_1_RICH_GRANULE_LUMEN GOCC_FICOLIN_1_RICH_GRANULE_LUMEN 15/461 120/11149 0.125 3.02304772234273 4.62731859851486 0.000122855262282649 0.0280872547908264 0.0271708570993896 ENSG00000012779/ENSG00000013364/ENSG00000100504/ENSG00000103196/ENSG00000110934/ENSG00000112062/ENSG00000115828/ENSG00000135932/ENSG00000138071/ENSG00000160883/ENSG00000163563/ENSG00000171236/ENSG00000173110/ENSG00000204389/ENSG00000215301 15
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY 9/461 48/11149 0.1875 4.5345715835141 5.09655915182057 0.000130012977942726 0.0287328681253424 0.0277954061264923 ENSG00000012048/ENSG00000040633/ENSG00000103194/ENSG00000103540/ENSG00000111837/ENSG00000136536/ENSG00000158828/ENSG00000171100/ENSG00000188906 9
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE 34/461 421/11149 0.0807600950118765 1.95313297025469 4.14033877949254 0.000142728058180385 0.0301149987546207 0.0291324422341675 ENSG00000005893/ENSG00000090376/ENSG00000101336/ENSG00000101916/ENSG00000103313/ENSG00000112851/ENSG00000113312/ENSG00000115607/ENSG00000125538/ENSG00000125734/ENSG00000135655/ENSG00000136051/ENSG00000136869/ENSG00000137757/ENSG00000141968/ENSG00000142405/ENSG00000143546/ENSG00000144118/ENSG00000146063/ENSG00000151414/ENSG00000154589/ENSG00000163563/ENSG00000164251/ENSG00000165025/ENSG00000166523/ENSG00000167851/ENSG00000171049/ENSG00000174125/ENSG00000181481/ENSG00000188906/ENSG00000196954/ENSG00000198001/ENSG00000204389/ENSG00000215301 34
GOBP_LEUKOCYTE_DEGRANULATION GOBP_LEUKOCYTE_DEGRANULATION 11/461 71/11149 0.154929577464789 3.74687605022761 4.8221229220761 0.000145351426869964 0.0301149987546207 0.0291324422341675 ENSG00000000938/ENSG00000072694/ENSG00000086730/ENSG00000101336/ENSG00000102879/ENSG00000138772/ENSG00000156052/ENSG00000164251/ENSG00000165025/ENSG00000167851/ENSG00000182511 11
GOBP_CELL_CHEMOTAXIS GOBP_CELL_CHEMOTAXIS 20/461 195/11149 0.102564102564103 2.48044941320429 4.33136945672905 0.000163993488257192 0.0329477826407631 0.031872801401948 ENSG00000012779/ENSG00000102755/ENSG00000102879/ENSG00000109743/ENSG00000110934/ENSG00000125538/ENSG00000134830/ENSG00000136999/ENSG00000137845/ENSG00000141968/ENSG00000143546/ENSG00000156026/ENSG00000160593/ENSG00000163464/ENSG00000164251/ENSG00000165025/ENSG00000171049/ENSG00000183625/ENSG00000213949/ENSG00000217555 20
