ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY GOBP_CANONICAL_WNT_SIGNALING_PATHWAY 11/142 195/11149 0.0564102564102564 4.42899963885879 5.48664101535383 3.83372699667244e-05 0.0888215264974677 0.0818122334799365 ENSG00000104517/ENSG00000113712/ENSG00000114030/ENSG00000133794/ENSG00000139697/ENSG00000141551/ENSG00000150457/ENSG00000150907/ENSG00000153234/ENSG00000169554/ENSG00000196470 11
GOBP_VESICLE_ORGANIZATION GOBP_VESICLE_ORGANIZATION 14/142 318/11149 0.0440251572327044 3.45659491540438 5.0480192186531 5.29692282011661e-05 0.0888215264974677 0.0818122334799365 ENSG00000036257/ENSG00000110048/ENSG00000115020/ENSG00000116095/ENSG00000124164/ENSG00000132842/ENSG00000138802/ENSG00000141551/ENSG00000159082/ENSG00000166747/ENSG00000169554/ENSG00000173744/ENSG00000198382/ENSG00000258469 14
GOBP_WNT_SIGNALING_PATHWAY GOBP_WNT_SIGNALING_PATHWAY 13/142 289/11149 0.0449826989619377 3.53177542765242 4.95298893988528 7.97116873911042e-05 0.0888215264974677 0.0818122334799365 ENSG00000036257/ENSG00000104517/ENSG00000113712/ENSG00000114030/ENSG00000133794/ENSG00000134371/ENSG00000139697/ENSG00000141551/ENSG00000150457/ENSG00000150907/ENSG00000153234/ENSG00000169554/ENSG00000196470 13
HP_ABNORMAL_CHEEK_MORPHOLOGY HP_ABNORMAL_CHEEK_MORPHOLOGY 11/142 215/11149 0.0511627906976744 4.01699967245332 5.07356381386515 9.28653905109072e-05 0.0888215264974677 0.0818122334799365 ENSG00000005483/ENSG00000072364/ENSG00000077721/ENSG00000083168/ENSG00000123066/ENSG00000138081/ENSG00000147050/ENSG00000157764/ENSG00000162923/ENSG00000170325/ENSG00000171316 11
HP_CONGENITAL_MALFORMATION_OF_THE_GREAT_ARTERIES HP_CONGENITAL_MALFORMATION_OF_THE_GREAT_ARTERIES 15/142 388/11149 0.038659793814433 3.03533831857122 4.6348355033957 0.000123465170647667 0.0888215264974677 0.0818122334799365 ENSG00000047056/ENSG00000055208/ENSG00000070010/ENSG00000072364/ENSG00000077721/ENSG00000083168/ENSG00000123066/ENSG00000124486/ENSG00000147050/ENSG00000157764/ENSG00000163374/ENSG00000164754/ENSG00000169554/ENSG00000171316/ENSG00000283122 15
HP_ABNORMAL_ATRIAL_SEPTUM_MORPHOLOGY HP_ABNORMAL_ATRIAL_SEPTUM_MORPHOLOGY 16/142 437/11149 0.0366132723112128 2.87465755632191 4.54083323234111 0.00013688309295658 0.0888215264974677 0.0818122334799365 ENSG00000036257/ENSG00000047056/ENSG00000070010/ENSG00000072364/ENSG00000077721/ENSG00000083168/ENSG00000117139/ENSG00000123066/ENSG00000124486/ENSG00000138081/ENSG00000147050/ENSG00000157764/ENSG00000164754/ENSG00000169554/ENSG00000171316/ENSG00000196470 16
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS 16/142 442/11149 0.0361990950226244 2.84213880568479 4.48856742806621 0.000156022756708224 0.0888215264974677 0.0818122334799365 ENSG00000036257/ENSG00000070010/ENSG00000077721/ENSG00000104517/ENSG00000109790/ENSG00000113712/ENSG00000124486/ENSG00000128585/ENSG00000133794/ENSG00000138081/ENSG00000141551/ENSG00000144357/ENSG00000145495/ENSG00000162923/ENSG00000163960/ENSG00000196470 16
HP_POSTERIORLY_ROTATED_EARS HP_POSTERIORLY_ROTATED_EARS 14/142 366/11149 0.0382513661202186 3.00327099207265 4.42607339630142 0.000233909082146357 0.090650031496438 0.0834964431956889 ENSG00000072364/ENSG00000083168/ENSG00000124486/ENSG00000132842/ENSG00000138081/ENSG00000138688/ENSG00000147050/ENSG00000153234/ENSG00000157764/ENSG00000164754/ENSG00000166747/ENSG00000169554/ENSG00000171316/ENSG00000196470 14
HP_GASTROESOPHAGEAL_REFLUX HP_GASTROESOPHAGEAL_REFLUX 14/142 369/11149 0.037940379403794 2.97885415473873 4.39061906329055 0.000254346219794821 0.090650031496438 0.0834964431956889 ENSG00000070010/ENSG00000072364/ENSG00000083168/ENSG00000124486/ENSG00000132842/ENSG00000138081/ENSG00000141367/ENSG00000147050/ENSG00000157764/ENSG00000159082/ENSG00000162923/ENSG00000164754/ENSG00000171316/ENSG00000196470 14
HP_TETRALOGY_OF_FALLOT HP_TETRALOGY_OF_FALLOT 8/142 131/11149 0.0610687022900763 4.79475325233846 4.96221954106189 0.00026332063212984 0.090650031496438 0.0834964431956889 ENSG00000055208/ENSG00000070010/ENSG00000077721/ENSG00000147050/ENSG00000157764/ENSG00000164754/ENSG00000169554/ENSG00000171316 8
HP_ABNORMAL_VENTRICULAR_SEPTUM_MORPHOLOGY HP_ABNORMAL_VENTRICULAR_SEPTUM_MORPHOLOGY 15/142 418/11149 0.0358851674641148 2.81749107082688 4.30178299353147 0.000277810793775251 0.090650031496438 0.0834964431956889 ENSG00000047056/ENSG00000055208/ENSG00000070010/ENSG00000072364/ENSG00000077721/ENSG00000083168/ENSG00000123066/ENSG00000147050/ENSG00000157764/ENSG00000162923/ENSG00000163374/ENSG00000164754/ENSG00000169554/ENSG00000171316/ENSG00000283122 15
GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY 9/142 169/11149 0.0532544378698225 4.18122343528627 4.73308740263876 0.000304344945494247 0.090650031496438 0.0834964431956889 ENSG00000104517/ENSG00000113712/ENSG00000114030/ENSG00000133794/ENSG00000139697/ENSG00000141551/ENSG00000150457/ENSG00000150907/ENSG00000169554 9
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY 10/142 207/11149 0.0483091787439614 3.79295094236919 4.60689478778846 0.000309533555672551 0.090650031496438 0.0834964431956889 ENSG00000104517/ENSG00000113712/ENSG00000114030/ENSG00000133794/ENSG00000134371/ENSG00000139697/ENSG00000141551/ENSG00000150457/ENSG00000150907/ENSG00000169554 10
