ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME 8/33 158/11149 0.0506329113924051 17.1062523973916 11.1092725321022 1.40010981281641e-08 9.23628250435396e-06 7.79675991812781e-06 ENSG00000105193/ENSG00000145592/ENSG00000172809/ENSG00000197728/ENSG00000198918/ENSG00000213741/ENSG00000241343/ENSG00000278845 8
GOCC_CYTOSOLIC_RIBOSOME GOCC_CYTOSOLIC_RIBOSOME 7/33 111/11149 0.0630630630630631 21.3057603057603 11.714310487106 2.76508344918431e-08 9.23628250435396e-06 7.79675991812781e-06 ENSG00000105193/ENSG00000145592/ENSG00000172809/ENSG00000197728/ENSG00000198918/ENSG00000213741/ENSG00000241343 7
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT 8/33 174/11149 0.0459770114942529 15.5332636711947 10.5272925849596 2.98265312304218e-08 9.23628250435396e-06 7.79675991812781e-06 ENSG00000105193/ENSG00000145592/ENSG00000172809/ENSG00000197728/ENSG00000198918/ENSG00000213741/ENSG00000241343/ENSG00000278845 8
GOCC_RIBOSOME GOCC_RIBOSOME 8/33 217/11149 0.0368663594470046 12.4552436810501 9.28465067350717 1.65360939991108e-07 3.84050783129349e-05 3.24194474456252e-05 ENSG00000105193/ENSG00000145592/ENSG00000172809/ENSG00000197728/ENSG00000198918/ENSG00000213741/ENSG00000241343/ENSG00000278845 8
GOBP_CYTOPLASMIC_TRANSLATION GOBP_CYTOPLASMIC_TRANSLATION 7/33 164/11149 0.0426829268292683 14.420362158167 9.43337958276539 4.05956763017945e-07 7.54267665687342e-05 6.36711133575514e-05 ENSG00000105193/ENSG00000145592/ENSG00000172809/ENSG00000197728/ENSG00000198918/ENSG00000213741/ENSG00000241343 7
GOMF_STRUCTURAL_MOLECULE_ACTIVITY GOMF_STRUCTURAL_MOLECULE_ACTIVITY 10/33 461/11149 0.0216919739696312 7.32860053901269 7.56120660311105 5.20705512195633e-07 8.06225701382906e-05 6.80571239624117e-05 ENSG00000100941/ENSG00000102934/ENSG00000105193/ENSG00000145592/ENSG00000172809/ENSG00000197728/ENSG00000198918/ENSG00000213741/ENSG00000241343/ENSG00000278845 10
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX 4/33 39/11149 0.102564102564103 34.6511266511267 11.4698057824265 4.86306810547679e-06 0.000645398609998277 0.000544809885500783 ENSG00000211788/ENSG00000211791/ENSG00000211794/ENSG00000274752 4
GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION 4/33 46/11149 0.0869565217391304 29.3781291172596 10.508087663133 9.50862383531558e-06 0.00110418894287602 0.000932095362803962 ENSG00000145592/ENSG00000172809/ENSG00000198918/ENSG00000241343 4
GOCC_LARGE_RIBOSOMAL_SUBUNIT GOCC_LARGE_RIBOSOMAL_SUBUNIT 5/33 106/11149 0.0471698113207547 15.9362492853059 8.41844988357193 1.35684135703388e-05 0.00140056180076053 0.00118227697191841 ENSG00000145592/ENSG00000172809/ENSG00000198918/ENSG00000241343/ENSG00000278845 5
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT 4/33 52/11149 0.0769230769230769 25.988344988345 9.84050877338843 1.55789833038985e-05 0.00144728754893217 0.00122172026962151 ENSG00000145592/ENSG00000172809/ENSG00000198918/ENSG00000241343 4
