ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
GOCC_MITOCHONDRIAL_MATRIX GOCC_MITOCHONDRIAL_MATRIX 90/785 478/11149 0.188284518828452 2.67411987314447 10.2959765900749 1.7267182703876e-18 1.14274215134251e-14 1.13000078810523e-14 ENSG00000006744/ENSG00000027001/ENSG00000059573/ENSG00000067704/ENSG00000074071/ENSG00000075239/ENSG00000076043/ENSG00000078070/ENSG00000085760/ENSG00000090263/ENSG00000091483/ENSG00000099821/ENSG00000100601/ENSG00000101546/ENSG00000102309/ENSG00000103423/ENSG00000104823/ENSG00000105607/ENSG00000105755/ENSG00000105793/ENSG00000106049/ENSG00000108826/ENSG00000110435/ENSG00000112996/ENSG00000116221/ENSG00000117054/ENSG00000119711/ENSG00000120662/ENSG00000120675/ENSG00000121897/ENSG00000122971/ENSG00000124370/ENSG00000125166/ENSG00000125901/ENSG00000126602/ENSG00000126814/ENSG00000127884/ENSG00000128626/ENSG00000128694/ENSG00000130312/ENSG00000130347/ENSG00000132313/ENSG00000132423/ENSG00000132463/ENSG00000132541/ENSG00000132591/ENSG00000135972/ENSG00000136143/ENSG00000137124/ENSG00000137288/ENSG00000137547/ENSG00000138399/ENSG00000139428/ENSG00000143314/ENSG00000143374/ENSG00000144381/ENSG00000151093/ENSG00000154079/ENSG00000156469/ENSG00000160688/ENSG00000161513/ENSG00000163382/ENSG00000164896/ENSG00000165792/ENSG00000166321/ENSG00000167107/ENSG00000167112/ENSG00000167315/ENSG00000167862/ENSG00000167969/ENSG00000168827/ENSG00000170502/ENSG00000172590/ENSG00000175581/ENSG00000180185/ENSG00000180992/ENSG00000181991/ENSG00000182154/ENSG00000182199/ENSG00000185414/ENSG00000186687/ENSG00000196365/ENSG00000197785/ENSG00000204228/ENSG00000204568/ENSG00000205138/ENSG00000213465/ENSG00000227345/ENSG00000247626/ENSG00000274523 90
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION 41/785 169/11149 0.242603550295858 3.4455885124185 8.81647893523665 1.18523564913441e-12 3.92194476298578e-09 3.87821580561508e-09 ENSG00000006744/ENSG00000067704/ENSG00000074071/ENSG00000085760/ENSG00000090263/ENSG00000099821/ENSG00000100601/ENSG00000108826/ENSG00000112996/ENSG00000116221/ENSG00000120662/ENSG00000124608/ENSG00000125901/ENSG00000126814/ENSG00000128626/ENSG00000128694/ENSG00000130312/ENSG00000130348/ENSG00000132313/ENSG00000135297/ENSG00000135972/ENSG00000137288/ENSG00000137547/ENSG00000138399/ENSG00000143314/ENSG00000143374/ENSG00000156469/ENSG00000164896/ENSG00000167112/ENSG00000167862/ENSG00000168827/ENSG00000172590/ENSG00000175581/ENSG00000180992/ENSG00000181991/ENSG00000182154/ENSG00000182199/ENSG00000183978/ENSG00000185414/ENSG00000204568/ENSG00000257218 41
GOBP_MITOCHONDRIAL_TRANSLATION GOBP_MITOCHONDRIAL_TRANSLATION 33/785 130/11149 0.253846153846154 3.60526212640862 8.22283577871248 5.26790182040301e-11 1.1620991415809e-07 1.14914195148932e-07 ENSG00000067704/ENSG00000074071/ENSG00000085760/ENSG00000090263/ENSG00000100601/ENSG00000108826/ENSG00000112996/ENSG00000116221/ENSG00000120662/ENSG00000124608/ENSG00000125901/ENSG00000128626/ENSG00000130312/ENSG00000130348/ENSG00000132313/ENSG00000135972/ENSG00000137288/ENSG00000137547/ENSG00000143314/ENSG00000143374/ENSG00000167112/ENSG00000167862/ENSG00000168827/ENSG00000172590/ENSG00000175581/ENSG00000180992/ENSG00000181991/ENSG00000182154/ENSG00000182199/ENSG00000183978/ENSG00000185414/ENSG00000204568/ENSG00000257218 33
GOCC_ORGANELLE_INNER_MEMBRANE GOCC_ORGANELLE_INNER_MEMBRANE 71/785 484/11149 0.146694214876033 2.08343159446228 6.70676907713633 1.77793990741224e-09 2.94160157681356e-06 2.90880326431103e-06 ENSG00000059573/ENSG00000074071/ENSG00000074582/ENSG00000080819/ENSG00000088766/ENSG00000090263/ENSG00000090266/ENSG00000099800/ENSG00000100242/ENSG00000102743/ENSG00000102967/ENSG00000108826/ENSG00000111843/ENSG00000112992/ENSG00000112996/ENSG00000115840/ENSG00000116221/ENSG00000120675/ENSG00000120802/ENSG00000123472/ENSG00000123545/ENSG00000125901/ENSG00000126602/ENSG00000128626/ENSG00000128654/ENSG00000130312/ENSG00000131269/ENSG00000132305/ENSG00000132313/ENSG00000132423/ENSG00000132591/ENSG00000135972/ENSG00000136521/ENSG00000137038/ENSG00000137288/ENSG00000137547/ENSG00000143224/ENSG00000143314/ENSG00000144381/ENSG00000147955/ENSG00000151729/ENSG00000155016/ENSG00000156709/ENSG00000159199/ENSG00000160194/ENSG00000161513/ENSG00000166260/ENSG00000167085/ENSG00000167136/ENSG00000167862/ENSG00000168569/ENSG00000171766/ENSG00000172590/ENSG00000174886/ENSG00000175581/ENSG00000175701/ENSG00000178057/ENSG00000180992/ENSG00000181991/ENSG00000182154/ENSG00000182199/ENSG00000183605/ENSG00000183978/ENSG00000184857/ENSG00000185414/ENSG00000197785/ENSG00000204568/ENSG00000204922/ENSG00000247077/ENSG00000256053/ENSG00000274523 71
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA 32/785 143/11149 0.223776223776224 3.17819250812881 7.21471418070075 3.22055544631075e-09 4.2627271887369e-06 4.21519857046609e-06 ENSG00000006744/ENSG00000037474/ENSG00000067704/ENSG00000087995/ENSG00000092094/ENSG00000100601/ENSG00000110060/ENSG00000113407/ENSG00000124608/ENSG00000126814/ENSG00000128694/ENSG00000129480/ENSG00000130348/ENSG00000130764/ENSG00000133706/ENSG00000135297/ENSG00000136628/ENSG00000137760/ENSG00000141642/ENSG00000143374/ENSG00000163516/ENSG00000165055/ENSG00000165832/ENSG00000167112/ENSG00000167272/ENSG00000167862/ENSG00000170445/ENSG00000185418/ENSG00000186666/ENSG00000187024/ENSG00000247626/ENSG00000257218 32
GOBP_AMINO_ACID_METABOLIC_PROCESS GOBP_AMINO_ACID_METABOLIC_PROCESS 36/785 190/11149 0.189473684210526 2.69100905129065 6.47003865652171 3.68147276040213e-08 4.06066445472355e-05 4.01538879849474e-05 ENSG00000037757/ENSG00000059573/ENSG00000067704/ENSG00000075239/ENSG00000078070/ENSG00000086475/ENSG00000091483/ENSG00000100714/ENSG00000100983/ENSG00000103485/ENSG00000105607/ENSG00000106049/ENSG00000106305/ENSG00000113407/ENSG00000116237/ENSG00000119711/ENSG00000120053/ENSG00000124299/ENSG00000124608/ENSG00000125166/ENSG00000127884/ENSG00000130348/ENSG00000130764/ENSG00000132541/ENSG00000133706/ENSG00000136628/ENSG00000143374/ENSG00000149089/ENSG00000156017/ENSG00000157426/ENSG00000166228/ENSG00000170445/ENSG00000182199/ENSG00000185418/ENSG00000247626/ENSG00000257218 36
HP_ORGANIC_ACIDURIA HP_ORGANIC_ACIDURIA 24/785 100/11149 0.24 3.40861146496815 6.65847646007865 7.30256934751934e-08 6.90405770598328e-05 6.82707874188387e-05 ENSG00000067704/ENSG00000078070/ENSG00000080819/ENSG00000091483/ENSG00000099821/ENSG00000105607/ENSG00000105755/ENSG00000117054/ENSG00000117450/ENSG00000119711/ENSG00000122971/ENSG00000124370/ENSG00000127884/ENSG00000131269/ENSG00000136143/ENSG00000139428/ENSG00000143224/ENSG00000144381/ENSG00000151729/ENSG00000160688/ENSG00000171766/ENSG00000183605/ENSG00000185803/ENSG00000188690 24
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS 36/785 198/11149 0.181818181818182 2.58228141285466 6.18242758730416 1.09907201504564e-07 9.04399429704291e-05 8.94315543648355e-05 ENSG00000006744/ENSG00000037474/ENSG00000067704/ENSG00000087995/ENSG00000092094/ENSG00000100220/ENSG00000100601/ENSG00000106305/ENSG00000110060/ENSG00000113407/ENSG00000124608/ENSG00000126814/ENSG00000128694/ENSG00000129480/ENSG00000130348/ENSG00000130764/ENSG00000132463/ENSG00000133706/ENSG00000134461/ENSG00000135297/ENSG00000136628/ENSG00000137760/ENSG00000141642/ENSG00000143374/ENSG00000163832/ENSG00000165055/ENSG00000165832/ENSG00000167112/ENSG00000167272/ENSG00000170445/ENSG00000172315/ENSG00000185418/ENSG00000186666/ENSG00000196976/ENSG00000247626/ENSG00000257218 36
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA 56/785 384/11149 0.145833333333333 2.07120488322718 5.87896324673086 1.22991762879097e-07 9.04399429704291e-05 8.94315543648355e-05 ENSG00000006744/ENSG00000021776/ENSG00000037474/ENSG00000067704/ENSG00000076043/ENSG00000077348/ENSG00000087995/ENSG00000089876/ENSG00000092094/ENSG00000099821/ENSG00000100220/ENSG00000100601/ENSG00000104889/ENSG00000108592/ENSG00000110060/ENSG00000112874/ENSG00000113407/ENSG00000119203/ENSG00000124608/ENSG00000126814/ENSG00000128694/ENSG00000129480/ENSG00000130305/ENSG00000130348/ENSG00000130764/ENSG00000132541/ENSG00000133706/ENSG00000135297/ENSG00000136628/ENSG00000137760/ENSG00000138231/ENSG00000141642/ENSG00000143374/ENSG00000145833/ENSG00000162639/ENSG00000163516/ENSG00000163882/ENSG00000165055/ENSG00000165819/ENSG00000165832/ENSG00000166199/ENSG00000166938/ENSG00000167112/ENSG00000167136/ENSG00000167272/ENSG00000167862/ENSG00000170445/ENSG00000180917/ENSG00000182362/ENSG00000185418/ENSG00000186666/ENSG00000187024/ENSG00000198056/ENSG00000247626/ENSG00000257218/ENSG00000290831 56
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS 54/785 366/11149 0.147540983606557 2.09545786780829 5.86456798530868 1.41179837666814e-07 9.34328165678973e-05 9.23910579762716e-05 ENSG00000006744/ENSG00000027001/ENSG00000067704/ENSG00000074071/ENSG00000074582/ENSG00000075239/ENSG00000078070/ENSG00000091483/ENSG00000099821/ENSG00000100983/ENSG00000102743/ENSG00000105607/ENSG00000105755/ENSG00000110435/ENSG00000115840/ENSG00000117054/ENSG00000117450/ENSG00000119711/ENSG00000121897/ENSG00000122971/ENSG00000123545/ENSG00000124370/ENSG00000124608/ENSG00000125166/ENSG00000126814/ENSG00000127884/ENSG00000130348/ENSG00000133706/ENSG00000135297/ENSG00000136143/ENSG00000137288/ENSG00000139428/ENSG00000143374/ENSG00000144381/ENSG00000151729/ENSG00000155380/ENSG00000156709/ENSG00000161513/ENSG00000163382/ENSG00000163918/ENSG00000164885/ENSG00000166260/ENSG00000168393/ENSG00000168827/ENSG00000171766/ENSG00000174886/ENSG00000178057/ENSG00000183605/ENSG00000186687/ENSG00000196365/ENSG00000197785/ENSG00000204922/ENSG00000256053/ENSG00000257218 54
