ID Description GeneRatio BgRatio RichFactor FoldEnrichment zScore pvalue p.adjust qvalue geneID Count
HP_ABNORMALITY_OF_DENTAL_ERUPTION HP_ABNORMALITY_OF_DENTAL_ERUPTION 40/1193 170/11149 0.235294117647059 2.19890537941916 5.45260747858014 1.07264627971481e-06 0.00206587392865381 0.00190473045322835 ENSG00000038382/ENSG00000044090/ENSG00000049618/ENSG00000066117/ENSG00000072501/ENSG00000077782/ENSG00000099956/ENSG00000100014/ENSG00000102312/ENSG00000103249/ENSG00000108557/ENSG00000108963/ENSG00000109685/ENSG00000112144/ENSG00000124313/ENSG00000126351/ENSG00000127616/ENSG00000136068/ENSG00000137070/ENSG00000137601/ENSG00000147099/ENSG00000152217/ENSG00000154122/ENSG00000156650/ENSG00000160949/ENSG00000162065/ENSG00000165915/ENSG00000173801/ENSG00000174227/ENSG00000181090/ENSG00000182568/ENSG00000183337/ENSG00000184675/ENSG00000185049/ENSG00000185920/ENSG00000189079/ENSG00000196924/ENSG00000198246/ENSG00000204394/ENSG00000225830 40
HP_CLINODACTYLY HP_CLINODACTYLY 80/1193 442/11149 0.180995475113122 1.69146567647628 5.13480692631462 1.33142460394681e-06 0.00206587392865381 0.00190473045322835 ENSG00000004399/ENSG00000008226/ENSG00000011275/ENSG00000037280/ENSG00000038382/ENSG00000044090/ENSG00000049618/ENSG00000049759/ENSG00000066117/ENSG00000068654/ENSG00000069424/ENSG00000072501/ENSG00000077782/ENSG00000086758/ENSG00000095059/ENSG00000095319/ENSG00000097007/ENSG00000099949/ENSG00000099956/ENSG00000100014/ENSG00000100360/ENSG00000101868/ENSG00000102974/ENSG00000105429/ENSG00000108557/ENSG00000109685/ENSG00000114861/ENSG00000115170/ENSG00000115392/ENSG00000115904/ENSG00000118058/ENSG00000119977/ENSG00000124313/ENSG00000125124/ENSG00000125450/ENSG00000126464/ENSG00000126705/ENSG00000127616/ENSG00000128731/ENSG00000130559/ENSG00000132394/ENSG00000134644/ENSG00000136068/ENSG00000137070/ENSG00000137601/ENSG00000141349/ENSG00000143951/ENSG00000147099/ENSG00000147140/ENSG00000147162/ENSG00000148384/ENSG00000156650/ENSG00000158169/ENSG00000158321/ENSG00000160193/ENSG00000160299/ENSG00000162065/ENSG00000165282/ENSG00000165802/ENSG00000166341/ENSG00000169641/ENSG00000173801/ENSG00000174483/ENSG00000177084/ENSG00000179364/ENSG00000181090/ENSG00000181827/ENSG00000183337/ENSG00000184675/ENSG00000185024/ENSG00000185504/ENSG00000186716/ENSG00000187535/ENSG00000187736/ENSG00000188827/ENSG00000189079/ENSG00000196367/ENSG00000196924/ENSG00000198246/ENSG00000204681 80
HP_ABNORMAL_PENIS_MORPHOLOGY HP_ABNORMAL_PENIS_MORPHOLOGY 87/1193 493/11149 0.176470588235294 1.64917903456437 5.10348799275281 1.37113828188756e-06 0.00206587392865381 0.00190473045322835 ENSG00000007541/ENSG00000008853/ENSG00000012174/ENSG00000044090/ENSG00000049618/ENSG00000064309/ENSG00000066117/ENSG00000069424/ENSG00000070814/ENSG00000072501/ENSG00000077782/ENSG00000086758/ENSG00000097007/ENSG00000099956/ENSG00000100360/ENSG00000101346/ENSG00000102901/ENSG00000102974/ENSG00000103043/ENSG00000104218/ENSG00000105429/ENSG00000107882/ENSG00000109685/ENSG00000110514/ENSG00000112144/ENSG00000115306/ENSG00000115392/ENSG00000116127/ENSG00000117682/ENSG00000125124/ENSG00000126705/ENSG00000127616/ENSG00000128731/ENSG00000134644/ENSG00000136720/ENSG00000136854/ENSG00000137601/ENSG00000142002/ENSG00000142655/ENSG00000143951/ENSG00000144535/ENSG00000144647/ENSG00000147044/ENSG00000147099/ENSG00000147130/ENSG00000147162/ENSG00000148384/ENSG00000150990/ENSG00000152217/ENSG00000156650/ENSG00000158169/ENSG00000160299/ENSG00000160949/ENSG00000162695/ENSG00000163492/ENSG00000165802/ENSG00000166341/ENSG00000168237/ENSG00000169641/ENSG00000173402/ENSG00000174227/ENSG00000174483/ENSG00000177084/ENSG00000177542/ENSG00000177728/ENSG00000178971/ENSG00000181027/ENSG00000181090/ENSG00000183091/ENSG00000183337/ENSG00000185049/ENSG00000185504/ENSG00000185900/ENSG00000185920/ENSG00000187240/ENSG00000188827/ENSG00000189079/ENSG00000196187/ENSG00000196367/ENSG00000196924/ENSG00000197283/ENSG00000198246/ENSG00000198752/ENSG00000198793/ENSG00000215193/ENSG00000225830/ENSG00000258366 87
HP_CLEFT_PALATE HP_CLEFT_PALATE 77/1193 421/11149 0.182897862232779 1.70924414587867 5.13515649304251 1.39387907853188e-06 0.00206587392865381 0.00190473045322835 ENSG00000004399/ENSG00000007541/ENSG00000008853/ENSG00000011376/ENSG00000012174/ENSG00000031081/ENSG00000049618/ENSG00000049759/ENSG00000064309/ENSG00000066117/ENSG00000068654/ENSG00000070814/ENSG00000072501/ENSG00000077782/ENSG00000099949/ENSG00000099956/ENSG00000100014/ENSG00000102312/ENSG00000102974/ENSG00000104218/ENSG00000107485/ENSG00000107882/ENSG00000108557/ENSG00000108963/ENSG00000109685/ENSG00000111676/ENSG00000112144/ENSG00000112640/ENSG00000115392/ENSG00000119977/ENSG00000120519/ENSG00000124313/ENSG00000126464/ENSG00000126705/ENSG00000127616/ENSG00000128191/ENSG00000136068/ENSG00000136720/ENSG00000137601/ENSG00000140718/ENSG00000141349/ENSG00000144647/ENSG00000147044/ENSG00000147099/ENSG00000147140/ENSG00000148384/ENSG00000151208/ENSG00000156650/ENSG00000158169/ENSG00000162065/ENSG00000163492/ENSG00000164880/ENSG00000165282/ENSG00000165802/ENSG00000166949/ENSG00000168778/ENSG00000169105/ENSG00000171456/ENSG00000173402/ENSG00000173801/ENSG00000174227/ENSG00000177542/ENSG00000181027/ENSG00000183091/ENSG00000183337/ENSG00000184640/ENSG00000184675/ENSG00000185049/ENSG00000185504/ENSG00000185900/ENSG00000185920/ENSG00000186716/ENSG00000187240/ENSG00000188827/ENSG00000189079/ENSG00000196367/ENSG00000196924 77
HP_EXTERNAL_GENITAL_HYPOPLASIA HP_EXTERNAL_GENITAL_HYPOPLASIA 66/1193 345/11149 0.191304347826087 1.78780567804949 5.14532277853083 1.63005711768247e-06 0.00206587392865381 0.00190473045322835 ENSG00000007541/ENSG00000008853/ENSG00000012174/ENSG00000044090/ENSG00000049618/ENSG00000064309/ENSG00000069424/ENSG00000070814/ENSG00000072501/ENSG00000077782/ENSG00000086758/ENSG00000100360/ENSG00000101868/ENSG00000102312/ENSG00000102901/ENSG00000102974/ENSG00000103043/ENSG00000105429/ENSG00000107882/ENSG00000110514/ENSG00000112144/ENSG00000115306/ENSG00000115392/ENSG00000116127/ENSG00000117682/ENSG00000119977/ENSG00000125124/ENSG00000126705/ENSG00000128731/ENSG00000134574/ENSG00000136720/ENSG00000136854/ENSG00000137601/ENSG00000140009/ENSG00000143951/ENSG00000144535/ENSG00000144647/ENSG00000147044/ENSG00000147099/ENSG00000147162/ENSG00000148384/ENSG00000150990/ENSG00000152217/ENSG00000156650/ENSG00000162695/ENSG00000163492/ENSG00000165802/ENSG00000168237/ENSG00000169641/ENSG00000173402/ENSG00000174483/ENSG00000177084/ENSG00000177542/ENSG00000179532/ENSG00000181027/ENSG00000181090/ENSG00000181827/ENSG00000183091/ENSG00000185900/ENSG00000185920/ENSG00000187240/ENSG00000196367/ENSG00000198246/ENSG00000198752/ENSG00000204410/ENSG00000225830 66
HP_ABNORMAL_5TH_FINGER_MORPHOLOGY HP_ABNORMAL_5TH_FINGER_MORPHOLOGY 73/1193 395/11149 0.184810126582278 1.72711492142986 5.09322481901036 1.76789788784326e-06 0.00206587392865381 0.00190473045322835 ENSG00000004399/ENSG00000011275/ENSG00000012174/ENSG00000037280/ENSG00000038382/ENSG00000044090/ENSG00000049618/ENSG00000049759/ENSG00000066117/ENSG00000068654/ENSG00000069424/ENSG00000072501/ENSG00000095059/ENSG00000097007/ENSG00000099949/ENSG00000099956/ENSG00000100014/ENSG00000100360/ENSG00000101868/ENSG00000102312/ENSG00000102974/ENSG00000104218/ENSG00000105429/ENSG00000107882/ENSG00000108557/ENSG00000109685/ENSG00000115170/ENSG00000115392/ENSG00000115904/ENSG00000118058/ENSG00000118971/ENSG00000119977/ENSG00000124313/ENSG00000125124/ENSG00000125450/ENSG00000126464/ENSG00000126705/ENSG00000127616/ENSG00000132394/ENSG00000134644/ENSG00000136068/ENSG00000137601/ENSG00000143951/ENSG00000147099/ENSG00000147140/ENSG00000147162/ENSG00000148384/ENSG00000152217/ENSG00000156650/ENSG00000158169/ENSG00000158321/ENSG00000160193/ENSG00000160299/ENSG00000162065/ENSG00000168778/ENSG00000169641/ENSG00000173801/ENSG00000174483/ENSG00000179364/ENSG00000181090/ENSG00000183337/ENSG00000184675/ENSG00000185024/ENSG00000185504/ENSG00000186716/ENSG00000187240/ENSG00000187535/ENSG00000188827/ENSG00000189079/ENSG00000196367/ENSG00000196924/ENSG00000198246/ENSG00000204681 73
HP_ABNORMALITY_OF_UPPER_LIP_VERMILLION HP_ABNORMALITY_OF_UPPER_LIP_VERMILLION 71/1193 383/11149 0.185378590078329 1.7324274105476 5.04908923443763 2.18648409598774e-06 0.00206587392865381 0.00190473045322835 ENSG00000007541/ENSG00000008853/ENSG00000011021/ENSG00000038382/ENSG00000049618/ENSG00000055163/ENSG00000064309/ENSG00000066117/ENSG00000071564/ENSG00000072501/ENSG00000075702/ENSG00000077782/ENSG00000086758/ENSG00000095059/ENSG00000099381/ENSG00000099956/ENSG00000100014/ENSG00000102974/ENSG00000104936/ENSG00000106290/ENSG00000107882/ENSG00000108557/ENSG00000111676/ENSG00000111752/ENSG00000112144/ENSG00000112640/ENSG00000115306/ENSG00000118058/ENSG00000119866/ENSG00000122966/ENSG00000124313/ENSG00000126705/ENSG00000127616/ENSG00000128731/ENSG00000130559/ENSG00000132394/ENSG00000136699/ENSG00000136861/ENSG00000138363/ENSG00000144535/ENSG00000147099/ENSG00000147140/ENSG00000147162/ENSG00000151503/ENSG00000152217/ENSG00000156650/ENSG00000160193/ENSG00000160563/ENSG00000162065/ENSG00000162599/ENSG00000162688/ENSG00000165282/ENSG00000166341/ENSG00000167625/ENSG00000168056/ENSG00000169105/ENSG00000174227/ENSG00000177030/ENSG00000177728/ENSG00000179364/ENSG00000181090/ENSG00000181827/ENSG00000185920/ENSG00000186716/ENSG00000189079/ENSG00000196367/ENSG00000197283/ENSG00000197381/ENSG00000198752/ENSG00000198793/ENSG00000198824 71
HP_DELAYED_ERUPTION_OF_TEETH HP_DELAYED_ERUPTION_OF_TEETH 32/1193 126/11149 0.253968253968254 2.37342167937306 5.36680140948759 2.22368240601405e-06 0.00206587392865381 0.00190473045322835 ENSG00000038382/ENSG00000044090/ENSG00000049618/ENSG00000066117/ENSG00000072501/ENSG00000077782/ENSG00000099956/ENSG00000102312/ENSG00000103249/ENSG00000108557/ENSG00000109685/ENSG00000124313/ENSG00000126351/ENSG00000127616/ENSG00000137070/ENSG00000147099/ENSG00000152217/ENSG00000154122/ENSG00000156650/ENSG00000160949/ENSG00000162065/ENSG00000165915/ENSG00000174227/ENSG00000182568/ENSG00000183337/ENSG00000184675/ENSG00000185049/ENSG00000185920/ENSG00000189079/ENSG00000196924/ENSG00000198246/ENSG00000225830 32
HP_HERNIA HP_HERNIA 77/1193 426/11149 0.18075117370892 1.68918259487071 5.02061830717179 2.22509159381095e-06 0.00206587392865381 0.00190473045322835 ENSG00000007541/ENSG00000008853/ENSG00000012174/ENSG00000049618/ENSG00000049759/ENSG00000066117/ENSG00000068654/ENSG00000072501/ENSG00000077782/ENSG00000090006/ENSG00000097007/ENSG00000099956/ENSG00000100014/ENSG00000100150/ENSG00000102312/ENSG00000102974/ENSG00000105429/ENSG00000108963/ENSG00000109685/ENSG00000115392/ENSG00000119688/ENSG00000119969/ENSG00000120519/ENSG00000126351/ENSG00000126464/ENSG00000126705/ENSG00000127415/ENSG00000127616/ENSG00000128191/ENSG00000130559/ENSG00000136068/ENSG00000138074/ENSG00000140718/ENSG00000141349/ENSG00000142002/ENSG00000144535/ENSG00000147044/ENSG00000147099/ENSG00000148384/ENSG00000152217/ENSG00000153015/ENSG00000158169/ENSG00000158321/ENSG00000159792/ENSG00000160193/ENSG00000162599/ENSG00000163378/ENSG00000166949/ENSG00000168906/ENSG00000169105/ENSG00000170004/ENSG00000171723/ENSG00000174227/ENSG00000177000/ENSG00000177542/ENSG00000177728/ENSG00000181090/ENSG00000181523/ENSG00000181827/ENSG00000181830/ENSG00000183337/ENSG00000184675/ENSG00000185024/ENSG00000185049/ENSG00000185504/ENSG00000185920/ENSG00000186716/ENSG00000187240/ENSG00000187535/ENSG00000188827/ENSG00000189079/ENSG00000196367/ENSG00000196924/ENSG00000198246/ENSG00000198752/ENSG00000198793/ENSG00000198824 77
HP_BILATERAL_TONIC_CLONIC_SEIZURE HP_BILATERAL_TONIC_CLONIC_SEIZURE 58/1193 294/11149 0.197278911564626 1.843640054513 5.07448765459 2.56208390118749e-06 0.00214087730783227 0.00197388337608329 ENSG00000005379/ENSG00000007541/ENSG00000008853/ENSG00000054392/ENSG00000072501/ENSG00000075702/ENSG00000077782/ENSG00000099381/ENSG00000099624/ENSG00000100150/ENSG00000100412/ENSG00000102974/ENSG00000103061/ENSG00000104812/ENSG00000108433/ENSG00000110841/ENSG00000112144/ENSG00000115568/ENSG00000117682/ENSG00000124313/ENSG00000126091/ENSG00000126705/ENSG00000127603/ENSG00000132394/ENSG00000134644/ENSG00000136854/ENSG00000137601/ENSG00000141510/ENSG00000141556/ENSG00000147044/ENSG00000162065/ENSG00000162129/ENSG00000164494/ENSG00000165282/ENSG00000167113/ENSG00000167625/ENSG00000168237/ENSG00000169814/ENSG00000171723/ENSG00000172915/ENSG00000174227/ENSG00000177000/ENSG00000177030/ENSG00000177542/ENSG00000177595/ENSG00000177728/ENSG00000179364/ENSG00000180902/ENSG00000181090/ENSG00000181827/ENSG00000197121/ENSG00000197283/ENSG00000197375/ENSG00000197694/ENSG00000198198/ENSG00000198804/ENSG00000225830/ENSG00000234616 58
