	geneSymbol	moduleColor	GS.condition	p.GS.condition	MM.magenta	p.MM.magenta	MM.tan	p.MM.tan	MM.midnightblue	p.MM.midnightblue	MM.lightyellow	p.MM.lightyellow	MM.black	p.MM.black	MM.brown	p.MM.brown	MM.grey60	p.MM.grey60	MM.grey	p.MM.grey	MM.turquoise	p.MM.turquoise	MM.blue	p.MM.blue	MM.lightcyan	p.MM.lightcyan	MM.red	p.MM.red	MM.royalblue	p.MM.royalblue	MM.purple	p.MM.purple	MM.green	p.MM.green	MM.greenyellow	p.MM.greenyellow	MM.pink	p.MM.pink	MM.cyan	p.MM.cyan	MM.lightgreen	p.MM.lightgreen	MM.salmon	p.MM.salmon	MM.yellow	p.MM.yellow
ENSG00000227232	NA	royalblue	-0.0139431369300436	0.727288389441146	-0.621770629798667	1.87432053947872e-68	0.561743156699363	1.63436050227913e-53	-0.295359245809539	4.15165612885841e-14	0.577734279654674	3.41463410757538e-57	-0.558531917851041	8.48042563836424e-53	-0.700675926649046	7.48398912064582e-94	-0.253907612546525	1.07272822589176e-10	-0.0509879682695389	0.201941633504533	0.755210153299583	6.1978613942053e-117	-0.712537034301484	2.06752389478152e-98	0.489995580092169	3.08082697885516e-39	0.0476571511872679	0.233032673824783	0.319813982579397	2.11671981650366e-16	-0.35933528278798	1.41286004290303e-20	-0.477237604364271	4.89384168086411e-37	0.000983392360428754	0.980378286018596	0.720479539941533	1.35199279279229e-101	0.5080099290363	1.65382705325423e-42	0.104674127410306	0.00866197462034001	-0.171137909856037	1.61776774785625e-05	0.422408944200084	1.44039830098243e-28
ENSG00000268903	NA	yellow	0.00859924473709624	0.829711881915287	-0.436273320785998	1.4471236097223e-30	0.0612796997697264	0.125018004368822	-0.507143563188246	2.40030350763682e-42	0.37507043905221	2.07048726654033e-22	-0.0109751095411485	0.783703647054407	-0.771710748686448	3.70219523864838e-125	0.114835937111195	0.00395680290652769	0.56891519174143	3.87046388504801e-55	0.515392322856743	6.62158234621971e-44	-0.564519688755608	3.87923174858835e-54	0.0671406898332093	0.0927461983661588	-0.426245544129068	4.11941016946002e-29	-0.0462357456344274	0.247282620228801	-0.285317743131374	3.15010784893007e-13	-0.561421011151681	1.92945776381754e-53	0.34451567089747	6.11504349748722e-19	0.75065777413889	8.84284815430915e-115	0.791491853524318	5.57665089918973e-136	0.0508062493705998	0.203555933008141	-0.327997901952992	3.2347368618639e-17	0.355963849271376	3.38841671252168e-20
ENSG00000269981	NA	red	0.0779830005063832	0.0507804575250543	0.141260731197279	0.000384133361093626	-0.351974923134647	9.4108241093669e-20	0.181125176124403	4.92931263699176e-06	-0.310434581461836	1.69971593566545e-15	0.285283397938905	3.17158115306049e-13	-0.280580435932142	7.97011873368549e-13	-0.18481573408135	3.12444113127214e-06	0.285785718621138	2.87133480771384e-13	0.365775956037704	2.58008660423948e-21	-0.435488636474328	1.88830559870678e-30	-0.13160440226029	0.000947005193156229	-0.773185788641628	6.30378571076098e-126	-0.43831182951159	7.22540821806337e-31	0.351375336561168	1.09588888031557e-19	-0.759639490199913	4.46827664738151e-119	0.730821600868582	6.52564336710933e-106	0.184421554599214	3.2817886987489e-06	0.479397378384855	2.10639831519098e-37	-0.576928634149972	5.29196974054696e-57	-0.658519967817147	2.51151444112323e-79	0.688825873286134	1.61719345150046e-89
ENSG00000269732	NA	royalblue	0.116628140988829	0.00342398530169246	-0.726219087645383	5.75448682337845e-104	0.70080316607299	6.70545370036261e-94	-0.22443586338501	1.3017634691618e-08	0.634812101219289	3.82716407624096e-72	-0.754270412275792	1.74112122683877e-116	-0.482377268303573	6.51785159063443e-38	-0.11949352161318	0.00270613102747071	0.028090508439775	0.482253735634076	0.55739210895801	1.51480549956171e-52	-0.51714793090955	3.04470113552443e-44	0.747471691329204	2.6715835040222e-113	0.48108098480735	1.08725335762677e-37	0.188981854201955	1.84702982111728e-06	-0.51810755822994	1.98735976185317e-44	-0.0215787793094861	0.589370720036476	-0.214358991532088	5.81837925644208e-08	0.61594105948176	7.3542618844188e-67	0.416530974862916	9.50457175878043e-28	0.186599658656673	2.49825151471304e-06	-0.044092653152503	0.269899526656613	0.0538195436178046	0.177979182103334
ENSG00000225972	MTND1P23	turquoise	0.204798824597345	2.25494557066684e-07	0.741836446113628	9.79556091031024e-111	-0.815063868773989	1.59558840052435e-150	0.278863900098456	1.11083574080546e-12	-0.70088818315098	6.23073383118438e-94	0.788660475392822	2.32473430973329e-134	0.568885628459822	3.9313870509895e-55	0.321780164332319	1.35496257125306e-16	0.262836899506765	2.20812191843541e-11	-0.697995169949123	7.47064961697884e-93	0.61988772822129	6.18394432370984e-68	-0.665688072314251	1.25227685217589e-81	-0.397336124457749	3.49470262316967e-25	-0.431005049594868	8.52383372521609e-30	0.41944111090281	3.75190974372492e-28	0.244024892198162	5.75546992015168e-10	0.224036626219786	1.3832146280783e-08	-0.594101262901592	3.55286705142338e-61	-0.327272694998939	3.82946671506806e-17	-0.190053035138021	1.61047351714171e-06	0.0111015464913338	0.781274707615311	-0.222021505177064	1.8757532750573e-08
ENSG00000225630	MTND2P28	lightcyan	-0.138027752520265	0.000523001766707953	-0.495594821558974	3.11183154972518e-40	0.71918705119487	4.53624316344995e-101	0.114279253939379	0.00413697663174812	0.387083362250459	7.02391439493448e-24	-0.809241800623922	9.61000114355702e-147	-0.0716035445340381	0.0729558341929474	-0.403470259600498	5.51613132720302e-26	-0.500075707955282	4.81776887938738e-41	0.333056693376156	9.8408826438969e-18	-0.256407479990278	6.93316858130764e-11	0.660413408822117	6.2801733291161e-80	0.679089733554117	4.13952869570663e-86	0.496392995042547	2.2365524702807e-40	-0.293404694494671	6.19838309887362e-14	0.176453450217886	8.66537715116702e-06	-0.396073350091686	5.08620831183228e-25	0.0982029905226377	0.013816067381475	-0.132601998364461	0.000865044767549748	0.0839043933871856	0.0355395309222019	0.168442443415065	2.20453113642459e-05	-0.0527977387732495	0.186370257519635
ENSG00000237973	MTCO1P12	royalblue	0.111441547055324	0.00517607366890669	-0.300808407074235	1.3362251717173e-14	0.141264948518007	0.000383977110538707	0.194228768860051	9.36931065602974e-07	0.0463246122375055	0.2463742559229	-0.291128724511378	9.84643045967799e-14	-0.467104951269214	2.35949420755463e-35	-0.421397069529767	1.99849865888921e-28	0.169434523006882	1.96829601185404e-05	0.669624641047979	6.3957858861205e-83	-0.73418271724384	2.33518425668563e-107	0.419935525954095	3.2009295964578e-28	-0.342744535733439	9.46669830992683e-19	-0.258685455999098	4.63900146583284e-11	0.10306014455312	0.00975431420731605	-0.674020080104605	2.18676977201025e-84	0.598124565784559	3.43722716813978e-62	0.458431048303258	5.8824392781548e-34	0.586860283113488	2.19075006709151e-59	-0.423528270486939	1.00137174620597e-28	-0.699772002064092	1.63045132231354e-93	0.706459200465012	4.78577861654516e-96
ENSG00000240409	MTATP8P1	red	0.134295643440481	0.000740762723013136	0.0966688498215249	0.0153774294820087	-0.245631291465165	4.40174854121681e-10	0.448423546538511	2.14778420336758e-32	-0.429371518852641	1.4678800070198e-29	0.0372525857799065	0.351330959820822	0.0652759750435141	0.102196801127787	-0.237231249909047	1.75185358639871e-09	0.179927232444582	5.70442287191703e-06	0.1649972984389	3.25153658371956e-05	-0.270456210051878	5.46368035404193e-12	0.119274830506999	0.00275564999620577	-0.335010555904243	6.17789860596358e-18	-0.615171646485449	1.18684153965204e-66	0.432276555612179	5.57186558080608e-30	-0.348052955373048	2.53329932730751e-19	0.675630214172616	6.25698854476574e-85	-0.0407625738331108	0.307777797963978	0.246442649737473	3.84142217641103e-10	-0.633583921704639	8.66861171576825e-72	-0.671439854805889	1.59770951504089e-83	0.428424022784311	2.00918674556103e-29
ENSG00000198744	MTCO3P12	black	0.0515643203190171	0.196883238266638	0.0309453188631559	0.438855164887844	0.0384479324209033	0.336080466413433	0.469264375798326	1.04428576026198e-35	-0.307800025144316	3.01134549998425e-15	-0.212034597365645	8.13562243792021e-08	0.251731466944564	1.56260103685847e-10	-0.359015894998638	1.53561862278522e-20	-0.194173582535679	9.43735197454263e-07	0.0542808229345581	0.174284406826589	-0.0916816560042564	0.0215732038738378	0.222548223575086	1.7326838440966e-08	0.0919218097472835	0.021231402505499	-0.256504055739689	6.81660070805883e-11	0.315622578452048	5.41899617547313e-16	-0.0178328825419947	0.655571315932936	0.260242925851433	3.51669680331842e-11	-0.237392307438579	1.70689462699602e-09	-0.109071521743161	0.00621823538419229	-0.420320390758336	2.8281598216344e-28	-0.343577073650103	7.71139919466335e-19	0.150324070743851	0.000156129760737771
ENSG00000229376	NA	green	0.19271941607988	1.1411214884468e-06	-0.0842505018779298	0.0347844071052225	0.135151316215986	0.000684466720940856	0.0121054813601652	0.76206575179848	0.113789540822045	0.00430158018435802	-0.213017321003621	7.06379553492375e-08	0.251758185713989	1.55543437316633e-10	0.342675086877891	9.62977401944407e-19	0.090869629084988	0.0227645686551574	-0.275670664017797	2.04745912496779e-12	0.298443490245848	2.19199129654446e-14	0.234512919557472	2.70916109363932e-09	0.560612907541846	2.92361074080101e-53	0.0134912113150138	0.735792336260779	-0.314376767165747	7.14540218115088e-16	0.608125619164265	8.94205555474826e-65	-0.427348890156704	2.86544850564776e-29	-0.0400357575077457	0.316490433578991	-0.1301528676465	0.00107913597964828	0.221074185010738	2.16237757028866e-08	0.346904513794354	3.37657092875891e-19	-0.510481005101994	5.68207377216561e-43
