	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000139178	C1RL	0.0923395898186382	-0.000457132609741399	3.33594135875907	0.000901197738786827	0.992679164755354	-0.983717417631659	complement C1r subcomponent like
ENSG00000224389	C4B	0.144824042416315	0.00144248830164049	3.33251726929374	0.000912159971376962	0.992679164755354	-0.994598472755531	complement C4B (Chido/Rodgers blood group)
ENSG00000166902	MRPL16	0.0428042993808485	0.00307680677436272	3.28950138985543	0.0010608474353749	0.992679164755354	-1.13037650001235	mitochondrial ribosomal protein L16
ENSG00000226871	NA	-0.0566288953590104	-0.00867047718306418	-3.22447725826213	0.00132873500848813	0.992679164755354	-1.33239175795718	NA
ENSG00000120709	FAM53C	-0.0317386533507143	-0.00447409210098934	-3.14378357017211	0.00174794544761413	0.992679164755354	-1.57766980611773	family with sequence similarity 53 member C
ENSG00000115641	FHL2	0.0396451966608871	0.00316323147288884	3.13993652758733	0.00177069148418867	0.992679164755354	-1.58921322486333	four and a half LIM domains 2
ENSG00000160213	CSTB	0.0425724375647332	-0.000174941975744962	3.1378628972781	0.00178306487531309	0.992679164755354	-1.59542967842143	cystatin B
ENSG00000133321	PLAAT4	0.148594050979994	0.003798904273413	3.12162233833049	0.00188276317157685	0.992679164755354	-1.64397915262917	phospholipase A and acyltransferase 4
ENSG00000128262	NA	0.0538392221197452	-0.000454275696627652	3.0928810323675	0.00207187313280676	0.992679164755354	-1.72930058139133	NA
ENSG00000227097	NA	0.237949899301302	0.00661315459720659	3.07082526122065	0.00222867223421604	0.992679164755354	-1.79425697695304	NA
ENSG00000243389	NA	-0.0849126872613625	-0.00532810286298514	-3.07079812130097	0.00222887171873103	0.992679164755354	-1.79433662922705	NA
ENSG00000197568	ANKRD13C-DT	0.039508833249787	0.00454044648189691	3.06340234334664	0.00228384767625678	0.992679164755354	-1.8160168930909	ANKRD13C divergent transcript
