	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000129991	TNNI3	0.13423704660937	0.00780729115653219	3.39770321732803	0.000723332933947515	0.970399227980966	-0.727353327529486	troponin I3, cardiac type
ENSG00000248518	NA	-0.0870901606449175	-0.00617336926301514	-3.23433376087039	0.00128447125342866	0.970399227980966	-1.24024824379109	NA
ENSG00000184988	TMEM106A	0.0689899633929447	0.00594085741833571	3.22720800552547	0.00131634122272033	0.970399227980966	-1.26206466947879	transmembrane protein 106A
ENSG00000205642	VCX3B	-0.0484489444799519	-0.00371983438096595	-2.96388877929525	0.00315508858687011	0.970399227980966	-2.03558230882729	variable charge X-linked 3B
ENSG00000196312	NA	-0.0218845580953843	-0.00143858726680395	-2.94264104000256	0.0033766302925201	0.970399227980966	-2.09521681585782	NA
ENSG00000134686	PHC2	0.0477053585000133	0.00657005536249971	2.91732070842848	0.00365913017253157	0.970399227980966	-2.16573732608089	polyhomeotic homolog 2
ENSG00000255153	TOLLIP-DT	0.114050058027068	0.00847271018920772	2.8889342396627	0.0040013342153752	0.970399227980966	-2.24409323015444	TOLLIP divergent transcript
ENSG00000278989	NA	-0.0677898229578515	-0.00823155211903135	-2.82122263253054	0.0049382268086418	0.970399227980966	-2.42799013535788	NA
ENSG00000109103	UNC119	-0.0579533830843837	-0.00550726904953558	-2.8195860867828	0.00496315119579482	0.970399227980966	-2.43238227025232	unc-119 lipid binding chaperone
ENSG00000171951	SCG2	-0.220967078564599	-0.0138920664892494	-2.80939621699414	0.0051209240814406	0.970399227980966	-2.45967385199831	secretogranin II
ENSG00000160753	RUSC1	-0.0554184229122109	-0.00032391508911682	-2.80188749958296	0.00524007679184658	0.970399227980966	-2.47972291590991	RUN and SH3 domain containing 1
ENSG00000280355	NA	-0.114635641071405	-0.00836328118467553	-2.80166530801779	0.00524364059606389	0.970399227980966	-2.48031539470675	NA
ENSG00000256925	NA	-0.0564554327901187	-0.000469401093437109	-2.7511385798587	0.00611342791901936	0.970399227980966	-2.6138571454249	NA
ENSG00000157005	SST	-0.337506293506907	0.00360135395317679	-2.75063897883722	0.00612264317474759	0.970399227980966	-2.6151657614275	somatostatin
ENSG00000125835	SNRPB	0.0573471262685269	0.0060524572499843	2.71144671151362	0.00688584294687007	0.970399227980966	-2.71710071200727	small nuclear ribonucleoprotein polypeptides B and B1
ENSG00000204397	CARD16	0.0746398324710399	0.00391795521325955	2.6774265339222	0.00761666893429322	0.970399227980966	-2.80442647118985	caspase recruitment domain family member 16
ENSG00000236523	NPM1P40	0.078617689021424	0.00881790109215939	2.67448039937636	0.00768312610972843	0.970399227980966	-2.81193821754483	nucleophosmin 1 pseudogene 40
ENSG00000223403	MIR381HG	-0.112901655207492	-0.0064564761504544	-2.66044054936054	0.00800704009352403	0.970399227980966	-2.84762464054591	MIR381 host gene
ENSG00000269386	RAB11B-AS1	0.0418352842334372	-0.000796014152168365	2.65743775145091	0.00807788887845947	0.970399227980966	-2.85523333092366	RAB11B antisense RNA 1
ENSG00000277022	NA	0.0824652249839101	0.0087099996623578	2.64281813998694	0.00843092853726536	0.970399227980966	-2.89215759680004	NA
ENSG00000239881	NA	0.0922853423938558	0.00566558342047316	2.63957703129093	0.00851104497881837	0.970399227980966	-2.90031661480202	NA
ENSG00000170145	SIK2	-0.0233333466462112	-0.000708612832432379	-2.63775340772422	0.00855642221631859	0.970399227980966	-2.90490302149672	salt inducible kinase 2
ENSG00000269981	NA	0.185685022629065	0.0140175947670132	2.62589891167895	0.00885672051140234	0.970399227980966	-2.93464154572761	NA
ENSG00000148634	HERC4	-0.0177999978336976	-0.00240728715957902	-2.62494614755382	0.00888126090227905	0.970399227980966	-2.93702599503659	HECT and RLD domain containing E3 ubiquitin protein ligase 4
ENSG00000277399	GPR179	-0.0605672997648459	-0.00243246399014384	-2.61082071729844	0.0092523014110141	0.970399227980966	-2.9722780172983	G protein-coupled receptor 179
ENSG00000171236	LRG1	0.0949259392636553	0.00270819153152474	2.60025852374711	0.00953874206044654	0.970399227980966	-2.99851600373272	leucine rich alpha-2-glycoprotein 1
ENSG00000086015	MAST2	-0.0228578195878591	-0.00164022088255667	-2.58497735177797	0.00996719219271134	0.970399227980966	-3.03629256770851	microtubule associated serine/threonine kinase 2
ENSG00000178057	NDUFAF3	0.0414248450805441	0.00224764981306119	2.5812881622973	0.0100731700316285	0.970399227980966	-3.04537998589318	NADH:ubiquinone oxidoreductase complex assembly factor 3
ENSG00000170324	FRMPD2	0.0428955807926822	0.000762444294507336	2.56755073743445	0.0104767010240705	0.970399227980966	-3.07910715940974	FERM and PDZ domain containing 2
ENSG00000228407	NA	-0.12512505712233	-0.00356634400514087	-2.5451165616463	0.0111667528728106	0.970399227980966	-3.13380750297799	NA
ENSG00000272417	NA	-0.0810864864104855	-0.00955542563107735	-2.53786492124491	0.0113983051676155	0.970399227980966	-3.15138844050562	NA
ENSG00000237863	NA	-0.0881933037972966	-0.0138987940780876	-2.53450062348541	0.0115071742669223	0.970399227980966	-3.1595282028967	NA
ENSG00000165626	BEND7	-0.0305115711777545	-0.00492722115501662	-2.52985966525183	0.0116588743080435	0.970399227980966	-3.17073944402552	BEN domain containing 7
ENSG00000153234	NR4A2	-0.200134069774003	0.00352211759214202	-2.52332436783402	0.0118755103663409	0.970399227980966	-3.18649277394251	nuclear receptor subfamily 4 group A member 2
ENSG00000238103	RPL9P7	-0.103204675743371	-0.0101655419608948	-2.52164366040278	0.0119317987517748	0.970399227980966	-3.19053767083505	ribosomal protein L9 pseudogene 7
ENSG00000102316	MAGED2	-0.0516655758356384	-0.00483826831161348	-2.50544100483954	0.0124867206513779	0.970399227980966	-3.22939669286766	MAGE family member D2
ENSG00000274895	NA	-0.0462738327962125	-0.00327345191643498	-2.50515290482559	0.0124967916753826	0.970399227980966	-3.23008542755594	NA
ENSG00000159713	TPPP3	0.117622274033384	0.00851467387680917	2.49606672691568	0.0128181364392154	0.970399227980966	-3.25176714131718	tubulin polymerization promoting protein family member 3
ENSG00000188042	ARL4C	-0.108490681176376	-0.00370039559773795	-2.49542588066167	0.0128410751158979	0.970399227980966	-3.25329343579472	ARF like GTPase 4C
ENSG00000140368	PSTPIP1	0.0219179081474853	0.00071925844719983	2.47627218185807	0.0135436906830604	0.970399227980966	-3.29873435227846	proline-serine-threonine phosphatase interacting protein 1
ENSG00000163071	SPATA18	0.121118665264958	0.00454955116200177	2.47579304394368	0.0135616951787224	0.970399227980966	-3.29986667940375	spermatogenesis associated 18
ENSG00000100300	TSPO	0.0353821625756592	-0.00127501220833325	2.47237312098469	0.0136908218899261	0.970399227980966	-3.30794261042115	translocator protein
ENSG00000214029	ZNF891	-0.0300339762901505	-0.000759706825658966	-2.46006681190573	0.0141645252166123	0.970399227980966	-3.33691269287535	zinc finger protein 891
ENSG00000270640	NA	-0.178700898365671	-0.013393613647501	-2.45658498636445	0.0143011551425283	0.970399227980966	-3.34508349595933	NA
ENSG00000136999	CCN3	-0.146365822921973	-0.0206788716545895	-2.45449312995496	0.0143838007121548	0.970399227980966	-3.34998700427642	cellular communication network factor 3
ENSG00000006283	CACNA1G	-0.0628625886986042	0.000980903658758074	-2.45255009001099	0.0144609447899765	0.970399227980966	-3.35453800588012	calcium voltage-gated channel subunit alpha1 G
ENSG00000227908	IL6ST-DT	0.0330522760053094	0.0037065147017352	2.44734565874875	0.0146693798625311	0.970399227980966	-3.36671046097026	IL6ST divergent transcript
ENSG00000028310	BRD9	0.0378874115884356	0.00302569156753896	2.43513284748867	0.0151689533672231	0.970399227980966	-3.39517504742958	bromodomain containing 9
ENSG00000197619	ZNF615	-0.034875833636848	-0.00607585525020012	-2.42315062351827	0.0156736301920438	0.970399227980966	-3.42296653900198	zinc finger protein 615
