Gene	Value
ENSG00000268903	-0.657015990230204
ENSG00000279457	-0.232487126936526
ENSG00000284733	-0.141440555895344
ENSG00000225972	-0.0801992490560575
ENSG00000237973	-0.658802646930118
ENSG00000229344	-1.33294709032496
ENSG00000198744	-2.66384663260362
ENSG00000225880	-0.175428455545445
ENSG00000288531	-0.254527191021376
ENSG00000234711	-0.479197713496159
ENSG00000187634	-0.136267483021863
ENSG00000187961	-0.0134216411170265
ENSG00000272512	0.12741349867841
ENSG00000188290	-0.024381770176206
ENSG00000187608	0.0339858976385416
ENSG00000186827	-0.0727473156245244
ENSG00000078808	0.0710580396987325
ENSG00000160087	-0.109172862426115
ENSG00000169962	-0.110160721856321
ENSG00000221978	-0.192623106940516
ENSG00000225285	0.289207413657876
ENSG00000215014	-0.0473457682282975
ENSG00000228594	-0.134142587612961
ENSG00000286989	-0.328978693497923
ENSG00000189409	-0.0688799266974446
ENSG00000248333	-0.201829180328072
ENSG00000008130	0.202510801499088
ENSG00000231050	0.343138922578031
ENSG00000169885	-0.223455731704759
ENSG00000272161	0.602038708104876
ENSG00000269896	0.0709581929394667
ENSG00000272420	-0.389965314678717
ENSG00000157916	0.178891480684234
ENSG00000197921	-1.10998925760917
ENSG00000272449	0.0229388187841009
ENSG00000157870	-0.190705066447927
ENSG00000287828	0.330156288681854
ENSG00000238260	-0.697286812281757
ENSG00000116213	-0.218701749753154
ENSG00000266075	-0.33725767294366
ENSG00000069424	-0.308038545139645
ENSG00000158292	-0.149436058753805
ENSG00000215788	-0.375571958569249
ENSG00000162408	-0.130620123219092
ENSG00000204859	-0.258998432575955
ENSG00000162413	0.0212738540676176
ENSG00000116273	0.0729363269602884
ENSG00000171735	0.0519745482338962
ENSG00000269925	-0.386089398829964
ENSG00000049246	-0.11986544720848
ENSG00000116285	0.558210988480179
ENSG00000142583	-0.412460818924162
ENSG00000049239	0.226846673895224
ENSG00000171621	0.210473791823643
ENSG00000171612	0.433914294834429
ENSG00000188807	0.118085269073656
ENSG00000171608	-0.0551195861560336
ENSG00000171603	0.17526531959465
ENSG00000178585	0.144119322706895
ENSG00000284735	0.0256555525106515
ENSG00000284642	-0.204656171777645
ENSG00000142657	-0.0310035820275161
ENSG00000009724	0.0734565610324615
ENSG00000116649	-0.223681649833558
ENSG00000171824	0.0931722036594311
ENSG00000120942	0.253741751832446
ENSG00000116661	0.11945088004241
ENSG00000116663	-0.14617007723054
ENSG00000116670	-0.180001195616631
ENSG00000177674	-0.130334634050909
ENSG00000011021	-0.120324878414326
ENSG00000120937	-0.503107231713179
ENSG00000083444	0.0453943901273832
ENSG00000287384	-0.302042801893183
ENSG00000116688	0.165618786380743
ENSG00000116691	-0.286620193698025
ENSG00000028137	-0.437990238944522
ENSG00000048707	0.205727097835423
ENSG00000162496	0.107218489806877
ENSG00000142634	-0.389514834566311
ENSG00000132906	-0.110079140136873
ENSG00000116771	-0.00165352962290203
ENSG00000197312	-0.0258925310301249
ENSG00000162461	-0.343655230273259
ENSG00000162458	0.0770047360278144
ENSG00000179743	0.0257955424138346
ENSG00000183888	0.624121719973618
ENSG00000173641	0.481762740383733
ENSG00000142627	0.382889224362577
ENSG00000142632	0.212694143431966
ENSG00000288398	0.0145367752615369
ENSG00000037637	9.17462973146262e-05
ENSG00000157191	0.317045205610455
ENSG00000226029	-0.0762137125748956
ENSG00000080947	-0.115511778384372
ENSG00000261135	0.22293294422232
ENSG00000179051	-0.0262531529554528
ENSG00000272084	0.0849091580543399
ENSG00000127463	0.19702156992529
ENSG00000053372	-0.0180616443123349
ENSG00000211454	-0.246206511571661
